label,id,rodada,views
palxcui-1turno-2023,I8NKXi4aoxE,1,775290
amgxflu-1turno-2023,tLZGzq7PMB0,1,699660
botxsao-1turno-2023,75YuozMPFVk,1,909053
braxbah-1turno-2023,sBKIhhZQcCg,1,330410
capxgoi-1turno-2023,v-e_5mHOBdI,1,100089
camxvas-1turno-2023,Wli77j_au6c,1,1221219
flaxcfc-1turno-2023,uruWA79AmMw,1,1788125
corxcru-1turno-2023,JvlrWaXKCKU,1,1267618
forxint-1turno-2023,deODK5cSwHU,1,115187
grexsan-1turno-2023,9E7j3TJsVVM,1,602629
fluxcap-1turno-2023,NIkH9IpGyPs,2,923992
saoxamg-1turno-2023,hvL7_wTtPzo,2,1312033
cuixbra-1turno-2023,qsWVm7tukOY,2,146900
cruxgre-1turno-2023,oyc4Fp3k_Lg,2,1072930
intxfla-1turno-2023,UWcO4V1My-A,2,2385429
sanxcam-1turno-2023,lrWcg4MfB24,2,283271
vasxpal-1turno-2023,jJIHhTRkd84,2,1371197
cfcxfor-2023-1turno,N27srU6Gud8,2,389869
goixcor-1turno-2023,4V0x08bzStw,2,963378
bahxbot-1turno-2023,BWO0AAWJyFc,2,636630
crcxsao-1turno-2023,SIbyF-fuxp0,3,388901
forxflu-1turno-2023,_qgRIrmfU20,3,1177011
palxcor-1turno-2023,IrYyQKEfYqs,3,1473290
sanxamg-1turno-2023,uXCZxWnxbmU,3,500659
camxcap-1turno-2023,h6as7KHQfWE,3,739407
flaxbot-1turno-2023,ENVPqj3OYLU,3,2570836
intxgoi-1turno-2023,x34Jn_uUz8c,3,315810
intxgoi-1turno-2023,x34Jn_uUz8c,3,315810
cuixgre-1turno-2023,ihMfSbPG5OE,3,429113
vasxbah-1turno-2023,EJ_n2PB5QVw,3,660381
cruxsan-1turno-2023,o75UjMT3S3c,4,1028805
fluxvas-1turno-2023,UAdqlL9Ta9I,4,1491692
amgxcui-1turno-2023,hj8Yif7Ly44,4,311461
capxfla-1turno-2023,o_V1PkXDyEs,4,810664
saoxint-1turno-2023,DUpLbmH62fU,4,1249528
bahxcor-1turno-2023,4o1RQg3azIo,4,357840
botxcam-1turno-2023,_VoKOsF41Ak,4,854855
goixpal-1turno-2023,qtwodxQwhdc,4,1162200
grexbra-1turno-2023,pLByAFU4uZw,4,959138
corxfor-1turno-2023,jfN6kUrdqW0,4,1245248
intxcap-1turno-2023,k91ojMextVc,5,460280
braxamg-1turno-2023,7q6MgCu7wOc,5,132432
sanxbah-1turno-2023,omm_9rKWmO0,5,401857
cuixcam-1turno-2023,PAC7p2Jg8EY,5,357367
flaxgoi-1turno-2023,p54b83Fr3I8,5,1017468
palxgre-1turno-2023,J6cxWtbNAPo,5,1325631
cruxflu-1turno-2023,Ab8yFyqtHQo,5,890632
corxvas-1turno-2023,vPtcuUvgovw,5,342258
botxcor-1turno-2023,PepRWyEoun0,5,1426385
forxsao-1turno-2023,Bu-enW6FK2M,5,274737
bahxfla-1turno-2023,9dQSeQ4q2nI,6,1469191
fluxcui-1turno-2023,tHqk5QF_gIU,6,430454
palxbra-1turno-2023,iw2uQ8dEIuE,6,631339
camxint-1turno-2023,EfA8UUy4FmU,6,852854
vasxsan-1turno-2023,R9qw29SfbiA,6,474345
corxsao-1turno-2023,8YjMw7afGb4,6,1125024
grexfor-1turno-2023,0Y6LBpayQlk,6,169785
amgxcru-1turno-2023,W457m3FkF7w,6,727390
capxcor-1turno-2023,iDQl3LpR-LM,6,219701
goixbot-1turno-2023,wvrJVWPp1xo,6,437393
bahxgoi-1turno-2023,E3n9WEsm2xU,7,227624
braxcap-1turno-2023,DX1S233fSW8,7,240795
amgxfor-1turno-2023,qtCXKI13Ykc,7,259200
botxflu-1turno-2023,3WrVN9SAthA,7,811217
crcxcam-1turno-2023,xaDhdH26GX0,7,481520
saoxvac-1turno-2023,ZbNk5XSpDaI,7,1840530
sanxpal-1turno-2023,yO4VPjrt6Ws,7,443037
flaxcor-1turno-2023,HZogEtjdWIg,7,2447966
grexint-1turno-2023,trdUsEUHATM,7,1912474
cruxcui-1turno-2023,rm6QmVD32iI,7,611352
capxgre-1turno-2023,AML0OkI9dh4,8,237424
forxvas-1turno-2023,iR1T3GM6wbA,8,616323
flaxcru-1turno-2023,v9HY-2H4DcQ,8,1550096
cuixcor-1turno-2023,Jn2MsAjBkpA,8,114551
saoxgoi-1turno-2023,Vft0kdWGYEE,8,1064175
corxflu-1turno-2023,yogGxspNprw,8,2011740
intxbah-1turno-2023,2Qqw2eSfsH8,8,315319
braxsan-1turno-2023,XzRRuVPzbnI,8,187965
camxpal-1turno-2023,KLrxQfQYs9k,8,1028670
botxamg-1turno-2023,iKxvvZ77RRE,8,454361
forxbah-1turno-2023,PijCj3jBG2M,9,137104
capxbot-1turno-2023,aVB2Z9if-4k,9,207057
amgxcor-1turno-2023,WtBwtw4OuEY,9,1096891
cruxcam-1turno-2023,fuRDJcnLmEE,9,728980
sanxint-1turno-2023,0hk6FAa-hhs,9,374888
fluxbra-1turno-2023,R8EpqebdXeg,9,474734
grexsao-1turno-2023,5fsXlFFhAdg,9,795681
goixcui-1turno-2023,rAivMCFNXpc,9,183639
palxcor-1turno-2023,fsb3hdFbVU8,9,496659
vasxfla-1turno-2023,wO0n2Rc1s80,9,2686263
cfcxsan-1turno-2023,_MB-SCfSGbs,10,130701
corxcui-1turno-2023,jEsc2ySCPV0,10,864526
bahxcru-1turno-2023,sDZ9Nf2O6t4,10,418449
camxbra-1turno-2023,fAAzPi0YESE,10,329194
botxfor-1turno-2023,lmwEnRh7FEs,10,552561
amgxcap-1turno-2023,6CRfI7Epodc,10,241525
intxvas-1turno-2023,sjx6lzIJKs0,10,455278
saoxpal-1turno-2023,B4wESwdGLqM,10,1080924
flaxgre-1turno-2023,lMcIMHgV-ls,10,3287167
goixflu-1turno-2023,UfCtSMKe6kw,10,384133
saoxcap-1turno-2023,9dpnJRrZ-Qo,11,802899
cruxfor-1turno-2023,KZ8FehVCqvs,11,260179
sanxcor-1turno-2023,AsJZbFxs1p8,11,1157567
bahxpal-1turno-2023,C6nbZ6muN2s,11,865169
fluxcam-1turno-2023,u3aj497YT2Y,11,415925
grexamg-1turno-2023,TJwptQZM7v8,11,595227
vasxgoi-1turno-2023,JqBorEKVev8,11,349321
corxint-1turno-2023,qj9AN1PEiG4,11,189374
cuixbot-1turno-2023,mB2lDn43xRs,11,265497
braxfla-1turno-2023,2S-m_HySl04,11,1356562
capxcor-1turno-2023,qxNulbdWAvg,12,241351
fluxbah-1turno-2023,vH0q9g5CA8g,12,485351
forxcam-1turno-2023,h9HlsKo1vRo,12,457504
cruxsao-1turno-2023,ql__UfFI0jU,12,708880
palxbot-1turno-2023,rxnFFj8pxXU,12,976947
grexcor-1turno-2023,754NaPM6xxc,12,732506
amgxint-1turno-2023,jusoT-jenSQ,12,269872
sanxfla-1turno-2023,5FXvX2mPjP0,12,1453486
braxgoi-1turno-2023,9faykKm-NNo,12,96082
vasxcui-1turno-2023,qkwZ9LlhqII,12,542538
saoxflu-1turno-2023,OtJbR5NLgJ4,13,1018310
flaxfor-1turno-2023,rxUzegPiKYM,13,1602075
bahxgre-1turno-2023,aNusHZp-F7s,13,617460
intxcru-1turno-2023,lsbwNZGBNJs,13,273964
corxbra-1turno-2023,2mvyQ2ozRTA,13,541264
camxamg-1turno-2023,OYSv4ocKJes,13,443838
capxpal-1turno-2023,esOxZyD0Yxo,13,571932
botxvas-1turno-2023,GwD4J7d6mLw,13,689634
cuixsan-1turno-2023,kjzwhedD_9U,13,288884
