id,num_comments
MSPic_A3H-o,428
pOcFt9vupV8,259
0EAw5LZQ7sE,1040
FRisKPSITJY,1011
x3Ejm712UMc,1079
2OklvldSx38,1167
h7D2aA6ysWA,303
awIuYMHgibs,3561
IvJ0xO2mO7s,1550
Dij69oqRjN0,1290
AzAXikPgq2o,243
6ps0T5JSPNE,678
iInEHMvmC8Q,1223
KjuSVZYLNps,542
r2zCe5o2BY4,861
90_gjSRSC6A,599
K8e7H62mMN8,1795
Y9DcfdXCElQ,1804
qcA7JDX5JdQ,500
PjI4thS_vTA,189
kUkSxhgl3hY,1305
HdB2S-NR_MU,645
ms8xRdUZgTU,1357
4ao9KTVqbJQ,452
aTEBi6DKrQc,117
RFVt3Mhe0Dw,329
sf3oAmd27B8,2051
CCip_i7qOeU,4807
azB3AcUaOFY,1630
uDqXgo7FLCA,81
97LUIFAQNUQ,187
jdjnRyZ5e3I,606
YjRLrLDsiZw,325
zZjRSUmSttI,895
LfhlXBXEXI8,1134
xdGBb3xmn3Y,663
fY-qNT74i_I,579
Ulr4P2b_dig,1199
1ii8D5XY5-U,156
yFIHrJr1urc,308
wpCFDM2cP3c,1019
o2W88T4cONc,750
FY-I7FD_gvI,1406
ePrNk6hVl60,3710
OzpLObmZx7c,2171
6gs5EP-bk7k,614
COnQkK_1xI0,207
YtCePnmUX0c,750
fQkGK0tiLBs,934
64qsfn9vZQU,881
XobM5Vbw4cQ,1318
l0JIzl94sKQ,1207
gz4vImf_MoQ,2036
ZdVcdAL0qtA,451
UUiO1YiAc2k,1041
MRSUbchlxIA,718
hWTYFVNcO4g,314
a82-AK_kzMo,332
bIU2_RJ6aKs,745
bnh_owfBWhc,75
LQvTmPQG93c,559
XJ794NAAh9A,1877
L6KWS7wn_lA,624
OXe474Zd7RU,2381
R3KXD1ni4ZI,786
i0eR5zrukGo,833
51oD-ZK9mDg,835
P71Xfi5kA5g,545
7f52jm54W5U,260
SGZQEyu6C3o,2175
TvVaGfWpE2I,1083
zQ5nGlFGFRc,650
ATn1RLbACU8,1719
P4VCqtJBZ-w,1118
dUr7ykV92L4,1604
uRZTWJtsSmA,282
zFQKsTpY4a4,701
2tDZcs_wWlU,196
5LhzbPyhZ8c,90
NoC_-wM_LJQ,1653
R8Nd42RBaoQ,1646
H-EOwRaCIC0,1316
6mMoljMNoLg,150
npM1UQ7aVP4,462
h5dSNaMGO08,118
E_6rKsMJ3xo,2760
M9WdRzYdurA,440
ZN8FtrEnfyM,967
k8Th3G6QiJc,504
Q1u7XzbqQ1g,136
IQsaRIGm8_k,634
ryRPeeIB59k,302
GwRDfG2VMAc,177
Ir9Rom4Z_9I,1044
dMLOQjZbWbo,531
kmM8BVh3oFg,1106
Xkkwqt1xXPo,1124
BljnTSYeKdA,1207
3YJgpOjqg8s,379
cJ7m3vg9tpM,1277
dKPro0ejw18,173
FsKOubl-qhI,1273
QQnxz8pSzHw,1103
gM7gQkQrWco,896
l4zalgSV9ec,1246
OefMLbXXpes,3360
fbnaFzlSWI0,215
F7g1pv5_I3I,2029
7qGGVdlUiHkl,1236
T86F4acM4p8,428
YaXSQWnP0yw,287
ZR6_Al5Mr1A,1617
bXLFmtUhOoA,554
ku3NFL9kjrI,919
2coas3SXGWY,574
84ecGme8Pqk,1351
TTWo4tJ0jZE,803
gvj3p7g6Zzk,506
4_CZsKOhbe0,2042
HzAvAP1d6Ag,694
jxxMKbELuN0,4546
Xpp_xx8dUA4,220
0vSPbI4xfOE,1799
kkV2D9_i_HE,210
JygD-xd_Kyo,1068
0m5LfTQHTA8,571
ZAzOCSoyBbU,289
Hd7Ck6RfCRU,1835
p7Hs10bLY68,1195
i8p_rAJ-rvA,780
svvVhAmCv7g,2017
QZgh9R391lI,178
OMans9_MZ2c,990
Jud3ag2RnRs,1425
5UqMpJamTHU,299
MxgRGemQL4Y,518
y1p9sqMxmtA,166
7z0kV-OWtlcl,4071
2IwqIldp338,501
o8Ky8sgyWmw,1553
QYc4bSwOQ38,2516
R_mkStueuMQ,363
0V09LXLzg7g,409
mqZaNRhVplw,6192
wNFz6akXBYw,946
ojujZqGL14E,861
t2HnSQmTCgY,227
O0zEdroA-XI,174
tPG9Wf6X_RE,125
jF3soAVwBtI,917
rlA-qFaMYNU,3772
u0lYbW0Gr1A,1524
Mv9duojMMiM,473
cCXRh5gHxhY,3957
Ee-G_I8aMTE,1259
C1GJiRkQSyE,126
KvhH2Cj-ecw,115
fENVMErphCk,304
YLzvgahYH8A,1495
xyN_wiHEimU,86
xmUydTb7muU,323
4z_4jJs7Xt0,405
EQZrNHIuF3w,1763
yQ6scJqcmoc,1383
RlilubciJDg,2954
U7RmcgkBxAM,1522
KvRTjzFHhpA,1383
