id,rodada,num_comments,views
MSPic_A3H-o,38,428,126277
pOcFt9vupV8,38,259,124890
0EAw5LZQ7sE,38,1040,422057
FRisKPSITJY,38,1011,480057
x3Ejm712UMc,38,1079,311885
2OklvldSx38,38,1167,841501
h7D2aA6ysWA,38,303,144829
awIuYMHgibs,38,3561,1564689
IvJ0xO2mO7s,37,1550,660283
Dij69oqRjN0,37,1290,796078
AzAXikPgq2o,37,243,83892
6ps0T5JSPNE,37,678,567736
iInEHMvmC8Q,37,1223,519490
KjuSVZYLNps,37,542,165893
r2zCe5o2BY4,37,861,679543
90_gjSRSC6A,37,599,412536
K8e7H62mMN8,37,1795,684155
Y9DcfdXCElQ,36,1804,806993
qcA7JDX5JdQ,36,500,335003
PjI4thS_vTA,36,189,126746
kUkSxhgl3hY,36,1305,599008
HdB2S-NR_MU,36,645,329812
ms8xRdUZgTU,36,1357,1021344
4ao9KTVqbJQ,36,452,230315
aTEBi6DKrQc,36,117,63143
RFVt3Mhe0Dw,36,329,138578
sf3oAmd27B8,36,2051,1191011
CCip_i7qOeU,35,4807,3027642
azB3AcUaOFY,35,1630,1071863
uDqXgo7FLCA,35,81,47056
97LUIFAQNUQ,35,187,75866
jdjnRyZ5e3I,35,606,318391
YjRLrLDsiZw,35,325,127518
zZjRSUmSttI,35,895,408159
LfhlXBXEXI8,35,1134,1010593
xdGBb3xmn3Y,35,663,450031
fY-qNT74i_I,35,579,334181
Ulr4P2b_dig,32,1199,329131
1ii8D5XY5-U,34,156,116588
yFIHrJr1urc,34,308,170545
wpCFDM2cP3c,34,1019,742136
o2W88T4cONc,34,750,380338
FY-I7FD_gvI,34,1406,955666
ePrNk6hVl60,34,3710,2662077
OzpLObmZx7c,34,2171,1808747
6gs5EP-bk7k,33,614,217752
COnQkK_1xI0,33,207,116383
YtCePnmUX0c,33,750,237405
fQkGK0tiLBs,33,934,551736
64qsfn9vZQU,33,881,513127
XobM5Vbw4cQ,33,1318,880871
l0JIzl94sKQ,33,1207,1162142
gz4vImf_MoQ,33,2036,1200267
ZdVcdAL0qtA,33,451,191535
UUiO1YiAc2k,29,1041,859451
MRSUbchlxIA,32,718,432135
hWTYFVNcO4g,32,314,131905
a82-AK_kzMo,32,332,244509
bIU2_RJ6aKs,32,745,301752
bnh_owfBWhc,32,75,55470
LQvTmPQG93c,32,559,429512
XJ794NAAh9A,32,1877,968992
L6KWS7wn_lA,32,624,419055
OXe474Zd7RU,32,2381,2082497
R3KXD1ni4ZI,31,786,494491
i0eR5zrukGo,31,833,715754
51oD-ZK9mDg,31,835,491132
P71Xfi5kA5g,31,545,162243
7f52jm54W5U,31,260,178994
SGZQEyu6C3o,31,2175,549180
TvVaGfWpE2I,31,1083,521851
zQ5nGlFGFRc,30,650,297851
ATn1RLbACU8,30,1719,1256261
P4VCqtJBZ-w,30,1118,641780
dUr7ykV92L4,30,1604,716042
uRZTWJtsSmA,30,282,145637
zFQKsTpY4a4,30,701,457490
2tDZcs_wWlU,30,196,117270
5LhzbPyhZ8c,30,90,74978
NoC_-wM_LJQ,30,1653,907807
R8Nd42RBaoQ,29,1646,1007613
H-EOwRaCIC0,29,1316,1332025
6mMoljMNoLg,29,150,109024
npM1UQ7aVP4,29,462,155539
h5dSNaMGO08,29,118,90547
E_6rKsMJ3xo,29,2760,3207508
M9WdRzYdurA,29,440,164644
ZN8FtrEnfyM,29,967,716070
k8Th3G6QiJc,29,504,284632
Q1u7XzbqQ1g,28,136,114347
IQsaRIGm8_k,28,634,194111
ryRPeeIB59k,28,302,99634
GwRDfG2VMAc,28,177,77179
Ir9Rom4Z_9I,28,1044,988578
dMLOQjZbWbo,28,531,282716
kmM8BVh3oFg,28,1106,948817
Xkkwqt1xXPo,28,1124,1016660
BljnTSYeKdA,27,1207,495895
3YJgpOjqg8s,27,379,287496
cJ7m3vg9tpM,27,1277,886912
dKPro0ejw18,27,173,100704
FsKOubl-qhI,27,1273,535867
QQnxz8pSzHw,27,1103,724405
gM7gQkQrWco,27,896,427297
l4zalgSV9ec,27,1246,511087
OefMLbXXpes,26,3360,1132469
fbnaFzlSWI0,26,215,109954
F7g1pv5_I3I,26,2029,957119
T86F4acM4p8,26,428,129586
