text,time,votes,replies
"Olha a 💣 do Hulk! Galo conquista sua primeira vitória no campeonato!
 E ai, curtiram a 2ª rodada do Brasileirão?",há 3 anos,129,20
Hulk monstro!,há 2 anos,0,
É campeão!,há 2 anos,0,
Bora Galo,há 3 anos,0,
Só vi o Atlético jogar,há 3 anos,0,
Um luta pelo título (Atlético) outro pra não cair (Sport) já rebaixado,há 3 anos,0,
Me lembro das palavras do Jaéci carvalho pedindo a recisão contratual do Hulk!😂😂😂,há 3 anos,0,
GALOOOOOOOOO 🐓🐓🐓🐓🐓,há 3 anos,0,
"Dodo e Mariano, dupla de laterais q sempre quis no meu clube",há 3 anos,1,
"É incrível como só mostram os melhores momentos dos times do sul... Teve uma bola do Júnior Tavares de falta que quase que era no L, e eles se quer mostraram o lance, entre outros que tiveram... Isso faz o jogo parecer mil vezes pior para o sport do que realmente foi.",há 3 anos,2,
Timaço esse do 🐓,há 3 anos,1,
Time do Galo tá bonito de ver jogar!,há 3 anos,1,
"Primeira vez que vejo um jogo na ilha do Retiro com gramado bonito, há muito tempo não assistia jogo neste estádio, lembro que era sempre horrível jogar aí.",há 3 anos,0,
Parabéns pelos 1m,há 3 anos,0,
"se o hulk meter chute de fora da area o jogo  todo esquece
vai ser artilheiro do br
so com gol de fora da area",há 3 anos,1,
"Esse Hulk tem um chute forte , não deu nem pra ver a bola na falta kkk",há 3 anos,1,
"Esse paulada do Hulk na falta , não ter entrado é um crime kkkk",há 3 anos,3,
"Não mostrou replay do gol
Só por isso não vou dar gostei",há 3 anos (editado),0,
hulk  é  sinistro,há 3 anos,1,
O clube patético Mineiro ganhou kkkkkkkk,há 3 anos,0,
paldiabo não tem mundial,há 3 anos,5,
"(GE)   ME  RESPONDE, FLACU  TEM MUNDIAL?",há 3 anos,9,
"Só teve jogão
3X3
4X3
5X1",há 3 anos,9,
Quero saber a onde se localiza o estádio da flacachorra,há 3 anos,7,
 @varmidiaquetomade4issoefla299  Inter kkjjj cincun,há 3 anos,3,
" @ianhenrique7043  se localiza em lugar nenhum, já que Flamengo não tem Estádio,e nem vem falar do Maracanã,o Maracanã é do Fluminense",há 3 anos,4,
 @varmidiaquetomade4issoefla299  meu time nunca tomou cincun de ninguém 🤭🤭 respeita aqui e o maior do Sul 🤭🤭🤭🤭 fregues,há 3 anos,4,
" @luffymodz5761  já sim,pelo Inter kkkkk",há 3 anos,4,
Parabéns Galão Malvadão Maior de Minas Campeão da Libertadores de 81 Terror do Flamídia sem teto,há 3 anos,2,
 @varmidiaquetomade4issoefla299  ala o mlk curte o próprio comentário KJJKKKKK nem discuto bro,há 3 anos,1,
Bateu 1 milhão de escritos 👏🏼👏🏼🎉,há 3 anos,2,
Cade pênalti do sporte meno do Nordeste,há 3 anos,1,
 @varmidiaquetomade4issoefla299  acabou Jéssica???,há 3 anos,2,
 @varmidiaquetomade4issoefla299  Você só comenta pra criticar...vai pro inferno,há 3 anos,1,
 @varmidiaquetomade4issoefla299  você é doida..vai pra merda 💩,há 3 anos,0,
 @varmidiaquetomade4issoefla299  não vou perder tempo,há 3 anos,0,
 @varmidiaquetomade4issoefla299  E não adianta falar mais nada...que eu não vou responder,há 3 anos,0,
 @varmidiaquetomade4issoefla299  Aliás nem vou ver,há 3 anos,0,
A diferença de quem joga na Europa e de quem joga no Brasil...que jogador hoje da uma pancada dessa de fora da área?? Sem esforço? Marinho talvez...nem neymar tem essa impulsão....lembro Adriano e a canhota,há 3 anos,0,
" @varmidiaquetomade4issoefla299  falou aquele q toma de 4x0 pro galo,4x1 pro são paulo,flacu sem mundial e sem estadio👍",há 3 anos,0,
GE conseguiu 1 milhão de inscritos pra homenagear os 1 milhão em dívidas do cavalo paraguaio chamado Atlético mineiro.,há 3 anos,0,1
Time perde muito gols,há 3 anos,1,
Sou flamengista mas o galo tem que fazer ums gols,há 3 anos,1,
Assisti esse jogo.,há 3 anos,0,
1:14,há 3 anos,1,
Hulk depois que cortou o cabelo voltou a jogar bem kk,há 3 anos,1,
"Tinha q ser convocado no lugar do gabigol,mt mais experiente",há 3 anos,0,
"Famoso fogo de palha, anos e anos é assim",há 3 anos,0,
"Esse Natcho Fernandes joga muito, está em todas as partes do campo,nao machuca nem cansa.",há 3 anos,3,
Se não for se essa trave era empate,há 3 anos,0,
Que melhores momentos clubista.... só mostra chutes do atlético 🤮🤮,há 3 anos,0,
"parabéns ao flamengo, 125 anos sem um estádio e tri tapetão 95 , 02 e 13! vascão continua sendo o maior do rio😍😍",há 3 anos,1,2
"Hulk: Eu preciso de mais tempo de jogo
É ele estava certo, o Cara está resolvendo para Atlético, não tiro os méritos dos outros jogadores do seu lado mas no final é o Hulk que está fazendo os gols.",há 3 anos,5,
"Torço pro sport sabia que iria perder








Hulk tem 300 kg pé rapá",há 3 anos,0,
"Eu só vi melhores momentos do Atlético,ou é impressão minha? KKKKKKKKKKKKKKKKKK",há 3 anos,1,1
