text,time,votes,replies
"E aí, torcedor?
O que achou da virada do Cuiabá?",há 3 anos,184,38
ZhysysywywywywywAnbahaha,há 2 anos,0,
Vgg7uu,há 2 anos,0,
2qw22qqqqq,há 2 anos,0,
Ñ era o Walter ainda né?,há 2 anos,0,
Cuiabayern tá foda ;),há 2 anos,1,
Com esse elenco que !  A chape  não vai muito Longe,há 2 anos,0,
Triste ver a chape nessa situação velho😪,há 3 anos,0,
Ignacio i love  best player,há 3 anos,1,
"Gol no último minuto de partida é de cabeça,  já vi isso antes kkk",há 3 anos,0,
"2:31 eu vi um gol igual em algum lugar
O John ficou parado",há 3 anos,0,
Walter faz um falta pro Cuiabá kkkk,há 3 anos,0,
Puts não é por que é mulher não até por que o mundo é delas mais a narração é muito fraquinha,há 3 anos,0,
"PRIMEIRA VITÓRIA NA HISTÓRIA DA SÉRIE A

QUE JOGO MEUS AMIGOS, 3X2 CONTRA A CHAPEquena

O MEU CUZÃO É GIGANTE",há 3 anos (editado),0,
Arruma um telejornal pra essa mulher apresentar,há 3 anos,0,
Os goleiros deram uma boa ajuda para esse placar kkk,há 3 anos,0,
NÃO OLHE MEU NOME,há 3 anos,0,
Boa noite pessoal,há 3 anos,0,2
Parabéns cuiaba,há 3 anos,0,
Narração 👎,há 3 anos,0,
Bom,há 3 anos,12,
CORINCÚ NANICO SEM ESTÁDIO,há 3 anos,3,
Bom demais,há 3 anos,3,
Essa narradora aí é fim de carreira,há 3 anos,17,
Chape vai brigar pra não cair,há 3 anos,1,
"Gostei, o clube tem que ficar na série A.. gosto do Cuiabá",há 3 anos,18,
Vasco menor do Brasil ok?,há 3 anos,7,
Chape fica em 14 por aí,há 3 anos,4,
 @killzardgameryt9685  so entende de lbff pois o seu comentário foi A-N-U-L-A-D-O,há 3 anos,3,
 @independientemaiordomundo7030  fds,há 3 anos,4,
" @independientemaiordomundo7030  A Chapecoense Já Caiu O Time E Muito Ruim O Jair Ventura Pra Mim E Um Dos Menos Culpados Acho Que Nem Se Botar O Luxemburgo O Guardiola Kloop Evita O Rebaixamento
Chapecoense E Cuiabá Vão Ser Os Primeiros Rebaixados Nesse Brasileiro",há 3 anos (editado),2,
FLABUNDA CONTINUA SEM ESTADIO,há 3 anos,3,
 @willianguimaraes1151  calado sem foto,há 3 anos,1,
"( ferroviário, cabo de st. Agostinho, pe. Brasil. Fbastos, rua 38 cohab, alô rapaziada vamos ver velho, )",há 3 anos,0,
Cuiba nao desistiu e conseguiu a Vitória,há 3 anos,2,
Agora tá faltando torcedor como na Europa!,há 3 anos,1,
Fora Bolsonaro Pilatra chefe das rachadinhas corrupto.,há 3 anos,2,
💚,há 3 anos,3,
"Acho que o grupo Globo deveria respeitar o torcedor. Admiro e respeito o direito da mulher em se inserir no mercado de trabalho, porém não dá, narracão feminina muito ruim. Em alguns momentos é melhor baixar a TV e ouvir no rádio. 
Sei que tem muitas competições femininas: Futebol, vôlei, tênis e tantos outros esportes, então coloquem elas lá. Porém essa narracão feminina é fraca de mais
Bicho, não dá. Além de pagar o Premier que não é barato ainda temos que aturar isso!
Não é nada contra a moça. 
Porém quem se acostumou com Milton Leite, J Junior, EV, Luis Roberto, Luis Carlos Jr, Guga Vilane e Cia limitada, não dá meus amigos. Me perdoem mais não dá. 
Me perdoem pela franqueza.",há 3 anos (editado),3,
"Vejo a Chapecoense, com pouca inspiração quando é mandante, por isso o fato de não ter bom desempenho como mandante. Quem não consegue vencer em casa é forte candidato a rebaixamento. Sobre o jogo foi uma grande partida. Acho que o Empate seria o resultado justo, mas no futebol não tem justifica.",há 3 anos,1,
Sensacional jogaram dms um grande jogo🔰💛💚,há 3 anos,4,
"Sem contar o nivel dessa narração, que merda, hein! Mulher ruim de narraçao. Assim não dá!",há 3 anos (editado),1,
Bom pro Cuiabá. Esse campeonato tá besta. Perdendo o valor. Melhor campeonato do mundo inglês. Nunca o brasileiro vai chegar perto.,há 3 anos,1,
 VASCÃO MAIOR DO BRASIL  sua conta tem o nome parecido com a minha,há 3 anos,2,
O que achei? Que os 3 primeiros gols foram falhas grotescas dos goleiros kkkkkkkkkkkkkk que drogra essa Chape viu,há 3 anos,0,
Goleiro ruim da chapecoense kķkkkk,há 3 anos,1,
 @user-mu5ho1rs3p  fds?,há 3 anos,1,
 @user-mu5ho1rs3p  FDS?,há 3 anos,1,
 @independientemaiordomundo7030  Menos criança,há 3 anos,0,
Amei estava torcendo muito para o cuiaba ganhar esse jogo e a primeira.. quero que o cuiaba permaneça na série a 👏👏👏,há 3 anos,3,
"Pena que veio justo contra a Chape, primeiro adversário do dourado na triste sula 2016",há 3 anos,2,
 @independientemaiordomundo7030  verdade kkkk,há 3 anos,1,
Bin   mais só  corintiano e tenho  orgulho,há 3 anos,1,
 @killzardgameryt9685   lbff,há 3 anos,0,
"Esses Primeiros Gols
Pelo Amor de Deus",há 3 anos,1,
 @independientemaiordomundo7030  TMNC IDIOTA,há 3 anos,1,
Era os gols ou melhores momentos?,há 3 anos,0,
Virada aos 42° ou mais é emocionante Cuiaba é  minha cidade,há 3 anos,0,
Oi,há 3 anos,0,
KKKKK,há 3 anos,0,
Os goleiros estavam ligadaços kkkkk,há 3 anos,0,
narracao muito ruim,há 3 anos,0,
Primeira vitória do Cuiabá ⚽👏🏼,há 3 anos,0,
Avante dourado...vamos Cuiabá!!!,há 3 anos,1,
"Que narração horrível
Pqp",há 3 anos,0,
aquilo ali é um goleiro?,há 3 anos,0,
Excelente narradora,há 3 anos,0,
Quem disse pra ela que ela tinha jeito pra narradora🤦‍♂️,há 3 anos,0,
"Fica a minha sugestão aqui pra edição dos melhores momentos. Ao invés de colocar comemoração em câmera lenta, reprisem mais vezes a jogada do gol... o segundo gol do Cuiabá foi uma bela jogada mas só mostram a jogada inteira 1 vez. Outro exemplo é o lance de falta que originou o segundo gol da Chape. Como foi? 
Sei que tem que ser vídeo curto mas dá para melhorar.",há 3 anos,0,
Parece um homem não sei se è home ou mulher,há 3 anos,0,
Quantos fundos tem nessa rede que a narradora fala?,há 3 anos,0,
"Esses Primeiros Gols
Pelo Amor de Deus",há 3 anos,1,
Boa sorte meu Cuiabá,há 3 anos,2,
Isso Cuiabá,há 3 anos,0,
"Aki é Galo 🐓
Na torcida pelo Cuiabá permanecer na série A",há 3 anos,2,
Slk show de frangos 👏👏,há 3 anos,1,
Mais facil a chape cair do que o Cuiabá,há 3 anos,1,
João Carlos caiu muito depois de Walter,há 3 anos,0,
"Que falta de vergonha do time do Galo (Atlético Mineiro), que não conseguiu superar essa mesma Chapecoense.",há 3 anos,0,
Essa mulher tá ficando mt boa na narração,há 3 anos,0,1
"Para né 
Q merda né narração 
Só pq é mulher não pode falar a vdd agora?",há 3 anos (editado),0,
Só esse clayson que não faz gol só ó meu Bahia pra comprar essa carniça,há 3 anos,1,
Vocês ja agradeceram a Deus hoje por essa narradora não narrar jogo do seu time?😂😂,há 3 anos,1,1
ניצחון ראשון בסריה א לקואיבה יפה מאוד,há 3 anos,0,
"Jogo bom,mas a narração  é de chorar...",há 3 anos,1,1
É brincadeira como esses goleiros levaram esses primeiro gols kkk,há 3 anos,0,
"Essa narradora chama gol, só falta aprender a narrar melhor, emoção zero",há 3 anos,0,1
"Narração paia do caralho,ninguém merece mulher narrando, sou machista mermo, mulher que mulher tem se impor no seu lugar",há 3 anos,0,1
Essa mulher nara ruim viu tu e doido,há 3 anos,0,
Jogo emocionante mas quem tempera com mais emoção é essa narradora fenomenal.,há 3 anos,0,2
Esse Elton e foda artilheiro nato,há 3 anos,1,
CUIABÁ 18/07/2021,há 3 anos,0,
Melhores momentos ou só gols ? Cada vez mais esses caras tem preguiça de postar um vídeo de verdade de melhores momentos,há 3 anos,1,
"PORQUE ALGUNS MELHORES MOMENTOS DE OUTROS TIMES NÃO COLOCAM A NARRAÇÃO COMPLETA DO GOL, ELES CORTAM O GRITO DO GOL??",há 3 anos,1,
"Que jogão                               .      .................,.................................................................................................................................................................................................................. só....................................................que .............................................................. não",há 3 anos,1,
"Dois goleiros fraquinho em, coitada da chape nunca mais foi a mesma",há 3 anos,0,
Esses goleiros parecem que estavam jogando uma pelada de fim de semana kkkkkkk,há 3 anos,2,
Chape +3 pro rebaixamento !,há 3 anos,0,
"GEUVANIO, deitou no SANTOS, foi pra fora voltou pro FLAMENGO e ATLETICO e hj ta na chapecoense e eu nem sabia kkkk QUI FASEEE",há 3 anos (editado),0,
