text,time,votes,replies
"Aquela partida 🥱
E vocês o que acharam?

🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,38,8
Cuiabá vai ganhar do Corinthians,há 2 anos,0,
Cuiabá rebaixa a chapercoense para sere b,há 2 anos,0,
O zero e um o krl lkkkllkkkkk,há 2 anos,0,
Flacúzao sem estádio e mundial,há 2 anos,0,
"Alguma mina solteira em Cuiabá ou VG, afim de 53X0 sem moage, só bora!",há 2 anos,0,
Goleiro da chape foi bem!! Infelizmente vão pra série B.,há 2 anos,0,
Os cara perdi gol de mais,há 2 anos,0,
"TIME INCOMPETENTE ESSE CUIABÁ  , ERA SÓ GANHAR E LUTAR POR VAGA NA LIBERTADORES  , SONHA PEQUENO DEMAIS",há 2 anos,2,1
"Cara, que jogador ruim esse do último lance... Só precisava acertar o gol que droga!",há 2 anos,0,
O gol que osman perdeu tá louco,há 2 anos,0,
"Primeiro tempo do Cuiabá foi muito ruim , na 2 etapa melhorou,  mas as finalizações foram  horríveis,  Osman poderoso Osman como sempre não consegue  fazer 1 gol, nem contra o poderoso Brasiliense ele fez, ontem cabeceou sozinho , ele e o goleiro  , e todos sabe o que aconteceu né,  ano que vem,  tchau Osman , muito fraco pra jogar 1 série A.",há 2 anos,0,
Jogaço,há 2 anos,0,
"Se Não Fosse Esse Excesso de Empates,o Cuiabá Estaria No G4",há 2 anos,0,
Jogo mais feio que encoxar a tia no tanque,há 2 anos,1,
"Da Até Um Arrepio Lembrar Que O Marquinho Jogava Bola Comigo Na Quadra, E Ver O Menino Hoje Nesse Nível É Incrível, Deus Te Abençoe Irmão ❤️",há 2 anos,2,2
"Times como Cuiabá, Chapecoense, Fortaleza, atlético-GO, América-MG desempenha um papel muito importante na série A em função de destacar alguns jogadores pra times com uma situação financeira melhor comprar.",há 2 anos,10,
Como vamos chegar em algum lugar empatando em casa com a chapecoense,há 2 anos,0,
So um aviso pra quem n assistiu essa partida vc n perdeu nd,há 2 anos,1,
Na moral essa narradora é muito ruim tá loco,há 2 anos,0,
Oi ge,há 2 anos (editado),3,
Chapecoense vai ser campeã Brasileirão,há 2 anos,0,
"As duas equipes jogaram bem, jogo bom",há 2 anos,0,
As duas equipes foram bem ge,há 2 anos,1,
ESSA TV É SACANA NÉ PQ VOCÊS NÃO MOSTRARAM AQUELE LANCE NA ÁREA A FOVOR DO CUIABÁ POR ISSO Q MUITA GENTE FALA Q VOCÊS SÃO LIXO,há 2 anos,4,
 @StevenGamer2024  para de colocar nome de deus,há 2 anos,0,
 @StevenGamer2024  não pode fica colocado nome de deus no jogo não,há 2 anos,0,
"Alguma mina solteira em Cuiabá ou VG, afim de 53X0 sem moage, só bora!",há 2 anos,0,
"Chape pura retranca, ate o Corinthians teve dificuldades, mas não contavam com o R. Guedes 123",há 2 anos,0,
Vc tem quantos anos,há 2 anos,0,
qm é esse ?,há 2 anos,0,
O zero ta O NO PLACAR KKKK,há 2 anos,2,
Esse Cuiabá é foda ganha do bragantino e enpata com a chape lanterna  dentro de casa..isso não Cuiabá éra pra ter ganhado de 5 a 0,há 2 anos,0,1
Só deu verde,há 2 anos,0,
"O Cuiabá só está com 39 pontos por causa do goleiro Walter. Se não fosse as ótimas defesas dele o time estaria entre os 4 últimos.Veja nos últimos 5 jogos o time só marcou 3 Gols e um deles foi do próprio Atlético MG que fez contra.
Esse ataque é MUITOOOO RUIM.",há 2 anos,3,1
Melhores momentos de quê?,há 2 anos,0,
Esse keiler é muito bom goleiro,há 2 anos,1,
"Q agonia ver a chape jogar, nunca vai pra cima ou tenta só segura empate da uma raiva.",há 2 anos,5,
Essa chape vai ganhar do varmengo,há 2 anos,0,
"Q mulher chata narrando,estraga qualquer jogo",há 2 anos,0,
Jogo de gente grande,há 2 anos,0,
"incrível, max jogando bem no Cuiabá e o flamengo tendo de usar Rodinei de ponta direita. É amigos, isso é flamengo.",há 2 anos,4,1
Boring game no fun,há 2 anos,0,
"Até hoje me pergunto, como esse time do Cuiabá conseguiu está entre os dez primeiros colocados rsrsrs",há 2 anos,10,4
Narração ruim.,há 2 anos,0,
"Melhor manter estádios vazios, se para ver esses jogos.",há 2 anos,1,1
Que narração horrível!,há 2 anos,0,
"O garoto foi estuprado, esganado e morto. E a globo transforma o assassino em vítima da sociedade. E por isso a globo foi condenada em R$ 150 mil em danos morais. 
Pessoal, vão estudar, cuidar do trabalho, da família, larguem essa emissora que só exalta o que não presta!",há 2 anos,0,
"Horrivel esses dois time,pramim os dois deveria ir pra segunda divisao.",há 2 anos,0,2
"Cuiabá perdeu a chance de romper a casa dos 40 pontos. E seguir mais tranquila rumo a manutenção do time na série a. Agora com 39 pontos, ainda faltam 6 pra confirmar o time na série a'22",há 2 anos,37,8
Incrível como esse time do Cuiabá joga pelo empate ou por 1 a 0,há 2 anos,0,
"psé, isso é o tal do futebol mermão",há 2 anos,1,
"não vai se alegrando, por que ele já ta sendo cotado pra voltar 
ao sccp",há 2 anos,0,
Quem iria adivinhar que todos os jogadores iriam se machucar né,há 2 anos,0,
Jogando futebol,há 2 anos,5,
" @PauloCesar-hz1tm  Não, não tá jogando nada. Dos últimos 5 jogos o time só marcou 2 gols. Graças ao goleiro Walter. Não fosse as ótimas defesas dele o time estaria entre os 4 últimos.",há 2 anos,3,
 @amarildoalmeida9106  imagina c tivesse jogando e outra goleiro tá lá pra q? Não ligamos pra criticas estámos bem pra quem nunca disputou estámos ótimo o Resto é só bla bla bla,há 2 anos,0,
sorte de principiante kkkk,há 2 anos,0,
Cara fica em casa po,há 2 anos,0,
O seu time q tem q ir imbecil,há 2 anos,0,
xiu TRI rebaixado,há 2 anos,0,
O Cuiabá precisa de dois atacantes que tem prazer em fazer gols como o Léo Gamalho do Coritiba ou como o Edu do BRUSQUE que sozinho fez 60 por cento dos Gols do seu time na série B.,há 2 anos,3,
" @amarildoalmeida9106  vdd viu, 1:55 um cara perder um gol desse é complicado.",há 2 anos,1,
" @felipekbf  O Cuiabá só está com 39 pontos graças ao goleiro Walter.
Dos últimos 5 jogos o time só marcou 2 gols. É muito pouco. VI o salário que esses caras recebem é muito pra não fazer nada. O Vitorino é o Chapa aqui no distrito Industrial. O cara descarrega uma carreta pra ganhar 300,00 reais.",há 2 anos,3,
 @amarildoalmeida9106  e agora vai enfrentar um adversário direto e muito complicado,há 2 anos,3,
"Acho que o corte esse ano sera 42 ou 43
Com a iminencia do g9, times de meio de tabela vao brigar por algo ate o fim",há 2 anos,1,
 @galeragames2807  verdade.,há 2 anos,1,
Ainda mais daki para frente que vai pegar só predeira,há 2 anos,1,
 @amarildoalmeida9106  Uma diária ganha 300$ Conto?,há 2 anos,0,
Bom resultado pra Chape,há 2 anos,1,
Quem perdeu foi o futebol.,há 2 anos,0,
"Espero ver o Keiller em um time melhor ano que vem.
Bambis, Sport e até no Timão",há 2 anos,1,3
Os inimigos do gol,há 2 anos,0,
Pq que o video tem 3:20 ? KKKKK,há 2 anos,1,
FAMOSO JOGO Q NGM LIGA,há 2 anos,0,
Venceu quem tem MUNDIAL da FIFA 😎🇦🇹,há 2 anos,3,4
"Arrependam-se e creiam no Evangelho, aceitem Jesus Cristo como Senhor e Salvador em seus corações, creiam Nele, Jesus Cristo morreu pelos nossos pecados para nos salvar e nos dar a vida eterna.",há 2 anos,2,
Maior clássico do futebol Nacional 👏👏👏,há 2 anos,1,
"parecia um jogo da champions, entre Bayer x psg , com narração do André",há 2 anos,0,
Como acharam melhores momentos desse jogo?,há 2 anos,17,1
Cuiabá demostra nesse campeonato que um bom planejamento pode ser o diferencial mesmo não tendo um elenco tão bom.,há 2 anos,46,3
"No título tá um ""O"" de vez um ""0""",há 2 anos,0,
"Muitas chances perdidas pelas duas equipes. Era pra ser um jogo de muitos gols. Pro Cuiabá não muda muito, continua vivo na briga por uma última vaga na Libertadores - que será G-8 ou G-9. Pra Chape, é apenas mais um alento de não ser uma derrota, já que ela só vem cumprindo tabela.",há 2 anos,11,1
Venceu o melhor,há 2 anos,0,
Narração ruim,há 2 anos,1,
AHHHHH MINHA CHAPE PORQUE VOCE FAZ ISSO COMIGO?,há 2 anos,1,
Narração cansada,há 2 anos,0,
Porra dourado empatar com a chape ñ dá,há 2 anos,0,
Max pego a 10?😲,há 2 anos,0,
Ele é do inter,há 2 anos,1,
" @pac3572  Ano que vem vai pra outro time, espero!",há 2 anos,0,
 @ericos9  fica no meu inter,há 2 anos,0,
Venceu quem não tá a quase 50 anos sem Brasileirão,há 2 anos,0,
kkkkk,há 2 anos,0,
" @varmidiaquetomade4issoefla299  tinha q ser mulambo, como ta mais se o Cuiabá só tem 20 anos",há 2 anos,0,
" @varmidiaquetomade4issoefla299  Mundial tá aqui na sala de troféus, tá bem guardada obrigado pela preocupação",há 2 anos,0,
Né,há 2 anos,0,
"Esse ano eles tem um monte de jogador emprestado, principalmente do Timão.
Ano que vem eles caem",há 2 anos,0,
" @ericos9  Exatamente, não gastou nenhum centavo em contratações kkkk Isso se chama planejamento já que pra um time pequeno que veio da série B não é recomendado sair gastando.",há 2 anos,8,
"Exatamente, não adianta ser igual meu Grêmio, que tem um puta elenco e um péssimo planejamento",há 2 anos,0,
Não vai pra Libertadores nunca empatando com um time ja rebaixado dentro de casa,há 2 anos,0,
Cuiabá vacilou dentro de casa sem comentário,há 2 anos,0,
Gente tenho 11 anos trago edits da série b Série A E champions league e muito mais dao uma passada la,há 2 anos,0,
Que Deus nós abençoe sempre❤🙏🙌,há 2 anos,23,
São Paulo agradece,há 2 anos,3,1
o zero e um o nao um zero,há 2 anos,0,
A chape só pode chegar aos 39 pts agora,há 2 anos,1,
Esses 3 pontos contra a Chape vão fazer falta ao Cuiabá na busca pra uma vaga pra Libertadores.,há 2 anos,1,1
"""Jogão""",há 2 anos,0,
Por que esse jogo aconteceu agora?,há 2 anos,0,1
Narração chata da porr# deixo logo no mudo. Voz de adolescente.,há 2 anos,1,
Que campanha horrorosa da chapecoense mds😑🙄👎,há 2 anos,0,
"Jogo de merda, pqp
Da até agonia",há 2 anos (editado),0,
"Pessoal fica irritado com clubes menores na série A. 

Vamos abrir a mente galera. Esse mindset fixo sobre os tais 'tradicionais' já não cola mais. Tá feio isso. 

Meritocracia, gestão e eficiência. Clubes menores vão inundar a série A do brasileirão. Olha os tais tradicionais na B, esse ano indo o Grêmio e se brincar, até o Santos. 

Acontece, fazer o que.",há 2 anos,0,1
"Times merd@s, torcida merd@, jogo merd@, narração merd@ e jogadores merd@s",há 2 anos,0,
O futebol perdeu a graça pois quem decide os resultados são as casas de apostas,há 2 anos,0,
Esse keiler vai longe,há 2 anos,2,1
Bora vozao amassa no castelao com 50 mil,há 2 anos,11,2
Se pá a a chape ainda passa o Grêmio na tabela 😂,há 2 anos,3,3
Cuiabá FDP fez eu perde dinheiro,há 2 anos,0,
"O jogo já e feio, e pra piorar  uma Muié narrando. Que merda.",há 2 anos,3,
A copa do brasil não né,há 2 anos,0,
"Só de ser manter na série A , tá de bom tamanho",há 2 anos,0,
coisa da CBF,há 2 anos (editado),0,
"Mas é isso aí brow. 
Top ver isso acontecendo. 
Que não só o Cuiabá. Mas que outros apareceram. Crescam como Bragantino e América MG. 

Alguns tradicionais estão ladeira abaixo. Brasil precisa evoluir. Daqui a pouco nem temos times com nível pra mundial, esperar por esses clubes endividados que só treinam jogadores e depois vendem... quando não servem mais lá fora (europa) aí voltam pra cá.

Os clubes daqui tem que crescer. Segurar bons jogadores e importar outros.",há 2 anos,0,
Concordo  também  eu  acompanho  o futebol  dele  joga  muito  podia  o Palmeiras  contratar  quando  o Weverton  ser aposentar,há 2 anos,0,
Lembrando que torcida não entra em campo Cuiabá gosta assim cala a torcida na casa deles,há 2 anos,0,
"vendendo o ingresso a 2 real é fácil kkkk
Cuiabayern ganha do véio caduco sem títulos de expressão kkkk",há 2 anos,0,
 @varmidiaquetomade4issoefla299  ent se gosta de tomar de 4?,há 2 anos,1,
 @varmidiaquetomade4issoefla299  torce pra q time?,há 2 anos,0,
 @varmidiaquetomade4issoefla299  seu nome diz acontrario kapa kapa dps eu que sou careca,há 2 anos,0,
Tava bom dms pra ser vdd🥲,há 2 anos,2,
