text,time,votes,replies
"Fala, torcedor! 
O que acharam do desempenho dos times??",há 2 anos,53,11
O q o goleiro Santos pega e brincadeira.,há 2 anos,0,
Belo cruzamento pro primeiro gol,há 2 anos,0,
gostei da narração,há 2 anos,0,
GOL DO ASSASSINO MARCINHO ASSASSINO MATOU DOIS IDOSOS,há 2 anos (editado),1,
"O Fernando miguel ficou puto com o cara, mas no segundo gol ele vacilou.",há 2 anos,0,
"Timeco covarde e medriocre esse Atlético go, só joga na retranca , quando tenta jogar pra cima perde!",há 2 anos,0,
Tá ... Porque não pós esse time que ganhou contra o Flamengo? Tô até agora sem entender.,há 2 anos,2,1
"(  ferroviário, cabo de st. Agostinho, pe. Brasil. Alô rapaziada. )",há 2 anos,0,
"Esse Atlético genérico aí de Goiânia é muito fraquinho , nunca vai ganhar nada importante.",há 2 anos,1,
Poodle tá indo bem até 🐩🐩🐩🐩🐩🐩,há 2 anos,1,
"Será que só eu acha que jogo sem narrador não passa tanta animação,  mesmo assim grande jogo do furacão, maior do Paraná.",há 2 anos,0,
Esse time do Atlético-GO é muito estranho faz uma partida boa contra o Fortaleza e perde pro Furacão jogando nada 🤦🏼‍♂,há 2 anos,1,3
0:22 A única coisa que eu vou sentir falta com a volta da torcida: Ouvir os técnicos dando pití na área técnica,há 2 anos (editado),2,1
que pena o atlético go perder um jogo desse depois de uma vitoria espetacular contra o fortaleza,há 2 anos,1,1
Kayzer errou um gol feito quis colocar força era só colocar na rede,há 2 anos,0,
narrador dormiu,há 2 anos,0,
JOGO BOM,há 2 anos,2,
Os 2 gols era defensável. Fernando Miguel muito abaixo,há 2 anos,0,
melhores momentos começa com uma falta!,há 2 anos,0,
O que eu acho é que o FlaBosta não tem estádio,há 2 anos (editado),4,
Equilibrado só que o Atlético paranaese aproveitou mais,há 2 anos,1,
Oque achou da narração,há 2 anos,1,
"Achei q o malvadão, mereceu fazer mais gols.",há 2 anos,0,
"Não posso tirar o mérito do goianiense, mas o Furacão foi mais eficiente.",há 2 anos,2,
Bom jogo do Furacão! O time  titular  pode chegar  longe no brasileirão,há 2 anos,1,
"SE O MEU FURACAO JOGAR IGUAL JOGA NA COPA DO BRASIL E NA SULA , DA TUDO CERTO ✌️😼😼😼😼❤️🖤❤️🖤❤️🖤",há 2 anos,4,
Furacão foi bem demais,há 2 anos,1,
 @danielkonik588  esqueci mlk,há 2 anos,0,
"(  ferroviário, cabo de st. Agostinho, pe. Brasil. Alô rapaziada. )",há 2 anos,0,
Freguesia continua 😂😎😈👍🏽,há 2 anos,0,
Né kkkk,há 2 anos,0,
"Esse timeco retranqueiro e covarde tem q perder mesmo, não fez bom jogo contra o fortaleza , veio para n deixar o fortaleza jogar e teve a sorte de um gol contra e de anularem os gols do fortaleza, tem q voltar pra serie C que é o lugar desse timinho",há 2 anos,0,
O Athletico é maior que esse Fracaleza rapaz.,há 2 anos,3,
Kkkkkkk piada,há 2 anos,0,
Foi o jogador não?,há 2 anos,1,
O Athletico é maior que Fracaleza rapaz.,há 2 anos,2,
Uai não  tem narração?,há 2 anos,0,
"TERANS, assistencia de esquerda, depois gol de direita. SANTOS: monstro FURACAO: a alegria de Curitiba, orgulho do Parana!",há 2 anos,18,
Coritiba lider da serie b,há 2 anos,0,1
Muito bonito o estadio Atletico GO.,há 2 anos,0,
Boa vitória do Atlético paranaense,há 2 anos,5,
"Furacão e foda mesmo, atenção globo , aqui não tem suas vozes , kkkkkkkkkkkkkkkkkkkkkkkkkkkk vai Furacãooooooooooooooooooooo☠️☠️☠️☠️☠️☠️☠️☠️☠️☠️☠️☠️☠️☠️",há 2 anos,5,
Que agonia aos 1:40. Preciosimo puro. Parecia o Arsenal do Wenger dando toquinho pros lados ao invés de meter pro gol.,há 2 anos,0,
Quando se trata de atletico furacão é melhor,há 2 anos,3,
Não consigo gostar desse Marcinho,há 2 anos,0,
Vai furacão 🌪,há 2 anos,2,
0:23 P*RRA RONALD EU TÔ GRITANDO ANTES C*R4LHO  kkkkkkkkkkkkkkk,há 2 anos,2,
"CALMA POPOTY, VOCÊS AINDA VÃO PERDER 17 PONTOS POR ESCALAR JOGADOR IRREGULAR 🤣🍓🍌🍉🍓🤣",há 2 anos,1,
"CALMA POPOTY, VOCÊS AINDA VÃO PERDER 17 PONTOS POR ESCALAR JOGADOR IRREGULAR 🤣🍓🍌🍉🍓🤣",há 2 anos,1,1
"CALMA POPOTY, VOCÊS AINDA VÃO PERDER 17 PONTOS POR ESCALAR JOGADOR IRREGULAR 🤣🍓🍌🍉🍓🤣",há 2 anos,0,
"CALMA POPOTY, VOCÊS AINDA VÃO PERDER 17 PONTOS POR ESCALAR JOGADOR IRREGULAR 🤣🍓🍌🍉🍌🍓🤣",há 2 anos,0,
O dragão é freguês do furacão,há 2 anos,4,
Ótima narração 👍,há 2 anos,1,
Furacão Gigante tá voando 🌪️🔴⚫,há 2 anos,3,
Esse Atlhetico PR é um time bipolar mais tá jogando bem,há 2 anos,44,
Eu Fiquei Preocupado Com a Atuação do Atlético-GO Nesse Jogo;a Postura do Time Foi Totalmente Diferente do Que Se Viu no Duelo Contra o Fortaleza,há 2 anos,5,1
Kkkkkkk p time pequeno isso é histórico,há 2 anos,1,
KKKKKKKKKKKK irmão tu torce pro Bahia olha onde teu time tá piada demais menor do nordeste,há 2 anos,0,
"Claro , aqui ele n quis jogo, é um time retranqueiro e covarde, ainda teve a sorte de anularem os gols do fortaleza.",há 2 anos,1,
"ATLÉTICO MG PRECISANDO DE GOLS:A

DIEGO COSTA NA TAMBENEIO DO ge",há 2 anos,0,
Marcinho assassino,há 2 anos,1,1
0:25 É um baiano? Kkkkkkkkkkkkkkkk,há 2 anos,0,
"Furacão e danado.
Ai galera do bem será que o São Paulino vai ter piedade do Santinho?????",há 2 anos,0,
O Atlético-GO é uma mentira KKKKKKKKK,há 2 anos,1,
Atlético GO é freguês,há 2 anos (editado),5,
Um time próprio não deve satisfação a ninguém  onde o trabalho e levado a sério parabéns atlhetico pr,há 2 anos,11,
"Semi da copa do BR 
Final da sulamericana 
Próximo do G4 no BR
Muito boa a temporada até aqui do meu furacão",há 2 anos,26,4
