text,time,votes,replies
Rogério Correia Narrando Fluminense X Atlético Mg,há 2 semanas,0,
3:02 3:03,há 2 anos,0,
É campeão!,há 2 anos,1,
"Esse foi o campeonato mais roubado da história, o var deu o título para o Atlético.",há 2 anos,0,
"Valeu flu, mas aquele animal perder um gol feito foi horrível",há 2 anos (editado),0,
.,há 2 anos,0,
Reservas Marcos Felipe Lucas claro Samuel Xavier Martinelli Luiz Henrique Gabriel Teixeira casares Jhon Kennedy João Neto Matheus martins,há 2 anos,0,
Meu time seria Muriel Callegari nino Deivid Brás jefter André nonato Yago Felipe Jhon árias caio Paulista e Gabriel martins,há 2 anos,0,
Esse atletico que quer ganhar do palmeiras,há 2 anos,0,
GALO,há 2 anos,0,
O galão uma mania feia faz o gol.e recua time grandes não pode recuar tanto senão e caixa,há 2 anos,0,
O treinado do Fluminense deve se elogiado  tendo um time  regula,há 2 anos,0,
"Era só encobrir hein, Gabriel Teixeira!!",há 2 anos,1,
O LANCE QUE OCASIONOU O PÊNALTI FOI IDENTICO AO DO JOGO ENTRE BOTAFOGO X VILA NOVA. NA OCASIOÃO O VAR NEM CHAMOU. O GE NEM MOSTROU AQUI O LANCE DE FLU X ATL.,há 2 anos,0,
Galo a 6 pontos do vice !,há 2 anos,0,
Sem dúvidas que o Atlético-MG é o melhor time do Brasil hoje !,há 2 anos,2,3
Cara da um chute desses pra fora tá loco depois ruim eo técnico,há 2 anos,0,
"Aquele velho ditado: ""( 2:37 ) Quem não faz, ( 3:01 )  toma"" kkkk;",há 2 anos (editado),1,1
"Que porra essa arquibancada fundos apagada .
Vasco tá falido mesmo",há 2 anos,0,
"Robalheira pra times cariocas, foda",há 2 anos,0,
Flamengo e Palmeiras Riram Disso,há 2 anos,0,
" @GilbertoLuisJunior  os três são os melhores, com o Flamengo um pouco na frente...",há 2 anos,1,
" @GilbertoLuisJunior  cara Nn sou Clubista, mais Palmeiras perdeu a moral nesses Últimos jogos, Perdeu pro Cuiabá, perdeu pro galo, e perdeu pro Flamengo Sem sombra de Duvidas Atlético-MG e Flamengo são disparados os Que Vão Brigar por Titulos, Palmeiras pode ate encostar ali na tabela, mais eu Creio Que so os 2 vão brigar por titulos.",há 2 anos,0,
"Atlético venceu o jogo?
So isso te pergunto",há 2 anos,0,
Jogos que tem penalidades maximas deviram mostrar a falta nos melhores momentos!,há 2 anos,10,
Vixi,há 2 anos,0,
FLU!,há 2 anos,0,
"Poderiam ter disponibilizado o lance que gerou o pênalti! Mas este gol que o Gabriel Teixeira perdeu (2:29) não pode acontecer! Eterno reserva, eterna promessa!",há 2 anos (editado),2,1
Sou grêmista mas eu tava torcendo pro atlético Mineiro,há 2 anos,9,2
golaço,há 2 anos,0,
"Selegalo, o galão tá parecendo jogo de vídeo game , até a defesa só joga bonito. Melhor time disparado do Brasil.",há 2 anos,9,1
Galo na veia,há 2 anos,1,
"Se tevese Marcão contra o Barcelona teria classificado. 
É como sempre Fred fazendo história.",há 2 anos,7,
O Atlético está pecando quando sobe. Está tomando contra ataque bobo. Jogadores estão voltando andando. Te que voltar mais rápido. Está parecendo peladinha em campo de terra em que o jogador até deita depois do ataque.,há 2 anos,0,
e o lance do penalti???,há 2 anos,3,
Texeira! 🗣️Vales verga!,há 2 anos,0,
Eu conheço esse estádio 🏟São Januário!,há 2 anos,2,1
