text,time,votes,replies
"E o Massa Bruta ataca o Tricolor! 
O que tá faltando para o elenco do Felipão?",há 3 anos,210,38
Jhonatan Robert cobrou agora e meteu um golaço parecido kkkk💪🏻✌🏻,há 2 anos,1,1
Se f.... gremio,há 2 anos,0,
GLOBO LIXO !! KKKKKKKKKKKKK            SO PRA NAO PERDER COSTUME!!!!!!,há 2 anos,0,
"Meus clássicos pra b 2022 
Gremio vs cruzeiro 
Botafogo RJ  vs inter 
América MG vs cruzeiro 
Grêmio vs Criciúma SC 
Botafogo vs paysandu 
Novorizontino SP vs guarani SP 
Ypiranga RS erechim vs inter 
Grêmio vs ypiranga RS 
Paysandu vs remo 
É loguinho 2022 teremos a cruz de malta do Pará de volta ao cenário nacional do brasileiro 4 divisão mais espero voltar ver ela brilhando na b algum dia de novo é duelano na copa do Brasil com o vasco águia guerreira do souza grande tuna luso brasileira o 3 maior campeão estadual do Pará camisas verde branco é cruz de malta vermelha algum dia vai duela com a camisa do vasco prento e branco cruz de malta vermelha será duelo épico pra mim torcedor fanático dois 2 já na serie d desse ano força barcelusa gloriosa querida lusa que um dia fez clássicos português lindo  demais com o vasco em 2012 2013 2008 volte portuguesa de desportos 💚❤🦁💪😔💔
O gigante da colina💢🤍🖤⚓ não está ai porquê será o único a subir entre 3 ou 4 lugar essa é minha opinião",há 3 anos,0,
Assisti esse jogo.,há 3 anos,0,
"Cheirinho de série B, pela terceira vez seguida",há 3 anos,0,
Todo time arrogante o futuro é esse ...,há 3 anos,0,
"Grêmio não pode cair, se o Grêmio e o São Paulo cair o brasileirão vai ficar um lixo",há 3 anos,0,
Vcs aí dos comentários são foda 🤣🤣🤣🤣🤣,há 3 anos,0,
Pelo geito do .. o gremio que joga a sere b com o cruzeiro pedeu 15 jogos e so veiz 7 gol,há 3 anos,0,
Só sai do Inter q faz gol,há 3 anos,1,
Grêmio virou freguês do BRAGANTINO.... que ataque decadente esse do Grêmio.,há 3 anos,0,
Enquanto o Jean estiver jogando o gremio não ganha,há 3 anos,0,
O imortal virou mortal🤣🤣🤣,há 3 anos,0,
O bragantino tem mais time que o meu Corinthians,há 3 anos,0,
"Grêmio, São Paulo, Cruzeiro, Vasco, Botafogo, Chape
Série B 2022 promete🔥🔥🔥🔥",há 3 anos,0,
"Agora a torcida do Grêmio tá feliz está com excelente treinador.
Pq Renato gaúcho não prestava mais pro time.",há 3 anos,0,
