text,time,votes,replies
"Fala, torcedor! 😎
Algum time merecia a vitória? Qual?",há 2 anos,255,114
"Estádio da bruxaria isso sim. Dificilmente o Flamengo consegue jogar bem aí. 
E hj vai ser mais um sofrimento.",há 3 meses,1,
E agora o Pedro voltou  a fazer gol no bragantino e agora 3 😎,há 1 ano,0,
Ta bom esse é o menguinho se fosse um time o placar seria outro,há 2 anos,0,
"Cala Boca Seu Secadores Do Caralho Pelo menos A Gente Tem Mundial e Recopa Libertadores E Brasileiro E Copa Do Brasil Caralho Respeita Minha Selefla Vcs Calam Boca de vcs que pegaram de 5 isso aqui e Flamengo
VascoLixo só perde e empata",há 2 anos,0,
VERGONHA PRO FRAMENGO A COPA DO BRASIL AGORA A LIBERTADORES QUERO VER ANO QUE VEM MANTER ESSE TIME KKKKKK,há 2 anos,1,
SALVE O PALMEIRAS CAMPEÃO DOS CAMPEÕES 💚💚💚💚💚😍🏆🏆🏆🏆🏆,há 2 anos,0,
Rovidro Caio tá uma peneira em 2021,há 2 anos,0,
Porque não falam do cara que cuspiu no jogador do Flamengo?,há 2 anos,0,
Redbull vai levar esse Braga pro topo,há 2 anos,0,
Gabigay,há 2 anos,0,
Os Antis fica puto com o Flamengo quem não gosta pode se enforcar 😄,há 2 anos,0,
"Rapaz uma coisa é certa o Bragantino  ta na final da copa sul amercina e Flamengo da liberta,  lógico que nao seria um jogo fácil né!",há 2 anos (editado),0,
Aqui e mengao porra,há 2 anos,0,
Palmeira  e argentino,há 2 anos,1,
Perdendo pontos depois faz falta,há 2 anos,1,
Porra Renato Vitinho Rene e Matheuzinho aí complica né 😡,há 2 anos,0,
"Porque o Flamengo não consegue jogar um único jogo antes de Atlético e Palmeiras o time que joga antes. Joga sem pressão, pelo menos um jogo só antes",há 2 anos,0,
