text,time,votes,replies
"Com a vitória, o Cuiabá saiu do Z4!! 😎
O Douradão vai conseguir se manter na Série A?",há 2 anos,169,32
Cuiabá raçudo,há 11 meses,0,
Melhor narração da historia,há 2 anos,0,
Apesar de eu ser Atlheticano ficar muito triste com  a vitória do Cuiabá eu quero muito que o Cuiabá permanesa na série a torço para o Cuiabá sou furacão e claro mas morei muito tempo no mato grosso e pretendo morar de novo por isso quero que Cuiabá continue na série a. Mas eles lavaram sorte o furacão jogou muito mal aquele jogo,há 2 anos,1,1
Cuiabá está lento demais o atacante de Cuiabá não dá preocupação com os a defesa do adversário...,há 2 anos,0,
"O narrador desse jogo, calado é um poeta.",há 2 anos,0,
"O que o Renato kayzer perde de gol é brincadeira porra, tá maluco",há 2 anos,0,
Defesa da peste de walter clk,há 2 anos,0,
Cade o Cap? Kkkk,há 2 anos,0,
Sou Corinthians mas torço pro Cuiabá ficar na série a 🐠,há 2 anos,1,1
Deu ruim furacao para passa o Flamengo,há 2 anos,0,
O athletico está em uma força tarefa para tirar todos da zona de rebaixamentos kkkkkkkkkk kkkkkkkkkk kkkkkkkkkk kkkkkkkkkk,há 2 anos,1,
Kaiser recebeu uma boa do zagueiro não pode perder um gol desse.,há 2 anos,0,
"Torcendo para o Cuiabá permanecer na 1 divisão...
Assim como estou torcendo para que o operário e também o time do Maranhão suba ....Sampaio Corrêa já está na fila pelo o menos uns 5 anos.",há 2 anos (editado),0,
Não. Sei como o Cuiabá. Está subindo. Com uma bosta de um técnico. Ruim. Desse. Um. Dos. Piores técnico que conhesso  muito fraco. Ruim. Péssimo dos péssimo,há 2 anos,0,
Walter mais uma vez parando o Renato Kaiser,há 2 anos,0,
É pra acaba os cara dando os  parabéns pra esse timinho já estamos no meio d campeonato ganhou só três jogos,há 2 anos,1,6
Kayzer perdeu um gol na cara,há 2 anos,0,
Parece a narração do gol do palmeiras no mundial,há 2 anos,1,
"Eu ainda não acredito que o atlético perdeu para esse time.O futebol é fantástico pois o Cuiabá com essa bolinha mucha conseguir ganhar de um time que se impõe para clubes de grande porte,só  futebol mesmo.",há 2 anos,0,
"Duvido Muito , mas espero que sim",há 2 anos,21,
Merecido,há 2 anos,11,
Time peque não tem direito nem a narração,há 2 anos,4,
"Pode até conseguir se manter,só não consegue jogar no estádio do Flalixo",há 2 anos,4,
 @kennosenna946  o jogo não teve transmissão por direitos autorais,há 2 anos,3,
 @saopaulinolacreysy621  chora Flamengo 5 x1,há 2 anos,1,
 @bugao9527  otário Flamengo lota qualquer estádio do Brasil.,há 2 anos,1,
Espero que sim,há 2 anos,0,
 @leoluizfagundes  o Flalixo só não lota o dele,há 2 anos,6,
Idai flabixinha não tem estádio mesmo,há 2 anos,2,
Sim objetivo permanecer na Série A ano q vem tá mais forte e disputar mais jgs,há 2 anos,0,
 @bugao9527  inveja e recalque do matrimônio imaterial do Rio de janeiro clube mais querido do Brasil!!,há 2 anos,1,
" @kennosenna946  o athletico não tem contrato com nenhuma emissora, por isso não foi transmitido nem narrado",há 2 anos,1,
 @cruzeiro6432  Português tá em dia.,há 2 anos,1,
 @bugao9527  Tá carente?,há 2 anos,1,
 @kennosenna946  CALA ESSA BOCA palhaço,há 2 anos,0,
 @bugao9527  teu ku FILHO,há 2 anos,0,
Mais ou menos,há 2 anos,0,
@Thiago a Globosta viu q o jogo foi roubado e tá com medo de postar 🤣🤣,há 2 anos (editado),0,
"Não coloca vídeo sem narração, vcs são GE.",há 2 anos,0,
 @cruzeiro6432  pelo menos nois temos na seria a i vcs ñ,há 2 anos,0,
" @cruzeiro6432  arena pantanal, é  do estado burro! Vai ser informal primeiro.",há 2 anos,1,
 @Marcos-bp1jr  por direitos do CAP.,há 2 anos,1,
A melhor defesa de um goleiro na Arena Pantanal. Walter: a muralha.,há 2 anos,1,
Kkkkkk,há 2 anos,0,
Patético paranaense tomou na rabiola,há 2 anos,1,
 @leoluizfagundes  O clube mais ladrão do Brasil kkkk,há 2 anos,0,
Time que o Presidente Ameaça Jogador ñ merece Série A,há 2 anos,1,
" @kennosenna946  tadinho do Cuiabá cara , ele sofreu para chegar na série A",há 2 anos,0,
 @leoluizfagundes  qualquer torcida lota um estadio,há 2 anos,0,
 @silvinhooconstrutor7035  só a do Flamengo lota estádio em qualquer lugar do Brasil!! Aceita que doe menos,há 2 anos,0,
 @GuilhermeAlvesDaSilvah  inveja e recalque Flamengo o mais querido do Brasil!!,há 2 anos,0,
Vc morou em qual cidade do Mato Grosso?,há 2 anos,0,
"Claro pô, vocês podem zoar que o time B do Corinthians se manteve na série A.",há 2 anos,0,
E perdeu só 4,há 2 anos,0,
 @petxecomaxixe7415  Agora 5 .próximo contra meu verdão já pode calcular 6,há 2 anos,0,
" @antoniostanele7402  ainda está bom, seu time com elenco caro perdeu a liderança com facilidade kkkkkkk o meu pelo menos com elenco barato saiu do Z4, e mesmo com a derrota está firme fora do Z4",há 2 anos (editado),0,
 @petxecomaxixe7415  final d semana nois conversa,há 2 anos,0,
" @antoniostanele7402  pode ser, eu vou voltar aqui, e quero ver sua reação",há 2 anos,0,
" @antoniostanele7402  e aí? 😂😂  Seu porquinho apanhou pro meu Dourado kkkk vcs tem Clayson? Vcs tem Walter? Vcs tem Ulliam Correia? Infelizmente vcs não tem, só lamento 😂😂👊",há 2 anos,0,
Pra cima deles dourado,há 2 anos,0,
Porque que quando eu assisto os gols do Atlético paranaense não tem narrador,há 2 anos,0,1
