text,time,votes,replies
"Que partidaça fez o Ceará!!! 
Quem foi o craque da partida? Vina, Mendoza, Lima ou algum outro? Conta aqui ⬇️",há 2 anos,384,51
Aproveita o ceara tá péssimo em 2024,há 3 semanas,0,
Em ritmo de treino.,há 4 meses,0,
Incrível como uma diretoria pode mudar um time de um ano para outro! força Ceará,há 9 meses,0,
Ceará melhor que o fortaleza,há 11 meses,0,10
Depois desse vexame torcida medíocre do fossaleza foram ameaça o narrador rede social dele kkk a,há 1 ano,0,
Até hoje lembro,há 1 ano,0,
Massacre,há 1 ano,0,
O vozao comeu o liao,há 1 ano,2,2
O Flamengo vai dá uma senhora goleada no Ceará,há 1 ano,0,
Fica só nessa lembrança Vina .  Não ganharam nada,há 1 ano,0,
Você era a melhor do mundo quem for torcedor do Fortaleza é feio é ruim,há 1 ano,0,
Nesse tempo o boek era ruin agr e nota 10,há 2 anos,0,
Alguém vendo em 2022?,há 2 anos,1,
é O vozão melhor time,há 2 anos,0,
MEU VOZÃO NÃO JOGA ELE DA SHOW 🤍🖤,há 2 anos,2,
Como é bom rever essa humilhação,há 2 anos,1,
Receba,há 2 anos,0,
😎🖤🤍🖤🤍🖤🤍,há 2 anos,0,
Virou passeio em cima da Stella kk,há 2 anos,0,
Vina,há 2 anos,10,
O VERDADEIRO ATLÉTICO(MG) VAI VENCER A COPA DO BRASIL.,há 2 anos,6,
O VERDADEIRO ATLÉTICO(MG) VAI VENCER A COPA DO BRASIL.,há 2 anos,5,
O VERDADEIRO ATLÉTICO(MG) VAI VENCER A COPA DO BRASIL.,há 2 anos,4,
O VERDADEIRO ATLÉTICO(MG) VAI VENCER A COPA DO BRASIL.,há 2 anos,4,
O VERDADEIRO ATLÉTICO(MG) VAI VENCER A COPA DO BRASIL.,há 2 anos,4,
O VERDADEIRO ATLÉTICO(MG) VAI VENCER A COPA DO BRASIL.,há 2 anos,2,
O VERDADEIRO ATLÉTICO(MG) VAI VENCER A COPA DO BRASIL.,há 2 anos,3,
O VERDADEIRO ATLÉTICO(MG) VAI VENCER A COPA DO BRASIL..,há 2 anos,4,
"O VERDADEIRO ATLÉTICO(MG) VAI VENCER A COPA DO BRASIL..

.",há 2 anos,3,
"O VERDADEIRO ATLÉTICO(MG) VAI VENCER A COPA DO BRASIL..
.",há 2 anos,3,
"O VERDADEIRO ATLÉTICO(MG) VAI VENCER A COPA DO BRASIL.
..",há 2 anos,2,
"O VERDADEIRO ATLÉTICO(MG) VAI VENCER A COPA DO BRASIL.
.",há 2 anos,2,
"O VERDADEIRO ATLÉTICO(MG) VAI VENCER A COPA DO BRASIL.
...",há 2 anos,2,
"O VERDADEIRO ATLÉTICO(MG) VAI VENCER A COPA DO BRASIL.
...",há 2 anos,2,
"O VERDADEIRO ATLÉTICO(MG) VAI VENCER A COPA DO BRASIL.
...",há 2 anos,2,
"O VERDADEIRO ATLÉTICO(MG) VAI VENCER A COPA DO BRASIL.
......m",há 2 anos,2,
"O VERDADEIRO ATLÉTICO(MG) VAI VENCER A COPA DO BRASIL.
......  .",há 2 anos,2,
O VERDADEIRO ATLÉTICO(MG) VAI VENCER A COPA DO BRASIL.,há 2 anos,2,
"Vina pelos gols, e o Mendoza por servir a mesa .",há 2 anos,5,
Vinahimovic voltou felasssssss!,há 2 anos,3,
Vina e lima,há 2 anos,2,
"Vina, jogo treino skskksks",há 2 anos,2,
IbrahimoVina,há 2 anos,1,
Vina,há 2 anos,1,
"HISTÓRIA DE UM 4 X 0 

Era uma vez 
Um time prepotente 
Mas com altivez 
Ceará fez a gente 
Que com honradez 
O futebol é eficiente 

Tudo começou 
Quando em humilhação 
A prepotência gerou 
Brincadeira sem noção 
Com comida se brincou
Tentando humilhar na ação 

O time entra com vontade  
E o Lima vai começar
Mostrar futebol de verdade 
No gol que vai iniciar 
Vitória para  a cidade 
Quase toda se alegrar 


Aí vem o Vina 
Marcando o segundo 
Gol que ilumina 
Um sentimento fecundo 
De quem nunca declina 
E luta mostrando ao mundo 

O Terceiro golaço 
É Vina novamente 
Marca e vai pro abraço 
E toda galera sente 
Que o amor é de aço 
Na alegria presente 

O Quarto é cruzamento 
Que o Yone sim faz 
Atiça um pensamento 
De alegria , amor e paz 
Alegria de um momento 
Que a gente deseja mais 




Tiago Nunes mostrou 
Toda sua competência 
Ele goleou 
E derrubou a prepotência 
O amor pelo Vovô 
É inexplicável pela ciência",há 2 anos,7,
o time todo,há 2 anos,1,
Vina de novo.,há 2 anos,1,
.,há 2 anos,1,
"Mendoza, 3 assistência e várias chances criadas",há 2 anos,3,
João Ricardo vina,há 2 anos,1,
Mendonca é o Melhor,há 2 anos,3,
Mendonça participou de todos os gols,há 2 anos,1,
 @aquiesfuego3559  surtou,há 2 anos,0,
As galinhas que a torcida do Rival usou na macumba.,há 2 anos,0,
VOZÃO PASSOU O CARRO NA STELA,há 2 anos,0,
"TREM BALA DO VOZÃO !!
VINA 2 GOL DE COMANDO. MUITO FUNDAMENTAL PARA O CLUBE CRAQUE VINA, VEM EVOLUINDO MUITO NOS ÚLTIMOS JOGOS!! SHOW VINA.
MENDONÇA 2+1 ASSISTÊNCIA MUITO PARTICIPATIVO EM TODAS AS JOGADA, FUNDAMENTAL PRO CLUBE. 
LIMA, MUITO BEM, PARTICIPATIVO E INTERCEPTADO. COMO ROBOU A BOLA E ABRIU O PLACAR DANDO INÍCIO DO SHOW.

COM A TORCIDA NA ARQUIBANCADA TOP VLW VOZÃO 30% QUE FEZ UM BARULHO NE KK 👐🏁",há 2 anos,0,
Vina foi o melhor,há 2 anos,0,
"Vina,mendoza,lima e joao ricardo",há 2 anos,0,
F.Sobral,há 2 anos,0,
Vina,há 2 anos,0,
Mendoza,há 2 anos,0,
"Será que vai terminar o campeonato e não vamos ver um gol do Mendoza?!
Pelo menos ele é mestre nas assistências, mas gol que é bom, nenhumzinho até agora!",há 2 anos,1,
" @etiehnenavarro7622  Na verdade ele já marcou, Bahia 1 x 1 Ceará....",há 2 anos,1,
" @eduardopazlima  , perde 10 e acerta um... Tomara que nessa reta final ele mude essa razão, e nos asseguremos na Libertadores 2022! Precisamos ir com a faca nos dentes contra o Atlético/GO neste sábado, matar ou morrer!",há 2 anos,1,
" @etiehnenavarro7622  Espero q ele continue a melhorar e ajude a equipe, seja com gols ou assistências",há 2 anos,1,
Mendoza,há 2 anos,1,
"Apesar de não ter feito gol, acho q o Mendonça merece",há 2 anos,1,
"Tinga, Ederson e Boeck. Jogaram mt pelo fossaum anteontem",há 2 anos (editado),0,
A net dos come ovo voltou Ja,há 2 anos,0,
