text,time,votes,replies
"São Paulo acertou em contratar Ceni?
Assine o Premiere: https://bit.ly/3uuE0kN",há 2 anos,184,59
Rebanho FC,há 2 anos,0,
Se o Pablo n for escalado pra copa do mundo no mínimo já é roubo😂,há 2 anos,0,
Kkkkk o juiz cagou pro cara rolando no gramado kkk,há 2 anos,0,
Zagueirao pablo....tirou a bola do pe do luciano,há 2 anos,0,
Kerolayne Amo 👏🏻👍📺,há 2 anos,1,
pablo é o pior da história kk,há 2 anos,0,
Parabéns pela diretoria Corinthiana do São Paulo que vai reduzir o maior do Brasil a uma bosta que perde do time artificial da Red bull,há 2 anos,0,
"Eu estou louco mas essa insistência em manter o Pablo é caso de Ministério Público Federal? Tem dinheiro alto rolando aí, muito alto, dou minha cara a tapa se não tem crime envolvido nessa situação desse sujeito.",há 2 anos,0,
O SAO PAULO E muito RUIM,há 2 anos,0,
Pablo é jogador???,há 2 anos,0,
1 x 0,há 2 anos,0,
Pablo so tirou o goll muinto.olho grande por gol e ambicioso,há 2 anos,0,
pablo e seleçao tricolocas e seu jogador camisa 10 da seleçao kapkapakapakpakapa,há 2 anos,1,
Pablo essa desgraça.,há 2 anos,0,
São Paulo pode esquecer esse Brasileirão. Agora é jogar para não cair.,há 2 anos (editado),0,
Meu Deus com Rogério ceni no comando a tendência é piorar cada vez mais,há 2 anos,0,
o pablo e demais eu temho inveja olha que eu sou o messi,há 2 anos,1,
"Jogo bom, e o Pablo sempre ele kkk",há 2 anos,0,
São Paulo está me decepcionando:(,há 2 anos,0,
BOA BRAGA L!NGUIÇ4 NAS BAMBIS KKKKKKKKKKKKKKK,há 2 anos (editado),26,
BAMBIzada SOBERBA ACHOU QUÊ GANHOU DOS RESERVAS DO CORINGÃO IA GANHAR TUDO KKKKKKKKK,há 2 anos (editado),21,
FLAPIRUCA NÃO TEM ESTÁDIO,há 2 anos,3,
União Brarinthians,há 2 anos,1,
Nem copa do Brasil tem kk,há 2 anos,15,
Pablo pior atacante do São Paulo,há 2 anos,7,
Se o Pablo e jogador eu sou astronauta,há 2 anos,8,
"Minha análise sobre São Puta FC

✅ Clube pequeno

✅ Títulos no passado

✅ Re🅱️aixamento no paulistinha

✅ Freguês do Cólon e talleres

❌ Copa do Brasil

✅ Freguês do Palmeiras

✅ Morumbi salão de festa do Palmeiras

Maior que Mirassol? Não nos meus livros😂😂😂🅱️🅱️🅱️",há 2 anos,9,
SÃO PAULO Q ACERTOU EM CONTRATAR O PERIGOSO PABLO KKKKKKKK,há 2 anos,5,
"Os bambis adoram uma armadura, até porquê tudo que tem dura no nome deixa elas  assanhadas, vai São Paulo💋👅👁️",há 2 anos,8,
Ola Amigus Suas Espozas e Estão Em Caça?,há 2 anos,1,
O cara chegou agora ele tá ajetando o time então no peguem o pé do cara agora,há 2 anos (editado),2,
SHUPAULLO É NANICOOOO,há 2 anos,2,
@Edilson nunca,há 2 anos (editado),0,
Shupaulo e a Rogéria eterno freguês do timão,há 2 anos,3,
Uma coisa eu sei o são Paulo e freguês d Braga.,há 2 anos,2,
Acertou sim tinha jogos com o crespo que o time não chutava uma bola no gol,há 2 anos,2,
CDB DO SAOLIXO,há 2 anos,1,
ESTÁDIO DO FLACABAÇO?,há 2 anos,1,
