text,time,votes,replies
"E aí, o que acharam da estreia dos dois times??",há 3 anos,77,15
FURACÃOOOOOOO DAS AMÉRICAS ❤🌪❤🌪❤🌪,há 2 anos,0,
EL PARANAENSE,há 2 anos,0,
"Graças a Deus amigos, não ouvimos o gol na voz irritante daquele que berra: ""OLHA ELE AÍ!!"".",há 3 anos,0,
"Assistir jogo em casa e sem narração é tão estranho, parece q o bagui perde toda a graçaKKKKKK  ;-;",há 3 anos,1,
Venceu quem já foi campeão brasileiro e não é um nanico.,há 3 anos,0,
Esse teme do América e um time de Ze ruela time freio igual o técnico cu de burro,há 3 anos,0,
"Primeira rodada não define nada, América vai permanecer na A sim! 🐰",há 3 anos,0,
Copa América é no SBT.,há 3 anos,0,
"Não estou ouvindo a narração do Galvão Bueno, kkkkk.",há 3 anos,0,
Os outros times tinha q se juntarem e proibir o furacão bosta de transmiti jogos onde só ele lucra com a imagem dos outros,há 3 anos (editado),1,
A Globo é a merda do athletico tem q parar com essa merda é voltar a transmitir os jogos,há 3 anos,0,
Havan,há 3 anos,0,
Vi o jogo na televisão aqui em Portugal e penso que o empate seria o resultado mais justo.,há 3 anos,0,
"Dos mesmos criadores de: SAIA DO PALMEIRAS E JOGUE BOLA! 
Carlos Eduardo é monstro kkkkk",há 3 anos,3,
America rumo ao 8° rebaixamento,há 3 anos,1,
Não deu...o juiz não ajudou dessa vez.,há 3 anos,0,
Cadê o lisca doido kkkk,há 3 anos,1,
Aos 0:20 segundos kkk,há 3 anos,0,
Porque não tem narrador nos jogos do atletico,há 3 anos,0,
FLUZÃO MAIOR DO RIO,há 3 anos,5,
"o athletico iniciou bem, ta com um time bom",há 3 anos,1,
Lisca errou tudo,há 3 anos,0,
Aí eu posso os jogos do Atlético paranaense,há 3 anos,0,
 @darkness5098  mentira kkkkkk,há 3 anos,0,
"Pena que isso não dará um Mundial, uma Supercopa, uma recopa e uma copinha pro Palvadia",há 3 anos,0,
aBérica kkkkkkkkkkj,há 3 anos,0,
"Athletico ainda pode render mais, e eu acredito que irá. Vencer na estreia e contra um bom time é sempre importante.",há 3 anos,1,
N interessa pra vc oh palhaço,há 3 anos,0,
Cade Nacional do Ceará???,há 3 anos,1,
 @mariano3822  ele saiu?,há 3 anos,0,
Athletico iniciou bem o jogo do cap é esse mesmo,há 3 anos,0,
 @darkness5098  KKKKKKKKKKKKK,há 3 anos,0,
Só faltou narração,há 3 anos,0,
 @Thfc10  imagine como deve ter sido empatar com o fortíssimo Sport em casa 😂😂,há 3 anos,0,
Melhor narração q já ouvi 😍😍,há 3 anos,0,
Pq será que quando é o atlético Paranaense é sempre esse narrador?🤔,há 3 anos,0,
Os caras não tem dó de chutar de fora da área.,há 3 anos,0,
Ameriquinha vai ser rebaixado mais uma vez não alguenta  Sere A tá acostumado na sere B,há 3 anos,0,
"Vence o maior athetico do Brasil, e destrói o mequinha que vai cair de novo onde é seu lugar.",há 3 anos,1,1
Parabéns ao Atlético pr pela grande Vitória.  O Coelho tem tem de colocar o Lendário RIBAMAR de TITULAR . Ele nasceu pra brilhar na série A .,há 3 anos,0,
🤣🤣🤣,há 3 anos,1,
Torcedo para o america cai,há 3 anos,0,
"Minas deu pane,os 3 principais times do estado perderam de bobera",há 3 anos,1,
Boa Vitória do Athlético,há 3 anos,1,
Quem acha que o flamengo vai ser campeão,há 3 anos,0,1
América sobe pra cair de novo. Time inútil,há 3 anos,0,
Não sei pq mais eu acho graça quando o America perde kkkk acho q é pq o isca chora kkkkkk,há 3 anos,0,
Cadê o narrador?,há 3 anos,0,
TERANS CRACKE,há 3 anos,1,
América vai volta pra série b,há 3 anos,2,
"O athetico briga com a Globo 
Mais a Hora que a casa deles cai 
Amigos serão pior que o Cruzeiro",há 3 anos,0,3
Time pequeno de pequeno nunca passará ainda vai mendigar pela Globo,há 3 anos,0,1
Já vi que o coelho vai brigar pra ñ cair,há 3 anos,0,
Tinha que colocar um placar no vídeo das partidas do Athletico tbm,há 3 anos,0,
Vei e o Mineiro,há 3 anos,0,
Esse ano é o ano do São Paulo,há 3 anos,0,
"Cair pq mn ??
O athletico é um dos times mais bem estruturados do Brasil, um exemplo disso é q eles não se contentaram ganhando uma mixaria da Globo e fizeram o próprio canal, lá eles faturam mais com os assinantes do q a globo daria",há 3 anos,0,
" @bryan_rogal7880  

Não tem como amigo faturar 
Mais que uma TV aberta O fato é que vcs querem o msm Que ganham Flamengo e Corinthians sendo que nem Os times grandes de Minas e rio grande do sul Conseguem ganhar o msm de ambos e olha são times grandes",há 3 anos,0,
" @bryan_rogal7880  

Kkk o cara acha que só por causa de estrutura o time não pode cair 
Esse entende de futebol",há 3 anos,0,
KKKKKKKKK,há 3 anos,0,
Essa narração é melhor do que narração feminina !,há 3 anos,2,
na minha opniao mereciam o empate mas o america jogou muito bem por ser fora de casa  vai dar trabalho pros grandes este ano,há 3 anos,3,
"Deixaram o chutaço no travessão fora dos melhores lances, pqp !",há 3 anos,0,1
Achei o narrador um pouco tímido rsrs,há 3 anos,0,
"Credo porcaria kkkk  ainda bem que cancelei meu premier ninguém merece mulher narrando ainda  mais sendo lésbica kkk 
Globo quer pagar menos kkkkk",há 3 anos,1,
O Lisca não dura 10 rodadas. Vc viu primeiro aqui.,há 3 anos,2,
E liscão ja começou perdendo kkk,há 3 anos,1,
Furacão gigante,há 3 anos,1,
"opa amigao, dsclp a pergunta, mas vc ja pegou seu tijolo pra construir um estádio pro flaputa?🔨",há 3 anos,0,
coloca o jogos do brasileirao 2021 na playlist de 2021 melhores momentos,há 3 anos,5,
Tem nem narração  sapoha,há 3 anos,0,
"slk man, esse goleiro do América é bom de mais kkkkkk",há 3 anos,20,1
"América perde.
Lisca: foi culpa da arbitragem.",há 3 anos,55,2
