text,time,votes,replies
"Fala, torcedor! 
E o gol da Chape? Vocês acham que foi justo ??🤔🤔",há 2 anos,180,52
Mesmo numa campanha péssima nesse ano a chape jogou bem nesse dia,há 6 meses,0,
CHAPECOENSE 1X1 SÃO PAULO,há 1 ano,0,
Goleiros do dão são Paulo representando kkkk,há 2 anos,0,
1:43 volpi foi seco,há 2 anos,0,
Globo lixo,há 2 anos,0,
Time sem vergonha,há 2 anos,0,
Mano no lance do gol da chape. O Volpi pulou no nada,há 2 anos,0,
Com esse futebol ai o são paulo n vai nem pra sulamericana!!!,há 2 anos,0,
Nao tenho raiva do sao paulo eu tenho é dó,há 2 anos,0,
"São Paulo, o time que vive de passado.",há 2 anos,0,
Alguém me explica o pq do Volpi ter pulado antes sendo que o zagueiro é quem tira 1:43 WTF,há 2 anos (editado),0,
"Vamos Chapecoense, torcendo pra vocês saírem dessa.
Força ✌🏼tmj🇳🇫",há 2 anos,0,
Que goleiro doido. Deu uma ponte do nada. 🤦🏻‍♂️,há 2 anos,0,
"Waldir Peres, Chicão, Serginho, Zé Sérgio, Muricy, Muller, Careca, Raí, Zetti, Rogério Ceni... Beatles, Elvis, Michael Jackson... Todos já se foram... Só no YouTube agora...",há 2 anos,0,
"Cléber machado com um Daley de 10 a 15 segundos pra narrar o jogo kkkkkk, pense na vontade e animação que o jogo estava",há 2 anos,0,
Esse narrador é horrível,há 2 anos,1,
Se eu fosse o São Paulo já tinha dado tchau pro crespo mesmo que o São Paulo tenha errado vários gols tem vários jogos que é culpa do crespo,há 2 anos,0,
O volpi pulando sozinho 1:54,há 2 anos,1,
O possível tecnico qui vai substituir Crespo são 2=ONDULADO OU O CACHIADO. Ambos já se reunirão com a diretoria. Agora é  aguardar👍,há 2 anos,0,
Parabéns Todos Os Times Quê Tem Copa Do Brasil Ele é Gigante,há 2 anos,31,
Petição para a CBF aumentar o limite de jogadores estrangeiros,há 2 anos,13,
SHUPAUNABOSTINH4 É NANICO AMIGOS 😄,há 2 anos,18,
São empate futebol clube,há 2 anos,7,
K a gente vai cair poha,há 2 anos,3,
não porque a  chape só perde pra quek tem copa do brasil,há 2 anos,3,
Eu vi o Jogo e o comerista disse que o gol foi legal então... sim,há 2 anos,5,
Foi,há 2 anos,3,
"ENPATAM COM ESSE NANICO








FORÇA CHAPE",há 2 anos,14,
Nao,há 2 anos,1,
"Sim ,a bola não saiu",há 2 anos,1,
Sim,há 2 anos,3,
Não a chapecoense merecia  a vitória mas infelizmente só conseguiu empata com essa timeco do São Paulo mas tudo bem a chapecoense vai tem muito tempo pra vencer o São Paulo na série B 😂😂😂😂,há 2 anos,8,
" @matheussccp2023  olha quem fala 2 mundial e 1 libertadores 
Os times q nunca foram rebaixados parabéns vcs são gigantes",há 2 anos,2,
tudo contra o sao paulo er justo,há 2 anos,2,
FLABOSTA SEGUE SEM MUNDIAL,há 2 anos,1,
Foi justo,há 2 anos,1,
2012 É Do Chelsea,há 2 anos,1,
" @ibismaiordomundo2685  que narrador é esse Kleber machado é péssimo, Kkkk",há 2 anos,0,
JUSTÍSSIMO!!!!!!!,há 2 anos,0,
 @matheussccp2023  vai paga seus estadio Primero e dps se volta aqui,há 2 anos,0,
" @matheussccp2023  se Somos Nanicos, Vcs nem Existem",há 2 anos,0,
SÃOPUTA CONTINUA SEM COPA DO BRASIL,há 2 anos,0,
"Minha análise sobre o shupaulo:

Time menor que um átomo

Chacota nacional

Eliminado na libertadores

Faliu 3 vezes e foi salvo pelos rivais

Série B do paulista

Fregues do cruzeiro

Museu FC maior que a portuguesa? Isso não estava nos meus livros",há 2 anos,0,
Não sei só sei que a segundona do ano que vem vai ser épica kkkkk brincadeira sé der certo meu botafogo é o vasco sobem é o peixe é o são paulo ficam na A.,há 2 anos,0,
 @user-qz5by3ho5h  Lixo é seu português kk,há 2 anos,0,
" @SaviFutBr  kkkkkk sansao na serie b e grecru na serie B 

Ops cruzeiro é serie C kk",há 2 anos (editado),0,
Troca o narrador ngm aguenta mais 🥲,há 2 anos,0,
 @matheussccp2023  e parabéns a quem são tri mundial e pra poucos 👏,há 2 anos,0,
@Edilson acho q não kkk,há 2 anos (editado),0,
" @matheussccp2023  Parabéns para todos os times que tem 3 mundial e 2 liberta, ele é gigante*",há 2 anos,0,
@Edilson vai,há 2 anos (editado),0,
" @matheussccp2023  Exato, mais o são Paulo é gigante",há 2 anos,0,
 @matheussccp2023  na vitória e na derrota são Paulo para sempre,há 2 anos,0,
