text,time,votes,replies
"Fala, torcedor!😎
Conta aqui: Foi pênalti no Ribamar?",há 3 anos,59,12
Matheus Peixoto se destacando,há 3 anos,0,
"Vamos ver agora....se o América faz a misericórdia de fazer 1 x 0 no time terceiro reserva do Internacional....foda, viu.....mas pelo que estou vendo, infelizmente, se empatar em 0 x 0 vai ser muito. Que diretoria patética! Será que o  América nasceu para a Série B ou a Série B nasceu para o América?",há 3 anos,0,
POR QUE EXISTE O VAR? Pênalti muito mal marcado pro América!!!,há 3 anos,1,
Ribamito a lenda😎,há 3 anos,0,
25/06/2021,há 3 anos,0,
Os dois bateram bem os pênaltis se não os goleiros pegavam.,há 3 anos,0,
Juventude perdeu dois pontos,há 3 anos,0,
GOLS SAO BONS,há 3 anos,1,
Maior erro do América foi vender o Messias  Ceará... zagueirão era o porto seguro do América.,há 3 anos,0,
Jogaco,há 3 anos,0,
Tem jogador q nasceu pra jogar em time pequeno...esse bóia e um,há 3 anos,0,
"Covardinho Santos retranqueiro Didi dos trapalhões fazendo penalti imbecil, perdemos passes em frente da area de meio metro... PQP VAMOS MEU JUVENTUDE",há 3 anos,1,
"Tudo verde, tudo igual...",há 3 anos,0,
Juventude está sendo injustiçado nessas primeiras rodadas. Perdeu de ganhar do Cuiabá tomando gol no fim e agora contra o América-MG toma gol no fim tbm.,há 3 anos,0,
Quem é pior Pablo ou Ribamar vão disputa pra vem que o pereba de ouro,há 3 anos,0,
Meu Juventude vai conseguir vaga na Libertadores esse ano ainda!,há 3 anos,3,
Poha Ju entregou no final poha 😔,há 3 anos,0,
"Esse narrador é fera demais, leva emoção pro jogo demais!",há 3 anos,0,
Acho que o Ju ainda tem chance de ficar na serie A,há 3 anos,0,
Sim,há 3 anos,0,
Ribamar melhor atacante PENALTI CLARO A REGRA É CLARA !!! KKKK,há 3 anos,7,
Pênalti claro no HUMILDE RIBAMAR.,há 3 anos,5,
Foi,há 3 anos,1,
Ribagol,há 3 anos,1,
 @rolaapelota9730  é o nome da emoção,há 3 anos,1,
CORINPUTA NANICO SEM ESTÁDIO,há 3 anos,1,
"Coitado do torcedor do América MG , nunca consegue ser feliz em série A",há 3 anos,0,
Brasil ontem ganhou roubado? Bola tocou no juiz para o jogo e ontem não houve isso,há 3 anos,0,
"Não foi nada, que várzea… nem pro VAR foi",há 3 anos,0,
Eu não tenho dúvida. Foi pênalti sim. Puxaram a perna dele.,há 3 anos,0,
vc ainda pergunta estagiario?,há 3 anos,0,
Isso aí foi pênalti não sei mais oq é futebol roubara cara dura juventude 🤦🏽‍♂️,há 3 anos,3,
"América foi esperto, só porque viu Ribamar ganhando títulos atrás de títulos no Vasco, é maior ídolo do Vasco, é maior artilheiro da história do futebol, 3 gols por partida. O cara é um monstro! Aí América deu um chapéu no Vasco e catou o Ribagol",há 3 anos,5,
"Aparentemente, o atacante do juventude ( que fez o gol de penalti ) é bom de bola. Tem que ter alguem de olho nele.",há 3 anos,1,1
Narrador é muito ruin,há 3 anos,0,
Que pênalti foi esse!! pra que VAR então?,há 3 anos,1,
ano de 5090,há 3 anos,1,
Valeu 4090,há 3 anos,1,
Ribamar conseguiu cava um penal futebol tá estranho mesmo kkkkkk,há 3 anos,0,
Juventude merecia muito mais essa Vitória porém quem não faz leva né espero que o papagaio da serra gaúcha melhora o quanto antes na serie a meu sonho é ver caxias do Sul disputando sul americana já América MG nasceu pra ser rebaixado mesmo que sempre sobe é cai não adianta vim pra serie a não tem sorte mesmo coelho sua realidade é o 7 setimo rebaixamento da história já o juventude tinha td pra ganhar hj mais esse pênalti foi um roubo a favor do coelho juiz cara de pau roubou meu juventude cara de cu 😥😭💚😠😤 agora temos fla gre dois jogos complicados pra frente,há 3 anos,0,
Arbitragem LIXO! Marcaram dois penaltis mandrakes.,há 3 anos,0,
América vai volta pra série b 😁😁🏆,há 3 anos,2,
Club América Mineiro o pior time que tem 😠,há 3 anos,0,
"Juve merecia a vitória, jogou muito melhor
E tenho dúvidas se aquilo foi pênalti no RibaGol mas enfim né",há 3 anos,0,
Ambos vão voltar pra segundona kkk,há 3 anos,0,
"Perder pro juventude não é uma atitude esportiva do américa 

mancinismo- vagner",há 3 anos,0,
"Grêmio = Cruzeiro
Internacional = Galo
Juventude = América
Villa Nova MG = Caxias 
Perfeitamente Equilibrado",há 3 anos,2,13
Que pênalti Mandrake é esse do América!!,há 3 anos,4,
Ribarmar a cada 1 segundo ele faz um 200000000000000000000000000000gols,há 3 anos,0,
