text,time,votes,replies
"E aí, torcedor?
O que achou da partida?",há 2 anos,138,41
"Ne mim gabando porque sou da bamor nao mais essa bateria da fanaticos e horrível, sou mais o Oba Oba Da Bamor❤😂",há 1 ano,0,
BAMOR + TUTT,há 1 ano,0,
No Atlético paranaense,há 1 ano,0,
Vim do futuro pra dizer que o Pedro vai fazer um gol de bicicleta,há 1 ano,0,
"as duas vezes que o Bahia conseguiu vencer o Athletico-PR na Baixada, foi por 2x0",há 2 anos,0,
narraçao emocionante,há 2 anos,0,
PARABÉNS PELO REBAIXAMENTO SÉRIE B....,há 2 anos,1,3
"Times que jogaria
Bahia, Ceará, Fortaleza, Vasco, Inter, Coritiba, Santos, Palmeiras, Vasco, botafogo, rb bragantino , Mengão (???)
Por que não jogaria em tais times?
Fluminense maior ídolo Fred jugador, copa do mundo fez nada e se acha craque, mediocricidade desse jogador me fez não gostar mais do time e por ele está associado a história
Grêmio: Arrogância, melhor time do Brasil, super grêmio.
Corinthians: Melhor time do mundo, Jô é craque e nada mais, somos um bando de ...
Atlético Mineiro: Mesmo problema, orgulho, arrogância e se acha",há 2 anos,0,
BBMP,há 2 anos,0,
"Parece que os videos do atlético pr sem narração é o que mais tem lances nesse canal, não estou reclamando mas na verdade devia ser assim com todos",há 2 anos,0,
Tava vendo o segundo gol do Bahia o Santos falhou de novo alguém  tem que avisar ele que bola na área  e do goleiro,há 2 anos,0,
ขอบคุณครับ,há 2 anos,0,
o jahia foi 2 vesses na area do atletico fez os gols so fez isso no jogo,há 2 anos,0,1
Patético minha cachorra de estimação 🇨🇵,há 2 anos,1,
Rifa solidária: 10 para 500. 500  para o apostador ganhador. 500 para o time do coração.ou para uma instituição de caridade.,há 2 anos,0,
Esse é o finalista da Copa Sul-Americana ?,há 2 anos,0,2
"Petraglia tá ficando gagá, já está na hora de sair ,pois desse jeito e só pra pior",há 2 anos,0,
Como é que pode isso ...2x0 em casa é pra foder msm vergonha,há 2 anos,0,
gordiola é brabo,há 2 anos,0,
FlaMijo não tem estádio não,há 2 anos,4,
Palpiada tem tradição?,há 2 anos,1,
"Esse narrador poderia narrar mais partidas, narra muito",há 2 anos,13,
Venceu o maior do nordeste,há 2 anos,4,
SÃO PAULO QUERIDÃO MAIOR DO BRASIL,há 2 anos,0,
