text,time,votes,replies
"Que jogão, hein! 
E aquela caneta? E o chute na trave?? O que acharam da partida?",há 2 anos,109,23
O Patrick tinha que ir pra seleção cada jogo ele da uma caneta kaakkaka,há 2 anos,0,
Jogo ruim,há 2 anos,0,
"Pohhha , o Leão tá com um azar infeliz",há 2 anos,0,
O Inter ganhou mais o Sport teve varias chances.,há 2 anos,0,
parece que o Sport Recife não pode fazer gols,há 2 anos,0,
"Consequentemente, a fé vem por se ouvir a mensagem, e a mensagem é ouvida mediante a palavra de Cristo.
Romanos 10:17",há 2 anos,0,
"Como sport chega numa situação dessas,, esse time era tão bom, mais também contrata jogadores fim de carreira, pagando autos salários, da nisso,,",há 2 anos,0,
Uma coisa é certa lei do ex nunca falha no Brasil,há 2 anos,1,
"Sorte o Inter tem com força, pq o futebol é horroroso",há 2 anos,0,
Esse aí já caiu,há 2 anos,0,
Quem é Sportinense que Toce pro Spot Respondir o meu comentário,há 2 anos,0,
"FUTEBOL DE ALTO NÍVEL, É O ESTILO DO ABELAUM MALVADAUM! 😳😭😭😭👌",há 2 anos,1,
"0:25 poha, eu já falei, esse o resultado quando não pagam o salário do Thiago Neve..

Putasso, zagueiro Sport",há 2 anos,1,
O Grêmio agradeçe,há 2 anos,0,
"Dicas pro cartola:
Quando tiver Sport x inter escale Patrick 
Quando tiver fla x Santos escale gabigol
Quando tiver Sp x fla escale Bruno Henrique
Quando tiver Bahia x fortaleza escale rola negra
Quando tiver Grêmio x santos escale Marinho 
Valeu pela atenção e boa sorte",há 2 anos,0,
O Sport tá igual a praia de boa viagem cheio de tubarões comendo seus jogadores. Kkkk,há 2 anos,0,
"Se o Inter jogar contra o Bayern de Munique ou contra a Sapucaiense não tem diferença; sempre joga pelo 1x0 pqp Faz o gol, recua e leva pressão o resto da partida",há 2 anos,0,2
Nossa esse sport gosta de atrapalhar a vida dos Gaúchos quase que ele empata,há 2 anos,0,
Uma excelente tarde pra todos saúde e muita paz,há 2 anos,1,
PASSANDO AQUI PARA AVISAR QUE O INTER É O VERDADEIRO CAMPEÃO DO BRASILEIRO DE 2020 E 87 É DO SPORT  👏👏👏,há 2 anos,21,
@Edilson ruim e o gaybbio que vai  cair pra série b,há 2 anos (editado),9,
"Pra quem corneteava o Daniel ta ai, prova cada jogo que só precisava de sequência pra nao falhar, e jogar super bem.",há 2 anos,9,
"@Edilson Olá tri rebaixado




calma to só testando pro futuro",há 2 anos (editado),9,
@Edilson kkkkkk ruim e teu timeco,há 2 anos (editado),2,
 @expondoavddnuaecrua1581  vdd,há 2 anos,2,
Estádio do FlaAbusoSexual?,há 2 anos,4,
"Eu tava secando o sport , mas desisti , pq o jogo tava chato que só a mísera 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣",há 2 anos,4,
@Edilson kkkkkkkkkk que piada,há 2 anos (editado),3,
"Jogo ruim, mas resultado justo. Os dois times muito desorganizados e com a pontaria fraca, mas o Sport conseguiu ser pior!",há 2 anos,6,
"Legal, mas o Flamerda continua sem estádio e mundial",há 2 anos,4,
Série B tá perto 😭😭😭👻👻👻,há 2 anos,2,
