text,time,votes,replies
"Fala, torcedor! 😎
O que achou da partida?",há 3 anos,91,21
Hh,há 2 anos,0,
Hu,há 2 anos,0,
Huu,há 2 anos,0,
Jogo sem narração,há 3 anos,0,
KKKKKKKK,há 3 anos,0,
Juventude sport Cuiabá chapecoense ceará América vão tudo brigar pra não cair,há 3 anos,0,
Juventude e Chapecoense so vem pra ser saco de pancada com todo respeito,há 3 anos,0,
Ótima vitória do Atlético paranaense,há 3 anos,0,
"INFELIZMENTE, JUVENTUDE, CUIABÁ E  CHAPECOENSE SERÁO OS SACOS DE PANCADA DA SÉRIE A  DE 2021.",há 3 anos,0,
Narração eletrizante até me emocionei,há 3 anos,0,
Que corta luz do Kaiser no gol do Nikão.,há 3 anos,0,
Que emoção grande essa narração,há 3 anos,0,
"Jadson tem bola, só o tonto do Tiago Nunes mesmo pra ter mandado ele e o Ralf embora do Corinthians",há 3 anos,1,
Jogadores ultilizaram a visão noturna pra enxergar nesse estádio.,há 3 anos,0,
2004 feelings,há 3 anos,0,
Estadio escuro,há 3 anos,0,
O Athetico e tão Furacao q eu so escutei vento,há 3 anos,0,
Narração arrepiante 😢,há 3 anos,0,
Jadson meu cartola semana passada 🤡,há 3 anos,0,
"Xupaulo:a
Vascão:Vou te deixar de cadeira de rodas😎",há 3 anos,7,
Uma bosta,há 3 anos,2,
"Não Gostei Muito Do Jogo, Mais a Narração Que Me Emocionou Parábens ao Narrador",há 3 anos,2,
Gostei isso é brasileirão muito bom o trabalho de vcs mas o coitado do juventude acho que vai cair se não cair vai brigar pelo salvamento,há 3 anos,2,
" MURILO CORRÊA  KKKKKKKKKK VASCO FICA 5 ANOS SEM GANHAR DO FLAMENGO E AGORA SÓ PQ O VASCO GANHOU 1 VEZ DEPOIS DE 5 ANOS VCS QUEREM SE ACHAR COMO SE FOSSEM MELHOR QUE O FLAMENGO KKKKKKKK, SE O VASCO FOSSE MELHOR QUE O FLAMENGO PELO MENOS ESTARIA NA SÉRIE A E TERIA GANHADO DO OPERÁRIO QUE TOMOU UMA SURRA DO GUARANI",há 3 anos,1,
 @luis964  Espero que Isso Não Aconteça Com o Meu Cuiabá,há 3 anos,2,
Eu achei nada A única coisa que sei é que o Flamerda nao tem estádio,há 3 anos,0,
 hhs  só se for em na ruindade,há 3 anos,0,
O inter pegou leve e fica tico de ser homem branco privilegiado branco privilegiado,há 3 anos,0,
Acho mesmo é que o vascu da lama é nanico,há 3 anos,0,
"4 de julho: A
São gonorréia: AI PAPAI PARA😭",há 3 anos,0,
"Parabéns, achamos o melhor narrador da premiere nessa partida",há 3 anos,0,
