text,time,votes,replies
"65 pontos na ponta da tabela!!
e ai, levanta a 🏆?

🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos (editado),340,85
Freguês de carteirinha,há 4 meses,0,
😂😮😮😮😂😮😂😮😮😂😮😂😮😂😮😂😮😂😮😂😮😂😮😂😮😮😂😮😂😂😮😂😮😂😮😮😮😮😮,há 7 meses,0,
❤😅❤😅❤😅❤😅❤😅😅😅❤❤😅❤😅😅❤😅😂😅😂😂😅😅🎉😅🎉🎉😅🎉😅😅🎉🎉😅😅🎉😂😅😅😅😂,há 7 meses,0,
Vargas é inimigo do gol,há 1 ano,0,
10,há 1 ano,0,
prime Hulk 😢 sdd,há 1 ano,0,
Desde o América o Bauerman já era foda dms,há 1 ano,0,
ATLÉTICO-MG 1X0 AMÉRICA-MG,há 1 ano,0,
Atlético Mineiro amanhã não quero nem saber Parabéns pela vitória América Mineiro 2 a 1 Campeonato Brasileiro sábado não quer nem saber de mim né tá jogando em casa a gente ganhou o jogo não deixou de primeira marcação contra o América jogo jogo de 3 a 0 para o Atlético Mineiro,há 2 anos,0,
Porque o goleiro do América saiu da direção da bola no gol do Arana?,há 2 anos,0,
Quando  e o time titular e outro nível,há 2 anos,0,
Eu tava nesse jogo galoooo,há 2 anos,0,
"É campeão!
Vai Galo!",há 2 anos,0,
O america não aguentou a pressão não kkk,há 2 anos,0,
"Engraçado que os apresentadores paulistas e cariocas, falando na televisao que o atletico jogou mau nesse jogo... brincadeira kkk",há 2 anos,0,
Cara não podemos descordar que o melhor jogador do jogo é Matheus cavichioli,há 2 anos,1,
Mala preta,há 2 anos,0,
Teve homenagem ao Lula?,há 2 anos,0,
"esse safado do ademir contra o atletico entregou o jogo ,burro foi o tecnico escala um jogador que ja tra vendido pro adversario",há 2 anos,0,
LEVANTA GE.,há 2 anos,18,
CLARO,há 2 anos,17,
Esse campeonato brasileiro já e do 🐓,há 2 anos,22,
NANICO E SEM ESTÁDIO ISSO É FLAXERECAFEDORENTA CAMARADA,há 2 anos,21,
"sim, esse ano já é do Galo!",há 2 anos,11,
FLAMERDA SEM ESTADIO AMIGO,há 2 anos (editado),12,
Ninguém alcança o galinho mais não,há 2 anos,8,
"Sem minha arbitragem comprada eu não consigo 😭😭😭

-Clube Regatas Flaputão",há 2 anos,13,
Bi Das Galinhas?,há 2 anos,4,
" @cruzeiro6432  ""Sem torcida"" que lotou o mineirão com 61 mil torcedores, e é o time com mais sócio torcedor do Brasil",há 2 anos,25,
Vai levar uma surra do timão,há 2 anos,6,
 @matheussccp2023  FALA NO FIM DO ANO KKKKKK,há 2 anos,1,
 @matheussccp2023  VC TORCE PRA UM TIME Q TEM 1 LIBERTA E 2 MUNDIAIS,há 2 anos,2,
 @pirocudo1411  SONHA,há 2 anos,1,
Com Humildade é pés nós chão esse ano seremos campeãos,há 2 anos,2,
 @cruzeiro6432  tu e doidinho pra vira atleticano kkkkkkkkkkkkkkkk,há 2 anos,5,
FLANANICO CONTINUA SEM ESTÁDIO AMIGO,há 2 anos,0,
Galo esta com as  mãos  na taca da serie A.,há 2 anos,2,
50 ANOS KKKKKK DÁ VERGONHA,há 2 anos,3,
50 ANOS KKKKKK DÁ VERGONHA,há 2 anos,2,
" @cruzeiro6432  falo quem vai disputa a 3 serie b seguida kkkkkkkkkk

A fomósa dor de cotovelo kkkkk",há 2 anos,10,
"Cadê a torcida visitante cadê a isonomia?
Cadê a justiça no caso do cuca na Suiça ?
Cadê a justiça com Rubens Menin sonegador ?
Com o Diego Costa mafioso das apostas ???
Cade ?",há 2 anos,0,
"Cadê a torcida visitante cadê a isonomia?
Cadê a justiça no caso do cuca na Suiça ?
Cadê a justiça com Rubens Menin sonegador ?
Com o Diego Costa mafioso das apostas ???
Cade ?",há 2 anos,0,
A Globo vai ignorar o Pandora papers que o Rubens Menina tá envolvido??? Remove meu comentário de novo😂😱,há 2 anos,0,
A Globo vai ignorar o Pandora papers que o Rubens Menina tá envolvido??? Remove meu comentário de novo😂😱,há 2 anos,0,
A Globo vai ignorar o Pandora papers que o Rubens Menina tá envolvido??? Remove meu comentário de novo😂😱,há 2 anos,0,
A Globo vai ignorar o Pandora papers que o Rubens Menina tá envolvido??? Remove meu comentário de novo😂😱,há 2 anos,0,
A Globo vai ignorar o Pandora papers que o Rubens Menina tá envolvido??? Remove meu comentário de novo😂😱,há 2 anos,0,
 @cruzeiro6432  sem torcida ? 60 mil pessoas é oque?me ajuda aí pô,há 2 anos,3,
"Torcida do atletico e modinha demais, antigamente nunca lotava o estadio, foi só ganhar brasileirão e copa do brasil que a torcida começa a aparecer",há 2 anos,1,
" @MatheusDS0  torcida modinha kkkkk, só voltaram a lotar por causa que ganharam brasileirão e copa do brasil",há 2 anos,2,
" @cruzeiro6432  se o atletico n tem torcida, imagina o cruzeiro, pq o atletico tem a maior torcida de minas, CRUZEIRO FALIDO",há 2 anos,6,
Se Deus quiser,há 2 anos,2,
" @Rodrigo-771  KKKKKK EM 2019 COM AQUELE TIME RUIM JA LOTAVA, BOBAGEM Q VC TA FALANDO",há 2 anos,3,
Galão Campeão 🏆 sem teto só no cheirinho kkkkkkk,há 2 anos,3,
 @cruzeiro6432  esse cruzeiro mais um ano no 🅱️🅱️🅱️,há 2 anos,5,
O galo merecem muito  sem clubismo depois de anos e anos sem ganhar um brasileiro o galo merecem sim ta lutando até muito e certeza quer esse ano o galo ganhar o brasileiro esse ano,há 2 anos,4,
" @pedrinawp7686  o estádio que vocês jogavam o independência não era lotado não, eu só via cadeira verde naquele estádio, vocês só começaram a torcer agora que ganharam brasileirão e copa do brasil",há 2 anos,2,
Sim,há 2 anos,1,
Galooo,há 2 anos,1,
" @Rodrigo-771  nada a ver KKKK, realmente tem torcedor modinha mais tem mto q é galo desde q nasceu",há 2 anos,1,
 @cruzeiro6432  3 anos na série b n fala,há 2 anos,2,
Botaram fogo no Vasco,há 2 anos,3,
" @pedrinawp7686  de 80 mil torcedores, só 5 mil são desde que nasceu 🤣🤣🤣",há 2 anos,2,
" @Rodrigo-771  nada a ver mlq, alem de n saber comentar ainda é chato",há 2 anos,1,
"Assino ñ
Querendo cancelar
Sou Corinthiano..
No jogo Corinthians x Chape 21 min de atraso
Pta sacanagem",há 2 anos,1,
 @kevinlukas5589  discordo,há 2 anos,1,
 @pedrinawp7686  😭,há 2 anos,0,
 @jonaspfc6331  50 anos depois 🤣🤣🤣🤣🤣😥🤣😭🤣😭😭😥😭😥,há 2 anos,0,
" @matheussccp2023 kkkkk piada, agente tem 8 títulos 😅",há 2 anos,0,
 @apocalipsenow165  Olha o calvo aqui denovo kkkkkk,há 2 anos,0,
Não,há 2 anos,0,
"Tem bastante tempo que não leio essa palavra então aqui vai ela
Flabunda",há 2 anos,0,
 @lucasmarquediene230  tá falando com quem?,há 2 anos,0,
 @VICTOR-mx7vu  com ninguém,há 2 anos,0,
Se Deus quiser  🐔🐔🐔🐔,há 2 anos,0,
" @robsonleal958  imagina, se o galo perder esse campeonato kkkkkk vou zuar pra eternidade kkkko",há 2 anos,0,
"mais 4 vitórias, 77 pontos aí eu acho que levanta, flamengoe palmeiras pra mim vão fazer uns 74 no máximo",há 2 anos,0,
" @cruzeiro6432  falou o clube que nunca mais vai subir, que torcida que vcs tem kkkkk até o jogo do América eles levao mais pagantes que vcs kkkkk",há 2 anos,0,
" @Rodrigo-771  A Massa Atleticana,embora tenha ganhado só 1 brasileirão,é a terceira torcida com maior recorde de públicos da história do Brasileirão.São 9 melhores médias de público.Além de ter a segunda maior média de público da história do brasileirão em uma única edição.Foram 55 mil pagantes no brasileirão de 1977.A massa atleticana nunca foi modinha,nunca abandonou o time em nenhum momentos das sua história.Agora,já que vc falou em torcida,me fala qual é seu clubeco pra mim rir um pouquinho.",há 2 anos,0,
Pés no chão 🙏🏻🐔,há 2 anos,0,
"vim parabenizar o Bayer pelos 4x0 no lombo do time do Mister

👏👏👏",há 2 anos (editado),0,
