text,time,votes,replies
"Que jogo!
E aí, qual foi o gol mais bonito do Michael?  ⚽
Assine o Premiere: https://bit.ly/3uuE0kN",há 2 anos,772,100
Hhahsgwghwwggwgwyywgwgwtwtwtwttwwtttwtwtwtwttwtwttwtwttwtttwtwttwttwwtwtwtwttwwttwtwttwtwttwtwttwtwtwtwfwttwtwtwtwttwtwtfwtwttwt,há 8 dias,1,
Ffftttgtttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttsstrttetetetterettettteteetettetetetete,há 8 dias,1,
Eu tava no Maracanã né cê jogo do flamengo,há 1 ano,0,
sdds do robozinho,há 1 ano,0,
"Anos dos vices, ano triste.",há 1 ano,0,
Tô em 2022,há 1 ano,0,
Hyyuu,há 2 anos,0,
Boraaaaa,há 2 anos,0,
Saudade desse Flamengo.😥,há 2 anos,1,
Carlos herinque solteiro celular divina costa Macedo Pedro Afonso Tocantins,há 2 anos,1,
Paulo herinque solteiro celular divina costa Macedo Pedro Afonso Tocantins,há 2 anos,1,
F ALIdkirieururur,há 2 anos,0,
Ficou só no cheirinho o flalixo kkkkkkkk,há 2 anos,0,
O Flamengo só perdeu essa libertadores porque deixou o Michael no banco.,há 2 anos,0,
"Nesse jogo Davi Luiz lançou duas bolas no Everton Ribeiro, uma virou gol do Micha, Rodrigo Caio três vezes cabeceou contra o gol do Atlético",há 2 anos,0,
"Parabéns meus jogadores do flamengo, amo vocês.",há 2 anos,0,
Eu fui nesse jogo foi top a torcida cantou muito!!,há 2 anos,0,
joga muito vai destruir o Palmeiras,há 2 anos,0,1
Perder pro flamengo é até razoável más pro Sport e foda,há 2 anos,0,
Quando o Michael tá feio esquece,há 2 anos,29,
"Rede esgoto s4tanica, está querendo acabar com a família tradicional brasileira e transformar todos em vi@dos torcedor São Paulino , eu só assisto SBT",há 2 anos,6,
 @cruzeiro6432   CRUZEIRO VAI JOGAR A SÉRIE C KKKK,há 2 anos,17,
NANICO E SEM ESTÁDIO ISSO É FLAXERECAFEDORENTA CAMARADA,há 2 anos,0,
O Sengundo. Minha opinião,há 2 anos,4,
 @LuisHermen8  😭😭😭,há 2 anos,1,
SEGUNDO,há 2 anos,2,
GOL COLETIVO,há 2 anos,1,
" @cruzeiro6432  mas tem a maior torcida do Brasil se não for a maior do mundo, já o seu nome é nome de um time q caiu faz tempo",há 2 anos,5,
" @apocalipsenow165  ei amigão, não sei se você sabe, mas estádio não enfraquece e nem fortalece um time, mas se quiser zoar pode zoar, fica a vontade",há 2 anos,2,
O segundo foi Bonito. Espero que o mengão chegue no dia 27 da melhor forma possível!,há 2 anos,1,
" @apocalipsenow165  foda-se 
somos o maior time do brasil 🤫❤️🖤",há 2 anos,4,
 @LuisHermen8  FOI N,há 2 anos,0,
Assine pra que se tem o pirata,há 2 anos,1,
Quando eles Da feioixquecr,há 2 anos,1,
 @LuisHermen8  Pq,há 2 anos,0,
@Edilson rapaziada vou estar trasmitindo o jogo do Corinthians x Fortaleza com imagem fica ligado,há 2 anos (editado),0,
 @cruzeiro6432  rapaziada vou estar trasmitindo o jogo do Corinthians x Fortaleza com imagem fica ligado,há 2 anos,1,
 @italoflamenguista1940  rapaziada vou estar trasmitindo o jogo do Corinthians x Fortaleza com imagem fica ligado,há 2 anos,0,
 @isa-xz5jf  rapaziada vou estar trasmitindo o jogo do Corinthians x Fortaleza com imagem fica ligado,há 2 anos,0,
 @apocalipsenow165  rapaziada vou estar trasmitindo o jogo do Corinthians x Fortaleza com imagem fica ligado,há 2 anos,0,
 @lucasewald  rapaziada vou estar trasmitindo o jogo do Corinthians x Fortaleza com imagem fica ligado,há 2 anos,0,
 @arielpedroso6056  rapaziada vou estar trasmitindo o jogo do Corinthians x Fortaleza com imagem fica ligado,há 2 anos,0,
 @gabrielsilvarodrigues9833  rapaziada vou estar trasmitindo o jogo do Corinthians x Fortaleza com imagem fica ligado,há 2 anos,1,
 @LuisHermen8  rapaziada vou estar trasmitindo o jogo do Corinthians x Fortaleza com imagem fica ligado,há 2 anos,0,
 @BRIG4TTO  rapaziada vou estar trasmitindo o jogo do Corinthians x Fortaleza com imagem fica ligado,há 2 anos,0,
 @higorjuan.9915  rapaziada vou estar trasmitindo o jogo do Corinthians x Fortaleza com imagem fica ligado,há 2 anos,0,
 @Brunin-jz4zo  rapaziada vou estar trasmitindo o jogo do Corinthians x Fortaleza com imagem fica ligado,há 2 anos,0,
 @jeremias6696  rapaziada vou estar trasmitindo o jogo do Corinthians x Fortaleza com imagem fica ligado,há 2 anos,0,
 @asaventurasdemarcos7780  rapaziada vou estar trasmitindo o jogo do Corinthians x Fortaleza com imagem fica ligado,há 2 anos,1,
" @cruzeiro6432  Sim mano, maiores idolos do Mengão, agora estamos em uma final de libertadores junto com esses incríveis jogadores, tmj!!!",há 2 anos,1,
 @asaventurasdemarcos7780  rapaziada vou estar trasmitindo o jogo do Corinthians x Fortaleza com imagem fica ligado,há 2 anos,0,
Vc tem problemas? Mano vamos criar maturidade pfvr kkk jesus,há 2 anos,0,
Que pena que vc pensa assim amigo triste mesmo quando vc tiver maturidade volte aqui.,há 2 anos,0,
​ @cruzeiro6432   CALMA GALERA FLAMENGO JA E O MAIOR DO BRASIL SENDO TRI DA LIBERTA AGORA SO VAI ESCLARECER OQUE JA TAVA CLARO  KKKKKKKKK,há 2 anos,1,
 @cruzeiro6432  vc me dá nojo série c,há 2 anos,1,
UAI FOI SÓ EU QUE PERCEBI QUE O TÍTULO ESTA 19 RODADA DO BRASILEIRÃO?,há 2 anos,0,
" @arielmods1687  legal, mas não precisa ficar marcando todo mundo e falando a mesma coisa, só um comentario ja basta",há 2 anos,1,
" @voceefodarei3616  é porque adiaram esse jogo, que era pra ser a 19° rodada pra hoje(ontem), por isso estava escrito 19° rodada",há 2 anos,1,
 @voceefodarei3616  esse jogo é um jogo atrasado da rodada 19.,há 2 anos,1,
Ta muito bom o Michel,há 2 anos,1,
Do Michael n sei! Mais do bolsonaro foi ótimo. Bolsa familia aumentou.,há 2 anos,1,
 @cruzeiro6432  Falou o presidente da associação dos doentes do cotovelo.kkkkkkkklkkk,há 2 anos,2,
" @cruzeiro6432  Só você mesmo para colocar casos como o do goleiro Bruno, aquele assassino desgraçado, para fazer piadinhas. Pablo Vittar, David Brasil e Gil do Vigor tem o que a ver com isso? Zico, grandioso, GabiGOL, grande, mostro e para que árbitros no meio da conversa? Quer mandar indiretas, mas não se enxerga. Está na B três vezes consecutivamente, não tem mundial, não ganhou nenhuma das séries Bs, é o maior de MG nós títulos, mas nos clássicos não e... por que choras, Maria?",há 2 anos,0,
ESTADIO ?,há 2 anos,0,
TV PIRATA 🏴‍☠️ PRA ASSISTIR TODOS OS JOGOS.,há 2 anos,0,
@Edilson calma BB eu tô aqui,há 2 anos (editado),0,
eu queria que o galo fosse campeão mas acho que o flamengo faz 83 pontos e o galo 79,há 2 anos,0,
 @cruzeiro6432   nunca subirá série C,há 2 anos,0,
"Os antis tudo dando audiência mengão,vamos faturar um bilhão no Brasil só existe dois times Flamengo e os antis..kkk",há 2 anos,0,
 @josearlindo4249  não é atoa que é um pais lixo o maior time é um time de mulambo,há 2 anos,0,
 @shoppingdavovoultilidades  ia depois de ganhar do londrina.,há 2 anos,0,
@Edilson comemore amigo quem rir por último ri melhor . Isso aqui é flamengo .,há 2 anos (editado),0,
Procuro parceiras amigo ?,há 2 anos,0,
O terceiro,há 2 anos,0,
JoSCALDOGOMCS,há 2 anos,0,
