text,time,votes,replies
"E o Athletico se reaproximou do G-4.
E ai, o que acharam da partida?",há 3 anos,183,53
Huu,há 2 anos,0,
sem audio,há 2 anos,0,
Roubaram puta que pariu uma vez na vida não rouba nesses lance claro não vi falta nenhuma 😡,há 2 anos,0,
Nao tinha nenhum corno narrando e comentando essa bosta não?,há 3 anos,0,
"Best video =p, ge...",há 3 anos,1,
Alguém aí responde...o por que foi anulado o gol...eu não entendi...,há 3 anos,0,
O Atlético paranaense está irreconhecível tá jogando demais ele tá realmente em alto nível e que mantenha pq não foi sempre assim,há 3 anos,1,
Artilheiro é BH e Gabigol Flamengo tri Campeão da libertadores tri Campeão Brasileiro Campeão da Copa do Brasil 21,há 3 anos,0,
Eu não sou torcedor do Inter mais não vi até agora o motivo pra anular gol do Inter,há 3 anos,1,
Vamo que vamo ja fiz a boa la na pixbet,há 3 anos,0,
Ele não está empedido,há 3 anos,0,
Joga a luva goleiro,há 3 anos,0,
Inté o próximo a cair2divisao,há 3 anos,0,
não entendi o anulamento do primeiro gol do inter,há 3 anos,0,
Parabéns Atlético pr,há 3 anos,0,
"Gostei desse Narrador ,Melhor que Galvão Bueno.",há 3 anos,0,
Com mais um pênalti o Inter saia com o empate.,há 3 anos,0,
O internacional só faz gol de pênalti no Brasileirão mas foi eliminado da libertadores justamente pq não acertaram pênaltis. Vai entender isso...,há 3 anos,0,
"Nem mostrou a falta que anulou o golaço do Caio Vidal, palhaçada isso. Nem falta foi alias",há 3 anos,0,
E o mundial e estádio do flaputa????????,há 3 anos,8,
"Hoje fui perder a minha virgindade. No momento que abaixei as calças ela viu que meu instrumento era muito pequeno, fiquei com muita vergonha. Porém, ela  me disse que estava tudo bem, pequeno mesmo era o Binter, naquele momento percebi que ela era a mulher da minha vida.",há 3 anos,14,
Sabe de quem?!!,há 3 anos,4,
 @SGM840  e menor ainda o grebbio,há 3 anos,4,
"🎵🎵🎵Flavadia não tem estádio,flamerda não tem estádio,não tem mundial nem estádio 🎶🎶🎶",há 3 anos,3,
" @spddz442  Cuesta🇦🇷na meia 🧦 esquerda ☭ ameaçou🔫🔪 não bateu 🤜🤜 vem pra tabela 📈 Peglow ☄️com Cuesta🇦🇷bateu cruzado ✝️
Edenilsooooooooooooooooooooooooooonn 👨🏾👨🏾👨🏾👨🏾👨🏾👨🏾👨🏾👨🏾👨🏾👨🏾41 anos4⃣1⃣👉👉👌😹(pipipi)🧏‍♂️🙋‍♂️🙋‍♂️🗽🚩🚩
🗣️Gooooooooooollll subiu a bandeira 🗽",há 3 anos,5,
Quero ver a cara da Renata e do Edison amanhã no jogo aberto 😂,há 3 anos,2,
Furacão firme na briga! Contra tudo e contra todos!!!!!,há 3 anos,4,
Incompetência pura do internacional,há 3 anos,3,
 @isaquemartins1110  InterVARcional kkkkk reveja o jogo meu filho foi roubado na cara dura kkkkkk ta mais para athletico paraVARnense kkkkk,há 3 anos,3,
O Inter perdeu de um time muito melhor que o varmengo,há 3 anos,1,
 @gustavo144  e teve até gol inválido do inter,há 3 anos,1,
ESTÁDIO DO PALPUTA?,há 3 anos,1,
 Jair Bolsonaro  Mulambo é teus pais e +1 vc kkkkkk,há 3 anos,1,
 @gustavo144  AKKKKKK vai volta a joga seu rObLoX criança KKKKKK,há 3 anos,0,
 @gustavo144  chora n🍓🍓🤣🤣🤣🤣🤣🤣🍓🍓🍓,há 3 anos,1,
FLAPUTA CONTINUA SENDO PEQUENO.,há 3 anos,2,
eu so sei que agente sempre diz futebol na globo aqui e emoção,há 3 anos,1,
Jogão com o golaso de falta eu sou atleticano dalhe,há 3 anos,1,
Roubaram o Inter...,há 3 anos,0,
 @SGM840  kkkkkkkkkkkkkk,há 3 anos,1,
Furacão gigante 🌪,há 3 anos,1,
" @SGM840  gremista tem nem 3 brasileiros e quer vir falar de ""41 ano s"" kkkkkkk, mas dboas, já estou acostumado a ouvir piadas de vcs",há 3 anos,1,
 @brianplayer7  chora não,há 3 anos,0,
 @chupameusculh0es493  kkkkkkkk vocês deveria ser um piadista,há 3 anos,0,
 @moisessouza7328  Chora não? Toma 5x1😋,há 3 anos,1,
 @SGM840  oomikxb   b b bzkzgfxxz0ju§ďzbxwww23đggymfljnncbcbxdnjsjk0,há 3 anos,0,
"A partida foi boa,inclusive a narração do jogo é melhor do que daquela moça que narrou jogo da seleção olímpica hoje",há 3 anos,1,
Roubada!!!!,há 3 anos,0,
 @caiobritomarmet9017  ERA PRA SER MEU VICENTERNACIONAL 😭😭😭😭😭😭😭😭😭😭😳😳😳😭😭😭😳😳😳😳😳😳😳😳😳😳😳😳😳😳,há 3 anos,0,
@Milhouse Sem Casa Falta Inicio do Lance,há 3 anos (editado),0,
 @SGM840  Legal! 😂😂,há 3 anos,0,
Estou a proucura do mundial do Vasco você poderia me dizer onde o Vasco está pfv?,há 3 anos,1,
"@Milhouse Sem Casa tá loko ??
Falta foi no inicio da jogada",há 3 anos (editado),1,
"@Milhouse Sem Casa o Atletico tava atacando pro lado esquerdo ao contrario do gol
Foi falta no ataque do atletico pr
Cara fez falta lançou",há 3 anos (editado),1,
@Milhouse Sem Casa se é burro em,há 3 anos (editado),1,
 @brianplayer7  Eu torço pro flamengo :/,há 3 anos,0,
"@Milhouse Sem Casa ñ ??
Todo gol é checado
Sendo legal ou n
Ele n interferiu
So checou o gol",há 3 anos (editado),1,
"O maior do sul venceu! tudo normal.
Sempre furacão, a maior torcida do Sul. ⚫🔴🏴‍☠️",há 3 anos,0,
Seguimos pensando jogo a jogo.,há 3 anos,0,
@Milhouse Sem Casa Porque os cara do inter são tudo uns otário.,há 3 anos (editado),0,
Muito boa heim estou fazendo 119 pontos até o momento,há 3 anos,0,
" @jpziin7695  joga teu joguinho também de foguinho grátis kkkkkk, o kid ainda acha que eu jogo roblox vai se afogar nas próprias mágoas de viciadinho em foguin grátis kkkkkkk",há 3 anos,0,
 @gustavo144  KKKKK Melhor do q ser kid que joga ROBLOX pensando q e rp KKKK,há 3 anos,0,
 @gustavo144  PIADISTA,há 3 anos,0,
"@Milhouse Sem Casa sempre !
Ou vc é, ou  vc nunca foi ☠",há 3 anos (editado),0,
Bagulho zoado da poha sem narração,há 3 anos,0,
 @jpziin7695  Ele ainda acha que jogo roblox mesmo chora mais inocente,há 3 anos,0,
 @gustavo144  Gustavo gamer com foto de rObLoX kkkkkk piadista merece ir pro circo,há 3 anos,0,
 @isaquemartins1110  ohh velho o gol do caio vidal foi um golaço e eles anularam num lance q o cara do atletico se jogou tmnc,há 3 anos,0,
Roubado,há 3 anos,0,
 @pedrosayajintorcedordointe7433  rOuBaDo 😭😭😭😭🍓🍓🍓🍓,há 3 anos,0,
 @pedrosayajintorcedordointe7433  jogador de Bráw star KKKKKKK,há 3 anos,0,
Que time fuleiro esse inter que goleirinho de merda esse daniel,há 3 anos,0,
Pq os jogos do Athletico não tem narração?,há 3 anos,1,
Terán aprendeu com Paulo Baier a bater falta.,há 3 anos,0,
Patético Caralhaense,há 3 anos,0,1
Não entendi porque foi anulado gol inter,há 3 anos,0,
41 ANOS,há 3 anos,0,
"O inter já tem direito a cartão cliente fiel , com milhas descontos e etc...",há 3 anos,0,
Narração foi de arrepiar slk 🙅‍♂️,há 3 anos,1,
Pq  o gol do inter não valeu,há 3 anos,0,
"Binter: jogou como NUNCA, perdeu como SEMPRE... hahahahahahahaha hahahahaha hahahahahhaha",há 3 anos,0,
