text,time,votes,replies
"Fala, Galo! ⚫⚪⚫⚪
A dupla Hulk e Diego Costa já começou a brilha junta hein?",há 2 anos,918,110
Saudade de quando o Galo marcava lá em cima e sufocava os adversários...fora Felipão!,há 9 meses,0,
"Quem diria, hein... O último jogo de Thiago Neves como jogador profissional foi justamente contra o Atlético MG, sendo este uma derrota por 3x0 kkkk.  No mais, TN teve uma boa passagem pelo Sport, salvou o Leão do rebaixamento em 2020. Temporada seguinte, depois da covid perdeu completamente o rendimento.",há 1 ano,2,
Que pênalti hein kkk,há 1 ano,0,
PRECISAVA DE VAR?,há 2 anos,0,
SÓ EU PERCEBI A BANDEIRA DO SANTA CRUZ??? VALEU KENO 🖤🤍♥️,há 2 anos,0,
Imbatível,há 2 anos,0,
Sempre que tem jogo do GALO X SPORT tem goleada ou por um time ou por outro.,há 2 anos,1,
ABERAN 👑🎁🎁🎁,há 2 anos,0,
Vargas bateu o pênalti pro galo com raiva porque o jogador do Sport tirou  com a mão o que seria um golaço dele. Reparem.,há 2 anos,1,
zaracho fez tambem ne?,há 2 anos,0,
Fuck your substitle is disturbing a lot... In football we don't need substitle...,há 2 anos,0,
É campeão!,há 2 anos,0,
Ô goleiro do spot nen se encheu com o pênalti,há 2 anos,0,
1:20,há 2 anos,1,
🎮   jogo   legal,há 2 anos,0,
Boa Galão da Massa ⚫⚪,há 2 anos,1,
✌,há 2 anos,0,
"그래, 그래, 그게 우리가 원하는 거야, 헐크와 디에고 코스타 
역시 노인이 최고!!!!",há 2 anos,1,
"Tem que ganhar mesmo sou São Paulo FC, mais tou torcendo pra o atlético ser o campeão em cima do flamerda",há 2 anos,0,
"História resumida do Flacachorra :




1918- São Cristóvão 5-1 Flalixo
1926-São Cristóvão 5-1 Flacadela
1929-Botafogo 5-1 Flamerda
1931-Botafogo 5-1 Flacachorra
1939-Botafogo 5-1 Fladesonesto
1943-Fluminense 5-1 Flaprostituta
1945-Vasco 5-1 Flaterrorista
1946-Cruzeiro 5-1 Flabosta
1949-Gremio 5-1 Flavagabunda
1956-America 5-1 Flavergonha
1960-America 5-1 FlaPestenegra
1962-Atletico Bilbao 5-1 Flapinico
1964-Gremio 5-1 FlaEbola
1991-Goias 5-1 FlaCafetão
1993-Bragantino 5-1 Fladebiloide
2000-Vasco 5-1 Flagonorreia
2001-Vasco 5-1 Flaladrão
2004-Vitoria 5-1Flaroubo
2005-São Paulo 6-1 Flapeido
2014-Atletico MG 4-1 Flalixo
2020-Independiente 5-0 Flavadia
2020-São Paulo 3-0 Flabunda
2020-Sao Paulo 4-1 Flacavala







ENFIM AMIGOS , ISSO É FLACACHORRA!!!!",há 2 anos,47,
 @vitoradvogado8281  kkk,há 2 anos,1,
"infelizmente acabou a competitividade no Brasil, o Clube Atlético Mineiro já pode se considerar campeão brasileiro de 2021. ninguém, repito, ninguém é capaz de tirar esse título do galo !!! 

PARABÉNS ATLÉTICO !",há 2 anos (editado),31,
"Galo porra sai da frente ,se nao nos atropela",há 2 anos,11,
O amigo flakchorra NANICÃO não tem estádio não amigo,há 2 anos,9,
 @vitoradvogado8281  galo 4x flacatinga0,há 2 anos,3,
patético mineiro sem bi,há 2 anos,3,
Vão brilhar !!!,há 2 anos,3,
" @gfbpaluizz7959  calma Mano, zika meu galo não porra",há 2 anos,6,
" @cruzeiro6432  KKKKKKKKKKKKKK
NOS TEMOS CONMEBOL DESINFORMADI",há 2 anos,7,
 @Felipealves-bh3ng  Conmebol?,há 2 anos,1,
"Sou São paulino mas pra mim o galo tá jogando muito vai ganhar os três títulos copa do Brasil , brasileiro e libertadores",há 2 anos,10,
Galao e seleção,há 2 anos,2,
Calo doido,há 2 anos,2,
" @mikeycareca3413  gaybuloso não existe mais não amigo virou nanico, mas flakchorra não tem estádio não amigo",há 2 anos,1,
 @wellingtonpineda3559  ok mas o flacu continua sem estádio,há 2 anos,3,
 @cruzeiro6432  gaybuloso não existe mais não amigo,há 2 anos,5,
E junto com o keno q fez primeiro tempo muito bom,há 2 anos,1,
 @cruzeiro6432  Marilda série C,há 2 anos,1,
" @gfbpaluizz7959  apaga esse krlh,os cruzeirense falaram que nem deus rebaixava eles,apaga isso nmrl",há 2 anos,1,
Contra o esporte só não brilha quem não quer,há 2 anos,0,
 @apocalipsenow165  argumento seu amigo kkkk sabe que o Flamengo e malvadao e só fala de estadio seu nanico,há 2 anos,0,
Para tirar o título do atlético só o Flamengo com dois jogos a menos,há 2 anos,1,
É lapada no Nanico do Nordeste lixort,há 2 anos,0,
"Fica esperto se não já sabe, quem pode ""brilhar"" somos nós na terça 💪🏆🏆🏆💚💚💚",há 2 anos,0,
 @gfbpaluizz7959  se eu fosse vc não falaria essa asneira não kkkk,há 2 anos,1,
 @apocalipsenow165  Mineirão e da prefeitura,há 2 anos,0,
