text,time,votes,replies
"Faala, galera! E aí, o que acharam da partida?",há 2 anos,244,100
5⁵,há 1 ano,0,
JUVENTUDE 1X1 SÃO PAULO,há 1 ano,0,
"o SPFC nao consegue ganhar de ninguem.
estamos jogando com os ultimos colocados da tabela e mesmo assim ou é empate ou derrota.
Deprimente a situacao do SPFC.",há 2 anos,0,
São paulo não devia ter empatado,há 2 anos,0,
O time mais patético da história do SPFC.,há 2 anos,0,
Que time medíocre! Eu teria vergonha de vestir essa camisa.,há 2 anos,0,
E pq o São Paulo não jogou com seu uniforme 1  ????????,há 2 anos,0,
"O mais engraçado são os são paulinos achando que o problema dos resultados são o volpi kkkkkkkk aconteceu a mesma coisa com o yago pikachu, a torcida começou a achimcalhar o cara e hoje ele é um dos jogadores mais caros no cartola FC jogando pra krl no fortaleza.",há 2 anos,0,
E ngm fala do impedimento roubado do são paulo,há 2 anos,0,
Esse volpi tá afundando com o São Paulo. Tem que ter costa quente mesmo. Um porra de frangueiro desse tem que estar protegido. Maldito volpi. # foravolpi,há 2 anos,0,
"Volpi é um lixo, vagabundo",há 2 anos,0,
Jogo feio esse,há 2 anos,0,
Volpi: melhor goleiro do mundo! Para os atacantes adversários.,há 2 anos,1,
"No gol do juventude, ele tava impedimento mais antes de chegar no jogado teve um torque é deixou o jogado do juventude  com condições para fazer o gol ! Mais uma falha do Volpi",há 2 anos,0,
No gol do juventude estava impedido porque o braço do jogador estava na frente,há 2 anos,0,
O verdadeiro penaldo é do SP,há 2 anos,0,
Jogo mais feio que bater em mãe kkkkk,há 2 anos,0,
Vacilo vim aqui so pra ver o cara no Telhado😒,há 2 anos,0,
O Cléber Machado já deu como narrador 😑,há 2 anos,0,
EU ACHEI QUE O SÃO MALVADÃO SEGUE SENDO O TERROR DE TODO MULAMBO FREGUÊS,há 2 anos (editado),20,
"LÉGAL,MAS E A SULAMERICANA DO CORINBUNDA-SUJA?",há 2 anos (editado),19,
São Paulo nem roubando consegue ganhar.,há 2 anos (editado),27,
Que dia o Flagigantão vai parar de humilhar esses nanicos inferiores a ele?,há 2 anos (editado),15,
.,há 2 anos,4,
São bundinha cadê COPA DO Brasil ?,há 2 anos,18,
"pelo menos o juventude Tem copa do brasil, já o São paulo.......",há 2 anos,17,
Viu como o Sãopirikita é pequeno,há 2 anos,14,
Como vc achou esses melhores momentos? Moh sono,há 2 anos,5,
Olá sou o Lightbot e venho informar que a Sociedade Esportiva do Palmeiras continuará sem o Mundial de Clubes da FIFA. Tenha um bom dia.,há 2 anos,9,
Uma merda,há 2 anos,2,
Normal pior a situação do meu sport 😔,há 2 anos,1,
.,há 2 anos,1,
Crespão da Massa e Abel chorão kkkkkkkk,há 2 anos,3,
Onde está o estádio do flacadela ?,há 2 anos,2,
MEU FREGUÊS NEM ROUBANDO GANHA KKKKKKKK Pqp,há 2 anos,5,
 @ppppos7wik  cadê o estádio do flacadela ?,há 2 anos,1,
" @flamenguuiiiiiiii2195  Com licença, estou procurando a Copa do Varsil do SP, vc achou?",há 2 anos,6,
 @Guilherme-qj7oq  continua sem hexa,há 2 anos,1,
 @ppppos7wik  TA LÁ NA SALA DE TROFÉUS DO FLAMENGO PEDINDO UMA COPA DO BRASIL,há 2 anos,1,
 @Rianj99  vai aprender a escrever kkkkkkkk,há 2 anos,1,
ESSE SEU COMENTÁRIO NÃO DARÁ UM ESTÁDIO E UM MUNDIAL PRO FLADESGRAÇA,há 2 anos,4,
"São piada time museu, vive de passado e sem copa do Brasil",há 2 anos,6,
São Paulo nanico sem cdb,há 2 anos,6,
 @mjr6420  VARPAULO SEM PENALTI NÃO CONSIGU,há 2 anos,3,
 ᴊᴜɴɪᴏʀ RG  Mesma Foto Que eu kkkkkk vai Corinthians,há 2 anos (editado),1,
 @ppppos7wik  VARPAULO,há 2 anos,4,
SAOPUTA SEM COPA DO BRASIL NAO GANHA DO JUVENTUDE NANICO,há 2 anos,3,
 @flamenguuiiiiiiii2195  VAI MIMI FREGUÊS,há 2 anos,1,
São Paulo vai jogar a série B kkkkkkk,há 2 anos,4,
Jogo feio,há 2 anos,4,
 @coringaokg4976  DEUS TE OUÇA,há 2 anos,2,
 @ribamarmelhorquemessiecr7481  kkkkkkkkkkkkkkk,há 2 anos,2,
Vai São Paulo 🏳️‍🌈🏳️‍🌈🏳️‍🌈💅💅💅💃💃👙,há 2 anos,1,
 @RaydeXXapenas1Lúcido2006  Calma Cara kk,há 2 anos,1,
" @flamenguuiiiiiiii2195  Eu aprendi a pegar sua mãe, já você faz troca troca",há 2 anos,0,
Jogou muito são Paulo,há 2 anos,1,
 @flamenguuiiiiiiii2195  Aonde eu escrevi errado nóia?,há 2 anos,1,
 @ribamarmelhorquemessiecr7481  Flamengo sem pênalti não sai do 0x0 kkkkk,há 2 anos,0,
 @bolt7824  amigo quando teu time tiver mundial pode vim zuar,há 2 anos,1,
 @coringaokg4976  🤣🤣,há 2 anos,0,
"O Shucu além de comemorar Paulista como se fosse um Mundial (ISSO MOSTRA COMO O TIME É PEQUENO!) Já caiu no ""PODEROSO"" Paulista em 90 (usou TAPETÃO só pra confirmar o quão é NANICO), passou anos ROUBANDO títulos na Década de 90, time com mais vices do Brasil, nunca ganhou uma Copa do Brasil, acha que Copa Jeep contra o Vice da Champions é Mundial... Enfim, se eu falar como os Bambi é NANICO vou passar a noite inteira, Flw!",há 2 anos,3,
 @bolt7824  com licença estou procurando o Mundial do Palmerda vc pode me informar ?,há 2 anos,1,
Uma merda.,há 2 anos,0,
Roubaram Juventude São cu,há 2 anos,2,
"Metemos cincum nesse timeco do 
 shupaulo",há 2 anos,1,
