text,time,votes,replies
"Fala, pessoal!😎
E aí, o que faltou para o Internacional empatar o jogo?
Assine o Premiere: https://bit.ly/3uuE0kN",há 2 anos,67,9
"As arbitragens,apoiadas pela Globo, são vergonhosas demais!",há 2 anos,0,
"Se não dispensarem Lomba, Moisés, Lindoso e outros do eixo Rio/S.P., o Inter vai sempre tomar empate e virada,fora a arbitragem que sempre é,vergonhosamente,do eixo!",há 2 anos,0,
"Jogou pra conseguir o resultado, o Inter",há 2 anos,0,
PODEROSO CIUABAYERN!!!!!,há 2 anos,0,
Bonitinho o uniforme do Internacional só falta adicionar uns detalhes em celeste!!!,há 2 anos,0,
Internacional what a useless team !,há 2 anos,0,
"Internacional entregou kkkk
Engraçado ver a torcida do Cuiabá comemorando kakakakka",há 2 anos,0,
Kakaka internacional é tão podre que não ganha títulos a anos e vai entregar pros times pra foder o grêmio,há 2 anos,0,
Só eu  que acho estranho ver o inter de preto? Que é uma das cores emblemáticas do gremio....,há 2 anos,0,
O cuesta continua na meia esquerda,há 2 anos,0,
"Esse lance me pareci familiar 
Vcs lembram que o Felipe melo fez isso mesmo e o Palmeiras acabou perdendo o jogo",há 2 anos,0,
"Esse Inter é pipoqueiro demais! é só abrindo as pernas! não sei como não perdeu aquele jogo pro Grêmio tbm, pq do jto que gosta de arregar...",há 2 anos,0,
2:12 Será que a bola não bateu nas costas? Acho que não foi no braço!,há 2 anos,0,
Tudo oq todos querem é o DOURADO na Libertadores,há 2 anos,0,
"O Inter de camisa preta e estranho,por isso perdeu",há 2 anos (editado),0,
InterVARcional está mais preocupado em derrubar o Gremio do que ganhar algum título de um jejum a 7 anos,há 2 anos,0,
Internacional copiou a camisa do Flamengo,há 2 anos,0,
CORINTHIANS RUMO A LIBERTADORES 2022,há 2 anos,0,
Time sem vergonha não querem jogar pesam pra sair ate parece que tao dopado este time e de segunda divisão pocha tenha vergonha,há 2 anos,0,
"No duelo de gigantes venceu o maior, então eu quero parabenizá-lo.




Parabéns Cuiabá👏",há 2 anos,14,
Faltou tirar a camisa preta que deu azar e o resto é com o técnico,há 2 anos,8,
Gol,há 2 anos,5,
Futebol.,há 2 anos,0,
O gol,há 2 anos,1,
 @isaquemartins1110  então né kkkkk 10 anos depois de ter ganhado o mundial do bayernlona,há 2 anos,1,
"pra todo mundo é penalti ne essa bosta, pegou no braço é penalti né? menos quando é ´pro inter ganhar titulo contra o merdengo dai n é penalti, vao se fuder",há 2 anos,0,
 @Tizohip  ainda  choras,há 2 anos,0,
Faltou jogadores de verdade e um técnico de verdade não esses bostas retranqueiro time de jogadores fracassado perdedores,há 2 anos,0,
Perde pra time pequeno ...,há 2 anos,0,
