text,time,votes,replies
"E aí, pessoal! O que acharam do empate? Da atuação das duas equipes?",há 2 anos,355,242
CEARÁ 1X1 FLAMENGO,há 1 ano,0,
"27 de NOVEMBRO DE 2021 FICOU MARCADO NA HISTÓRIA, 2X1 PORCO NO URUBU FICOU MARCADO NA HISTÓRIA, E EM SAMPA NÃO TEM OUTRO IGUAL O PARMEIRAS É CAMPEÃO LIBERTÃO, E O CHEIRINHO E AGORA É OTO PÁ TOMAR NESSA HORA",há 2 anos,1,1
Só pq o Ceará é do nordeste e time pequeno ele n pode ganhar n?,há 2 anos,1,
Esses comentarista sao uns merda quem era pra o melhor do jogo era o fernando sobral eles sempre contra os times do nordeste,há 2 anos,0,
Pego na veia na moral foi lindo q porradao essa foi a mais de 100,há 2 anos,0,
"ESSE ROGER É MUITO CHATO, QUER FALAR MAIS QUE O PRÓPRIO NARRADOR DO JOGO,",há 2 anos,0,
chupa flamidia,há 2 anos,0,1
Flabunda Continua Pequeno e sem Estadio kkkkkkk,há 2 anos,0,
Incrível o tanto de gol que o Fla desperdiça em especial Gabi... Esse Burro Viana não dá não....,há 2 anos (editado),1,
"Como o imbatível, insuperável e poderoso Flamengo não consegue ganhar do Ceará???",há 2 anos,0,
Gente no lance do Michael se ele dese uma cavadinha era gol,há 2 anos,0,
flamengo perdendo duas vezes no brasileirão 2020 por dois a zero é agora quase perdeu de novo se o Vitinho não fizesse o o flamengo tinha perdido é se o Léo Pereira não tirasse a bola de cabeça quando ia ser o segundo gol do Ceará só flamengo ia perder de novo por dois a zero acorda flamengo,há 2 anos,0,2
Vozão merecia os 3 pontos. Jogou muito mais que o Flamengo.,há 2 anos,0,
"O Atlético MG já ganhou do Flamengo e do Palmeiras pelo brasileiro, e agora vai ganhar dos 2  também pela libertadores",há 2 anos,1,
VOZÃOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,há 2 anos,0,
Só para vocês lembrarem que não são imbatíveis! Nem perto disso…,há 2 anos,0,
