text,time,votes,replies
Esse Ronald como se faz o penalty desses era pra ser punido pela diretoria.,há 2 anos,0,
"Anotem, o santos vai se planejar e daquis uns 3, 4 anos nos vamos estar voando e vamos ganhar tudo.!",há 2 anos,0,
Goleiro do Fortaleza deu trabalho em,há 2 anos,0,
"Tava sentindo falta desse Marcos Leonardo muito bom jogador, voa mlk",há 2 anos,0,
Time gigante de verdade não cai,há 2 anos,0,
"Como sempre João Paulo comanda o time !!! Pega demais esse goleiro , só falta o Flamengo ir atrás dele pq eles já tem uns 6 jogadores nossos lá",há 2 anos,0,
nao e mole nao sao 109 anos na PRIMEIRA DIVISAO,há 2 anos,1,
Time grande não caí 😁👏👏👏👏,há 2 anos,1,
Fortaleza merecia vencer só pra chegar perto do g4,há 2 anos,0,
"Sou cruzeirense, mas ainda bem que o Santos tá conseguindo se manter na série A, mesmo com todas dificuldades financeiras. Se o Santos cai, futebol brasileiro vai perder essa imensa história que o clube ajudou a construir.",há 2 anos,5,1
🤍🖤🤍🖤🤍🖤🤍🖤,há 2 anos,0,
Incaivel,há 2 anos,0,
Sou flamenguista esse garoto cabe no flamengo.,há 2 anos,1,
Maria Clara,há 2 anos,0,
Caiu na Vila peixe fuzila,há 2 anos,0,
Time gigante não cai,há 2 anos,0,
"Como diz meu amigo Otto, time grande não cai!!!",há 2 anos,0,
Ganha  títulos  ne kk ja faz tempo  né,há 2 anos,0,
Sou palmeirense mas realmente o Santos e o maior time do brasil a quem diga que o flamengo é não é no momento é o flamengo mas de história o Santos e o São Paulo são os maiores,há 2 anos,0,
"Se eu não fosse apaixonado pelo Mengão,louco pelo mengao eu sim torceria com enorme prazer pro Santos",há 2 anos,0,
Obrigado pelo comentário e pela admiração ao Santos f.c. amigo !!! Sou Santista doente e vejo o Cruzeiro como um gigante no Brasil e espero que volte logo pra série A onde é o lugar certo 💪,há 2 anos,0,
⚽️Santos jamais será rebaixado ...,há 2 anos,0,
Fortaleza vacilou,há 2 anos,0,
O santos ganhando a vaga na liberta continua sendo do corinthians,há 2 anos,0,
Maluco do Fortaleza ficou com medo da bola acertar ele e tacou o tapa. Rapaaaaiz,há 2 anos,0,
"Aos antis chupa e continuem secando que está dando certo e um recado, quando vou no meu salão de conquistas não tem troféu de série b lá tá muito menos 2",há 2 anos,0,
"Lucas LIXO Lima é reserva no fortaleza, kkkk fortaleza ainda é grande pra  ele...",há 2 anos,0,
Maior time da terra,há 2 anos,0,
Time Grande nunca cai,há 2 anos,0,
Santos poooo,há 2 anos,0,
Eu sou Bahia mas tem que respeitar o Santos 😁,há 2 anos,1,
