text,time,votes,replies
"E aí, torcedor?
O que achou do resultado?",há 2 anos,116,32
"Genérico Pr:. Sintético? Ganhei😂

Genérico Pr:. Natural? Perdi😭",há 2 anos,0,1
"ESSE VINA AÍ DEPOIS QUE PASSOU A GANHAR 500 MIL POR MES, VIROU O MAIOR ENGANADOR DO CEARÁ....",há 2 anos,0,
"Não vou tirar o mérito do goleiro não, mas esse Ribamar pode bater tossentos pênaltis que os gololeiros vão catar todos. A virada de corpo dele é um ""grito "", dizendo onde vai chutar.",há 2 anos,0,
Vitoria Merecida Do America Mineiro Jogou Muito Melhor  Que o Ceara,há 2 anos,0,
triste saber que depois dessa derrota do Ceará o gordiola foi demitido,há 2 anos,0,
Esse  Ribamar e ruim demais ' agora o goleiro Richard do Ceará  e monstro ' faltou o pênalti perdido,há 2 anos,1,
Ameriquinha de volta para serie B . 2022 kkkkkklkkk,há 2 anos,0,
Com essa derrota Guto Ferreira foi demitido,há 2 anos,1,
Fossaum perdeu foi?,há 2 anos,0,
Gosto do América-MG 💚,há 2 anos,1,
Tome PEIA siara kkkkkkkkkkk,há 2 anos,0,
Como que os caras ne deixam Ribamar bater o pênalti kkkkkk?,há 2 anos,0,
"Pela ámor de Deus ..teve algun chute a gol , chutado pelos atacantes do ceara teve ? Vergonha isso aí ..não era pra ir embora só o técnico não ..tbm boa parte deste time o",há 2 anos,0,
"Caiu o Guto , vai com Deus Gordiollla",há 2 anos,0,
É peia no kanal🤣🤣🤣🤣,há 2 anos,0,
Bom resutado para o america mineiro,há 2 anos,0,
👴🍳🍳🐇🐰,há 2 anos,1,
Canal nos trazendo alegria .,há 2 anos,0,
umilhante mrm e o Fortaleza num pode pegar esse time aí quer goleada não certa,há 2 anos,0,
Bom,há 2 anos,10,
Sei lá,há 2 anos,3,
Bom,há 2 anos,7,
top,há 2 anos,4,
 @PEDROHENRIQUECODE  E,há 2 anos,0,
 @MatheusDS0  E,há 2 anos,0,
FLAVID19 NÃO TEM ESTÁDIO,há 2 anos,0,
@T. S T E G E N 1 Como se o FlaRabodeKchorra tivesse,há 2 anos (editado),0,
"Ótimo pros ajudou o inter podendo o inter subir pra 7 colocação, e o ajudou a afundar o grêmio",há 2 anos,1,
Olá sou o Lightbot e venho informar. que a Sociedade Esportiva do Palmeiras continuará sem o Mundial de Clubes da FIFA. Tenha um bom dia!,há 2 anos,0,
@T. S T E G E N 1 como se o Palmerda tivesse mundial,há 2 anos (editado),3,
Bom para o Corinthians esse resultado,há 2 anos,0,
Resultado bosta,há 2 anos,0,
 @PEDROHENRIQUECODE  kkkkkkkkk bom só se for o galo né Pedro kkkkkk,há 2 anos,0,
Resultados percebemos,há 2 anos,0,
Flacadela não tem estádio não camarada,há 2 anos,0,
"Fórmula 1 na Globo, emoção tá na Band",há 2 anos,2,
Flabunda segue sem teto,há 2 anos,0,
NÃO VEJO A HORA DA GLOBO FECHA,há 2 anos,4,
 Flamengo Online  tem nem libertadores . Atlético mineiro mil vezes melhor. Final do Mundial : Atletico Mg 2 x 0 Chelsea,há 2 anos,0,
 Flamengo Online  como o maior de minas é Hexa rebaixado 🤔🤔🤔,há 2 anos,0,
Flabunda não tem estádio,há 2 anos,0,
Lindo!,há 2 anos,0,
Caramba mano como que Ribamar perde gol de pênalti?,há 2 anos,1,
 @corinthiano6009  tá bom,há 2 anos,0,
@T. S T E G E N 1 jhfddru,há 2 anos (editado),0,
PALVADIA SEM MUNDIAL,há 2 anos,0,
 @hi-yb8zn  mais um ano na b,há 2 anos,0,
 @papadordebotafoguense5571  pessoas os outros times n são garçons de craques pra cbf,há 2 anos,0,
Péssimo,há 2 anos,0,
@T. S T E G E N 1 oloko kk o cara já tá falando de outro time nós tamo comentando desse jogo,há 2 anos (editado),0,
".   

pttf",há 2 anos,0,
Oi! Tem Insta?,há 2 anos,0,
😂😂😂😂😂 merda meu não acredito😁😁😂😂,há 2 anos,0,
"Ribamar humilde  , teve pena do Richard pq ele tem família coitado 😪",há 2 anos,0,
✌🏽✌🏽✌🏽✌🏽,há 2 anos,1,
Hoje não teve gol do Ribamar. :(,há 2 anos,0,
Goleiro do Ceará é muito fraco.,há 2 anos,1,
"Que volta por cima do Fabricio, Deus é bom o tempo todo",há 2 anos,0,
"olha o ataque do sonhos, Ribaruimar, Jaeruimar,Messi ET, Cristiano robô,o terror dos adversários.😂😂😂😂😂😂😂",há 2 anos,0,
Fabricio Daniel merece da série C n mirasol pra série A eli merece,há 2 anos,0,
América 29/08/2021,há 2 anos,0,
Malandro é o vozão que deu a vida pra empatar com Flamengo e hoje abriu as pernas pro coelho 😂,há 2 anos,0,
Obg Guto por essa.....vc é o cara.,há 2 anos,1,
Time do kanal não viu nem a cor da bola 😂😂😂😂😂 chupa cearagay 😂,há 2 anos,0,
Pelo amo de Deus como esse ribarmar  virou profissional .empresário devi ser forte,há 2 anos,0,
Vina deveria ter ido para o Corinthians…,há 2 anos,0,
"Contra um time com 10 desfalques, é peia, muita peia 😂😂😂",há 2 anos,0,
"Fabricio craque abencoado
Lembro de vc la no noroeste jogando c o igor pimenta, q dupla!!!!",há 2 anos,0,
"sou galo doido, mas gosto quando o mequinha ganha",há 2 anos,0,
Esse time do Ceará me quebrou no Cartola Lima Rick e Luiz Otávio foram mal demais se não fosse o goleirão kk,há 2 anos,0,
"Enquanto isso as Maria empataram na B, chupa CUGULOSO chupa CUGULOSO kkkkkk",há 2 anos,0,
Eu vi o Berrío aí? Ribagol não falha.,há 2 anos,0,
Como é que o Flamengo ainda consegue empatar com esse time pprt  🤦🏻‍♂️,há 2 anos,0,
Meu Mecão não cai..tenho esperança. .kkkkkkkk.,há 2 anos,0,
"Oque ta acontecendo com o Ceará,  tava indo bem , agr parece que voltou ao normal kkk",há 2 anos,0,
Gremista agora nois ganha do ceara,há 2 anos,0,
incrível como o flamengo tem dificuldade com esse ceará...,há 2 anos,1,
Ceará entra para não perder e perde com certeza,há 2 anos,0,
Ribamar 🤣🤣🤣🤣🤣🤣🤣🤣👎,há 2 anos,0,
"Ribamar é come ovo 🍳
Ajudou o kanal no saldo de gols.",há 2 anos,1,
A não Ceará tu deixou o sport na vice lanterna poha que isso Veey 😠,há 2 anos,1,
Contra o Flamengo eles dão a vida 😂😂,há 2 anos,2,1
FLAMENGO EMPATA O AMÉRICA GANHA E GRAÇA,há 2 anos,1,
Ribamar é mito.  não quis fazer o gol de pênalti pra não humilhar mais ainda o Ceará,há 2 anos,0,
Deixo aqui os meu kkkkk para o Siara😂👍,há 2 anos,1,
Kkkk,há 2 anos,1,
Time ruim viu pedeu para outro time ruim,há 2 anos,0,
Esse time do Ceará está uma vergonha!,há 2 anos,0,
Ribamito super humilde,há 2 anos,0,
só o flamengo q ñ ganha do ceará.,há 2 anos,0,
Justo seria Mequinha 4x0. Perdeu chance demais. 2 gols bonitos!,há 2 anos,0,
"Esse time retranqueiro do Ceará, joga por uma bola, ganha na sorte! Nesse segundo turno, é ladeira abaixo.",há 2 anos,0,1
Também os melhores jogadores do flamengo nao tava no jogo passado,há 2 anos,0,
Ceara nem fez boa campanha como vai ladeira abaixo ? O time nem vai ta cansado direito tem fôlego pra pontuar mais,há 2 anos,0,
"Syara o NANICO q se acha grande!
Era para ter sido uns 5 ou 6,mesmo assim parabéns coelho.",há 2 anos,0,1
"Se o América não vacilasse tanto, já era pra estar no meio da tabela.  Que pênalti mais mal batido. Como um cara desse é profissional?",há 2 anos,0,
"e tome pufo, tome pufo",há 2 anos,0,
Mancini vendo o elenco do Corinthians,há 2 anos,0,
Valeu ✌️,há 2 anos,0,
"Kkkkk mds o Ceará so joga serio quando joga com o flamengo n e possivel, todo time q joga contra o Flamengo vira o capeta, so eu q acho isso?",há 2 anos,0,
Que Deus abençoe a família de todos amém 🙌 🙏 🙌 🙏 🙌,há 2 anos,6,
ESSE JAEL TA MAIS PARA CUEL JOGADOR CU,há 2 anos (editado),1,
Ribamar humilde.... Não fez mais um gol pra não humilhar o ceara..,há 2 anos (editado),0,
Fabrício Daniel ótimo jogador,há 2 anos,0,
0:14 quer dar um mata leao no cara kk,há 2 anos,0,1
Pêia na vovozona kkk,há 2 anos,0,
Imaginei esse jogo com torcida Issa ser tão bom ver a torcida novamente😔,há 2 anos,0,
ribamar mais famoso que o vina,há 2 anos,1,
ribazeus luta até jiujitsu... no primeiro gol catou o rodrigo num mata leão sensacional. O Rodrigo tentou sair mas num dava não ribazeus é fatal... kkkkkkk,há 2 anos,0,
Com esse futebol que o Ceará estar jogando não merece estar na nona posição,há 2 anos,0,
"Milagre, o América venceu 😳😳😳😳😳😳😳",há 2 anos,0,
Ribamar tem sorte ou o empresário forte porq o homem é ruim,há 2 anos,0,
"Porque não deixou o Patrício Daniel cobrar o pênalti, o cara quase desistiu da carreira e agora está sendo importante no América.",há 2 anos,0,
