text,time,votes,replies
"E aí, torcedor?
O que achou do resultado?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,47,19
2:47 uma pena essa bola não ter entrado se entrase com certeza o Bahia não seria rebaixado,há 2 anos,0,1
Roubaram meu dourado arbitragem do Brasil É uma vergonha,há 2 anos,0,
oi,há 2 anos,0,
oi,há 2 anos,0,
"Disso Craque Neto não fala, muito menos a rede esgoto Grobu q mídia lixo VAR lixo, assalto ao Cuiabá",há 2 anos,0,
Arbitragem no Brasil é uma várzea.,há 2 anos,0,
Bora bahea,há 2 anos,0,
Nem repetiu os lances duvidoso do erro da arbitragem quando é time grande passa várias vezes,há 2 anos,0,
Meteram a mão no cuiaba,há 2 anos,0,
"Tão querendo salvar o Bahia, arbitragem lixo, esse juiz roubou o grêmio contra o américa mg, não marcou um pênalti e um tiro direto em que o goleiro saiu jogando no tiro de meta e a cbf admitiu o erro, mas do que adianta? Estão influenciando e muito nesse campeonato, o futebol ta vergonhoso, sem o var ainda se justificava, agora ta ridículo, incompententes!!!!!",há 2 anos,0,
Nossa que roubo que fizeram com o Cuiabá meu deus,há 2 anos,0,
Dedica tempo de vídeo para mostrar o cheque entre cabeças mas não mostra replay dos gols anulados. Porque será...?,há 2 anos,0,
"Juiz ladrão,  juiz ladrão.",há 2 anos,0,
Cadê o Presidente do Bahia agora?,há 2 anos,0,
🔴⚫O VAR SERVE PARA QUER PARA AJUDAR OS ÁRBITROS GAFAR 🚨🚨🚨,há 2 anos,0,
Juiz horrível,há 2 anos,1,
Da pra ver que foi roubado. Cuiabá ganhou esse jogo!,há 2 anos,0,
"É vergonhosa essa arbitragem, será que foi recomendado pelo Alicio Pena Júnior,  ki vergonha!",há 2 anos,0,
Já começou as operações pra salvar o Santos e o São Paulo,há 2 anos,0,
Garfaram o Cuiabayer,há 2 anos,4,
Bi do patético mg?,há 2 anos (editado),2,
Bom pro gremjo,há 2 anos,1,
Dónde está la copa de Brasil en São Paulo ???,há 2 anos (editado),1,
 @samuelsanches7240  kd o estádio do flamengo?,há 2 anos,2,
JUÍZ LADRÃO SAFADO,há 2 anos,0,
Ghu,há 2 anos,1,
MASSA,há 2 anos,1,
Boa noite,há 2 anos,1,
Mostra a roubalheira,há 2 anos,2,
 @FUT100RACISMO  tem nem estádio tia,há 2 anos,2,
 @protagonistas776  O Fortaleza tá lá em cima e é do nordeste Chapecoense e Grêmio e do sul e está na degola.sua afirmação está incoerente.,há 2 anos,1,
Pq na hr de editar vcs não colocam o lance do var?,há 2 anos,1,
"Se pode ter a melhor casa, o melhor carro, a melhor família, cursar a melhor faculdade, ter o melhor emprego, os melhores amigos, as melhores roupas, viajar para os melhores lugares... mas se não tiver Jesus, não tem nada. 

""Louco! esta noite te pedirão a tua alma; e o que tens preparado, para quem será?
- Lucas 12: 20 📖""

""Ergueu os olhos o rico no inferno, e de longe via o Lázaro no isso de Abraão"" (Lucas 16:18).
Arrependei-vos Jesus tá voltando ou na morte você vai ser julgado por Deus.
Deus é amor e justiça.",há 2 anos,1,
Roubaram o Cuiabá na cara dura e vcs omitiram durante a transmissão tá de sacanagem,há 2 anos,1,
 @mexagear1356  henscdgdgsg,há 2 anos,0,
 @FUT100RACISMO   a a. Eger CD hdhvdvbs Vc,há 2 anos,0,
Ladrão esse povo da var abitragem assaltou o Cuiabá quer derrubar o Cuiabá,há 2 anos,0,
Roubo,há 2 anos,1,
"Vale lembrar que a arbitragem ainda nos ajudou nesse jogo, se a gente perde, a gente poderia ter sido rebaixado ainda antes. E nosso retrospecto contra o Cuiabá seria pior ainda",há 4 semanas,0,
"Meteram a mão no Cuaiabayern , roubo total esse jogo , PLACAR MORAL: BAHIA 0 X 2 CUIABAYERN",há 2 anos,4,
Meteram as mãos  e os dois pés no Cuiabá cara q vergonha,há 2 anos,0,
"E por esses motivos que muitos brasileiros preferem torcer para outras seleções ao invés de torcer para o Brasil, um dos pais mas corrupto no futebol..",há 2 anos,0,
"O problema da roubalheira desse país não e só dos políticos, e em todas as áreas  inclusive no futebol parabéns para quem viu a seleção brasileira levantar  um título de campeã mundial, pois será muito difícil um dia ver novamente",há 2 anos,2,
"Roubaram o cuida este var está CBF 
Vergonha",há 2 anos,0,
Times baianos adoram ser rebaixados.,há 2 anos,0,
Esse bahia de vermelho pareçe o Vitória jogando.,há 2 anos,0,
"Juíz bundão, covarde..ele sabia que o Cuiabá ainda tem mais jogos pra pontuar mas o Bahia se perdesse já estaria praticamente rebaixado e tentou modular o resultado para ficar equilibrado e a pressão do rebaixamento do time maior e com mais tradição não cair sobre ele. Porém, o Cuiabá praticamente definiria sua permanência com essa vitória que foi tirada de forma escancarada. Esse cagão  nunca mais deveria apitar nenhum jogo!",há 2 anos,1,
Roubarol  cuaba,há 2 anos,0,
Cuaba  sempre  foi  melhor  esses time  da sardinha,há 2 anos,0,
Arbitragem brasileira e um lixo,há 2 anos,0,
"Que vergonha! garfaram o Cuiabá na cara dura! que vergonha essa arbitragem!! por isso todo mundo fala, a arbitragem do Brasil é uma várzea!!!",há 2 anos,1,
Parabéns ao Cuiabá.,há 2 anos,0,
Bahia cai,há 2 anos,0,
Kd o presidente do bahia pra protestar sobre esses roubos estupidos e mafiosos? ele n falou que tava reclamando pelo bem do futebol? Aparece ai seu hipocrita,há 2 anos,0,
Bahia sério candidato ao rebaixamento    bem vindo cruzeiro Vasco  te espera,há 2 anos,0,
Não sei por que tem esse pouca vergonha de VAR não funciona com eficiência tem que processar a comissão inteira de arbitragem desse jogo puta que pariu,há 2 anos,0,
Cadê o replay dos empedimentos fraco pra caramba esse vídeo,há 2 anos,0,
Varbhia operou bonito,há 2 anos,0,
"Eu congelei a imagem aqui, o gol que deram impedimento não estava não da pra ver pela linha da area como o var errou? Tem uma turma de corinthiano e palmeirense na cbf que querem fazer de tudo pra rebaixar o SPFC não é possivel. O outro gol nem sei o que foi dado.",há 2 anos,0,
"Meu deus em , da onde falta daquele gol ali ? Tá lko kkkkkkk",há 2 anos,0,
Cuiabá foi assaltado na cara dura!!,há 2 anos,0,
"Sou vascaino, o vasco esta onde está por demeritos. Mas também moro em cuiabá de nascença, e vejo um equipe péssima de arbitragem roubar o Cuiabá, um time que veio lá de baixo, chega na série A com méritos, Esse VAR da CBF, ou são imcompetentes ou mal intencionados>",há 2 anos,0,
Sou torcedor do Bahia mas foi roubado mesmo kkk,há 2 anos,0,
Roubaram o Cuiabá na cara de pau.,há 2 anos,0,
Ai vem o presidente do Bahia dizer que o pênalti a favor do Flamengo no jogo passado prejudicou o Bahia. Cuiabá foi operado pela arbitragem.,há 2 anos,0,
"Se pode ter a melhor casa, o melhor carro, a melhor família, cursar a melhor faculdade, ter o melhor emprego, os melhores amigos, as melhores roupas, viajar para os melhores lugares... mas se não tiver Jesus, não tem nada. 

""Louco! esta noite te pedirão a tua alma; e o que tens preparado, para quem será?
- Lucas 12: 20 📖""

""Ergueu os olhos o rico no inferno, e de longe via o Lázaro no isso de Abraão"" (Lucas 16:18).
Arrependei-vos Jesus tá voltando ou na morte você vai ser julgado por Deus.
Deus é amor e justiça.",há 2 anos,0,
"Kd o presidente das SARDINHAS, ir lá e sair na mídia dizendo que foi prejudicado.",há 2 anos,0,
"Pensei que os jogadores do Bahia não iram querer voltar do intervalo. Por vergonha...
Ontem a atuação da arbitragem mudou o resultado do jogo por duas vezes.",há 2 anos,0,
"Na boa amigo, acho que ninguém merece ver um melhores momento de um 0 A 0 de Bahia e Cuiaba.",há 2 anos,3,3
