text,time,votes,replies
"E aí, torcedor? 
O Fluminense vai brigar pela classificação à Libertadores de 2022?",há 2 anos,174,58
😅😅😑😑😆😆😆😆😆😆😕😕😕😕😕,há 2 anos,0,
A E O FLUMINENSE🇮🇹 GANHOU DA CHAPECOENSE.,há 2 anos,0,
CHAPECONSE É O PIOR TIME,há 2 anos,0,
Cadê o ganso,há 2 anos,0,
"André Eleito o Melhor Jogador Da Partida Merecidamente.

Está Jogando Demais!!!!!!!

Daqui a Pouco Vai Ter Clube Europeu Querendo Ele.

Ótimo Volante, Muita Qualidade Técnica, Tem Qualidade Nos Passes, Tem Visão De Jogo, e é Jovem.

Cria De Xerém, Cria Da Melhor Base Do Brasil. 💚❤️",há 2 anos,0,
Tá horrivel esses cortes na edição dos gols! E vence o Fluminense!,há 2 anos,0,
Se manter essa postura pode conseguir classificação da libertadores ano q vem vamo fluzao 💚❤,há 2 anos,0,
Viva Fluzãooooo,há 2 anos,0,
Jogo de série C,há 2 anos,0,
"Chapecoense dá a impressão de que seus jogadores já se acostumaram com a derrota!
Não me lembro se foi o Figueirense nem o nome do técnico que disse essa frase de impacto no passado, mas se procurarmos vamos achar quais foram. Na época esse técnico estava chegando e dispensou 16 jogadores do elenco do tal time, disse ao repórter que aqueles atletas já entravam derrotados em campo. Chapecoense, com todo respeito, está muito perto disso! Abraços.",há 2 anos,0,
Fluminense e bom time eira o roger que era ruim técnico  não entende de futebol eu sou galo vamos que ter muito cuidado com Fluminense no jogo de volta o time está crescendo a cada jogo,há 2 anos,0,
Chapecoense ta indo para série B,há 2 anos,1,
Jogaco,há 2 anos,0,
Queronverbquebhoras esse Lucas Claro Vai ficar no Banco do Fluminense.esse cara e muito ruim pqp,há 2 anos,0,
Alguém com saudades do Roger machado ?,há 2 anos,0,
Elenco horroroso,há 2 anos,0,
Esse goleiro da chape é muito ruim.,há 2 anos,0,
Tristeza pela chape  mas feliz pelo flu  time de rio grande tem q estar lá.encima,há 2 anos,0,
Chapecoense e grêmio BBBBB,há 2 anos,0,
"ISSO DARÁ UM MISERO ESTADIO
AO FLAPIRIQUITA?",há 2 anos (editado),10,
Kkssksksksk nao,há 2 anos,0,
Flucachora e palcachora ambos time nanico inventando títulos,há 2 anos,3,
Flucadela virgem das Américas GE,há 2 anos,1,
"Mengão ñ vai deixar Oxi""❤🖤❤🖤😑",há 2 anos,1,
"""Pra que botar 3 volantes? Sendo que posso bota 3 meias que não marcam ""





Sylvinho o evita ~",há 2 anos,4,
Claro que não,há 2 anos,0,
"Siiiiiiiiiimmmmmmmmmmmmmm, fé em Deeeeeuuuuuuuuuussssssss🙌🙌🙌🙌🙌🙌🙌🙌🙌",há 2 anos,8,
Ganhar da Chapecoense até o Grêmio consegui,há 2 anos,3,
Sou flamenguistas esse fluminense tá sacanagem com os goleada quase mano que coisa absurda mano e ruim o flamengo vai ganha contra o palmeiras demorou,há 2 anos,0,
E certo fluzao na liberta 🇮🇹🇮🇹,há 2 anos,8,
Vim aqui parabenizar o Flamengo por ser um dos poucos clubes que tem mundial e que nunca disputaram a segunda divisão,há 2 anos,1,
Marcão vai nos levar pra Libertadores,há 2 anos,8,
se pagar os salarios atrasados desde Dezembro ai quem sabe né?,há 2 anos,1,
 @ComediaTop4  vão pra sula vcs kkk,há 2 anos,3,
"JOGOU BEM












MAIS E O ESTADIO DO FLABUNDA???",há 2 anos,3,
"NAO







ESTÁDIO DO FLAPINTO?",há 2 anos,2,
Crianças acima,há 2 anos,0,
Esses comentários KSKSKSSKKSSJSJSJSJ,há 2 anos,0,
Sim,há 2 anos,0,
 @ComediaTop4  se depender do flamengo o Flu tá feito,há 2 anos,0,
"Sim, e ano que vem a Libertadores é nossa!!!",há 2 anos,3,
 @chdraca9530  Rsrsrs jura kkk,há 2 anos,0,
" @chdraca9530  Tá feito e saiu da liberta rápido credo Mds""😂😂😂😂",há 2 anos,0,
 @jefersonpecanha5941  Barcelona,há 2 anos,0,
Goll do Barcelona,há 2 anos,0,
" @felipefluminense9506   todo ano ocês falar isso e nem o Brasileirão ganha, eu falo mesmo Rsrsrs,  Mengão melhor do mundo Brasil""❤🖤🇧🇷
( ˘ ³˘)♥︎",há 2 anos,0,
" @Eduardo-kw8ct  cê é contra o Flamengo e tem a ft do arrascaeta pq😡, a  acha ele lindoh né""😑",há 2 anos (editado),0,
" PALMEIRAS NÃO TEM MUNDIAL E O SP N TEM COPA BR!  










ESTADIO DO FLABUCETINHA?????",há 2 anos,0,
 @ComediaTop4  2019 é vc?,há 2 anos,1,
 @ComediaTop4  oxi como assim,há 2 anos,0,
 @chdraca9530   2019 eu tava curtindo o título e vc mds❤🖤🇧🇷,há 2 anos (editado),0,
"Vai, que nem ano passado. Eu creio 🙌",há 2 anos,0,
 @ThiagoRangel-  tu cu amore 😑😡😍,há 2 anos,0,
Barcelona riu disso 🤣,há 2 anos,0,
Tá bom desse Lucas claro ir pro banco o negão ruim do cranco na zaga,há 2 anos,0,
EAI que o flucadela não tem estadio,há 2 anos,0,
Não.,há 2 anos,0,
Flucachora time sem tradição,há 2 anos,1,
Vai sim mais é pra não cair 😂😂🤣🤣🤣🤣,há 2 anos,0,
 @jefersonpecanha5941  É igual a ser virgem das Américas. Kkkkkkkkk,há 2 anos,0,
"( FERROVIÁRIO, CABO DE ST. AGOSTINHO, PE. BRASIL. ALÔ RAPAZIADA, )",há 2 anos,0,
Sim,há 2 anos,1,
Nao,há 2 anos,0,
"Talvez consiga , mais vão sofrer kkkk",há 2 anos,0,
Sim,há 2 anos,0,
 @ppppos7wik teu cu,há 2 anos,0,
Chapecoense já caiu,há 2 anos,0,
 @isaquemartins1110  😂😂😂😂.,há 2 anos,1,
Não sei,há 2 anos,0,
Legal mais cadê o estádio do flacu?,há 2 anos,1,
