text,time,votes,replies
"Fala, Flamenguista! 😎
Thiago Maia é o substituto ideal do Gerson?",há 3 anos,785,233
Golaço Do Pedro,há 1 ano,1,
CUIABÁ 0X2 FLAMENGO,há 1 ano,0,
Flamengo fez um péssimo jogo esse dia…,há 2 anos,0,
Thiago Maia é Bom de Bola 🎈,há 2 anos,0,
Flamengo funk,há 2 anos,1,
Era para ser esse resultado mas fomos ludibriados assaltados pelo torcedores pateticanos que formaram o Var,há 2 anos,0,
"No Maracanã o Flamengo foi garfado gol legal anulado, pênalti ignorado",há 2 anos,0,
Mengão é de mais,há 2 anos,0,
Foi tope,há 2 anos,1,
💚x❤,há 2 anos,0,
فريق ضعيف,há 2 anos,0,
O Pedro vez O Gol do flamengo mas o Flamengo Valeu no Arena Pantanal,há 2 anos,0,
NDVMP,há 2 anos,0,
Só colocaram os lances do Flamengo seus CORNOS FLPPP 🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,há 3 anos,1,3
"....a vitoria do Flamento foi inquestionavel....por outro lado, nosso DOURADO respeitou demais o FLAMENGO, pois qui não mostrou o seundo Tempo ao qual o CUIABA mostrou a que veio nesse Brasileirão série A....
Avante CUIABA....!!!!!",há 3 anos,0,
Gol no último minuto,há 3 anos,0,
Não sou cuiabano mas nesse dia o Flamengo tremeu,há 3 anos,0,
"Cadê o gol do Cuiabá?????
Melhores momentos do flamengo ou do jogo????",há 3 anos,0,
"😭😭Olá como está queria saber onde está o Lucas nós somos melhores amigos nós somos da mesma escola e turma por favor diz onde está ele, sou português e não me critique 😉🇵🇹",há 3 anos,0,
ATÉ CUIABA TEM ESTÁDIO FLACACHORRA NÃO,há 3 anos,32,
 @matheussccp2023  ATÉ O CUIABÁ TEM MENOS REBAIXAMENTOS QUE O VASCHACOTA 😂,há 3 anos,71,
"❤️🖤 MENGAÕ QUERIDÃO ❤️🖤
👇
FALA SEM ESTÁDIO NOS COMENTÁRIOS VLW 😎",há 3 anos,21,
 @matheussccp2023  huuuuuuuu 🤣,há 3 anos,3,
varmergo não têm estádio,há 3 anos,7,
SÓ FALA QUE O MAIOR DO BRASIL VAI SER TRI SEGUIDO ❤️🖤😎,há 3 anos,17,
 @matheussccp2023  Aí que tá mais não ganha títulos e estádio não dá títulos,há 3 anos,9,
ATÉ A ASSOCIAÇÃO DO ACRE TEM ESTÁDIO E O GAYMENGO NÃO,há 3 anos,5,
 @matheussccp2023  MANO TU ACHA QUE VAI FAZER RAIVA A ALGUEM ZOANDO POR CAUSA DE ESTADIO KKKKKKKKKKK MANO SE EU FOSSE TU PARARIA DE COMENTAR AINDA TEM CORAGEM DE BOTAR UMA FOTO NO PERFIL COM ESSA CARA DE PIK*,há 3 anos,11,
 @ppppos7wik  têm né estádio,há 3 anos,4,
ate ó Sport clube Muriaé têm estádio é Flaroubo não,há 3 anos,4,
São merda sem cdb,há 3 anos,2,
 @PedroHenrique-wq9sx  que triste meu time não tem estádio 😭😭😭😭😭😭,há 3 anos,5,
 @arthurxkkkhjj  ESTÁDIO É SÓ PRA TIMES GRANDES POR ISSO O FLAVAGABUNDA NÃO TEM KKKKK TIMINHO PEQUENO SEM ESTÁDIO E SEM MUNDIAL 😂😂😂 EU AMO RIR DESSE TIMECO RIDÍCULO,há 3 anos,4,
 @KrdosoS2  vdd,há 3 anos,0,
 @-LeuLeu13-  mais o Barcelona têm estádio,há 3 anos,0,
Simmm,há 3 anos,0,
 @gaeltodoki9684  Cuiabá nunca foi rebaixado kkkk,há 3 anos,2,
Pra que ter estádio agente joga como se tivesse dentro de casa no estádio de vcs cala boca secadores respeita o maior do Brasil,há 3 anos,4,
Não,há 3 anos,0,
Vão dormir secadores estádio pra que se faiz festa no de vocês,há 3 anos,5,
Renato Augusto sim é um bom substituído,há 3 anos,1,
 @matheussccp2023  ih ala tinha que ser vascaino pra falar  kkkk que trouxa,há 3 anos,2,
Claro q sim,há 3 anos,0,
 @matheussccp2023  sai daí seu porcaria .. Estádio nao ganha título !!,há 3 anos,3,
