text,time,votes,replies
"Fala, torcedor! 🤙
Qual time merecia mais a vitória?",há 3 anos,330,129
Saudades do Silvinho! 😢 Tempo em que o Corinthians pelo menos competia.,há 6 meses,1,
❤❤❤😅❤😅❤😅❤😅❤😅❤😅❤😅❤😅❤,há 7 meses,0,
O dia que o var roubou para o corinthians não perder o clássico,há 1 ano,1,1
Meu irmão e palmeirense eu sou Corintiano,há 1 ano,0,
Ido sl do Romário doccwl doefs x,há 2 anos,0,
Kkk,há 2 anos,0,
pareceu o gol do Wellington,há 2 anos,0,
Matheus vital não é jogador nunca vai ganha na corrida do rony  deixa um corredor aberto pra ele,há 2 anos,0,
Se  não  fosse  o  jailson  era  uns  4x1  para  o  Corinthians,há 2 anos,1,2
Alguém de pois do Roger comer os porquinhos?,há 2 anos,4,
Vim dizer do futuro que o coringao ganhou do sem mundial,há 2 anos,5,1
Xgjmv,há 2 anos,2,
O varmeiras não sabe representar bem o chiqueirao,há 2 anos,1,
"0:23 Raphael Veiga 
1:59 Gabriel",há 2 anos,4,
Se preparem porcada para a surra do seculo,há 2 anos,2,1
AEEEE SYLVINHO EMPATOU O TIMAO,há 2 anos,1,
0:29 gol do Palmeiras,há 2 anos,0,
2:00 gol do Corinthians,há 2 anos,1,
Empatar com esse time fraco do Corinthians é derrota,há 2 anos,0,
"Vai Corinthians
Agora só falta 41pontos",há 3 anos,50,
Corinthans,há 3 anos,12,
Corinthians Voltou CORAJOSO e ia virar o jogo GE,há 3 anos,11,
"Coringão terror de todo bambi sem teto,Morumbixa é da prefeitura",há 3 anos,25,
@W.Ferreira somos primeiros campeões mundiais,há 3 anos (editado),10,
Verdão maior do brasil,há 3 anos,10,
 @loucoportiverdao3348  kkkk engraçado essa piada,há 3 anos,20,
@W.Ferreira cala boca curintiano,há 3 anos (editado),5,
" SUPREMO CORINGÃO  e o juiz, já parou de proteger o timinho?",há 3 anos,1,
 @creativereacts10  ala kkkk comemora empate curica quarta força de sp kkkkk a bi libertadores gambá,há 3 anos,4,
CORIN7HIANS,há 3 anos,12,
seila,há 3 anos,1,
So sei que o flabunda não tem estadio,há 3 anos,2,
Quem mereceu a vitória foi o Corinthians,há 3 anos,2,
Ibis malvadao maior do mundo 😎😳😏,há 3 anos,2,
Timão Bi-Mundial merecia a Vitória!,há 3 anos,6,
Corinthians criou mt mais,há 3 anos,2,
Palmeiras,há 3 anos,2,
CORINTHIANS E ÓBVIO,há 3 anos,2,
 @loucoportiverdao3348  AKKAKA QUE PIADA 51 E PINGA,há 3 anos,2,
" @loucoportiverdao3348  VCS BI REBAIXADO, SORTE QUW NAO VIRAMOS EM VCS PEPAS",há 3 anos,3,
"Fala GE boa noite cara, pode me dizer aonde encontro: o Estádio do Flamídia, o Mundial do Palcachorra, o Bi da Galinha, a Copa do Brasil do Shupaulo, a Libertadores de 2000 do Curica, a heterosexualidade dos Gaymistas, a grandeza do BBruzeiro e do Binterregional, um título internacional do FlorminenC e a Torcidas de Prantos e Foguinho?",há 3 anos,1,
"Palmeiras, um time que comemora empate é uma vergonha kkkkk.",há 3 anos,2,
CORINTHIANS mano merecia pq jogou muito bem vcs palmereses falo que ia mete goleada cade a goleado😅,há 3 anos,3,
NENHUM,há 3 anos,0,
"mc pequeno vs mc menor ,  2 time pequeno de serie B ninguem liga.....",há 3 anos,0,
 @loucoportiverdao3348 hahahaha essa foi boa😂😂,há 3 anos,1,
 @eoplimio5446  é mesmo,há 3 anos,0,
 @klausdevitto9583  no seu cu,há 3 anos,0,
Palmeiras se não fosse roubado,há 3 anos,0,
Corinthians,há 3 anos,2,
O que tem mundial 🤙🏻😂,há 3 anos,2,
Palmeiras jogou melhor e mericia a vitoria,há 3 anos,0,
Palmeiras jogou melhor e mericia a vitoria,há 3 anos,0,
Corinthians,há 3 anos,3,
Corinthians,há 3 anos,3,
SILVYNHO,há 3 anos,0,
Nem eu sei os dois tão ruim 😂,há 3 anos,0,
O Timão,há 3 anos,3,
Corinthians e melhor,há 3 anos,3,
O Palestra né 😎✌,há 3 anos,0,
Sempre o meu né rs. Pergunta mais besta.,há 3 anos,0,
 @loucoportiverdao3348  CALA Á BOCA PEPPA 🐷! CADE o MUNDIALZINHO de vcs?AHN!?🤔😂👍🏽✌️🏽,há 3 anos,2,
