text,time,votes,replies
"Faaala, torcedor!
Jogo emocionante e resultado igualado. O que acharam da partida ??",há 2 anos,230,44
Esti e vendo uns jogos do cuiaba ... e percebi que o time joga atrás de fazer gols e não tá nem aí com o tempo que passa é como se eles tivesse a convicção de que Iriam empatar antes de acabar a rodada,há 2 anos,0,
Esse Cuiabá é uma peste viu time bom da porra,há 2 anos,0,
Bobadilla toda vez que começa jogando faz gol merece mais oportunidades,há 2 anos,0,
Meteram a mão no Flu,há 2 anos,0,
Flu fluflufluflu,há 2 anos,0,
Cuiabá 2 x 2 CUABERTO,há 2 anos,0,
Que melhores momentos incompleto! Faltou muito lance aí. O Flu amassou no fim.,há 2 anos,0,
Quem é esse Ridículo...com a número 2 do FLUMINENSE...Ruim Xavier!!!! PÊNALTI DE VARZEAAAAAAAA,há 2 anos,0,
22/09/2021,há 2 anos,0,
Parabéns Caio Paulista esse tropeço vc pode dividir com seu companheiro acéfalo Samuel Xavier.,há 2 anos,0,
"Os times ff
Fracos estão acabando cada vez mas resistentes ne gente tão empanado e tudo",há 2 anos,0,
"pô, maluco ficou 20 minutos sentado na frente do walter mn kkk cara tem nem vergonha na cara, da próxima trás uma rede e um tereré pra ele ficar deitado dentro de campo",há 2 anos,0,
"Aqui em Mato Grosso é todo mundo torcendo pra Cuiabá.. Até pessoas que não assistiam futebol, anda acompanhando o time...... Não existe Flamenguista, Corinthiano, palmeirense, ou outros quando o Cuiabayer tá em campo kkk",há 2 anos,1,
"não tem lógica o cara fazer um pênalti desses e o Caio deitado na área é  pra acabar, tinha que ter perdido esse jogo pra tomar vergonha na cara",há 2 anos,0,
VARgabundo porque só vagabundo manipulando resultado.,há 2 anos,0,
O gol do Palmeiras contra Flamengo no 3a1 onde o jogador atrapalha o goleiro e validaram o gol e o do Flu ontem onde o jogador do Flu longe disso e os caras anularam mostra a sacanagem contra o futebol do Rio. Pior é que vem de há muito e as bestas dos dirigentes nem aí estão.,há 2 anos,0,
Quem é mais murrinha? Cazares ou Cazares? Fico na dúvida mas acho que os dois.,há 2 anos,0,
