text,time,votes,replies
"Fala, torcedor!
Pelo desempenho na partida, o Fortaleza mereceu o resultado ?",há 2 anos,514,77
UUUUUUU GRÊMIO  JÁ PERDEU,há 1 ano,0,
EU  ACHO  QUE  É   VASCO    E   FORTALEZA   E   NÃO   GREMIO,há 1 ano,0,
1 ano desse jogo,há 1 ano,2,
"O que é uma diretoria e um plano de ascensão realmente sério, o fortaleza amargava na série c, e hoje está jogando toda essa bola 👏🏽",há 2 anos,1,
O Fortaleza tá com um timáo. Patabéns ao Leáo Cearence.,há 2 anos,1,
Goleiro do Grêmio não merece jogar a série B,há 2 anos,0,
"Parabéns pro Fortaleza mesmo! Tá sabendo se aproveitar dos erros dos adversários! Aquele JP não marca nem a própria sombra, e o camisa 22 do Grêmio( q não sei quem eh) deveria ter marcado o Picaxu eqto o lateral marcava o outro na ponta!",há 2 anos (editado),0,
"Fortaleza  merece demais  trabalho  com seriedade e competência da frutos, rumo a libertadores Fortaleza 
Saudações vascaínas",há 2 anos,0,
Melhores Momentos do Fortaleza.,há 2 anos,0,
O Fortaleza é uma máquina de finalização!,há 2 anos,1,
Grêmio tem mais é q se foder,há 2 anos,0,
"PORQUE O PIKACHU NÃO COBRA AS FALTAS?????
HEIM  TÉCNICO???",há 2 anos,0,
ano vem gueymio serie b novamente  kkkkk,há 2 anos,0,
"Seribi, seribi, Grêmio vai pra seribi 😂😂😁",há 2 anos,0,
bem vindo grêmio a (INCRIVEL B) vai ter Cruzeiro x grêmio os dois maiores  campeão da copa do Brasil,há 2 anos,1,
Pikachu usou Ataque Rápido .,há 2 anos,0,
"Rapaz o que mais me impressionou foi o goleiro do Grêmio.

O do Internacional também é um ótimo goleiro.",há 2 anos,0,
agora meu time sai do rebaixamento chegou o mancini,há 2 anos,0,
Fortaleza está voando,há 2 anos,1,
Sim.,há 2 anos,15,
Sim,há 2 anos,4,
"Lógico....Até Pênalti Não Marcado, Teve Pro Fortaleza!",há 2 anos,30,
Claro ne porraaa,há 2 anos,8,
Não,há 2 anos,0,
ARE ARE ARE O GRÊMIO VAI JOGAR A SÉRIE B🎶🎶🎶🎶,há 2 anos,10,
Mereceu não o roque Júnior disse   Q o Grêmio foi melhor 😂😂,há 2 anos,4,
@Edilson já caiu né,há 2 anos (editado),0,
chora,há 2 anos,1,
vai cair gaymio,há 2 anos,2,
