text,time,votes,replies
"Bragantino é forte ? Não
Red Bull  é forte ? Sim
Um projeto que mudou a tradição do clube...
Comercializando o clube, operário e Londrina que são do interior ngm fala esses sim são projetos de garra",há 2 anos,0,
quando esse jogo acabou a gente já sabia que seria campeão da sudamericanakkkk,há 2 anos,1,
Parabéns ao athetico time mas organizado do Brasil mostrando que boa precisa de milhões pra ser campeão 👏👏⚽️❤,há 2 anos,0,
Feliz,há 2 anos,0,
O bragantino vai sai do G4 vai acaba né fica na pré libertadores,há 2 anos,0,
"bom jogo
otima narração",há 2 anos,1,
"Marcinho assassino comemorando gol . Enquanto uma família chora até hj .
Parabéns justiça brasileira",há 2 anos,2,
"QUE NARRADOR SENSACIONAL, ATÉ CHOREI DE TAO BONITO QUE E A NARRAÇÃO",há 2 anos,0,
"Bom jogo do Athletico já tá realmente começando a merecer o título da sula, mas torço para o Bragantino pois abrirá mais uma vaga no brasileirão para um ir pra libertadores",há 2 anos,0,
"Essa ""justiça"" brasileira é um lixo, esse Marcinho era pra estar atrás das grades 🖕",há 2 anos,1,
Italo não dá!!,há 2 anos,0,
Athletico Paranaense bicampeão da copa Sul Americana,há 2 anos,2,1
Que linda narração cara! 😢😢,há 2 anos,0,
Narração emocionante,há 2 anos,1,
"Contra tudo e todos dalhe Furacão orgulho do estado 
🌪🔴⚫🔴⚫🔴⚫🟥⬛🟥⬛🟥⬛💀",há 2 anos,1,
E esse 2 times vão disputar a final da copa sul Américena,há 2 anos,2,
"Marcinho: dois homicídios. Jogando futebol livre, leve e solto. Brasil é isso.",há 2 anos,1,
"É NOISSS!!!!!
É FURACÃO!!!!
SUL AMERICANA É NOSSA!!!!
😄😄😄😄",há 2 anos,0,
pura emoção esse jogo. narrador 2021.,há 2 anos,0,
Se red bull vacila perde suliamericana,há 2 anos,1,
😳,há 2 anos,0,
"Marcinho, matador mais uma vez!",há 2 anos,1,
Esse Marcinho é bom lateral quando vai ao ataque é muito “Matador”😳,há 2 anos,2,
UH CALDEIRÃO!,há 2 anos,0,
O bragantino vai começar perder sem parar... sinto muito...,há 2 anos,0,
Goleiro falhou feio no primeiro Gol!!!,há 2 anos,0,
"Legal ver o Pedro Rocha reencontrando seu futebol, Depois de passagens apagadas por cruzeiro e Flamengo!",há 2 anos,1,
Falha absurda do cleison frangasso,há 2 anos,0,
Bela narração!,há 2 anos,0,
"Ganhar essa Sula de qualquer jeito, pq se depender do time no Brasileiro, a vaga da liberta vai ir pro espaço!",há 2 anos,0,
Esse Marcinho era pra tá preso,há 2 anos,1,
Também acho bragantino mais perigoso do que o galo,há 2 anos,0,
Nunca tem narrador pro jogo do Atlético  patético kk,há 2 anos,2,1
que frango do goleiro do bragantino  nunca jamais pode levar .gol desse,há 2 anos,0,
O narrador narrou ate pensamento....🗣,há 2 anos,0,
"Ge sempre com suas besteiras, pra q foi tirar a porra do áudio da narração?",há 2 anos,0,
Bela naração,há 2 anos,0,
"Bragantino perdeu no brasileiro pra vencer na decisão, entendam kkk",há 2 anos,0,
Ótima narração kkkk,há 2 anos,0,
Ninguém tira essa título do atlético paranaense na sul americana 2021...,há 2 anos,1,3
Sou surdo pena que não pude apreciar narração e comentário desse excelente trabalho do canal,há 2 anos,0,
Não é time pequeno mandado pela Globo como o seu.,há 2 anos,3,
"na fala merda , bragantino escondeu o jogo, com certeza esse título já e do bragantino massa bruta",há 2 anos,0,
 @cadu6739  hahaha,há 2 anos,0,
 @furacaocopeiro2448  sou athleticano pô kkkk,há 2 anos,0,
O mal venceu,há 2 anos,1,
Parabens Atletico Paranaense pela Vitoria.,há 2 anos,1,
Time de aluguel,há 2 anos,0,
"Jogador que mata pessoas e ainda continua jogando bola, parabéns Justiça do Brasil que é um lixo. Pessoas que MATAAAA tem que ser preso.",há 2 anos,1,4
Se o Athetico perder o título da sul americana pra essa empresinha é fd,há 2 anos,2,5
O jogo só teve o primeiro tempo kkkkkk,há 2 anos,0,
"Se dane, o bragantino vai amassar na final da Sul-americana, bragantino já é campeão",há 2 anos,1,2
"Line Up

Bragantino

Cleiton 18 (GK) 
Aderlan 13
F. Bruno 14
N. Bernardo de Souza 21
Edimar 6
Jadsom 5
Ramires 16
Helinho 11
Artur 7
T. Cuello 28
Ytalo 15

Atletico Paranaense

Santos 1 (GK) 
P. Henrique 34
Thiago Heleno 44
Jose Ivaldo 27
Marcinho 5
Erick 26
L. Cittadini 18
Abner 16
Nikao 11
Christian 88
G. Bissoli 17",há 2 anos,2,
"Obrigado Deus e Sicupira eterno!  Maior ídolo da torcida Atleticana, paz e muita luz pra sua alma e pra sua família, e a nossa que é o Atlético Paranaense, muita saudade já desse grande sujeito Barcímio Sicupira, nunca vou esquecer na metade dos anoa 90, torcendo para o rubro negro e domingo à noite assistir a CNT o programa mesa redonda, ver e escutar os comentários ver os lances, com a análise sempre precisa do Sicupira e Fernando Gomes anumciando mais uma vez mais uma vitória do Cap dizendo assim, O Atlético ABUTUOOOUUU... HAHAHA PAZ SICUPIRA, VALEU.. e valeu time por mais essa vitória fora de casa importantíssima pra dar seqüência no brasileirão e os demais trabalhos, mais força, segurança e moral pra conquistar as finais da Sula de copa do Brasil, sempre com humildade e espirito de luta, vamos rubro negro com garra e com raça.. nãooo pára de cantar!!!❤❤",há 2 anos,1,
"Quero ver como vai ficar a próxima temporada com essa docice do Atlético paranaense, a maioria dos times terá jogos ocultos, exceto Flamengo e Corinthians!",há 2 anos (editado),0,1
Goleiraço o Santos! Muita categoria pouca mídia!,há 2 anos,0,
falha clara do goleiro do Braga no primeiro gol,há 2 anos,0,
"Athletico bem desenhado taticamente com um 3-4-3 onde os laterais viram alas, na hora de defender o recuo dos alas forma uma linha de 5 e a marcação baixa atrai o adversário permitindo espaço para o contra-ataque",há 2 anos (editado),1,1
Espero que massa bruta ñ entregue a sul americana,há 2 anos,0,
Marcinho assasinou a coruja se é q me entende,há 2 anos,0,
Final da sula promete,há 2 anos,0,
essa vitória é pra você Sicupira ⚫🔴🌪,há 2 anos,4,
Esse campo não é u do bragantino,há 2 anos,0,
"N fiquei feliz com o gol do Marcinho 
Por N motivos.",há 2 anos,0,
Gol do assassino e os poodles ainda comemoram,há 2 anos,0,1
??,há 2 anos,0,
?,há 2 anos,0,
 @Lukassp  o cara que fez o gol já matou um casal eu acho,há 2 anos,1,
" @Lukassp  o cara que fez gol matou um casal, e cara ta solto jogando bola e não foi nem condenado e entre outras barganhas é foda viu. Justiça Brasileira é ridícula",há 2 anos,0,
E vai perder! Rsrsrs,há 2 anos,0,
Rsrsrs,há 2 anos,0,
 @Lukassp  nunca mais pra jamais,há 2 anos,0,
não zikas,há 2 anos,0,
Mais um revoltado q tomou Red Bull e não cresceu asas kkkk,há 2 anos,1,
Bragantino campeão?? Kkkk...braga tomou um gol de volêio do Big Nike kkkk.,há 2 anos (editado),1,
" @michaelmyers6099  A ZIKA DEU CERTO, SOU ATHLETICANO FIQUEI COMENTANDO ISSO TODO DIA VALEU POR LEMBRA!!! DALE FURACÃO",há 2 anos,0,
