text,time,votes,replies
"Xô jejum ! 1ª vitória do Grêmio!
E ai, curtiram?",há 3 anos,544,86
O grêmio não vai cair pra segunda divisão força jogadores do grêmio,há 2 anos,1,1
"Arina,gosto de vê-los jogando bem.Nada de ofensas, nem agressões.Nem TDS dias estamos bem.Vcs são nossas alegrias.Sou Mengo!",há 2 anos,1,
"Dois times que merecem  ser sepultados de vez na série B, fluminense e grêmio; o fluminense por nos proporcionar esse vexame dentro do seu estádio, perder para o penúltimo colocado na zona da degola.",há 2 anos,1,
"não entendo por que venderam o Pinares, muito melhor que o JP, nem deram chances pra ele.",há 2 anos,0,
porque não mostraram a queda do ganso sozinho??,há 3 anos,0,
Perdeu  pro vice lanterna,há 3 anos,1,
Kkkkkkkk,há 3 anos,1,
Azera fir der semanar Adatorar feriadar,há 3 anos,0,
Artilheiror dor brasir,há 3 anos,0,
Chapecoenser ér cuisbar duerlaramr pelor brasileirár,há 3 anos,0,
Fluminenser xiser gremior agremiaçãr cariocar dér futébor ér clúber brásileiror dér futébor gãuchor,há 3 anos,0,
ROUBADO!,há 3 anos,2,
"MANO, isso n foi penalte 😐",há 3 anos,0,
"Porra Flu, deixou o Grêmio ganhar… queria ver essa praga rebaixada…",há 3 anos,0,2
"Área  * existe *



Fluminense  : *  qualquer falta pro time adversário  dentro da are *",há 3 anos,0,
Também se o Grêmio não tivesse vencido a primeira do brasileirao pelo amor de Deus né kkkkk ala série B,há 3 anos,1,
Riverier pleicer,há 3 anos,0,
Gol no finalzinho de pênalti e osso.,há 3 anos,0,
Parabéns grêmio,há 3 anos,1,
"FlorminenC, Grêmio roubou tbm kkkkkk",há 3 anos,5,
Sofrido mas vlw,há 3 anos,4,
Flamengão malvadão pai de todo porco imundo sem copinha,há 3 anos,4,
 @Rianj99  Foi pênalti,há 3 anos,7,
 @Rianj99  fica quieto fluminense freguês,há 3 anos,7,
Finalmente meu Grêmio venceu 💙🙏,há 3 anos,4,
@Edilson Só assim msm pra fzr gol,há 3 anos (editado),0,
 @gringoff1643  Grebbio vai cair kkkk,há 3 anos,1,
 @gringoff1643  Fluminense é ruim dms kkkk,há 3 anos,0,
 @Rianj99  Você torce pro time do Acre que ganhou todos os seus títulos quando o Pelé era revelação kkkkk,há 3 anos,2,
Viva o Rey de Copas do Brasil 🇪🇪,há 3 anos,6,
 @Rianj99  vai nada,há 3 anos,0,
Qual e o amigo do gremio no var?,há 3 anos,1,
FlorminenC e flaputa ñ tem estádio,há 3 anos,3,
" @paradanime  pena q n vai ficar com essa vitoria, provavel q vai ser anulado com esse roubo claro do var, e pelo gremio so ter ganhado por causa do penalti",há 3 anos,0,
 @Rianj99  meu ovo,há 3 anos,0,
 @G4M3R455  chora,há 3 anos,0,
 @gremistaradical8546  Time do Acre? KKKKKKK,há 3 anos,0,
 @G4M3R455  Roubo? Tá Loko? A falta foi dentro da área meu deus.,há 3 anos,0,
 @gremistaradical8546  Santos 4x1 Grebbio,há 3 anos,0,
 @G4M3R455  aceita ah perde pro lanterna,há 3 anos,0,
 @Rianj99  ninguém aqui ta falando do Pelé fc,há 3 anos,0,
 @Rianj99  Grêmio 5 x 0 SanCUS,há 3 anos,2,
E PAULO  NUNES O FLUMINENSE  PERDEU.  O  FELIPÃO  É  BRABO MESMO.,há 3 anos,0,
" @Javidelagente  Gremista é tudo wey
Kkkkkkk",há 3 anos,1,
 @gremistaradical8546  Quando isso?,há 3 anos,0,
@Edilson kkkkkk,há 3 anos (editado),0,
Ja tava na hora ne,há 3 anos,0,
"Grêmio: A 
FlorminenC: só a cabecinha",há 3 anos (editado),1,
" @Rianj99  Foi 5 x 1 na vdd, em 2018",há 3 anos,1,
" @gremistaradical8546  Tá, e?
5x2 em libertadores q vexame Kkkkkk",há 3 anos,0,
Não,há 3 anos,0,
"PQ EU CONSIDERO O PALCÚ  NANICO

NAO TEM MUNDIAL 
NAO TEM ESTÁDIO 
NAO TEM RECOPA
NAO TEM SUPERCOPA 
NAO TEM COPINHA 
NAO TEM HISTÓRIA 
NAO TEM TIME
NAO TEM TORCIDA
NAO TEM MUNDIAL 

NANICO👍",há 3 anos,2,
