text,time,votes,replies
"O internacional entra nas partidas com 14 em campo, ( árbitro e bandeirinha ). Daí é fácil ,né. Kkk ,coitado do meu Ceará, foi garfado.",há 2 anos,0,
Qui naração entranha 😂😂😂,há 2 anos,0,
Vergonha o que fizeram com o vozão,há 3 anos,0,
Roubaram o vozão,há 3 anos,0,
"Não pode dar pênalti para o Internacional, como pode",há 3 anos,0,
interessante,há 3 anos,0,
Que narração :(  futebol está muito democrático,há 3 anos,0,
Essa mulher é MT ruim kkkkk,há 3 anos,0,
Pai amado com essa narracao e ainda mais com uns perna de pau desses,há 3 anos,0,
"Em festa Junina, teve até  o Messias tentando pular carniça nas costas do cuesta  kkkk",há 3 anos,0,
"Pior narração possível!!! Horrível, horrível.",há 3 anos,0,
Golaço do Ceará !,há 3 anos,0,
Lima cria da base do Grêmio,há 3 anos,0,
Passaram a mão no Ceará,há 3 anos,0,
Que narração irritante pqp,há 3 anos,0,
mdss que narradora ruim,há 3 anos,0,
Só faltou ele anular o gol de falta do Ceará também.,há 3 anos,0,
"o Inter não fica uma rodada sem a tradicional ajudinha da arbitragem
que vergonha um time desses, tá ficando igual o Curintia e o Framengo, que os cholorados tanto criticam
Intervarcional é o menor do sul",há 3 anos,0,
"Intervacional merece ir pra série b 

            
           Abel do vinho",há 3 anos,2,
"Meu amigo isso aí não foi fora da área,ontem teve um pênalti pro São Paulo dentro da área em cima da linha e não foi dado,esse do inter aí pareceu fora(observação )São Paulo não tá jogando nada mais o pênalti poderia dar um respiro no jogo ainda",há 3 anos,0,
Viva o CAP. 4 jogos 12 pontos. 1º lugar na tabela bras 2021. Único com 100% aproveitamento.,há 3 anos,0,1
Que narração horrível dessa  mulher pqp Kkkkk,há 3 anos,1,
Nem roubando a gente ganha,há 3 anos,0,
O Inter se salvou de levar o gol da virada .,há 3 anos,0,1
Achei que a falta que resultou no pênalti pro Inter foi fora da área. Também achei que o goleiro do Colorado falhou no gol de falta do Ceará. A bola era defensável.,há 3 anos,1,
Golaço do Lima,há 3 anos,1,
Esse Goleirão Ceará é Burrão em kkk,há 3 anos,1,
"A gente percebe como a mídia em si é tendenciosa quando olhamos os lances. Assistindo a esse ""melhores momentos"" ridículo, aparenta até que o Inter foi melhor sendo que não colocaram vários lances de ataque do Ceará como a cabeçada do mendonza por exemplo. Não focaram no pênalti não dado ao Ceará além de quem assistiu ao jogo por completo saber que o vozao foi muito mais time jogando muito melhor que o Internacional.",há 3 anos,0,
Ceará fez gol de vídeo game e parecia que tava jogando em casa,há 3 anos,0,
Essa arbitragem da CBF cheia de gaúchos passa o rodo geral nos clubes do NE. Esses G12 é uma farsa.,há 3 anos,0,
time de merda esse inter e a direçao,há 3 anos,0,
que timinho de peladeiris esse inter,há 3 anos,0,
Conseguiram fazer um video com mais de 3 minutos!? Kkk Parabens pro editor,há 3 anos,1,
1:50 A cara do Cidadão de pouco amigos agora não tem como invalidar.,há 3 anos,0,
Até com o VAR  a favor do 🅱️inter eles não ganharam kkk time lixo e medíocre,há 3 anos,0,
0:05 tô até agora tentando entender que porra foi essa,há 3 anos,0,
2:46 ANIMAL,há 3 anos,1,
"Time medíocre uma vergonha. 
Saudades de Nilson,Maurício,Leandro,Gamarra,Índio,Dalessandro,Amarildo,Dunga,Fabiano,Arilson,e outras lendas que vestiram essa camisa Colorada. 
Geração decadente",há 3 anos,0,
era pra ser uns 4 pro Ceará,há 3 anos,0,
"Lucas Ribeiro recuando pro goleiro parece que tem medo de jogar futebol, Erro de passe a 2 metros um do outro! ta tudo errado...",há 3 anos,0,
"Tetra rebaixado, menor que o Botafogo, time pequeno que chega em uma final importante e toma de 4, uma vergonha, cópia mal feita do Mengão, tá mais pra um Atlético Goianiense com grife, quando essa fase passar vai voltar a ser só mais um na série B",há 3 anos,0,
"O inter não se salvou, o var salvou o inter",há 3 anos,0,
"Torço Fortaleza, mas o Ceará foi roubado nesse pênalti não marcado, com o desvio com a mão. Neste vídeo não mostra, mas claramente, o defensor do Inter toca a bola com a mão antes da mão apoiar no chão, portanto não vale a regra que diz não ser pênalti quando a bola toca no braço que está apoiado no chão, como defendeu a Central do Apito. Vergonhoso.",há 3 anos,0,
Sou baêa minha porreta!,há 3 anos,0,
Ge..globo/Bahia!,há 3 anos,0,
Todo jogo tem pênalti para internacional,há 3 anos,0,
OPA!,há 3 anos,1,
Garfada FC. Será que o Internacional precisa de tanta ajuda?,há 3 anos,0,
Juiz garfou viu?!,há 3 anos,0,
Essa narradora da não! Muito ruim!,há 3 anos,1,
190,há 3 anos,0,
Ficou faltando o gol perdido do Mendoza e o atraso de bola do Sobral nos pés do Galhardo,há 3 anos,0,
"Se esse toque de mão fosse do Ceará o juiz concerteza iria marca o pênalti pro inter mas como é um time do Nordeste não marcaram ,qualquer toque de mão na área é pênalti no Brasil então isso não foi toque de mão não.",há 3 anos,9,1
Que horrível esses melhores momentos.,há 3 anos,0,
Só tem replay noa gols? Ngm entende pq n foi marcado penalti e pq foi anulado o gol,há 3 anos,0,
"Aqui esses árbitros mesmo com o WAR ainda erram,foda.
Ceará roubado na cara dura",há 3 anos,0,
E o árbitro dependendo do VAR pra tudo🤦🏽‍♂️,há 3 anos (editado),5,
Esse time sempre carregado nas costas por esses pênalti meia boca .,há 3 anos,0,
Com essa narração qualquer jogo fica horrível 🤢🤢,há 3 anos,0,
"Incrivel so pq é nordeste ele nem no VAR foi olhar kkkkkkk . Ridiculo e eles pensam q n notamos , ta escancarado p defwnder o internacional . Com todo respeito a instituicao",há 3 anos,0,
o intervacional já começou entrar em açao🤣🤣🤣🤣🤣🤣🤣🤣🤣,há 3 anos,0,6
Foi pênalti para o Ceará!,há 3 anos,0,
"Com certeza, assim como não marcaram pro inter no último jogo do Brasileirão passado, valendo título pro inter se ganhasse",há 3 anos,0,
O pênalti não dado pro Ceará foi igual ao lance do inter vs Corinthians e o pênalti do inter foi claro só o gol de cabeça que o Juiz errou,há 3 anos,0,
 @meciautista3234  kkkkkk inter faco,há 3 anos,0,
 @Gabriel.930  não entendi como vice do brasileirão é fraco 🤔,há 3 anos,0,
 @meciautista3234  vice e título ?,há 3 anos,0,
 @Gabriel.930  não é título mas se um time é vice é pq ele é forte o suficiente pra brigar por aquele campeonato,há 3 anos,0,
 @meciautista3234  Então meu Grenio e o MAIOR do sul  🔵 ⚪️,há 3 anos,0,
"Esse técnico substituto do Inter é um brincalhão, é um gozador , tendo escalado um time horroroso, sem eira , nem beira , Não dá para entender essa direção desastrosa que não escala o Julinho Camargo como técnico, um cara que entende de futebol , principalmente do futebol gaúcho.e prefere a liquidação do plantel com um professor pardal.
O pobre goleiro deveria tomar um ""valium"" antes de entrar em campo, muito nervoso.
A única solução seria uma  reunião de emergência de  todos conselheiros do Inter para antecipar a nova eleição presidencial para Dezembro porque do jeito que vai vão acabar penhorando Estádio  Beira-Rio para manter esse plantel milionário.",há 3 anos,0,
Inter tá jogando qual campeonato?,há 3 anos,0,
"Como eu vi os lances polêmicos: 
Pênalti dado ao Inter: não tem o que discutir. O goleiro vai nas pernas do Yuri.
Gol anulado do Ceará: mal anulado. Eu, pessoalmente, não vi força suficiente para ser falta.
Pênalti ""retirado"" do Ceará: esse é o mais polêmico. Se seguir o critério usado no BR do ano passado, não foi pênalti por conta do tal ""braço de apoio"". Mas, se seguir o critério usado, por exemplo, na final da Copa América (Brasil 3x1 Peru), foi pênalti. Eu acho que não foi, pois foi braço de apoio (eu acho que as regras no futebol tinham de ser objetivas, por exemplo: tocou no braço, pênalti, não importa se foi ou não intencional, se foi ou não apoio. Teria uns 20 pênaltis por jogo, mas não daria tanta polêmica). Acho que foram esses os lances que causaram ""barulho"".",há 3 anos,0,14
"o inter jogou com um a mais, juiz ladrao da porra",há 3 anos,0,
"engraçado q o penalti do inter 
ele nem sequer foi Olhar o Var 
Sendo Q Era um Lance A Ser Analisado 

Agr Pro Ceara 
opaaaaa 
Mesmo cm a ajuda do var ainda rouba na cara dura 

fora  o gol Q Foi Gol 
siim 
O Messias Pulou Buscando a Bola 
o Cara para Na Frente Dele pra fazer oq ? 
a bola ja vinha pro messias 
pra min esse jogador do inter buscou a falta 
ou seja era pra ter marcado o gol 
ou anulado 
pra marcar era penalti 
Arbitro baiano 
TA Esplicado Porq É Ladrão",há 3 anos,0,
Jogaco,há 3 anos,0,
"Diego Aguirre tem que montar o Elenco do Inter ofensivo, o Internacional tem elenco para fazer uma boa temporada, só falta montar o time certo",há 3 anos,3,
"Como sempre as arbitragens ajudando o Inter, agora virou graça e sempre contra os times nordestinos.",há 3 anos,0,
"Arbitragem triste, sofrível e sem vergonha.",há 3 anos,0,
Mano eu sou Fortaleza mais arbitragem paia e essa slk enrolando times nordestino tmnc,há 3 anos,2,
Narração horrorivel,há 3 anos,0,
Culpam o juiz aquele que nao tem futebol p vencer. Pq o fortaleza meteu 5x1?,há 3 anos,0,2
Roubaram o vozao,há 3 anos,0,
Teve duas chances perigosas com o Mendoza que eram pra estar aí nesses melhores momentos.,há 3 anos,4,
Que narração de bosta,há 3 anos,0,
"Ceará podia ter metido 3/4 aí nesse jogo,",há 3 anos,0,
Vozão amassou merecia ganhar,há 3 anos,0,
"METERAM A MÃO NO CEARÁ!!!!

Primeiro, não foi pênalti no jogador do Inter porque ele mesmo forçou a queda e o contato.
Segundo, foi gol legítimo o de cabeça do Ceará, porque o jogador do clube cearense pulou e logo após o marcador do Inter fez cama de gato pra causar a ilusão de que o atacante do time adversário se pendurou nele.

Terceiro, FOI PÊNALTI CLARÍSSIMO E INDISCUTÍVEL do zagueiro do Inter, porque no carrinho ele apoiou a mão no gramado e nela bateu a bola, que desviou do percurso (os pés do jogador do Vozão pra ficar no gol sem goleiro). Ou seja, a bola foi desviada de seu percurso com a mão tomando outro rumo (o goleiro) em um lance claro de gol. PÊNALTI INDISCUTÍVEL A FAVOR DO CEARÁ!!! 

Quarto, a falta que originou o gol do Ceará, e o próprio gol em si, só não foram anulados POR TOTAL E ABSOLUTA IMPOSSIBILIDADE. Porque se pararem pra pensar, após o gol do vozão, o árbitro ficou olhando meio que pensando no que fazer, tipo, tentando bolar um plano pra anular mais um gol do Ceará, só que era impossível. E aí não teve jeito, foi obrigado (e a muito contragosto) apitar e dar bola ao meio, validando o gol de falta. 


ATÉ QUANDO ESSA MÁFIA, ESSA QUADRILHA DA ARBITRAGEM A FAVOR DO INTER (E SEMPRE) VAI CONTINUAR???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????",há 3 anos,0,
Que Juiz Ladrão Veiii !! Que Safado vei....Roubando o Ceará na Cara de Pal....Vergonhoso,há 3 anos,0,
"Essa narração está muito melhor...
Em outros jogos, era de chorar..

Mas agr acertou no tom, e na emoção nas jogadas....
Quanto ao jogo...

Nem torço pro inter msm.
;-p",há 3 anos,0,2
"O problema é que o Edenilson(acho que foi ele) não precisava daquele braço, ele meteu o braço na bola e atrapalhou a jogada. Na final da Copa do Nordeste o Bahia ganhou um pênalti por causa da bola ter batido no dedo do Luiz Otávio, aí vem o cara metendo a mão na bola e atrapalhando o Ceará e esse Pombo Lopez com auxílio do VAR anulando",há 3 anos,0,
" @gabrieljabitel  Sim, foi o Edenilson. E sim, na minha visão, ele precisava daquele braço. Ele tava no meio de um carrinho, e quando tu faz isso tu instintivamente coloca o braço no chão pra proteger. Mas é exatamente isso que eu queria evitar ao recomendar que as regras no futebol fossem objetivas. Se fossem, ele teria marcado o pênalti e não teria gerado esse alvoroço todo.",há 3 anos,0,
" @gabrieljabitel  E eu, revendo o lance algumas vezes, to começando a achar falta no Cuesta. Mas assim fica muito difícil de analisar; o correto seria em câmera normal, com poucos replays, visto que é o que o árbitro tem disponível na hora do jogo.",há 3 anos,0,
" @augustofigueredo64  Olha, o Edenilson caiu com braços abertos. O movimento do braço é na direção da bola, e pra mim caracteriza pênalti claro. Tanto que a maioria dos comentaristas que eu vi disseram que foi pênalti, e muitos citaram casos parecidos que foram pênalti.",há 3 anos,0,
" @gabrieljabitel  Beleza, só que daí eu não entendo como que em outros jogos teve o mesmo tipo de lance e não foi marcado, e ninguém falou nada. São lances parecidos, se tu parar pra ver. Sinceramente, nem sei porque eu to falando sobre isso contigo, afinal esses jogos já passaram e não vai mudar nada mesmo kkkkkkkk
Mais fácil aceitar que a arbitragem no Brasil deixa muito a desejar para todos os lados e tentar cortar o problema pela raíz do que ficar falando ""tal time é ladrão"" ou coisas do tipo. (Pra ficar registrado, eu falo que o Corinthians é ladrão por causa dos escândalos fora de campo e coisas assim, não simplesmente por causa da arbitragem hehe).",há 3 anos,0,
" @augustofigueredo64  Bom, a arbitragem do Brasil é um lixo mesmo, mas historicamente quem mais se lasca são times de fora do Eixo, principalmente nordestinos. Se algum time é ladrão não sei, só não quero que assaltem meu time",há 3 anos,0,
" @gabrieljabitel  Isso é o que acontece quando tu junta incompetência com má intenção. Mas mesmo o Inter sendo ""do eixo"", não dá pra esquecer os roubos bizarros que aconteceram contra o Inter também, principalmente contra os times de SP e do RJ. Vou citar um exemplo muuuuito famoso: aquele pênalti de 2005. Aquilo claramente foi ato mal intencionado, tanto que foi provado depois que havia um puta esquema de manipulação de resultados de uma casa de apostas lá (nem lembro direito) que favorecia o Corinthians. E também não dá pra colocar os nordestinos como 100% mocinhos também, porque não são. Pega o jogo entre Ceará x Grêmio, teve uns dois pênaltis não marcados pro Grêmio e um gol irregular (no mínimo duvidoso) a favor do Ceará. Teve também dois jogos entre Inter x Sport que tiveram lances no mínimo estranhos: no jogo do ano passado, teve um lance em que a bola comprovadamente SAI e mesmo assim eles dão gol. No outro jogo (o mais recente), teve um pênalti bizarro a favor do Sport e um gol mal anulado a favor do Inter em que a bola não sai (aparentemente o Sport tem problemas em saber se a bola saiu ou não sksksksks). Mas beleza, pode pensar dessa forma vitimista. Só saiba que, ao pensar assim, tu acaba virando as pessoas contra ti, pois elas começam a te chamar de chorão. Falo por experiência própria. Lembrando, não fica bravo. Não estamos brigando.",há 3 anos,0,
" @augustofigueredo64  Não é vitimismo, são fatos. Times nordestinos são por tabela as maiores vítimas de erros arbitragem no futebol, isso veio melhorar recentemente. Em 94 o Ceará não recebeu um pênalti claro na final da Copa do Brasil que poderia ter mudado totalmente a história do jogo. Ano passado sofreu o empate pro Grêmio num lance que teve origem irregular. Fortaleza sofreu um gol irregular contra o Athletico ano passado, e ainda teve um gol mal anulado. Tem vários outros, não listo porque não sei de cabeça.",há 3 anos,0,
" @gabrieljabitel  Tá. Mas então por que quando os colorados também citam os fatos, chamam-nos de chorões? Não entendi. O que aconteceu em 94 eu nem sei porque eu não tava vivo ainda, mas falo pelo o que eu já vi, e o que eu já vi foi times nordestinos serem beneficiados várias vezes, e os torcedores ficando sem falar nada. Mas beleza cara. Se tu quer pensar desse jeito, pense duas vezes antes de chamar qualquer colorado que reclamou do ano passado de chorão, pois as coisas que ocorreram foram fatos (até alguns comentaristas do próprio RJ ficaram do lado do Inter na questão arbitragem.",há 3 anos,0,
" @augustofigueredo64  Eu não chamei ninguém de chorão, só falei que nordestinos são prejudicados muitas vezes. Não tô dizendo que só times do Nordeste são prejudicados, por exemplo, esse caso do Tinga em 2005, aquilo foi um roubo absurdo. Reconheço quando meu clube acaba sendo favorecido, mas depende do caso, tem vezes que é até aceitável o erro do árbitro por vários fatores, mas tem outras que fica explícito um julgamento parcial. Não tô acusando ninguém",há 3 anos,0,
" @gabrieljabitel  Eu sei que tu não chamou. Eu não falei que TU nos chama de chorões. Eu falei ""chamam-nos"", ou seja, em um contexto mais amplo. O que eu quis dizer (e desculpa se não me fiz por entender, quando a outra pessoa não entende, a culpa é de quem falou errado), é que os outros nos chamam de chorões, e não tu especificamente 👍",há 3 anos,0,
