text,time,votes,replies
"E aí, torcedor?
O que achou da partida?",há 2 anos,59,20
gshsggshsfshegeue,há 2 anos,0,
T ter ué eu rh tu,há 2 anos,0,
São Paulino que veio ver o único jogo do jandrei.,há 2 anos,3,
"O campeonato brasileiro já prestou, hoje é um futebol de várzea, o campeonato argentino é o melhor da América",há 2 anos,1,1
"Presidente, Doretoria e Mazuco rebaixador de clubes não deixem o Santos cair por favor, provar que é um time bom na série B assim como o Coritiba e Botafogo estão fazendo não vale nada, lutem com raça pra permanecer na serie A",há 2 anos,0,
Santos não escapa do rebaixamento com esse jogo patético.,há 2 anos,0,
Como que sport conseguiu empatar?,há 2 anos,0,
O santos tem sorte de ter vários goleiros bons pq essa zaga aí é uma bosta de verdade,há 2 anos,0,
"Sport é encardido meu irmão, não é pq não tem libertadores ou mundial que não é time grande não, isso é só questão de se organizar, lembrando que o Sport está vivendo a maior crise da sua história e mesmo assim tá vivo na elite do futebol brasileiro. se esse clube se organizar ninguém para esse time",há 2 anos,0,
"Sou corintiano, mais o Sport tá bem não cai,a vaga e do são Paulo",há 2 anos,1,1
Marinho perninha,há 2 anos,0,
Que jogaço  pegado continue assim meu Sport,há 2 anos,0,
Só passei pra avisar que a globosta está falida e perdeu o direitos da transmissão da copa do Mundo.,há 2 anos,0,
"Torcedor do santos se modernizando ao futebol atual , time que mais fez gols na história do futebol brasileiro, agora é só zero a zero ,ou no máximo faz um kkkkk triste Hem santista , que tempos horríveis",há 2 anos,0,
"Mas se o Lucas  Braga 
Pegasse melhor  na bola ...",há 2 anos,0,
Zaga  do Santos Fc é horrível só ñ foi pior pq o time do sport tb é ruim.,há 2 anos,0,
Bom para meu Bahia,há 2 anos,0,
O pior time da história do Santos,há 2 anos,1,
"Quem torce pro Santos deixa  👍
Quem torce pro Sport comenta ✍️",há 2 anos,3,
"Tão demorando pra postar o jogo da mulambada, por que será em?",há 2 anos (editado),3,
Torcedor do Watford não tem moral pra nada,há 2 anos (editado),1,
SARDINHAS TA FALIDA AMIGOS,há 2 anos (editado),4,
DOIS TIMECOS QUÊ VAI PRA SÉRIE B 22 🤣🤣,há 2 anos (editado),4,
"""eu prometo inscrever no canal do BLUES""

Vc prometeu, agora cumpre 😂.
,,,,",há 2 anos,1,
Mal,há 2 anos,0,
"Não vi, jogo bem fraco pelo visto",há 2 anos,0,
Cu,há 2 anos,1,
ACHEI OTIMO,há 2 anos,1,
NANICO E SEM ESTÁDIO ISSO É FLAXERECAFEDORENTA CAMARADA.,há 2 anos,0,
Jogo feio dá porra caralho tmc carille,há 2 anos,1,
Sport merecia,há 2 anos,1,
