text,time,votes,replies
"Vitória importantíssima do Juventude! Vai conseguir se manter na Série A?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,109,7
"Nossa eu como gremista já estava preocupado em jogar contra vocês na final do gauchão, mas claro que ainda não tá nada certo pois precisamos confirmar a classificação dentro da arena e sempre respeitando o Caxias. Mas pela bola que vocês jogaram hoje e o que vem jogando nos últimos jogos abrindo os olhos do Brasil inteiro eu tô bastante preocupada e com medo de enfrentar vocês na final sendo bem sincera mas de qualquer forma quero parabenizar vocês que são imensamente superiores ao adversário de hoje. Parabéns pelo jogo Juventude 👏🏼👏🏼👏🏼",há 4 meses,0,
TOU AQUI E ESTES 3 PONTO AJUDARAM O JUVENTUDE A FICAR NA SÉRIE A,há 2 anos,9,
"Um gol , Do Elias assim foi anulado pela SAFADEZA do VAR. 
Esse do juventude valeu. 🐈🐀🐈🐀🐈🐀🐈🐀🐈🐈🐈🐈🐈🐈🐈",há 2 anos,0,
"Sou palmeirense, o Inter é o maior chorão da história do brasileirão, assim como o fluminense e corinthians são os mais ajudados pela arbitragem. Mas foi penalti este último lance!",há 2 anos,0,
Caralho Papo Reto Mo Jogão 😂😂 eu Acho que o Juventude vai pega o Fluminense também 😂😂😂👏🏻👏🏻👏🏻👏🏻👏🏻,há 2 anos,0,
Se essa derrota servir pra rebaixar o grêmio. Voltamos no estádio e perdemos de novo 🤣🤣🤣🤣,há 2 anos,0,
Não houve pênalti?!?! kkkkkkkkkkkkkkkkk... Comentarista de arbitragem da Globo é uma piada.,há 2 anos,0,
Juventude > Inter,há 2 anos,1,
"Falou que o Inter entregou 
Hoje ganhamos do furacão jogando muito 
Inter não queria ganhar contra o juventude 
Mais o hoje contra o furacão foi diferente",há 2 anos (editado),2,
"""Ir para Libertadores é bom, mas afundar o Grêmio é melhor ainda ""

Internacional",há 2 anos,0,
"Essa linha de impedimento do gol do Juventude, é idêntica aos gols de Elias e Borja! Não entendo o critério, na boa!",há 2 anos,0,
Defesa do Inter é jovenil,há 2 anos,0,
Inter jogou com a mesma vontade do Grêmio contra o Flamengo ano passado 👌,há 2 anos,0,
Aeee só vô dize uma coisa...cadorini tinha que entra no intervalo...e comentarista e narrador bostas..no mas tá tudo certo,há 2 anos,0,
Se esse último lance fosse contra o Flamengo no Maracanã era penalti!,há 2 anos,0,
"O papo furado do comentarista pra justificar o erro do VAR, ""o cara toca primeiro na bola"". O jogador do Inter foi desarmado pela queda, causada pelo carrinho e não pelo toque na bola. Coisa que ninguém explica.",há 2 anos,0,
"Se eu fosse o Internacional eu tava pouco me lichando pro Grêmio ,vou perder vaga na libertadores e posição na tabela só pra rebaixar Um rival?Tem q ser burro pra fazer Isso.",há 2 anos,0,
narrador ruim da peste kkk,há 2 anos,0,
Golasso o segundo gol do Juventude !!! Inter 43 anos sem um Titulo Brasileiro kkkkkkkkkkkkkkkkkk,há 2 anos,0,
"Não, juventude vai cair para série B junto com grêmio, sport e Chapecoense",há 2 anos,8,
Inter queria entregar pro ju,há 2 anos,1,
Foi um jogão,há 2 anos,0,
 @SemNome-po1qs  ta,há 2 anos,0,
Não,há 2 anos,0,
"Bom 
L",há 2 anos,0,
 @kevinlukas5589  .,há 2 anos,0,
O Sorriso fez a alegria do torcedor do Juventude contra o Internacional. Jogou muito bem.,há 2 anos,0,
Deixaram ganhar pra afundar o grêmio,há 2 anos,0,
"Gente, o inter perdeu pra deixar o juventude pontuar pra ficar na frente do grêmio e deixar mais difícil o gremio sair da zona do rebaixamento.
Se o inter quisesse teria ganhado, mas como eles quiseram dificultar a vida do grêmio eles perderam propositalmente.",há 2 anos,0,
O primeiro gol do juventude está impedido,há 2 anos,0,
"Esse narrador de vês enquanto imita  Galvão Bueno ,,,era só oque faltava",há 2 anos,0,
Jdjssks,há 2 anos,0,
Time do caxias ou time ruim da porra,há 2 anos,0,
Jogo todo do p.v um gol e uma assistência.Merece titularidade👏,há 2 anos,0,
0:18 kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk nem meu pai bebaço faz isso de domingo,há 2 anos,0,
segundo maior do sul ganhou do terceiro...,há 2 anos,1,
O Inter nem entregou pra fuder o Grêmio não né? Akakakak,há 2 anos,0,
esse pênalti do Douglas foi mais pênalti que ele que marcado a favor do flamengo ontem,há 2 anos,0,
Alguém sabe por que o setor atrás do banco de reservas está cinca pu branco?🤔,há 2 anos,0,
Eçi imternaciomal kkkkkkk,há 2 anos,0,
Inter perdeu pra afunda o gremio kk,há 2 anos,1,
"O goleiro do juventude quase quebra o pé do jogador do Inter na área, e o  cara levanta, como se não fosse nada, queriam entregar mesmo.",há 2 anos,0,
BANDO DE SAFADO ESSE CERSA D OLIVEIRA MESMO LANCE EM RECIFE ELES EXPUSSARAO JOGADOR D SPORT,há 2 anos,0,
esse sorriso jogo dms,há 2 anos,0,
O Inter é tão rival do Grêmio que prefere ver o Juventude ganhar pra ferrar os caras do que classificar fácil pra fase de grupos da Libertadores.,há 2 anos,0,1
"Golaço do zagueiro dos macacos...

Não vai adiantar ..pq juventude cai igual. Time de série c",há 2 anos,0,1
"Não vai fazer diferença nenhuma, esse time do Inter ainda vai passar anos sem ganhar um título de relevância, vão pra Libertadores só pra dar um rolê. Então por que se preocupar? Tem que prejudicar o rival mesmo.",há 2 anos,0,
🧐,há 2 anos,0,
"Com fé em Jesus o Grêmio vai no jogo contra o Corinthians, pra gente se vingar destes trouxas",há 2 anos,0,
Inter forçou a derrota kkk,há 2 anos,0,
Cadê os fanfarrões que ganharam do Grêmio....kkkk,há 2 anos,0,
É por isso que o futebol brasileiro vai ficar cada vez mais pobre,há 2 anos,0,
Imagina preferir rebaixar o rival do q qrer ir pra libertadores direto,há 2 anos,0,
Esse sorriso o cabra é brabo colocou os caras do inter pra suar,há 2 anos,0,
Gol Contra esquisito kkkkk,há 2 anos,0,
Kkkkkkkkkl 43 anos kkkkkk vai fazer 44 kkkkkkkkk,há 2 anos,0,
Simplismente o resultado perfeito pro timão👏🏼,há 2 anos,1,
