text,time,votes,replies
"E o Bragantino voltou a vencer!
O que o professor Barbieri  mudou no seu elenco?",há 2 anos,133,23
Tô com tanta pena desse timinho aí quando o Flamengo pegar eles de volta pelo que vi aí quem jogou foi o goleiro do Bragantino e pra isso nós tem um Bruno Henrique um Arrascaeta e um Gabi gol pra ajeitar eles hoje nós tem um técnico não tem uma estátua chamada Rogério Ceni,há 2 anos,0,
Esse Arthur é um excelente jogador. Parabéns a toda equipe do Red Bull Bragantino. 👏👏👏,há 2 anos,0,
"Oh mequinha kkkkk,ta na competiçao errada 😂😂😂",há 2 anos,0,
Viva Red Bull BRAGANTINO  massa BRUTA,há 2 anos,0,
"O RBB tá evoluindo, ano passado disputou rebaixamento, se recupero, fou pra sul-americana, esse ano ta se firmando no top 10 da tabela e brigando no G-6, e ta indo longe na Sula, nesse ritmo ano que vem pode fazer uma boa campanha na liberta e ser um dos principais times do Brasil, talvez disputando vagas na Liberta frequentemente",há 2 anos,1,
"Fica de olho no Braga que os cara tão ganhando os pontinhos deles, se bobia eles vão pra libertadores",há 2 anos,0,
Pintou o campeão da sul americana ?,há 2 anos,0,
Cafonas!!!,há 2 anos,0,
"Gabriel Novaes, Marcos evangelista, helinho todos crias da base do São Paulo futebol  clube  e o  mesmo  gastou uma fortuna  para trazer o medíocre  Pablo,  por isso vai ficar  só  com  o paulistinha.",há 2 anos,0,
O coelho e o time ioiô.ate quando?,há 2 anos,0,
Uai KD o time de série A kkkk,há 2 anos,0,
"Amerikinha ano que vem infelizmente, ta juntos com as maria na 🅱️",há 2 anos,0,
tokiooooooooooooo,há 2 anos,0,
tokiooooooooooooooooooo,há 2 anos,0,
"Bragantino foi o único time do G5 que venceu, Braga vai ser campeão da Sula 👌🏽",há 2 anos,0,
Parabéns brangantino,há 2 anos,0,
Cara nunca tinha visto essa camisa do Bragantino de perto achei ela muito Top  compraria ela de boa,há 2 anos,0,
O Braga tá impossível!,há 2 anos,0,
"( ferroviário, cabo de st. Agostinho, pe. Brasil. Alô rapaziada, )",há 2 anos,0,
Enquanto isso o Flamerda pagando aluguel pra prefeitura pra jogar,há 2 anos,12,
 @ppppos7wik  Tentando achar o estádio do seu timeco,há 2 anos,7,
 @onlythat9570  tá bravinha porque em ? Argumentos de vcs é medíocre apenas dou risada 🥴,há 2 anos,2,
Como é bom ver os antis chorarrr 😭😭 minha alimentação minha alegria minha energia ❤️🖤🏆😝,há 2 anos,4,
" @ppppos7wik  belo comentario, mais isso dará estádio pro flacadela?",há 2 anos,9,
Oi,há 2 anos,1,
tática😏😌,há 2 anos,1,
 @cmphzdxnn  escreve certo cara,há 2 anos,1,
 @lzzx  o que tem haver é que o Flalixo é nanico e não tem estádio,há 2 anos (editado),3,
" @bugao9527  concordo, plenamente!😎😎",há 2 anos (editado),3,
"Henderson Lançou, Mané Perigoso, Girou Chegou Firmino Limpou Bateu Gooool do Liverpool 🔴⚪🔴⚪🏆
Malvadão maior que o Flamengo sem Mundial",há 2 anos,6,
 @GuilhermeSantos-jg9ih  vdd,há 2 anos,1,
 @GuilhermeSantos-jg9ih  kkk e o mundial de 81 ? Kkkk chorão sem argumento,há 2 anos,1,
 @isaquemartins1110  😎 aí sim,há 2 anos,3,
 @isaquemartins1110  kkkk,há 2 anos,3,
Flacatarro sem estádio,há 2 anos,2,
"Sem Raul fica difícil,mas acredito que podemos brigar lá em cima",há 2 anos,1,
"( ferroviário, cabo de st. Agostinho, pe. Brasil. Alô rapaziada, )",há 2 anos,0,
Kid quér hipe??,há 2 anos,2,
Flafrango não tem estádio,há 2 anos,2,
 @juninho5926  estadio do FlapirocaDeVei ?,há 2 anos,2,
 @lcghost5146  estadio do flaroletrando ?,há 2 anos,2,
" @isaquemartins1110  kkkkk, genial.",há 2 anos,2,
Artur tá jogando bem,há 2 anos,0,
"""OOOOOOOH Toca para o Ytalo que é gol!"" 🦁🖤",há 2 anos,0,
Show De Bola Do Red Bull Bragantino Pra cima Do América Mineiro,há 2 anos,0,
Vitoria Merecida Do Red Bull Bragantino Jogou Muito Melhor  Que O América Mineiro,há 2 anos,1,
Te vejo na série BBB coelhinho kkkkkkkk,há 2 anos,0,
O coelhinho não sabe jogar a série A,há 2 anos,1,
"Não adianta, time que não faz o mínimo de investimento e ainda perde os melhores jogadores, um até de graça,  vai votar para a série B.",há 2 anos,0,
"Tomara que o Bragantino ganhe a sulamericana,time bão esse viu!💪",há 2 anos,2,
"O américa Mg quando sobe pra primeira divisão é só pra passear, pensa em um time ruim.",há 2 anos,6,
Bragantino >>> Red Bull bragantino,há 2 anos,0,
O Toledo tá loco kkkkkkkkkkkkkk,há 2 anos,0,
Mesmo assim o atlético-GO  continua maior que os dois,há 2 anos,0,1
"A quarta força do futebol brasileiro na atualidade, só atrás de Atlético mineiro, Flamengo e Palmeiras",há 2 anos,1,
E o massa bruta tlg,há 2 anos,0,
"Só lembro daquele gol de chaleira que o Ytalo fez no Flamengo.

""Blarggchakra""",há 2 anos,3,2
"Barbieri, cria do Flamengo. Maldonado, campeão brasileiro pelo Flamengo.

""Blarggoiaba""",há 2 anos,8,
"Que finalização do Italo no primeiro gol,maioria isola .",há 2 anos,6,1
Taoo,há 2 anos,0,
Acho quem Será compeao e o atlético pr ta muito bem no capeonato sulamericana,há 2 anos,0,
"Eu vejo o bragantino jogar e fico me perguntando, o Palmeiras não já era pra tá apresentando um futebol mais criativo  ?",há 2 anos,0,
Só nos seus sonhos.,há 2 anos,0,
Mas quem fez foi o Aderlan kkkkkkk,há 2 anos,2,
Quem fez foi o Aderlenda kkk,há 2 anos,0,
"parecia até eu nos velhos, época em que jogava no xv de guachupé. Mas o craque do time era o tonhão maconha, digasi de passagi.",há 2 anos,0,
Falam do flamengo até né jogo de outros times isso que e inveja,há 2 anos,0,
"O América  embora tenha perdido, mas fez boa partida; foi infeliz nas finalizações que poderia ter resultado em gols.
Olha que o segundo gol do Bragantino foi um erro na saída de bola.
Infelizmente o que manda é gol!!!
Bragantino não é lá  essa coisa toda não
, muito com a ausência de Claudinho.
Escreve aí!!",há 2 anos (editado),1,
Graças a Deus esse Mancini saiu do Corinthians! Cara fraco,há 2 anos,0,
Jogar bonito demais o Bragantino,há 2 anos,0,
"Esse América mineiro não tem jeito mesmo, sobe, desce, efeito sanfona",há 2 anos,0,
Helinho tem que ser titular,há 2 anos,0,
Tá,há 2 anos,0,
"essa porcaria desse coelho,tem que ficar na segunda,e ainda ta de bom tamanho,timeco c/ meia duzia de geriatras,sem ambição,sem tradição,só serve p/ ganhar de maria,mas ai tbm é fácil né?! Serie B contra serie C.briga de anões..",há 2 anos,0,
O Bragantino tem um time muito forte...!,há 2 anos,2,
