text,time,votes,replies
"E o peixe conquistou a primeira vitória no Brasileirão!
E ai, curtiram a partida?",há 3 anos,289,21
"Messias  zaqueiro horrível, e pensar que um tempo depois o santos ia contratar essa merda",há 10 meses,0,
O CEARÁ PRECISA TREINAR MAIS A TABELINHA DENTRO DA ÁREA GRANDE,há 3 anos,0,
Vai peixao,há 3 anos,0,
VAMOOOO SANTOS,há 3 anos,0,
Messias KKKKKKKKKKK,há 3 anos,0,
Boa,há 3 anos,0,
Jogaço do Messias hein...deu tudo certo!,há 3 anos,0,
Boa vitória do peixão e grande atuação do Messias parabéns!,há 3 anos,0,
Valeu price.,há 3 anos,0,
🐳🤏😎,há 3 anos,0,
A água do Santos é diferente. Como revela esse time.,há 3 anos,0,
"No primeiro gol do Santos, Richard mal posicionado, totalmente adiantado.",há 3 anos,0,
Que narrador de bosta esse muito rui esse cara 💩💩💩fica bem longe nos jogos do Palmeiras com essa narração horrível,há 3 anos,0,
Tem q Respeitar o Peixão,há 3 anos,0,
O messias o melhor zagueiro....so nao vale jogar so...time ruim esse do ceara,há 3 anos,0,
Marinho Marinho é galo é galo santos vai perder dinheiros no meu marinho cinquenta milhões solteldor acorda santos,há 3 anos,0,
"Não torço pra nenhum dos dois, mas vejo como futebol não perdoa. Depois que Vina converte o pênalti e empata o jogo, tem a chance de virar pra o time cearense, e cara a cara com o goleiro, chuta fraco.
Seria um gol que poderia abater o Santos.
Logo em seguida, o time paulista chega no ataque e num bate rebate passa a frente e depois fecha o caixão.",há 3 anos,0,
Dixinismo Parte 2,há 3 anos,0,
Messias fez de tudo mais não fez nada KKKKKKKKKKKKKKK,há 3 anos,1,
"Sim, mas isso não mudará o fato do FLAMERDA não ter um estádio",há 3 anos (editado),18,
Sim.,há 3 anos,4,
Esse é o meu peixao,há 3 anos,8,
Esse peixe aí é só coloca para assar não vai ser mal a ninguém,há 3 anos,3,
"SEM MEU TIME DE IDOSOS EU NÃO CONSIGO



Santos 2021",há 3 anos,3,
 @darkness5098  kkkkkkkk oxi dunada o jogo do bragantino e Bahia foi melhor,há 3 anos,1,
Sim,há 3 anos,2,
Não curti era pro meu vozão ter ganhado,há 3 anos,1,
 @madarasantista9586  Vdd,há 3 anos,0,
Sim,há 3 anos,0,
"Só comentário besta.. Vamooo meu Peixão rumo ao título! Já tô iludido, dinizismo neles..",há 3 anos,1,
Jogão⚡,há 3 anos,0,
 @darkness5098  que maldade kkkkk,há 3 anos,0,
Logo em cima do kanal 😂,há 3 anos,0,
"Joga bola meu Peixão , MC Kevin eterno Santista 🥺❤️",há 3 anos,0,
Lógico,há 3 anos,1,
"""SEM MEU JUIZ EU NAO CONSIGO""


curitias time de série B  2021",há 3 anos,0,
"Bahia: PAI ENSINA. 

CEARÁ: FILHO NÃO APRENDI.",há 3 anos,0,
NAO,há 3 anos,0,
"O rede globo vai se fude, sou brasileiro patriota não preciso de vc....",há 3 anos,0,
@Edilson viu g,há 3 anos (editado),0,
Marinho parece que não está mais feliz no Santos não vem pro meu Bahia Marinho cheguei!!,há 3 anos,0,
"Tudo bem que o vídeo é de graça, mas os lances perigosos não tem replay minha gente?",há 3 anos,0,
"Esse messias do Ceará, ajudou o Santo de todos os jeitos, e ninguém percebeu isso... 😳😕",há 3 anos,0,
Mais uma vitória dedicada aos torcedores e torcedoras vítimas da Covid-19. Vocês jamais serão esquecidos.,há 3 anos,0,
Alguém sabe o nome desse narrador?,há 3 anos,0,1
Esse aí que é melhor que o Titi  né? Kkk,há 3 anos,0,
3 vezes messias,há 3 anos,0,
"Esse Messias só fez Bosta, espero que ele tenha crédito com a torcida",há 3 anos,1,
ceara segunda divisão em2022,há 3 anos,1,
Valeu feliz 2090,há 3 anos,1,
Acho que esse Marinho pensa que é um Leonel Messi.,há 3 anos,0,
Os desvios dos jogadores do Ceará lascaram o Richard,há 3 anos,0,
Caralho messias pisou na jaca em...,há 3 anos,0,
O Ceará  estava  desfalcado?,há 3 anos,0,
Vin Diesel e seus Bicos de Arbitro,há 3 anos,0,
Narrador chato,há 3 anos,0,
Todo mundo ganha nesse merda menos nois sif|_|der,há 3 anos,0,
O que aconteceu com a zaga do Ceará? Misericórdia.,há 3 anos,0,
Messias tava zicado não é possível cara esse homem deve ter ficado puto,há 3 anos,0,
Esse Messias,há 3 anos (editado),0,
Dandan,há 3 anos,0,
Marinho é seleção,há 3 anos,0,
SIARÁ KANAL passando vergonha sempre kkkkkkkkk,há 3 anos,1,
Messias 😂😂😂😂😂😂😂 jogador do santos infiltrado no Ceará.,há 3 anos,0,
Calma filho papai ta aqui🤗,há 3 anos,1,
Bora santos,há 3 anos,0,
"Bahia: PAI ENSINA. 

CEARÁ: FILHO NÃO APRENDI.",há 3 anos,1,1
Messias melhor em campo😂,há 3 anos,0,
Bé isso mesdias mah....kkkk,há 3 anos,0,
"No ultimo gol do Santos, o Kaio Jorge fingiu amarrar as chuteiras no momento da cobrança do escanteio, por isso ele entra livre de marcação nas quatro linhas e tem até um jogador que toma um susto. 
Malandragem selo ronaldinho gaucho de qualidade
(infelizmente o GE mostra os melhores momentos, como quem ta economizando na conta de luz, não da pra ver nada)",há 3 anos,0,
Messias melhor em campo,há 3 anos,0,
"Messias: eu vou dar um passe pra fazer  gol
Marinho e kayo Jorge:Então toca aqui 
Messias : pega e aproveita  kkkk",há 3 anos,0,
Esse Messias é o falso profeta ..kkk da le peixe 🐳⚪⚫❤,há 3 anos,0,
Show De Bola Do santos,há 3 anos,0,
Eu tô muito triste com essa derrota 😌,há 3 anos,4,
"se o SANTOS não se cuidar, vai cair.
futebol nota zero.",há 3 anos,0,
Renova logo Presidente Com o Caio Jorge e Carlos Sanches,há 3 anos,0,
O cara foi meter o caô no peixinho na frente do Vin Diesel. Aí não.,há 3 anos,0,
Os Peixonautas do Diniz tá on,há 3 anos,0,
Boa caraii,há 3 anos,0,
"Vice 2015 
Vice 2020 
Gol do BRENO LOPES kkk",há 3 anos,0,
Ai é foda kkk,há 3 anos,0,
Só fez lambança esse Zagueiro Messias do Ceará. Os 03 gols e mais o pênalti na conta dele.,há 3 anos,0,
Olha esse zagueiro do Ceará kkkkkk,há 3 anos,0,
Vitória do time fubá do Santos kkkk,há 3 anos,0,
je n'arrive pas à croire qu'il ait manqué ce tir au but,há 3 anos,0,
Jean messi,há 3 anos,0,
Santista já pode despedir do marinho,há 3 anos,0,
Como o cara fez um pênalti desse,há 3 anos,0,
Finalmente um jogo bom do santos,há 3 anos,0,
Marinho joga muito,há 3 anos,1,
Dale santos nossa primeira⚪⚫🇧🇷,há 3 anos,0,
Vai se benzer Messias !!  Messias 3 x Ceará 1.,há 3 anos,0,
"Toma vergonha! Até pegar um time grande, aí arreia as calças!",há 3 anos,0,1
⚽🛬🏀🇱🇷⚽🛬⚽🇱🇷🛬🏀⚽🇱🇷🛬🏀⚽🇱🇷🛬🏀⚽🇱🇷,há 3 anos,0,
Ceará não tem vergonha de perder pra um time fraco,há 3 anos,1,
Mais uma vitória pra conta do melhor do Brasil!vamo Santos 🖤,há 3 anos,4,
