text,time,votes,replies
"E a festa continua🙌 😎
Palmeiras é o melhor elenco da temporada 2021?",há 2 anos,993,167
0:24 Q história legal,há 4 meses,1,
😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 2:51 2:51 2:52 2:52,há 7 meses,1,
CUIABÁ 1X3 PALMEIRAS,há 1 ano,0,
"190 meteram a mão no Cuiabá. Esse e um erro de propósito,  e na minha opinião ficou claro que o palmeiras foi beneficiado.",há 2 anos,0,
Paulão.  Complicando.  Joga com um time como o Palmeiras e entregar dois gols.,há 2 anos,0,
Foi massa o narrador falando no final como o Palmeiras adora receber Presentes 🤭😂😁,há 2 anos,0,
Esse nome dos times no placar tá meio estranho kk,há 2 anos,1,
"No primeiro turno Cuiabá e Palmeiras se enfrentaram no allianz parque e deu Cuiabá , e no segundo turno o Palmeiras deu o troco vencendo na arena pantanal",há 2 anos (editado),0,
Empereur 💚😭,há 2 anos,0,
"Empereur , quer voltar pro Palmeiras? 👀",há 2 anos,0,
Ok gente passo aqui pra parabenizar a Leila  e dizer que enfim podemos ganhar o Mundial.,há 2 anos,0,
"Flameda Jesus imundo urubu otários, TV 📺flaglobosta lixo xarope",há 2 anos,1,
Eu ganhei 617 so nesse jogão,há 2 anos,0,
OS CRIA DO VERDAO TA JOGANDO MT SLK,há 2 anos,0,
Quero não acreditar que seja só empolgação do momento achar que esse goleiro do palmeiras Vinícius é muito bom  goleiro.,há 2 anos,0,
Vinicius foi Gigante nesse jogo!!!,há 2 anos,0,
Man o vini silvestre joga muito cata demais,há 2 anos,0,
Me emocionei pela atitude de Alan empereur infelizmente ele saiu o Palmeiras ganharia muito mais com jogadores assim humilde e respeitador,há 2 anos (editado),1,
"Muita sacanagem não renovar com Felipe Mello, que é a cara do verdão!!!! Depois de uma grande conquista fazer uma merda dessas!",há 2 anos,0,
SOU CORINTIANO É ADMITO QUÊ O PALMEIRAS É TIME PEQUENO,há 2 anos (editado),45,
SOU CORINTIANO É ADMITO QUÊ O PALMEIRAS NÃO TEM MUNDIAL,há 2 anos (editado),36,
"Palputa continua sem mundial, chacota até na África",há 2 anos,21,
DESCULPA QUEM O FLACHEIRO 👃🏽 ENFRENTA NO MUNDIAL???,há 2 anos,67,
cortinas menor de sp KKKKKKKKKKKKKKK,há 2 anos,58,
" @deluca111  cortinas continua atrás do bragantino, disparado 5° força",há 2 anos,35,
 @matheussccp2023  sou palmeirense e adimito que bragantino é maior que seu timeco,há 2 anos,39,
 @jeffersonsabino2629  DESCULPA QUEM E TIME Q Ñ TEM MUNDIAL???,há 2 anos,4,
 @poseidonaarmaancestral  coloca o mundial em campo na próxima final kkkkkkk quem sabe vale alguma coisa 😂😂😂😂😂,há 2 anos,27,
 @videosaleatorios-kp2ez  tão 5° força que está em 4 lugar no br,há 2 anos,2,
" @jeffersonsabino2629  Silêncio senão vou te rebaixar de novo, blz?",há 2 anos,2,
 @crftricampeaoinvicto  muita audácia o flamerda querer falar depois da tríplice cheirada,há 2 anos,9,
" @jeffersonsabino2629  Vice da supercopa, paulistinha, recopa e quarto lugar sem gols no mundial, isto é palcheiro bi rebaixado",há 2 anos,5,
 @crftricampeaoinvicto  E ENTUBOU NA LIBERTADORES. CHUPAAAAAAA MULAMBO!!!,há 2 anos,5,
" @T0d23  palcheiro vice do paulistinha, supercopa, recopa e quarto lugar sem gols no mundial, isto é palcheiro bi rebaixado",há 2 anos,2,
 @matheussccp2023  somos tri da liberta enquanto o menor de sp tem uma kkkk,há 2 anos,2,
Tá mas isso dá um Mundial pro Varmeiras?,há 2 anos,1,
 @crftricampeaoinvicto  o flacheiro pegará quem nas semis do mundial???,há 2 anos,5,
 @T0d23  o palcheiro pegou quem nas semis da cdb? Ah esqueci o palcheiro nem chegou nas oitavas KKKKKKKKKKKK,há 2 anos,2,
" @crftricampeaoinvicto  parabenizo o flacaloteiro por ganhar 3 enem; enem copa do brasil, enem brasileirão enem libertadores, sem falar q empatou com o lanterna, isso que é o menguinho malvadinho",há 2 anos,7,
 @matheussccp2023  pequeno e seu que não ganha nem do Ceará,há 2 anos,2,
" @jeffersonsabino2629  Peppas sem mundial antes da final viviam apanhando pro Mengão e diziam que nós forçava rivalidade, agr ganharam e querem zoar né? Dps q começarem a apanhar de novo não vem com esse discurso fracassado de q a gnt força rivalidade não hein, dps não chora kk",há 2 anos (editado),0,
 @matheussccp2023  mimimimi kkkkkk chora mais quem tem mais tem 3,há 2 anos,2,
 @crftricampeaoinvicto  PARABÉNS POR GANHAR TD E PERDER QUANDO VALE KKKKK SOBERBOS DEMAIS. CHUPARAAAAAAAAAAMMMMMMM SEUS MULAMBOS!!!,há 2 anos,1,
 @crftricampeaoinvicto  FLACHEIRO👃🏽o famoso LEÃO DE TREINO 😂😂😂😂,há 2 anos,1,
