text,time,votes,replies
"Fala, torcedor! Rodrigo Muniz marcou nos dois últimos jogos do Flamengo. E aí, o garoto tem futuro?",há 3 anos,557,91
FLAMENGO 2X0 AMÉRICA-MG,há 1 ano,0,
Saudades gerson meu coringa a nem volta,há 2 anos,0,
So ganha de time fraco não ganha du palmeiras teme rei ruim deixe,há 2 anos,0,
1:30 Ribamar só faz golaço,há 2 anos,0,
👃👃👃👃👃👃,há 2 anos,0,
Jung,há 2 anos,0,
"Nem sou Flamenguista mas eu curto muito o Muniz, esse cara ainda vai jogar bem no Fulhan",há 2 anos,0,
Agora  o america ta ferrado,há 2 anos,0,1
O Matheus cavichioli não era do novo Hamburgo do rio grande do sul?,há 2 anos,0,
"2:18, parece que o comentarista fala"" cruzeiro e uma merda"" kkkkk",há 2 anos,0,
Acho que bruno henrique e o artilheiro desse campeoanato faz muito gols,há 3 anos,1,2
🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎊🎊🎊🎉🎊🎊🎊🎉🎊🎊🎉🎉🎊🎊🎊🎊🎊🎊🎊🎊🎊🎉🎉🎉🎉🎉🎉🎉❤️🖤⬜💛🔵💚,há 3 anos,0,2
Obrigado gerson 👊💙,há 3 anos,0,
1:32 kkk,há 3 anos,0,
"Cara esssa vinheta de gol nova da globo é ruim demais, cade os hino dos times?",há 3 anos,0,
CHATTAL  GERSON,há 3 anos,0,
Quero ver essa quando pegar o meu Fortaleza na Copa do Brasil!!,há 3 anos,0,
O Rodrigo muniz e Rodrigo caio e meu nome e Rodrigo,há 3 anos,0,
ribamar é horrivel pqp kkkkkk,há 3 anos,0,
"""Pele maior goleador da história""

Realidade: 757 gols (467 só no paulista kkkkkkk)",há 3 anos (editado),35,
FLAPIRANHA SEGUE SEM ESTADIO,há 3 anos,3,
@W.Ferreira contra fatos não a argumentos,há 3 anos (editado),3,
PALMARES é tão nanico q eu piso em cima,há 3 anos,10,
@W.Ferreira mano o que tem o estádio ?,há 3 anos (editado),15,
