text,time,votes,replies
"E ai, o que achou do jogo? 
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,170,30
"Bahia joga muito bem 🎉🎉🎉
VIVA BAHIA",há 2 semanas,0,
"Narração da prr, amo demais gilberto volta pro bahia cara",há 2 meses,0,
"SAUDADES DE GILBERTO, O CARA JOGA MUITO 👏👏👏👏",há 5 meses,0,
"Quem diria que 2 anos dps, esse goleiro que o Bahia fez gol e eu vibrei, eu iria vibrar dnv soq dessa vez por ele fazer defesa 😂😂😂",há 6 meses,1,
"Pqp o Gilberto fazia mágica nessa época, raçudo, diferenciado, ágil, sentia o time, era a cara do Bahia. Só de ver ele fazendo gol já pagava seu tempo e dinheiro. Que jogador ele era.",há 1 ano (editado),1,
Bahia mia vida,há 1 ano,0,
Bahia mia vida,há 1 ano,0,
"Luccas Claro envolvido em esquema de aposta desde essa época já, vai ter mto jogador sendo banido do futebol, se investigar bem, vai até preso.",há 1 ano,0,
Lucas claro na Mafia das apostas  que pênalti duvidoso,há 1 ano,0,
Nada além de casa de apostas explica esse pênalti pqp KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK,há 1 ano,1,
"Atenção ministério público, voltem no tempo e investiguem esse penalty de Lucas claro do fluminense",há 1 ano,0,
BAHIA 2X0 FLUMINENSE,há 1 ano,1,
Dois gols do Gilberto no jogo,há 1 ano,1,
Gol do Bahia Gilberto,há 1 ano,1,
O dia que o Lucas Claro apostou na bet.,há 2 anos,0,
Avante esquadrão,há 2 anos,0,
Bahia,há 2 anos,1,
A torcida do Bahia é pika!,há 2 anos,0,
"Um time desse com uma torcida dessa cair, e para jogar uma bomba na cabeça desse presidente !",há 2 anos,2,
.,há 2 anos,3,
LIBERTADORES DO FLORZÃO?,há 2 anos,1,
MESMO COM A DERROTA O FLUMINENSE SEGUE DISPARADO MAIOR DO RJ,há 2 anos (editado),4,
FLUZÃO MAIOR DO RJ,há 2 anos,3,
"O que aconteceu pra dar nas expulsões no fim do jogo? Essa edição ficou estranha, hein",há 2 anos,2,
