text,time,votes,replies
"E aí, torcedor?
O que achou do resultado?",há 2 anos,964,184
Milton leite narrando Gremio X Corinthians 2021,há 5 dias,0,
"O Gremio queria ganhar do Corinthians pra se lider , se o Gremio ganhasse do Corinthians, seria lider e tería chance de se campeão, o Gremio pensou que seria fácil ganhar do Corinthians, o Gremio tava com medo do Corinthians 
O Corinthians foi pra cima, o Corinthians jogou muito 
Que golaço do Romero   👌
Quase o Renato Augusto faz o segundo gol do Corinthians 
Dos clubes brasileiros, Corinthians o atual campeão mundial com muito orgulho  👏👏👏👏👏
Não é aqueles mundiais tabajara que não é mundial Fifa 
Corinthians campeão mundial Fifa   👏👏👏👏👏👏      👌
Caraca nem o Gremio roubando o Corinthians, não ganha do Corinthians 
Com um jogador a menos ganhamos  
Gremio tri rebaixado   🤣🤣🤣🤣🤣🤣",há 8 meses,0,
Dá pena um craque da categoria do Luisito Suárez que já jogou nos melhores estádios do mundo ter que jogar num gramado que mais parece um banhado como esse da Arena do Grêmio. O futebol brasileiro deveria interditar campos sem condições de jogo como esse. Eu Sou contra estádios com gramados naturais  sediaram shows artísticos. O resultado é esse pântano da Arena do Grêmio. Os times brasileiros só olham para o próprio umbigo. Jogadores no Brasil não lutam pós seus direitos por isto os gramados estão assim. É devido a tudo isso que ninguém quer transmitir o futebol brasileiro mundo afora. Cansei!,há 8 meses (editado),0,
Este maicon é um bagre de ruim mesmo pulou da barca kkk,há 11 meses (editado),0,
Todo mundo bate no grêmio,há 1 ano,0,
Bāo é o Galooooo,há 2 anos,0,
corinthans vai fechar o Caichão 😎😎😎😎😎😎😎😎,há 2 anos,1,
Chuuuuupa grêmio,há 2 anos,0,
A SUA HORA VAI CHEGAR CLUBE MAIS RACISTA DO BRASIL 🖕🏻,há 2 anos,4,
👻👻👻👻👻👻👻👻👻,há 2 anos,3,
Corinthians e gremio tá chegando mal posso esperar para rebaixar o Gremio  vai Corinthians  💪🏽,há 2 anos,2,
Diz a linda q o diego costa esta com o cartao amarelo ate hoje dando amarelo pros outros jogadores kkk,há 2 anos,1,
MT real o sofrimento  q quando viu o cartão amarelo já mudou a cara kkk 2:25,há 2 anos (editado),1,
"Saluti ai tifosi del Gremio, sono messicano-italiano e vorrei avere una fidanzata brasiliana 💘❤",há 2 anos,1,
"Jogo foi Tão Ruim..
Q Melhores Momentos começa aos 30 min 1° Tempo..
E o 2° Tempo Melhores Momentos começa no Gol aos 35 min kk",há 2 anos,0,
GRE 0 X 1 COR E IGUAL A FLA 1 X 0 PAL,há 2 anos,2,
"Timão Poh,Arranca.....",há 2 anos,0,
"Chupa mosqueteiro gremista,Vai Mosqueteiro Corintiano!!!!",há 2 anos,0,
Meu Coringão ta jogando dms slk,há 2 anos,0,
Corinthians e São Paulo maiores do Brasil,há 2 anos,95,
Salve,há 2 anos,17,
Vai Corinthians!,há 2 anos,47,
Otimooo,há 2 anos,29,
"Grêmio pode ser tri-rebaixado






























  








flabunda continua sem estádio 🤣🤣",há 2 anos,73,
Maravilhoso,há 2 anos,18,
Parabenizar os 107 anos do palmerda sem um mísero mundial👏🏼👏🏼👏🏼👏🏼,há 2 anos,53,
Ficou barato.,há 2 anos,15,
Nossa muito bom vai coringão,há 2 anos,11,
" @mjr6420  arena neo quimica, estádio mais valioso das Américas. Dorme invejoso!",há 2 anos,27,
⚫⚪🦅,há 2 anos,9,
Palmeiras pequeno,há 2 anos,8,
Grêmio vai jogar a série BBBB😂😂,há 2 anos,12,
Ótimo,há 2 anos,4,
"Esto no puede ser real. Aposté mi casa a que Gremio le ganaría a Corinthians, pero no será asi. Mañana, a esta hora, estaré sin hogar. ¿Qué se supone que le diga a mi esposa? ¿A mis hijos? ¿Que Gremio un equipo cagón y cogido por Corinthians? Mi vida ha acabado...",há 2 anos,12,
Sou Gaymista mais sou sincero esse ano cai de Boca...,há 2 anos,6,
Muito bom tomará que continua assim,há 2 anos,7,
 @mjr6420  Drogba já se aposentou eo roger Guedes e nosso e e o wiiian tbm vem,há 2 anos,1,
Maior do Brasil ne papai,há 2 anos,8,
"Foi horrível o Corinthians parecia o real Madrid de 2017 😭😭😭

Gemio BI rebaixado 2021",há 2 anos,15,
 @mjr6420  BAMBI SEM GRAÇA,há 2 anos,3,
 @mjr6420  E o Morumbi é da prefeitura!,há 2 anos,3,
 @mjr6420  o na sabe escrever nao,há 2 anos,0,
"Cuidado pro Duilio não contratar você, ADM",há 2 anos,6,
Eu acho q o curtinas tem q pegar o dinheiro q ñ pagou nas marmitas é contratar mais jogador👏👏,há 2 anos (editado),0,
@Edilson choraaa,há 2 anos (editado),0,
 @daddycris  pagar o programa da Sra sua mãe 😆,há 2 anos,3,
"Merecido.
Vencemos as Blueberrys nanicas do Sul.",há 2 anos,3,
Corinthians tá bem dms nunca critiquei sempre tive respeito com o Corinthians tem tudo pra briga lá em cima da tabela,há 2 anos,5,
Corinthians mostrou pro Grêmio que não gosta de times BI rebaixados ✌️,há 2 anos,4,
"Grêmio vai jogar em 2022 na série b
Pode apostar o que quiser 
Atlético go 0 X 4 inter 3 do super edi e 1 do yuriii Albertooo",há 2 anos,2,
Ótimo!,há 2 anos,2,
VAI  CORINTHIANS  PORRA WILIAM  E DA GENTE TEM QUE COMEÇAR C G,há 2 anos,6,
 @xxx-nu2vb  calma curtinas ñ precisa ser infantil na hora q a poderosa gayvotas da fiel falir mais do q já tá vai ser dificil para de dar risada🤣🤣,há 2 anos,0,
"Muito bom, vai Corinthians",há 2 anos,4,
