text,time,votes,replies
"Fala, torcedor! 🤙
A troca do Ceni por Renato foi uma boa pro Fla?",há 3 anos,"1,5 mil",256
"Deixe seu ""nostalgia""  pro mostro michael voltar pro fla",há 3 meses,0,
sinto saudades do Michael. ele e o  Vitinho eram os que eu mais gostava juntamente por serem os mais criticados.,há 8 meses,0,
Chape sempre prejudicada 😢,há 1 ano,1,
Mão de quiabo Diego Alves ja foi...Ufa!!,há 1 ano,1,
Uq arrascaeta jogou não tá explicado 🤦🏽‍♂️,há 1 ano,1,
ainda bem q esse energúmeno do Willian arão foi embora,há 1 ano,1,
Que golaço do Michael,há 2 anos,1,
rodrigo bn,há 2 anos,2,
Sai que o pai tá feio,há 2 anos,2,
Só o gol do Renato Augusto contra o Grêmio já ganharia disparado empresa flamenguista do caralho,há 2 anos,1,
Pelo amor de Deus não citar nenhum dos gols do Renato Augusto é uma piada de mal gosto,há 2 anos,1,
0:42 e esse toque na mão,há 2 anos (editado),2,
Mais alguém que veio aqui pra ver o gol mais bonito do brasileirão?,há 2 anos,4,
Flamengo 2x1 chapecoense,há 2 anos,1,
👎 temos vacinas hahahahaha,há 2 anos,1,
"Viuvas do jorge jesus😂😂😂...""""volta velhinho""""
😂😂...vem para o lugar onde voçê foi feliz😂😂"""".....voçês são ridiculos!!...que falta de amor proprio😂😂...pareçem um homem que foi corno ou abandonado!!😂😂....flamengo o maior do mundo maior que Real Madrid""""😂😂😂😂",há 2 anos,2,
Time ta uma Varzeaaa.,há 2 anos,3,
Famego,há 2 anos,2,
"Pior narrador do brasil, Luiz carlos Jr. apenas",há 2 anos,2,
Cu,há 3 anos,14,
Sim,há 3 anos,21,
 @onlythat9570  O tempo passa e o São PauNoCu continua sem copa do brasil,há 3 anos,62,
Foi sim 😁,há 3 anos,7,
Sim,há 3 anos,7,
"A troca foi Boa sim pois o Ceni era São ""Pau"" lino",há 3 anos,13,
FOI MUITO BOA MANO GRAÇAS A DEUS QUE  ELE SAIU,há 3 anos,8,
Eu acho q sim eu nunca ganhe tanto comentário,há 3 anos (editado),8,
" @onlythat9570  véi o Maracanã é do Flamengo, se o Flamengo quiser ele compra, mas não precisa, que todos os estádios o Flamengo ganha, então aprende mas de futebol",há 3 anos,14,
Claro,há 3 anos,3,
Campeonato argentino e a premier league das Américas,há 3 anos,2,
Vai dar certo 👏,há 3 anos,2,
"O time de quem está pichando o Flamengo é dono de algum título nacional hoje? Copa Brasil, Supercopa, Brasileiro? Só pra saber...",há 3 anos,3,
 @onlythat9570  pergunta pra FIFA se o maior do Brasil não tem mundial seu timeco falido que não ganha nada que nunca vai ter,há 3 anos,10,
A troca de treinador foi ótima,há 3 anos,3,
 @space...cowboy  sabe nada de futebol iludido teu timeco não ganha nada,há 3 anos,6,
" @onlythat9570  Flamengo não precisa de estádio, e tem mundial siim",há 3 anos,9,
sim,há 3 anos,1,
"Eu gosto muito do Renato Gaúcho,mais eu acho que o Maurício merecia essa oportunidade de treinar o Flamengo os números contam tudo o cara tem 10 jogos pelo Flamengo 8 vitórias 1 empate e apenas 1 derrota,eu gosto muito do trabalho dele espero muito que o Renato dê certo no Flamengo mais fiquei muito triste por não ver o Maurício ser anunciado como treinador do profissional 😔😔😔😔😔😔😔😔",há 3 anos,3,
 @onlythat9570  mais continua ganhando títulos né filho kkkkk,há 3 anos,2,
 @onlythat9570  teu cu,há 3 anos,1,
 @deluca111  🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,há 3 anos,2,
O time já ganhou raça sem ele👌🏻,há 3 anos,1,
Flalgbt continua sem estádio,há 3 anos,3,
Flamimi como diz Mauro Cesar.,há 3 anos,2,
Sim agora vamos estar em oto patamar ⚫ 🔴 ⚪ mengao,há 3 anos,3,
Pra mim foi 6 por meia dúzia,há 3 anos,0,
 @onlythat9570  Kkk mlk já chega agredindo Kkkkk,há 3 anos,1,
Lógico que foi!!!! Né,há 3 anos,1,
" @onlythat9570  teu cuuuuuu,esqueçe meu time doidooooooo",há 3 anos,1,
"( ferroviário, cabo de st. Agostinho, pe. Brasil. Fbastos, rua 38 cohab, alô rapaziada vamos ver velho, )",há 3 anos,0,
 @onlythat9570  Flamengo tem mundial amigo.,há 3 anos,0,
Seis por meia dúzia.,há 3 anos,1,
 @user-mu5ho1rs3p  Mundial?,há 3 anos,1,
 @Governor.  estádio não dá títulos iludido se campo desse taça seu timeco não estava sem ganhar nada há vários anos,há 3 anos,1,
 @onlythat9570  menina do murumbi vai encher saco da sua mãe 😂,há 3 anos,1,
 @deluca111  👏👏👏😂😂😂😂,há 3 anos,1,
 @user-mu5ho1rs3p  só segue aí o Bi campeão brasileiro porque seu timeco não ganha simplesmente nada kkkk,há 3 anos,1,
😠👉👈,há 3 anos,1,
Ainda não irei avaliar pq tem mais jogo pela frente,há 3 anos,2,
 @user-mu5ho1rs3p  vai chorar na FIFA kkkkk,há 3 anos,0,
" @onlythat9570  tua mãe está contente com o tamanho da Flapiroca....da torcida inteira, apetitosa........😆😆❤️🖤",há 3 anos,0,
