text,time,votes,replies
"Jogo tenso no Morumbi, mas isso não atrapalhou o Leão. 
O que estão achando do trabalho do professor Juan Vojvoda?",há 3 anos,519,54
"São Paulo freguês do Fortaleza. 
Fortaleza maior que o São Paulo.
São Paulo menor que o Fortaleza.
Fortaleza tem mais tradição que o São Paulo.",há 1 ano,1,
FORTALEZA EC O MAIOR DO NORDESTE🦁🇲🇫,há 1 ano,1,
Belo espetáculo.,há 1 ano,0,
Ronald precisa ser titular no lugar do Ederson,há 2 anos,0,
Sem Rogério Ceni no Fortaleza a gente não consegue,há 2 anos,0,
"Sou corintiano,  mas esse lance foi pênalti sim",há 2 anos,0,1
Sem copa do Brasil kkkkkkkkkkkk,há 2 anos,0,
"Se fosse o Diniz comandando o São Paulo, o Tricolor Ganhava",há 2 anos,1,
Passaram a mão no São Paulo Penal Claríssimo,há 2 anos,0,
"Fortaleza é casca grossa 
Fortaleza tá gigante 
Fortaleza tá uma FORTALEZA.",há 2 anos,2,
O Fortaleza não ganhava do são Paulo desde 2019,há 2 anos,0,
"Vamos pra Luta Fortaleza na Copa do Brasil 2021, Força  🦁!!!!",há 2 anos,0,
"Fortaleza tá casca grossa 
Fortaleza tá gigante 
Fortaleza tá uma FORTALEZA.",há 2 anos,0,
NDVMP,há 2 anos,0,
"FORTALEZA É BOM 
FORTALEZA TÁ CASCA GROSSA 
FORTALEZA TÁ GIGANTE 
FORTALEZA TÁ UMA FORTALEZA.",há 3 anos,0,
Booooooora Leão 🇨🇵🇨🇵🇨🇵🦁 Vamos avançar para semi finais. 🙌🏾,há 3 anos,0,3
1:59 gol,há 3 anos,0,
"Esse Fortaleza tá jogando demais, tudo culpa do Vojvoda",há 3 anos,0,
"F O R T A L E Z A 
🔴🔵⚪💯1918 
BORA MEU LEÃO DO PICÌ",há 3 anos,0,
Força Marcelinho,há 3 anos (editado),26,
"E apenas lembrando que o FLAPIRANH@ segue sem estádio, passar bem.",há 3 anos (editado),23,
"Ganhar roubado as vezes é dificl, mas agora foi fácil

Vovjda pablo juan 2021-",há 3 anos,15,
"Shu Paulo é uma piada sem estádio, timinho minúsculo",há 3 anos (editado),24,
estou vjovizado,há 3 anos,9,
As alerquinas do fresco estão dando show,há 3 anos,12,
" @segoviawn  roubado? Perderam em casa seus fraquinho, só chorar 😭😭😭😂😂😂",há 3 anos (editado),30,
esse é o são micão que sonhava em ser campeão brasileiro,há 3 anos,16,
São Cu não tem copa do Brasil,há 3 anos (editado),11,
São comédia é uma piada,há 3 anos (editado),12,
Toppp e tirem o olhoooo,há 3 anos,1,
Chora bambis,há 3 anos,13,
+ UMA DERROTA DOS BAMBIS ? ISSO É MUITO BOM. 😂🤣😂🤣,há 3 anos (editado),14,
"Aposta que estar valendo a pena , os estrangeiros se espelha no futebol europeu e por isso dá certo , já os técnicos brasileiro fica na mesma coisas o mesmo feijão com arroz não estudam e acha que futebol é sorte, futebol é trabalho estudo e competência",há 3 anos,10,
"São paulo não tá ganhando de ninguém, vai ser engraçado se pegar o Flabunda e ganhar 😂😂",há 3 anos,8,
