text,time,votes,replies
"Fala, torcedor! 🤙
Pelo quê São Paulo e Fluminense vão brigar no campeonato?",há 3 anos,136,46
SÃO PAULO 0X0 FLUMINENSE,há 1 ano,0,
SÃO PAULO QUASE CAIU NESSE BRASILEIRÃO KKKKKKKKK,há 2 anos,0,
O Volpi cata muitos penautis mermaõ,há 2 anos,0,
Esse técnico do são Paulo armas ó time tôdo errado manda essa desgraça embora,há 2 anos,1,
São Paulo x fluminense hoje tem jogo as 8hs30 da noite,há 2 anos,1,
Nao ganha ninguém esse time va ser ruim assim  ka lonh,há 3 anos,0,
Melhoras momentos... Do Fluminense,há 3 anos,1,
Esses pontos no começo do campeonato fazem muita diferença e o Fluminense perdeu a chance de sair com 3 pts.,há 3 anos,0,
"São Paulo deu sorte,fluminense merecia",há 3 anos,0,
"O título deveria ser ""Melhores momentos do Fluminense contra o São Paulo"".",há 3 anos,0,
Tiago  volpi   meu herói 🤩🤩🤩🤩🤩🤩🤩,há 3 anos,0,
"Ninguém falou, mas as arbitragens com a ""ajuda"" do VAR começam preocupando. Penalti inexistente contra o São Paulo e outro tão penalti como o dado não marcado a favor. No fim o bandeira deu um impedimento ridículo que eu vi que não foi aqui de fora do Brasil. Tudo como dantes para ajudar o tapetense.",há 3 anos,0,
"O jogo...digamos, dos jogos dessa primeira rodada de chances pro dois lados, foi o menos na minha opinião",há 3 anos,0,
Fluminense FC amor eterno,há 3 anos,1,
"Cadê nossa copa do Brasil 
São Paulo,2021",há 3 anos,0,
"Quem jogou contra o Fluminense? Teve adversário? Se teve, não viu a cor da bola. E o pessoal reclamando que aquilo não foi pênalti. Que teve uma jogada igual do adversário e não foi marcado. Que forçação!",há 3 anos,0,
VOLPI MAIOR GOLEIRO DO BRASIL,há 3 anos,1,
"Mídia: ""Fluminense surpreende"", surpreende no quê? Em não ter levado um sacode do SPFC? Erraram pênalti, Volpi defendeu todas, 1 pênalti não marcado pro SP... Jogaram melhor sim, mas não ganharam, gostam de tentar causar crise no SP, impressionante.",há 3 anos (editado),1,
Volpi gigante,há 3 anos,0,
Shu paulo continua sem copa do Brasil,há 3 anos (editado),10,
"@Edilson Grêmio campeão brasileiro...

































da série B em 2005!",há 3 anos (editado),4,
"São Paulo pelo título
FluminenC por pré da Libertadores",há 3 anos,3,
 @aninha1507  fica quieta vai o futebol feminino se nn soube oq fala,há 3 anos,1,
"São Paulo jogou com o pior time que podia ter, só no segundo tempo que colocou uns jogadores melhor! Péssimo jogo 🇾🇪",há 3 anos,6,
 @aninha1507  nem série b,há 3 anos,2,
 @diogo4035  3° pior jogo da temporada!,há 3 anos,2,
Champions,há 3 anos,1,
Nenê perdeu a chance da vitória ....,há 3 anos,3,
SÃO PAULO VAI BRIGAR PELO BR JÁ O FLUZAO PELA VAGA PARA LIBERTADORES DA AMÉRICA,há 3 anos,1,
Vai brigar pra não cair pra série b,há 3 anos,3,
 @dennyhungria488  QM? O FLAMULAMBO?,há 3 anos,3,
Estou há 32 anos procurando a copa do Brasil do SãoPuta,há 3 anos,4,
"São Paulo Briga Pelo Título 
Fluminense Pré Libertadores",há 3 anos (editado),2,
"@Edilson primeiro partida não fala nada,tem que vê as próximas",há 3 anos (editado),2,
"Os dois vão brigar por libertadores, acho que o São Paulo fica no G4, e o fluminense no g6 ou g10",há 3 anos,1,
Pra não cair kkkk,há 3 anos,1,
 @arthurantifa2  só se for título de eleitor 😂😂😂😂😂😂,há 3 anos,1,
O maior do Brasil já é o campeão se quiser já pode entregar a taça São Paulo é foda💪,há 3 anos,0,
Pelo G4 apenas,há 3 anos,0,
Porra nenhuma,há 3 anos,1,
Jogão,há 3 anos,1,
 @marcelodeoliveira4883 e daí,há 3 anos,1,
FLUZÃO vai lutar pelo PENTA!,há 3 anos,0,
Cedo ainda pra dizer mas c foce pelo jogo de ontem são Paulo brigaria pelo z 4.....,há 3 anos,1,
"São Paulo vai brigar pelo título do Brasileirão, e o Fluminense pela vaga na Libertadores!",há 3 anos,1,
"Flu pela liberta, são paulo pelo titulo",há 3 anos,0,
 @xpirion_store  danase,há 3 anos,1,
 @xpirion_store  Nguém liga,há 3 anos,1,
 @xpirion_store  a,há 3 anos,1,
"Não acho que meu São paulo tenha que brigar pelo brasileiro e sim focar mais nos mata-mata(Copa do Brasil e Libertadores) mas o Fluminense pode brigar sim, jogaram muito bem ontem",há 3 anos,2,
Os dois para sul-americana.,há 3 anos,1,
G4,há 3 anos,0,
ARBITRAGEM NÍVEL CBF UMA VERGONHA 😴😡,há 3 anos,1,
FLUZÃO🇭🇺🇭🇺🇭🇺🇭🇺 LUTARÁ PELO PENTACAMPEONATO🏆🏆🏆🏆🏆,há 3 anos,1,
 @thiagovinicius2178  a onde ??,há 2 anos,1,
 @arthurantifa2  kde ?? Kk,há 2 anos,1,
" @LuisFelipe-rn9vh  e ai ??
Kde ?? Kk",há 2 anos,1,
 @LuisFelipe-rn9vh  kde ?? Kk,há 2 anos,1,
 @jonatanluiz4355  🤣🤣,há 2 anos,1,
 @batmanvascaino6635  o SP mesmo kk,há 2 anos,1,
 @willianguimaraes1151  kde ??,há 2 anos,1,
 @lixuosolixoso7157  🤣🤣,há 2 anos,1,
 @jucianoduarte9320  🤣🤣🤦‍♂️🤦‍♂️,há 2 anos,1,
 @dennyhungria488  vidente,há 2 anos,1,
😅😅❤😅❤😅❤😅​ @PedroHenrique-rz5qc ,há 7 meses (editado),0,
Era pra ser 3x0. Pro fluminense. So no primeiro tempo. S. Paulo cagado. De sorte.  Sai pra lá. Zica,há 3 anos,1,
Famoso ngm liga,há 3 anos,0,
"Do quê adianta 90% de posse de bola, e só toquinho pro lado e pra trás? Lance mais perigoso já com 40 do 2° tempo... Preferia ter menos posse e chutar mais pro gol, ter contra ataque, e principalmente efetividade. Tá na hora de rever isso aí",há 3 anos (editado),1,1
"O último lance do rojas não tava impedido nem aqui nem na China, posição legal",há 3 anos,0,1
1:24 ain reinaldo apelão kk,há 3 anos (editado),1,
"Jogo ridículo sem emoção, brasileirão de pontos corridos já não presta e sem torcida pior ainda",há 3 anos,0,
Volpi cresce contra carioca não tem jeito,há 3 anos,0,
"O Egídio fez a msm coisa dobogor vinicius, mas o penalti foi só pro fluminense, carioca é assim msm",há 3 anos,0,
Cadê o segundo tempo mostra só os melhores momentos do primeiro tempo que preguiça da bota é essa Hem kkkkkkk,há 3 anos,0,
Saímos no lucro. O fluminense mereceu a vitória.,há 3 anos,0,
so deu flu,há 3 anos,0,
"grande jogo do Flu, merecia os 3 pontos",há 3 anos,5,
"Pleno pênalti do Egídio no rojas, arbitragem só desfavorece agnt",há 3 anos,0,
So deu flusao,há 3 anos,0,
O Fluminense Jogou melhor Merecia A Vitoria so nao venceu porque Perdeu Muitas  Oportunidade De Fazer o  Gol  e O Goleiro Tiago Volpi Salvou o Sao Paulo Da Derrota,há 3 anos,0,
Goleiraço esse Volpi,há 3 anos,1,
O vídeo poderia ser renomeado para: Os melhores momentos do Fluminense...😂😂😂,há 3 anos,2,
ARBITRAGEM NÍVEL CBF UMA VERGONHA 😴😡,há 3 anos,3,1
"Fluminense superou o São Paulo  taticamente com o Roger Machado adiantando e depois recuando as linhas de marcação a todo momento, também todo hora que o flu precisa defender o esquema mudava para o 4-5-1 e quando atacavamos mudavamos para o 4-3-3, com o Caio Paulista cortando para para o centro e o nenê indo para as laterais, confundindo muito a marcação do São Paulo, quando o São Paulo percebeu o esquema ja não dava mais tempo.",há 3 anos,0,
Os cara sao emocionado demais kkk um empate com o São Paulo desfalcado e de ressaca já estão em êxtase,há 3 anos,0,
Torcida são paulina e mais chato que carro do gás,há 3 anos,0,
"Não foi do Rojas, foi antes do cruzamento",há 3 anos,0,
Verdade,há 3 anos,0,
Que vergonha em nênê tamanho velho perdendo pênalti. Kkkkkkkkk😂😂,há 3 anos,1,1
Parabéns ao goleiro 👍🇾🇪,há 3 anos,1,
Gyulp,há 3 anos,0,
No Brasil já é suficiente para começar crise no SP 😂😂😂,há 3 anos,0,
Caramba só deu fluminense,há 3 anos,0,
"Volpi é seleção, esquece",há 3 anos,3,2
"São Paulo não fez quase nada no jogo, caraca!",há 3 anos,0,
"Que jogada linda do Kingnaldo no lance que roubaram o pênalti do São Paulo, hein?!",há 3 anos,0,4
Fluminense vai ser Campeão Brasileiro em 2021 .,há 3 anos,0,
O Volpi tá me lembrando o Zetti no gol,há 3 anos,0,
Fluminenccccccccc série c,há 3 anos,0,
Melhor lance do São Paulo foi o chapeuzinho que Reinaldo fez,há 3 anos,0,
Paredão volpi,há 3 anos,0,
Brasileirão e assim mesmo tem jogos horríveis como ontem e jogos bons.,há 3 anos,0,
Flu foi roubado,há 3 anos,0,
So deu Fluminense,há 3 anos,0,
É brincadeira Chamarem Alex Sandro hj e nao chamarem o KingNaldo pqp que chapeu,há 3 anos,3,
O Volpi só não né seleção porque o Brasil está servido nessa posição; mas ainda há chance de ele entrar como terceiro goleiro,há 3 anos,0,
"Pelo vídeo, o São Paulo foi massacrado pelos ataques do Fluminense e teve que contar com defesas muito boas do Volpi.",há 3 anos,0,
Ojo que puede ser confronto directo por la libertadores si se dá el sorteo.... Grande Fluminense,há 3 anos,0,
Flamengo falido,há 3 anos,0,
"É nd, se ele for só pra jgr amistoso pra seleção n tem que ir, volp salva o sp, aí ficar jogando amistoso na seleção o sp n vai ter o paredão kk",há 3 anos,0,
 @heitornik2745  pode crê,há 3 anos,0,
"Não, Simplesmente o jogador do são Paulo tinha chance do gol na hora que perde se joga",há 3 anos,0,
" @Nicolas0078k  sim, foi pênalti, ele dá um leve empurrão no rojas, ambos foram pênalti",há 3 anos,0,
" @canalentertainment3886  É a falta que não deram no Yago nem cartão deu infelizmente saiu lesionado, Tem um lance que Volpi chuta o Abel é o Abel leva cartão",há 3 anos,0,
" @Nicolas0078k  Não. Sem clubismo. Quando o Rojas saiu do chão para dominar a bola, o Egídio estava empurrando as costas dele, que, sem o apoio do chão, desequilibra totalmente, impedindo de fazer o domínio da bola. Quem joga bola sabe. Se o jogador subiu, é só dar um empurranzinho de leve que desequilibra no ar. Em nenhum momento o Egídio foi dispudar a bola, só foi no corpo do Rojas. A regra é clara e a imagem não mente.",há 3 anos,0,
"Rapaizzz, e não é que o pequeno Fluzinho amassou o gigante sul-americano?
Fiquei preocupado agora... 🤔",há 3 anos,0,
Só deu flu em,há 3 anos,0,
"Início hj uma vaquinha para estádio do Mengo 
Cada like 1 real para os mendigos",há 3 anos,0,
Pra quem assistiu: e aquele pênalti do nenê? kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,há 3 anos,3,1
Esses dois times vão supreender no ano,há 3 anos,0,
O Flu dominou mas não ganhou.,há 3 anos,0,
"Jogo ruim se loko , vamo SP",há 3 anos,0,
Seja bem vindo o BRASILEIRÃO 2021👏👏👏.,há 3 anos,0,
Volpi vcs fluminense,há 3 anos,0,
Jogo de um time só ?? Fluminense tá jogando fácil,há 3 anos,1,
"Só deu Fluminense, mereceu a Vitoria!",há 3 anos,5,
Mds são paulo kkk,há 3 anos,0,
Qm acertou no palpite eu msm,há 3 anos,0,
Flumenense pedeu penati vegolha,há 3 anos,0,
"1 ponto ganho pro SPFC, 2 pontos perdidos pro Flu. Ninguém acreditaria antes do jogo q o Flu seria totalmente superior.",há 3 anos,0,
Só deu Fluminense,há 3 anos,0,
SP é ruim,há 3 anos,0,
"Bola na trave não altera o placar...
Florminense teve a chance de carimbar a faixa do São Paulo e não aproveitou.",há 3 anos,0,
So deu fluminense,há 3 anos,0,
"O ""poderoso"" São Paulo de Crespo escapou de tomar 1 lavada do Fluminense...kkkk",há 3 anos,0,1
Ainda bem q ele saiu do spfc kkk,há 3 anos,1,
"A ""poderosa"" lavada foi 0x0 viu?",há 3 anos,0,
Tira Pablo do são Paulo,há 3 anos,0,
Tavam com medinho q não saiu gol? Que merda!!Ia botar empate nao tive coragem .Botei empate em 6 times e errei 1 q foi o Náutico.Se tivesse botado São Paulo ao invés do Náutico véi.😭😭😭,há 3 anos,0,
Libertadores São Paulo e Fluminense.,há 3 anos,0,
E cara do vá    sao safado    mal caráter    quando é pênalti para sao paulo      não encheram porque não querem     mal carater,há 3 anos,0,
Ge precisa da uma melhorada. Brasileirão novo uma nova forma de mostrar bota ae as escalações,há 3 anos,0,
"Arbitragem dois pesos duas medidas ,",há 3 anos,0,
Só deu Fluzão,há 3 anos,0,
Sou tricolor mas nesse jogo só deu fluminense pqp,há 3 anos,0,1
Volpi MT pegador de pênalti slk,há 3 anos,0,1
Não assistir o jogo vim acompanhar os melhores momentos só de Fluminense o SP precisa acordar o campeonato Paulista já passou.,há 3 anos,0,
Levou sorte os bambis até pênalti o Flu Perdeu kkkk,há 3 anos,0,1
São Paulo jogo não foi??,há 3 anos,0,
Volpi salvou,há 3 anos,0,
O Pablo é péssimo e treinador n nenhum vê! Será por que?,há 3 anos,0,
"Que time ridículo esse são paulo! Começou dando prioridade à libertadores, daqui a pouco é eliminado e vai está lá pela décima colocação no brasileiro, da nojo ver um time desse jogar.",há 3 anos,0,1
Como São Paulo em casa não ganha desse time do Fluminense?!...começamos mal,há 3 anos,0,1
Eu achei q o sao paulo nao ia ter mas um lider mas dai chega volp e mi surpriende. Vc e o cara,há 3 anos,0,
"Melhores dos melhores dos melhores momentos

Editor tá com preguiça! kkk",há 3 anos,8,3
"Esse é o São Paulo que vai passar a piroca em todos os times do Brasil, da América do Sul e quiçá do mundo???",há 3 anos,0,
sou Spfc mas o fluminense jogou mt melhor,há 3 anos,0,
O Fluminense é o único tricolor,há 3 anos,0,
@Brunno '-' vdd,há 3 anos (editado),0,
"Sorte é uma coisa, goleiro/batedor competente é outra",há 3 anos,0,
MDS...,há 3 anos,1,
"O QUE VC QUER DIZER COM "" NÃO GANHA DESSE TIME"". SUBESTIMANDO UM TIME QUE DEU SUFOCO NO SEU TIME DO COMEÇO AO FIM?",há 3 anos,2,
Vmss interrr,há 3 anos,1,
Morangos do sul,há 3 anos,0,
 @futebolcolorados1862  par onde,há 3 anos,0,
Passeio do fluminense... Esse pênalti do nenê foi vergonhoso,há 3 anos,0,
"Eu odeio o Nenê com todas as forças, não vejo a hora desse lixo sumir do Fluminense... Se ele jogasse a metade do que acha que joga tava na seleção... Asqueroso esse cara, mascarado, fominha, Abel bateu 2 pênaltis nessa temporada e fez os dois batendo muito bem, o lixo vai lá não deixa o cara bater e perde, menos 2 pontos contra um dos rivais que vai lutar pelo título junto com o Flu, Fla, Galo, Porco e Inter.",há 3 anos,0,
Dois times pequeno empatando,há 3 anos,0,1
São Paulo tem uma dificuldade fora do comum contra o Fluminense no Morumbi,há 3 anos,1,2
Cuiabá x Juventude foi melhor jogo da abertura! Esse jogo das tricoletes foi o pior!,há 3 anos,0,
"Volpi salvando com sempre
Rojas com a única chance, a bola bateu nele",há 3 anos,0,
Viu como é importante ter um batedor de pênalti no time kk,há 3 anos,3,
"E pensar que ambos são candidatos ao título, aí tá foda.",há 3 anos,1,2
"Fluminense,o único time do Rio q dá trabalho pro São Paulo slk",há 3 anos,0,1
