text,time,votes,replies
"Finalmente Marinho fez gol! 😎⚽
E aí, o que acharam do resultado? 
Assine o Premiere: https://bit.ly/3uuE0kN",há 2 anos,277,42
2x0 pro peixão 🤍🖤🐳,há 1 ano,0,
Dale peixão 2x1 hj,há 2 anos,0,
até o santos tem estadio é o Flamengo não tem kkkk,há 2 anos,0,1
"Sou Corinthiano mas me irritei quando o ze ruela do donos da bola falou de bocao que ""qualquer um ganha do Santos""... Da vontade de arrastar o oreiudo pra ver esse jogo.",há 2 anos,0,
"Marinho deu um mortal
 Kkkkkk",há 2 anos,0,
"Boa Santos ❤️, vamos sair dessa.
Time de Elite não cai.
Tmj👏🏼👏🏼👏🏼😏🐟",há 2 anos,1,2
Olha só o tapa do Ângelo esse Garoto precisa ser mais aproveitado esse aí Raio menino só tem 16 anos.,há 2 anos,0,
⚪⚫⚪⚫,há 2 anos,0,
Santos não cai,há 2 anos,0,
"Você é dramático ?

Eu: 2:42",há 2 anos,1,
Santos é incaivel porr@,há 2 anos,2,
Santos tem raça por isso não cai,há 2 anos,0,
Graças a marinho o primeiro gol,há 2 anos,0,
Fala torcedor da sardinha,há 2 anos,0,
q partida do santos,há 2 anos,0,
Todo time de CORNO e time do sANTOS tem cadeira de segunda kkkkkkkkkkkk,há 2 anos,0,
"Não existe essa história de time gigante não cai. Se não tiver profissionalismo, cai SIM. Tomara que não caia,. Que esse ano sirva de lição. Alguma coisa precisa ser feita...",há 2 anos,0,
Nunca vai ser rebaixado,há 2 anos,0,
Boa meu peixão,há 2 anos,0,
"Achei bonito o placar novo, mas nao gostei desse resultado",há 2 anos,5,
NANICO E SEM ESTÁDIO ISSO É FLAXERECAFEDORENTA CAMARADA,há 2 anos,2,
@Emmanuel Macron 5° força? Nossos somos  o maior,há 2 anos (editado),10,
@Emmanuel Macron pare com isso nos somo iguais nunca caímos somos tri da libertadores zoe o palmeiras ou o coríntias,há 2 anos (editado),6,
"TIME GIGANTE NAO CAI,CHUPA MIDIA.",há 2 anos (editado),4,
Cade o jogo do galo?,há 2 anos,1,
 @Euraff._.  resultado foi muito bom,há 2 anos,1,
" @user-mu5ho1rs3p  BI REBAIXADO,SEM RECOPA E SEM mundial kk",há 2 anos,4,
Verdão agradece,há 2 anos,0,
 @matheusprcuritiba79  Velho vai tomar seu remédio 21:19 já,há 2 anos,0,
Esse time reserva do bragantino é fraco,há 2 anos,0,
 @Euraff._.  Vai ficar querendo,há 2 anos,0,
 @tatugamer6743  querendo oq ?,há 2 anos,0,
 @Euraff._.  chora,há 2 anos,0,
 @tatugamer6743  kkk mt bom,há 2 anos,0,
 @Euraff._.  internacional 1x0 Gremio kkkkkkk perdeu pro rival,há 2 anos,0,
 @tatugamer6743  e o quem tem mano?kkkkkkkkk,há 2 anos,0,
 @Euraff._.  e uma vergonha,há 2 anos,0,
 @tatugamer6743  se vc acha assim🤷🏻‍♂️,há 2 anos,0,
Aqui é Santos futebol clube,há 2 anos,2,
Achei que vcs tem que perder todos os campeonatos e serem estrupador pelos os rivais,há 2 anos,0,
Galo vai ser campeão pelo aumentos dos números no resultado tá na cara,há 2 anos,1,
 @user-mu5ho1rs3p  palmeiras não passa de um time minúsculo bi da série b sem mundial,há 2 anos,1,
 @isaquemartins1110  o bragantino não irá conquistar o título da sul-americana pois a última partida eles perderam de 2 a 0 pro atlético paranaense adversário deles na final nisso da pra ter uma observação de que o bragantino possivelmente irá perder a sul-americana,há 2 anos (editado),1,
 @isaquemartins1110  e outra coisa ninguém liga pra sul-americana copa sul-americana é série b da América título de time minúsculo meu time possui 3 títulos de libertadores 2 mundiais 1 recopasulamericana 1 copa comenbol competição essa que originou a sul-americana além de possui uma supercopalibertadores competição essa que era bem mais difícil e disputada do que a atual sul-americana,há 2 anos,1,
" @isaquemartins1110  meu time possui 3 libertadores 
2 mundiais 
1 recopasulamericana 
1 recopaintercontinental 
1 copa comenbol competição anterior  que deu origem nos moldes da atual sul-americana 
Além de uma Supercopalibertadores competição essa que participava apenas times que conquistaram a libertadores de América ou seja apenas times gigantes disputavam o dia que o minúsculo do bragantino tiver esses títulos você volta a dizer algo e voltamos a discutir",há 2 anos,2,
 @user-mu5ho1rs3p  Santos pôs Pelé só venceu brasileiro copa do Brasil libertadores recopasulamericana copa conmebol Supercopalibertadores e uma cacetada de campeonato paulistas você dizer que Santos se resume a Pelé só demonstra sua burrice ignorância e desconhecimento de futebol,há 2 anos (editado),1,
 @user-mu5ho1rs3p  palmerda bi da série b sem copinha e sem mundial,há 2 anos,1,
@Emmanuel Macron cara você não tem vergonha de dizer esse tipo de asneira?,há 2 anos (editado),1,
@Emmanuel Macron você é intrinsecamente a personificação ontológica da burrice em forma de indivíduo,há 2 anos (editado),1,
 @user-mu5ho1rs3p  fácil dizer do presente agora pois antes da titia Leila e paulo nobre teu time brigava todo ano pra permanecer na primeira divisão espere o Santos se restruturar financeiramente e montar um elenco descente aí quero ver tu fazer gracinha,há 2 anos (editado),1,
 @isaquemartins1110   e o Santos n tava desfalcado? O artilheiro do time tava fora do jogo e etc,há 2 anos,0,
 @user-mu5ho1rs3p  palmeiras time sem Glórias,há 2 anos,3,
" @user-mu5ho1rs3p  ngm liga pro palbunda, até o corinthans é maior que essa merda inútil",há 2 anos,2,
"... Jamais o peixão cairá... A história não permitirá, todo jogador que veste essa camisa por mais que esteja numa fase ruim se agiganta pra defender esse timaço...",há 2 anos,0,
" @user-mu5ho1rs3p  ... Fácil, porque só o Palmeiras é BI da série b, so não é tri pois o salvamos... Vitória vai vitória vem, mas essa vergonha nunca teremos...  Ficar em quarto num mundial de clubes é pra poucos kkkkkkkk.... Tá ai sua resposta, vem ser feliz no Peixão o único grande de verdade, sem Crefisa, sem Leila..........",há 2 anos,0,
Santos é grande mesmo nas dificuldades,há 2 anos,0,
 @user-mu5ho1rs3p  sem mundial KKKKKKKKKKKKKKKKKKKKKKKKKK KKKKKKKKKKKKKKKKKKKKKKKKKK KKKKKKKKKKKKKKKKKKKKKKKKKK KKKKKKKKKKKKKKKKKKKKKKKKKK KKKKKKKKKKKKKKKKKKKKKKKKKK KKKKKKKKKKKKKKKKKKKKKKKKKK KKKKKKKKKKKKKKKKKKKKKKKKKK KKKKKKKKKKKKKKKKKKKKKKKKKK KKKKKKKKKKKKKKKKKKKKKKKKKK KKKKKKKKKKKKKKKKKKKKKKKKKK KKKKKKKKKKKKKKKKKKKKKKKKKK KKKKKKKKKKKKKKKKKKKKKKKKKK KKKKKKKKKKKKKKKKKKKKKKKKKK KKKKKKKKKKKKKKKKKKKKKKKKKK KKKKKKKKKKKKKKKKKKKKKKKKKK KKKKKKKKKKKKKKKKKKKKKKKKKK KKKKKKKKKKKKKKKKKKKKKKKKKK KKKKKKKKKKKKKKKKKKKKKKKKKK KKKKKKKKKKKKKKKKKKKKKKKKKK KKKKKKKKKKKKKKKKKKKKKKKKKK KKKKKKKKKKKKKKKKKKKKKKKKKK KKKKKKKKKKKKKKKKKKKKKKKKKK,há 2 anos,0,
 @user-mu5ho1rs3p  vsfd otario só tem esse argumento,há 2 anos,0,
@Emmanuel Macron e quem é os outros? Sp abaixo da gente e perdemos pro palmeiras mas ganhamos do redbull se nóis ganha do corinthians nos vira a 2 maior força de sp,há 2 anos (editado),0,
",
  
, ,
 
,.     , 
,. 


,. 
, 
 ,,
,",há 2 anos,0,
" @Euraff._.     
, 
 
,.  

,=
9",há 2 anos,0,
Dó Flamengo é alugado kkkk,há 2 anos,1,
"Opa, tudo nosso, sorte dia 27",há 2 anos,0,
 @MrGigaBiteh  sorte kkkkkkkkkkkkkk vai palmeiras,há 2 anos,0,
SANTOS CLUBE EMPRESA JÁ JÁ JÁ JÁ,há 2 anos,0,
"Muitos troxa falava que o Santos já estava na série B...
O Campeonato nem acabou e os tonto já cravava a Série B kkkkk
Pena eu tenho do time deles que já caiu isso sim kkkkkk

Santos é grande Respeita",há 2 anos,1,
Jogou muito bem! Devolvam meu santos. Hahahha,há 2 anos,0,
"..."" Som MC Bin Laden "" - Respeita o Meu Peixão .",há 2 anos,1,
Cara eu gosto muito desse narrador sempre dá sorte pro santos,há 2 anos,0,
O Red Bull nos deu asas kkk . Sempre Sempre Santos 🖤🤍🙅🏻‍♂️,há 2 anos,1,
"Que ódio, eu só comemoro gol depois que apita no centro do campo.",há 2 anos,0,
"Aqui e peixe de coração, qm e peixe da o like👍",há 2 anos,2,
"Pênalti foi, mas não precisava do mortal pra frente kkkkkk
Edit: sou santista",há 2 anos (editado),2,
"Nascer Viver E No Santos Morrer É o Orgulho que nem todos podem ter,aqui é Santos prr",há 2 anos,1,
Gosto De Vêv Um  Futebo l Bonito  Bem Jogado,há 2 anos,0,
A torcida faz toda diferença!,há 2 anos,0,
"boa meu peixão , sei que tenho poucos anos de vida mas amo esse clube e ainda acredito numa libertadores !",há 2 anos,1,
Santos É gigante,há 2 anos (editado),0,
Só acho q n tinha necessidade do marinho fazer essa cena de virar mortal kkk,há 2 anos,0,
Obrigado pran7os por ter nos ajudado otários 👍,há 2 anos,0,
