text,time,votes,replies
"Fala, torcedor! 😎
Carille foi uma boa contratação para o Santos?",há 2 anos,308,60
Santos 4x1 Juventude,há 1 ano,0,
JUVENTUDE 3X0 SANTOS,há 1 ano,0,
Parabéns 👏👏👏,há 2 anos,1,
"Fala pra você, depois desse jogo fiquei com medo mano...
MAS ESCAPAMO KCT, SANTÃO GIGANTE♥️🐳",há 2 anos,1,2
tenho a impressão de que esses 3 pontos ainda vão fazer diferença no final do campeonato hein,há 2 anos,0,
TAVA torcendo pro SFC,há 2 anos,0,
"""Se o Santos for jogar só com 30% da torcida vai jogar com 1 torcedor""

-max e guigs",há 2 anos (editado),1,2
O carille de tao retranqueiro nunca conseguiu fazer um gol se quer,há 2 anos,0,
nanicos kkkkkkkkkk time podre sanlixo,há 2 anos,2,1
Meu paredão Saudades BBMP,há 2 anos,0,
Ano q vem: Santos x Cruzeiro 🤣,há 2 anos,0,1
Só o goleiro do meu SP que é uma vergonha mesmo bicho!,há 2 anos,0,
Castilho é do galo 😎,há 2 anos,0,
Goleamos,há 2 anos,0,
"Peixe tah estragado , não se quer nem de Graça hoje em dia 🤣🤣🤣",há 2 anos,0,
KKKKKKKKKKKKKKKKKKK,há 2 anos,0,
Tsrdelli melhor que batistão,há 2 anos,0,
Esse Douglas Friedrich é um baita goleiro pra times médios!,há 2 anos,0,
Só EU percebi que o Título tá errado ?? 🤔🤔,há 2 anos,1,
"Boa sim, boa pra afundar as sardinhas KKKKKKKKKKKKKK carille vai ser ainda mais ídolo no Corinthians",há 2 anos,54,
"Parece que o santos tá querendo fazer uma visitinha ao cruzeiro em ADM 😂😂, lá na segunda divisão",há 2 anos,41,
PRA SÉRIE B É MARAVILHOSO KKKKKKKKKK,há 2 anos,20,
Mas não era só tirar o Diniz que iria melhorar ??🤔🤔🤔,há 2 anos,23,
Estádio do FlaViagra?,há 2 anos,10,
Sim,há 2 anos,5,
"Queria um contrato sem multa ? Toma aí véi... Carille não é besta, time horrível e sem multa... Receba ! 😉",há 2 anos,1,
O estágiario zuou agora kkkkkkkk,há 2 anos,5,
Não faz diferença quem seja o treinador. Com time medíocre não tem como escapar das derrotas e do rebaixamento. Herança de péssimas gestões na presidência.,há 2 anos,6,
 @inlypolar  Estádio do São merda?,há 2 anos,1,
Não 👎,há 2 anos,0,
Para sério b ele foi uma boa contratação do santos q time ruim esse do santos,há 2 anos,1,
"isto é Flacu 

Atlético-MG 6x1 Flaputa 
Atlético-MG 4x1 Flavadia 
Atlético-MG 4x1 Flaprostituta
Atlético-MG 4x0 Flavagabunda 
Atlético-MG 4 x1 Flabuceta 
Atlético-MG 4x0 Flavagina 
São Paulo 6x1 Flabosta 
Botafogo 6x0 Flacuzão 
Botafogo 9x2 Flamenstruada
São Paulo 4x1 Flalixo
Corinthians 4x0 Flamerda 
Paraná 6x2 Fladesonesto
Internacional 4x0 Flacorrupto
Independente Del valle 5x0 Flamaconha
Santos 4x0 Flacocaína
Vasco 5x1 Flacracuda
Vasco 7x0 Flagonorreia 
Fluminense 5x1 Flanadegas 
Coritiba 5x0 Flasafada
Coritiba 5x0 Flabunda
Goias 5x1 Flabadarosca
Bragantino 5x1 Flaquenga
Grêmio 6x1 Flacadela 
Gremio 5x1 Flacachorra
Grêmio 5x1 Flapiranha 
Grêmio 4x1 Flaboquete
Palmeiras 7x1 Flaassanhada
São Paulo 7x1 FlaEsgoto
Botafogo 7x1 FlaRato",há 2 anos,9,
O importante é joga não ganhar 😎,há 2 anos,1,
Kkkkkk,há 2 anos,1,
 @ganhamosroubadoem81somosti80  esse flapinto viu é uma piada mesmo,há 2 anos,2,
ADORO GE,há 2 anos,1,
KKKKKKK FIQUE ETERNAMENTE NO SANTOS CARILLE,há 2 anos (editado),1,
O problema do Santos são os jogadores elenco abaixo do padrão.,há 2 anos,4,
Ótima contratação 🤣🤣,há 2 anos,2,
 @kleitonkb1127  SEM DÚVIDAS,há 2 anos,2,
SENTI UMA LEVE IRONIA DO ESTAGIARIO KKKK,há 2 anos,1,
Melhor contratação da história do Santos! 😉😁kkkkkk,há 2 anos,1,
Piada,há 2 anos,0,
Sim,há 2 anos,0,
 Striker Sports  2,há 2 anos,0,
Sim e muito,há 2 anos,1,
 @coringaokg4976  KKKKKKKKKKKKKK TO RACHANDO KKKKKKKKKKK,há 2 anos,1,
 @ganhamosroubadoem81somosti80  FALTO FLAXERECA 👍,há 2 anos,1,
O juventude ganhador de alguns grandes kkkk,há 2 anos,1,
Foi sim,há 2 anos,1,
 @ganhamosroubadoem81somosti80  KSKSKSKSKSJSKSKAKSKSKSKSKSKSKSLSKSKSKKSKSKSKSKSKSKSKSKS,há 2 anos,1,
"Como pode o Santos precisando marca gols o técnico entra com 3 zagueiros para tomar gols tontos ainda ..mil vezes Dorival júnior doque esse Zé retranqueiro do caramba , Fernando Diniz deixou o Santos na beira do rebaixamento ,agora com esse técnico o Santos vai ser rebaixado mesmo",há 2 anos,1,
"Pra série B?.., É uma maravilha kkkkkk 😂",há 2 anos (editado),1,
 @gilsonsilva-gs  kkkkk,há 2 anos,1,
Melhor que o guardiola,há 2 anos,1,
Ótima contratação kk,há 2 anos,1,
Calma o técnico chegou agora o time teve muitas mudanças provavelmente vai melhorar,há 2 anos,1,
Carile não é ruim porém tem que deixalo trabalhar,há 2 anos,1,
SIM,há 2 anos,1,
"Se tava ruim com Diniz, com Carille PIOROU!!! péssima escolha dos dirigentes...rumo a série B!! Se cair quebra de vez !!",há 2 anos,2,
Vai cair,há 2 anos,1,
Vaaii cair,há 2 anos,1,
Foi 🤣,há 2 anos,1,
"O Santos está uma vergonha, o time percorre o campo  inteiro mais na hora do gol da finalização o time  falha, ums incompetentes, vai chamá na responsa no um contra um. fica cara a cara com o goleiro, é  série b na serta envergonhado pelo santos.",há 2 anos,0,
Santos série B junto com Grêmio,há 2 anos,0,
Se ferraram quem mandou contratar o zé retranca kkķk que esse lixo nunca mais passe no corinthians.,há 2 anos,0,
O problema não é o carille e sim a falta de brio dos jogadores,há 2 anos,0,
Série B está perto 😬😬😬 .,há 2 anos,0,
"PÉSSIMA!!!!! Se não trocar, vai cair!",há 2 anos,0,
Fala zeze fala zeze,há 2 anos,1,
Sim ! Dias melhores virão!,há 2 anos,1,
pra mim é um bom técnico mas o time é Rui,há 2 anos,0,
melhor impossível,há 2 anos,1,
"Título tá errado
É 22° Rodada ñ 21°",há 2 anos,1,
Só EU percebi que o Título tá errado ?? 🤔🤔,há 2 anos,1,
"N, técnico retranqueiro e medroso. Vai tirar a índole de time ofensivo e nojento que era o Santos",há 2 anos,1,
O problema é o time mas o técnico também tá muito fraco!,há 2 anos,0,
Pro Santos eu não sei agora para o juventude foi perfeito.,há 2 anos (editado),0,
Kkkk,há 2 anos,0,
Dps desse jogo n queria assistir mais nd relacionado a futebol,há 2 anos,1,
"Eu também, sai de um grupo de Futebol no ZAP pq a galera toda falava que nois ia cair kkkkkk depois desse jogo e aquele contra o América, eu achei que o Santos ia cair. Ainda bem que o Carille acertou os trilhos depois do jogo contra o Fluminense, e terminamos a 7 pontos do Z4, mas foi por pouco hahaha",há 2 anos,0,
Cortinas freguês do mengão malvadão,há 2 anos,1,
Vai fazer algo de útil seu Virgem ao invés de ficar digitando merda na internet,há 2 anos,0,
ARERÊ O GAYMIO VAI JOGAR A SÉRIE BBB,há 2 anos,0,
Diz isso agora otario,há 2 anos,0,
"Título tá errado
É 22° Rodada ñ 21°",há 2 anos,0,
"3-0 Juventus em cima do Santos, e sem cr7",há 2 anos,0,
"Douglas
Grande goleiro
Quando estava no Bahia ele arrebentou",há 2 anos,3,
vai cair sardinha,há 2 anos,0,
"Sou corintiano, mas esse placar foi totalmente injusto. Juventude não jogou nada, fez 3 gols e passou maior parte do jogo se defendendo. Quem viu o jogo sabe do que eu tô falando.",há 2 anos,1,
Guilherme castilho e muito bom jogador da base do galo mais uma assistência,há 2 anos,0,
"Santos e São Paulo já foram time um dia, hoje em dia é dois times safado vergonhoso,um dos mais pipoqueiro do Brasil, junto com o Vasco.",há 2 anos,1,
"Os dirigentes burros do Bahia dispensaram o goleiro Douglas (excelente goleiro) para ""fechar"" o gol do Juventude, e ficou com três goleiros de qualidade questionável.",há 2 anos,0,
Santos 2021 : de mal a pior !,há 2 anos,0,
A zaga do santos parece o meu quarto todo bagunçado,há 2 anos,1,
"Times grande normalmente nao ganham de times menores por que ? Times pequenos jogam por contra ataques e times maiores enteam em campo com exesso de confiança achando que vão golear bota o time todo mo ataque e se abrem todo nao esperam que os times menores vão ir para cima por isso não ganham grandes exemplor fluminense 1x1 juventude com roubo do juiz que impediu a vitoria do juventude , sao paulo 1x1 juventude cheio de erros do arbrito mas 1x1 ficou de bom tamanho, fortaleza 1x1 juventude mas uma vez arbrito roubou a vitoria do juventude , corinthias 1x1 juventude onde juventude errou no gol do corinthias ao nao pular a barreira (não dismerendo o golaço do roger que é um baita de um jogador) ou seja juventude poderia estar bem mais a frente na tabela se não fosse tantos roubos de arbritos fracos que favorecem times maiores ....",há 2 anos,1,
Esse Douglas pega muito e só joga em time pequeno,há 2 anos,0,
O Ruimarinho jogou esses dia kkkkk,há 2 anos,0,
Prontinho pra série B.,há 2 anos,0,
"porra joao paulo, a bola foi onde voce tava no 1º gol e tu saiu de la por que",há 2 anos,0,
"Mano, a cara do João Paulo no segundo e terceiro gol e dolorida cara, não tá fácil 😥😏💔",há 2 anos,0,
"imaginem se fosse o campeão da liberta, e os argentinos vendo eles no campeonato achando que iam dominar..",há 2 anos,0,
"Juventude vai se organizando aos poucos,e crescendo no campeonato!",há 2 anos,0,
Seria um previlégio ver o Santos e o São Paulo ser rebaixados no mesmo ano,há 2 anos,1,
Depois dessa o Santos não ganha mais de ninguem,há 2 anos,0,
"Sou SANTISTA!
Mas, tá complicado.
Que ""entressafra "". Cadê a gurizada que o 🐟 🐠 🦈  sempre revela?
Penso que, a continuar assim, SANTOS irá,  pela primeira vez, encarar a ""B"".
😳😳😳😳😳😳",há 2 anos,0,
Belo trabalhor o time do juventude ta fazendo,há 2 anos,0,
"Puta que pariu que elenco nojento esse do Santos,ganham uma grana boa pra jogar bola e nem isso fazem direito...podem mudar de profissão",há 2 anos,0,
"''Carille, coitado, entrou numa tremenda ''barca furada''..!😎",há 2 anos,0,
Respeita o Juve Poha kkkkk,há 2 anos,0,
Como e que perde pra o juventude??,há 2 anos,0,
Douglas excelente no jogo,há 2 anos,0,
Ta apanhando demais .,há 2 anos,1,
Viúva do Pelé kkkkkkk,há 2 anos,0,
"Administração do Santos dando aula de como afundar um time. Se sobreviver esse ano (difícil) e não tomar uma providência, do ano que vem não passa.",há 2 anos,0,
"Essa diretoria esta afundando o Santos, não tem melhoras as ideias não funciona não tem progresso no time, sempre a mesma desculpa, ha mas pensando bem eles querem entra para a história do time concertesa vai sim a diretoria o elenco que afundou o santos fc para 2 divisão 👏",há 2 anos,1,
Santos perdeu o rumo a verdade e essa,há 2 anos,0,
"Pior time do Santos em toda história, se não abrir o olho terá uma queda inédita 👀",há 2 anos,0,
santos tá pedindo pra ser rebaixado,há 2 anos,0,
"O prantos está cada fez mais afundo.
 Carlike 2021",há 2 anos,0,
Maior do Brasil???,há 2 anos,1,1
time sem técnico não vai ganhar  nada!,há 2 anos,0,
"Série   b ,a caminho santos",há 2 anos,0,
Que vergonha oque tá acontecendo com o Santos,há 2 anos,0,
