text,time,votes,replies
"E aí, torcedor?
O que achou do resultado?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,259,66
Alguém em 2024😢😢,há 1 mês,0,
Gente você gosta do Flamengo ou Sport,há 1 mês,0,
Pedro vai jogar muito olha oq eu tô falando,há 3 meses,0,
Eu sou sport mas falmengo amassou mas empatou jogo equilibrado principalmente fos goleiros,há 5 meses,0,
O clássico da copa União 87,há 8 meses,0,
2 time que amo,há 1 ano,3,
"FLABOSTA TEM MÍDIA, MAIOR DO NORDESTE TEM HISTÓRIA.",há 2 anos,1,3
Jivb,há 2 anos,0,
Mano queria tanto que Mikael e Gustavo tivesse no sport  😭😭😭,há 2 anos,1,
"Esse jogo colamos no estádio pela camisa. O time já rebaixado, mas jamais podemos abandonar o leão",há 2 anos,0,
Michael jogou muito em 2021 pelo flamengo,há 2 anos,0,
Hugo eu o tipo de goleiro q eu amo ( goleiro MALUCO E ESTABANADO KKKK) tem futuro,há 2 anos,0,
Fla ritual petista,há 2 anos,1,
"Esse tal de matheuzinho é cabaço neh, o cara é especialista em entregar gols pro adversário, não dá pra contar com um merda desses",há 2 anos,0,
Flamengo c****,há 2 anos,0,
Flamengo merda pro sport,há 2 anos,0,
Kkkkkkkk que thumb é essa?,há 2 anos,0,
se fosse atletico o juiz dava o penalti,há 2 anos,0,
"Do ceu ao inferno,esse é meu flamengo.",há 2 anos,0,
Achei excelente ver o mengaum empatar com o Sport,há 2 anos,17,
"Esses Dias Atrás Um Pessoal Me Perguntou Pra Que Time Eu Torcia, aí Sem Querer Eu Falei ""FLAMENGO"" é Do Nada Os Cara Começaram a Passar a carteira, relógio, cordão, celular é colocaram as mão pro alto. Não Entendi Nada!",há 2 anos (editado),17,
SOU CORINTIANO É ADMITO QUÊ O FLAMENGO É TIME PEQUENO,há 2 anos (editado),18,
Pessimo,há 2 anos,5,
Booomm,há 2 anos,6,
Não dará um estádio e nem um título expressivo pro Flaputa nessa temporada kkkkkkk 👃👃,há 2 anos,8,
" @if001.  falou o cara q joga Minecraft kkkkk, deve ser criança de 8 anos falando merda em YouTube 😂😂",há 2 anos,3,
 @cruzeiro6432  série B🤭,há 2 anos,7,
"Perde meu bilhete, fui na Vitória do flacu",há 2 anos,2,
"Tem que demitir os apresentadores do GE da Bahia. Comentaristas que só falam besteira. Muitos apresendores são parciais (falam bem do time para o qual torcem e criticam os outros). Tem apresentador do GE que ficou em ÚLTIMO colocado na liga do cartola, mas na hora de fazer críticas, enchem a boca como se fossem expert no assunto kkkkkkkkkk",há 2 anos,1,
Kkkkkk 87 do sport acabou,há 2 anos,1,
.,há 2 anos,2,
 @matheussccp2023  Flamengo é bem maior que o seu Corinthians kkkkk.,há 2 anos,3,
 @jota9105  vocês ganharam alguma coisa?,há 2 anos,2,
 @madarasantista9586  tem nem torcida.,há 2 anos,3,
 @isaquemartins1110  maiores que seu time.,há 2 anos,3,
 @cruzeiro6432  bbbbbbbbb,há 2 anos,1,
Uma maravilha,há 2 anos,3,
Muito Bom Flamengo vice d novooooooooooo 87,há 2 anos,2,
Viceeeeeeeeeee,há 2 anos,2,
KKKKKKKKK 🤣🤣👃,há 2 anos,1,
"Ei, 87 é do Sport.",há 2 anos,1,
" @matheussccp2023  Eu sou Palmeiras e tamo junto, Flamengo eh pequeno",há 2 anos,1,
"O Retrato do Flamingus em 2021. Tríplice Descorôa. Palmeiras duas Libertadores em 10 meses, Flamengo dois vocês em 4 dias kkkkk meu Deus que time minúsculo, Marias do Jorge Jesus. Morreram em 2019",há 2 anos,1,
Nem sempre vamos ganhar,há 2 anos,0,
"Esse Hugo ele tem que ter mais controle ,as vezes sair muito do gol ,bom goleiro ,mais sim o time precisar de um melhor !",há 2 anos,0,
"Melhores momentos ridiculo, cortam as imagens no meio",há 2 anos,0,
