text,time,votes,replies
"Amigos, o que foi aquela assistência do Hulk?",há 3 anos,318,37
CUIABÁ 0X1 ATLÉTICO-MG,há 1 ano,0,
É campeão!,há 2 anos,0,
A diferença dos jogadores do galo é que não  são de porcelanas. Não pegam nem gripe os caras kkkk.,há 2 anos,0,
"FORCA GALO FORCA HULK ⚽🐓⚽
🇧🇷⚽🐓⚽🇧🇷🙋👍",há 2 anos (editado),0,
"Paulão ficou na saudade, HULK ESMAGA!",há 3 anos,0,
Hulk seleção melhor que todos que joga na posição dele,há 3 anos,0,
"Só eu acho que o gigante galo, vulgo galão da massa, vai ser campeão de tudo esse ano? Sem zika 🤩",há 3 anos,1,1
Se tem uma coisa que o Hulk nao e.. E ser fominha o cara da muita assistencia,há 3 anos,0,
Flamengo sempre eu hei de ser,há 3 anos,1,
Hulk melhor jogador que joga no Brasil,há 3 anos,0,
"O Hulk, é o melhor atacante do Brasil....",há 3 anos,0,
"Quero o campeonato. Ganhar de 1x0 ainda é ganhar. Pode ser recuado, pode ser no ataque. Ver um espetáculo é legal, ganhar o campeonato é melhor ainda!",há 3 anos,0,
"Vídeo mal feito, na hora do locutor gritar gol, eles cortam.",há 3 anos,0,
Hulk deu uma arrancada igual ao do Ronaldo contra o SP no passe do Christian,há 3 anos,0,
"Tem muito campeonato pela frente vamos arrumar esta zaga Atleticana Cuca, o ataque ta funcionando que uma beleza, da pra chegar la so......",há 3 anos,0,
"fala que hulk joba muito, saiu nacho o time jogou p... nehuma",há 3 anos,0,
"O gol foi impedido 
Quando o Hulk passou o atacante estava impedido",há 3 anos,0,
Show De Bola Do Galo Rumo ao Titulo,há 3 anos,0,
"que pelota filtrada de Savarino a Hulk, luego Hulk la asistencia con Nacho",há 3 anos,1,
Bambis achando que tão no Paulista ainda Kkkkkk,há 3 anos,13,
Fui a roma encontrei um troço gigante pensando que era o estadio do Flacú cheguei mais perto mas era só a arena dos gladiadores mesmo,há 3 anos,8,
"""O que foi aquela assistência?""

Tudo calculado 





















Confia!😎",há 3 anos,3,
1 chute ao gol e o patético vence pqp,há 3 anos,1,
"Bom que o Hulk não é fominha,ele poderia ter tentado o gol e viu que a melhor decisão era o passe.Ele e esse Nacho foram as melhores contratações",há 3 anos,10,
Foi do huke,há 3 anos,1,
Tocando uai ta moscando,há 3 anos,0,
 @corinthiansmaiordobrasil6777  Marminthians não tem estádio tbm não amigão,há 3 anos,0,
"VDD MAIS LINDA DO MUNDO!








MAIS ISSO NAO MUDA O FATO DO SHUPAULO NAO TER COPA DO BRASIL",há 3 anos,0,
Passe pra gol 😊🙏,há 3 anos,0,
@W.Ferreira olhei analisei cheguei a conclusão que o palmijo não tem mundial.,há 3 anos (editado),0,
IBPSB,há 3 anos,0,
Velocidade da peste Hulk😲,há 3 anos,4,
Bom foi o a enfiada de bola do Savarino pro Hulk,há 3 anos,1,
 JHØN BR  sério peppa pig sem gol no mundial bi rebaixada tri vice sem supercopa e recopa e sem copinha,há 3 anos,0,
 JHØN BR  não e vc já comeu bosta do rio tietê hoje?,há 3 anos,0,
 JHØN BR  já fumou um crack na cracolandia hoje?,há 3 anos,0,
@W.Ferreira kkkk,há 3 anos (editado),0,
Sãoputa nem estádio tem,há 3 anos,0,
Savaliso tbm ta jogando o fino,há 3 anos,2,
PARABENS PRO FLACADELA PELO CENTENÁRIO SEM UM MÍSERO ESTADIO,há 3 anos,0,
Foi uma bela assistência do Hulk,há 3 anos,0,
Linda,há 3 anos,0,
@W.Ferreira única descupa de Vascaido,há 3 anos (editado),0,
 @miguelnunesborges598  patético fraco,há 3 anos,0,
"Oxi nada demais só tocou de lado 
Sem dificuldades",há 3 anos,0,
"O Huck quando joga mais para a equipe  do que so para ele, rende muito mais, esse negócio de achar que é um dever sempre fazer gol, ainda mais depois de um mal entendido como treinador para ser titular nessa posição, acaba chutando tudo para o gol ou tentar resolver sozinho com dois ou tres do lado dele pronto para receber com boas condiçoes de jogo, agora quando ele passa a bola, ai ninguem segura, muito bom o contrataque desse trio",há 3 anos,0,
@W.Ferreira é impressão minha ou você é um fracassado?,há 3 anos (editado),0,
Tá jogando demais,há 3 anos,0,
"( ferroviário, cabo de st. Agostinho, pe. Brasil. Fbastos, rua 38 cohab, alô rapaziada vamos ver velho, )",há 3 anos,0,
"Podiam parar de editar demais a narração.O povo não está gostando disso 
.",há 3 anos (editado),0,
"Aprende a fazer vídeo, cara. Como tu corta a narração na hora do gol. Amadorismo puro.",há 3 anos,0,
" @ThiagoPradoD  sem inveja Mn,td o chute tem q se aproveitar",há 3 anos,0,
 @plzin2889  inveja? Ta bem mano? Kid,há 3 anos,0,
 @ThiagoPradoD  enfim se vc n torce por Cuiabá n precisa se revoltar,há 3 anos,0,
 @plzin2889  Fds kid,há 3 anos,0,
Só 2 min ??,há 3 anos,1,
Galinha monotitulo 🐔🐔🐔🐔,há 2 anos,0,
"Isso não dará,o título que há 50 anos não conquistamos...

Galinho Paraguai fritos 2021😁...",há 3 anos,0,
Vamos Galo,há 3 anos,0,
"A única alteração que deveria ter sido feita na equipe seria a volta do Arana e a saída do tchê tchê,o restante seria o time q venceu o atl.goianiense.",há 3 anos,0,
Hulk além de ser muito forte tem muita velocidade,há 3 anos,0,
"( ferroviário, cabo de st. Agostinho, pe. Brasil. Fbastos, rua 38 cohab, alô rapaziada vamos ver velho, )",há 3 anos,0,
Para de corta a narração dos narradores na hora do gol,há 3 anos,0,
"Hulk e Scarpa São os maiores garçons até agora no Brasileirão série a,5 assistências 🤔",há 3 anos,0,
"Eu já disse amigos internautas, Hulk merece uma chance na seleção do BRASIL!!
Lá temos cada ''pé-de-rato'', como diz o craque Neto, que dá pena...tristeza, falei.",há 3 anos,0,
Essa zaga do galo é horrível. Olha o dible que Ygor Rabello levou na pequena área.,há 3 anos,0,
Hulk nem foi fominha 👏🏼,há 3 anos,0,
Respeita os esquerdinha,há 3 anos,0,
"Hulk ta jogando muito bem, ele era goleador e agora ta um bom garçom",há 3 anos,0,
Impressionante a velocidade do Hulk para partir de trás e chegar na frente do Paulão e deixar limpinha para o Nacho só cumprimentar as redes. Hulk está quase que literalmente voando!,há 3 anos,0,
Atlético cavalo paraguaio kkk,há 3 anos,0,
Galo de calção branco parece o Liberta do Paraguai kk,há 3 anos,0,
"Campenato mais estranho , times grandes e pequenos no.mesmo nível.",há 3 anos,0,
hulk joga muito !,há 3 anos,0,
GALOOOOOOOOOOOOO,há 3 anos,0,
O Hulk tá jogando muito !!! Merece uma vaga na seleção !!!,há 3 anos,4,
Parece replay do segundo gol que fizeram em Belem contra o Remo,há 3 anos,0,
ELE TÁ ENCONTRADA A ZONA FATAL ELE É INTELIGENTE,há 3 anos,0,
HULK É FOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOODA,há 3 anos,0,
Essa defesa do atlético  é  uma bosts,há 3 anos,0,
Metade do gol foi do hulk,há 3 anos,0,
O Hulk joga para o time. Que velocidade do mosntro 👏👏👏,há 3 anos,1,
Kd a narraçao do gol?? Como que vcs editam e cortam a parte mais importante do futebol? Vcs sao doentes?,há 3 anos,0,
"Que orgulho desse meu Galão!
Os caras tudo solidários, um verdadeiro time!",há 3 anos,3,
Everson é muito bom,há 3 anos,0,
"Esse Pepe é bom, achei bom pro galo",há 3 anos,0,
😂😂😂😂😂😂😂😂👎👎,há 3 anos,0,
Savarino el jugador más infrsvalorado del continente es el q mueve crea asociación en ataque asiste y hablan de hulk y nacho 🤣 🤣 🤣,há 3 anos,0,
Hulk era pra tá na seleção no lugar de Gabigol.,há 3 anos,0,
Até o Cuiabá  tem estádio e o mulambo não tem,há 3 anos,0,
Se fosse qualquer outro jogador teria caído para ter a falta parabéns hulk nada melhor que seguir a jogada em pé,há 3 anos,0,
"O jogador mais fraco desse atletico mineiro é o goleiro.ele é ruim demais,tem sorte que a zaga é boa.pq depender dele,toma gol sempre.goleiro ainda não tá a altura de ser titular desse time.só é titular pq os reservas tbm não prestam",há 3 anos (editado),0,
Não se empolga atleticano.vcs não estão com essa bola toda.ganharam uma Vitória sofrida.era pra ser empate esse joga.tiveram sorte,há 3 anos,0,
POW PAULÃO  ?? KKKK,há 3 anos,0,
Será q o Hulk corre kkkkkk,há 3 anos,0,
"Cadê a narração do gol, é o ápice do jogo, está ficando sem graça ver os melhores momentos do jogo, é brincadeira",há 3 anos,0,
Os cara crítica o sampaoli mas ele deixou uma baixa herança pro time esse nacho fernandez joga muito e foi a pedido do sampaoli a contratação dele,há 3 anos,0,
Pelos melhores momentos só deu Cuiabá,há 3 anos,0,
Idai?continua sem bi,há 3 anos,0,
"gostei desse time de Cuiabá estou acompanhando esse novo time da série A , (time pra bater de frente). mas está faltando mais "" frieza "" e mostrar  pra que veio . da pra ficar ficar . 😁",há 3 anos,0,
Com a bagunça que começou do Alberto pegando a mulher do diretor já tava na cara que o Cuiabá ia brigar pra não cair kkk,há 3 anos,0,
"Hulk é foda! Seleção sem dúvidas, cara não é fominha, joga muito, que arrancada foi aquela!",há 3 anos,10,
"Nao gostei do jogo do galo , abriu o marcardor e se fechou la atraz com medo do poderoso cuiaba . Faltou vontade de golear  gana mais valeu os 3 pontos.😊",há 3 anos,0,
Vamos ressalta o eversom,há 3 anos,0,
Vai Bolsonaro nosso presidente !,há 3 anos,0,
"Venceu, mas não convenceu. Hulk é outro nível, o cara sai lá de trás e ainda alcança a bola antes do zagueiro. E ainda leva um carrinho mas não cai. O cara é um hulk msm. Fora de série isso.",há 3 anos,23,
Patético mineiro eterno cavalo paraguaio,há 3 anos,0,
"Campeonato Brasileiro 2021 - 9° rodada: Cuiabá (16,00€)* 0 x 1 Atlético Mineiro (86,80€)*.

     Este jogo eu só ouvi no rádio. Mais uma vez vou criticar o SPORTV por não ter transmitido o jogo para Minas Gerais, visto que a partida era em Cuiabá. Fora isso, só posso elogiar o ótimo passe do Savarino para o Hulk no gol do Nacho Fernández. Um bom resultado, visto que o Atlético não pode perder pontos para as equipes que, provavelmente, brigarão contra o rebaixamento. Isso se quiser ser campeão brasileiro. Abraços! 

* Valores de mercados dos times. Em milhões de euros. Fonte: Site Transfermarkt.",há 3 anos,2,
VAMOOOOOOO 🐓🖤🏆,há 3 anos,0,
"Impressionante a capacidade do nacho em ler as jgadas e estar sempre ali qd time ta sem opções,  espero q a lesão n seja grave",há 3 anos,11,
"São Paulo precisando de pontas q vai pra cima e que dribla, e Paulinho boia e Danilo Gomes emprestados 👍",há 3 anos,0,
Os gols do Galo todos em jogadas trabalhadas e a torcida enchendo o saco do Cuca.,há 3 anos,0,1
É o nosso goleiro fechou o gol hj. Se não tinha empatado ou até mesmo perdido.,há 3 anos,0,
O que esse Hulk o que está fazendo é brincadeira vários aposentado voltaram pra br e não jogaram nada,há 3 anos,2,
"Futebol brasileiro ta um lixo, que Hulk bunda elefante 🐘🐘 tá deitando, nunca vi um cara tão ruim um dos caras que afundou seleção no 7x 1.
Futebol brasileiro horrível...",há 3 anos,0,1
Vão me criticar mas o Atlético não tem cara de que vai chegar não. Nao consegue jogar bem contra times de menor potencial.Hoje jogou mal e ganhou apenas por causa deste gol e só.,há 3 anos,1,1
"ACORDA DIRETORIA DO CUIABÁ, DESSE JEITO NA 20 RODADA VAMOS ESTAR REBAIXADO, TEM QUE REFORÇAR O TIME COM ESSES  ATACANTES RUINS , NÃO VAMOS GANHAR DE NINGUÉM , OS CARAS NÃO SABE CHUTAR PRO GOL, FALA QUE É FUTEBOL BRASILEIRO , NÃO FUTEBOL AMERICANO , PELO AMOR DE DEUS.",há 3 anos,0,
N vi jogada trabalhada nesse lance m,há 3 anos,0,
Comentário injusto. Você não conhece a história do cara. Fica quieto que tá falando merda.,há 3 anos,1,
"Viajar de Minas pro Mato Grosso cansa!Sem contar que é jogo de 3 em 3 dias,e o gramado tava ruim!",há 3 anos (editado),0,
GALO 04/07/2021,há 3 anos,0,
Hulk joga muito mano c tá doido só queria ele no Mengão,há 3 anos,1,9
"Esse Danilo Gomes pode parar , finaliza mal e é fominha",há 3 anos,0,
Vamos galo...e nois tmo jto,há 3 anos,1,
"Próximo jogo do Atlético vai ser contra o Flamengo, vai ser jogão.",há 3 anos,31,20
Gaaaaalllloooo,há 3 anos,0,
"99% dos jogadores Brasileiros teriam se jogado no carrinho do zagueiro para ganhar a falta, Hulk insistiu e deu a assistencia joga demais.",há 3 anos (editado),104,1
O Cuiabá foi.muito .melhor. uma pena!,há 3 anos,1,
"O cara e um monstro quando não faz gol da a assistência Hulk esmaga os rivais ainda mais com nacho e zaracho fica até parecendo a SHIELD de 2016 ,  GAAAAAAAALOOOOO",há 3 anos,3,
"Estou vendo muitas pessoas menosprezando o cuiabá pq não ganhou ainda , tem uns times grandes ai que não sabe o que é ganhar.  Para mim o campeão desse brasileiro vai ser o RDB",há 3 anos,0,
Esse hulk ta queimamdo minha linguakkk,há 3 anos,3,
Bocaaa💙💛💙,há 3 anos,1,
"Esse Allan e Tche Tche estão estragando o time, cara deixa Jair no banco tá de sacanagem Cuca",há 3 anos,5,1
"O cuca é medroso 
Não vai a ligar algum com retranca , Deus me livre .
Esse não é o galo da quarta-feira",há 3 anos,1,
"Huck excelente jogador, não fominha!",há 3 anos,2,
Vai convoca o Hulk só pra ferrar o galo,há 3 anos,0,
Próximo jogo é ATLÉTICO MG X FLAMENGO,há 3 anos,0,1
João lucas .....fake,há 3 anos,0,
"Sonho em ser narrador de futebol, e graças ao Youtube eu tenho a oportunidade de mostrar meu trabalho. Narrei a vitória e classificação do BRASIL em cima do CHILE, narrei também FLAMENGO  X FLUMINENSE, SPORT X PALMEIRAS e ARGENTINA X EQUADOR.  Gratidão a todos pela a atenção!! Tudo de bom pra vcs!!!",há 3 anos,11,
"Quem é melhor, Hulk ou Gabriel Jesus??? Todos já sabemos a resposta",há 3 anos,0,
Esse pereba no mengão malvadão não ia dar certo,há 3 anos,0,
"@Debates contemporâneos gabigol não e pereba,já o Hulk e um pereba",há 3 anos (editado),0,
@Debates contemporâneos idai? Continua pereba,há 3 anos (editado),0,
"@Debates contemporâneos o mano da atenção pra esse cara não dá pra ver que ele é cabaço ainda não entende de futebol, Hulk tá jogando muita bola esquece",há 3 anos (editado),0,
@Debates contemporâneos sem Hulk patético não e nada kkk,há 3 anos (editado),0,
@Debates contemporâneos KKKKK MAIS O FLAMENGO AINDA FOI CAMPEÃO CHORA KKKK,há 3 anos (editado),0,
@Debates contemporâneos binter empatou na última rodada então não foi sorte,há 3 anos (editado),0,
@Debates contemporâneos kkkkk o choro e livre,há 3 anos (editado),0,
@Debates contemporâneos krl o Inter ganhou na última rodada?não então pronto k7,há 3 anos (editado),0,
"Sim acho que arrascaeta vai jogar , vai ser jogaço sou flamenguista mais acompanho muitos jogos do galo , Huck tá voando ..",há 3 anos,1,
 @Dantas1993  com o Bambi do Ceni nós vai tomar uma goleada história do Atlético,há 3 anos,3,
 @luangomesfps5769  Esse Galo do Cuca é um time que faz 1x0 e tranca o jogo até o final. Os 4x1 no Atl. Goianiense foram uma exceção.,há 3 anos,1,
 @nailtongregorio1884  por isso mesmo eles vão golear agente,há 3 anos,1,
" @luangomesfps5769  Irmão não precisa ser tão pessimista assim não, independente de quem ganhar vamos torcer pra que seja um jogaço 🖤🤍🤝❤🤍",há 3 anos,0,
 @LUCASjoh  último jogo eu vi Flamengo tomando de 4x0 do galo e ainda fora os ameaços que podia ser mais em,há 3 anos,1,
" @luangomesfps5769  Mano,que quarta seja um ótimo jogo, se vcs ganharem, tudo bem, vou respeitar e entender. Enfim,Boa sorte,que o melhor vença. Saudações Atleticanas.",há 3 anos,0,
" @luangomesfps5769  galo tá sem o nacho e talvez o Hulk vai ser banco por causa do jogo contra o boca, vai ser um jogo pal a pal",há 3 anos,0,
 @mikeycareca3413  sei que o galo vai ganhar os jogadores também querem derrubar o bosta do ceni,há 3 anos,1,
" @Rick-wv4vi  nem isso, os jogadores querem derrubar o Ceni o galo vai golear como goleou nós no último jogo tenho certeza 😔",há 3 anos,1,
 @luangomesfps5769  tomara e o Ceni cai e ser demitido,há 3 anos,1,
 @luangomesfps5769  Nacho ae machucou,há 3 anos,0,
 @Rick-wv4vi  vou torcer pro galo sou Flamengo,há 3 anos,1,
" @valdersonmendes5521  sim, verdade. Andrés Villas boas está livre no mercado ainda dá tempo de demitir o Ceni igual fez com o Abel Braga em 2019 e contratar ele pra salvar a temporada...",há 3 anos,1,
Jogo facil pro atlético ganha,há 3 anos,1,
" @nairadias3279  sou Flamenguista, concordo Atlético só não vai ganhar como vai amassar o Flamengo do Bambi do Ceni certeza!",há 3 anos,1,
 @luangomesfps5769  gente ses como flamenguista como atleticano tem que fica de olho na libertadores pra mim jogo mais importante,há 3 anos,1,
" @nairadias3279  vocês tem o melhor elenco da América vão passar do Boca Juniors fácil, Santos com time médio meteu 3x0 neles!",há 3 anos,1,
" @luangomesfps5769  ah man, eu aqui tô com pouca confiança pq o Nacho não vai jogar",há 3 anos,0,
" @luangomesfps5769  carai Mano, vc como Flamenguista tá com mais confiança q nois atleticano kkkkkkkkk",há 3 anos,0,
EXATAMENTE MEU MANO THIAGO,há 3 anos,6,
Tmb n gosto desses dois,há 3 anos (editado),0,
Quarta 7 da noite,há 3 anos,0,
HULK NACHO ZARACHO E SAVARINO SHOW,há 3 anos,1,
Galo forte é vingador 😊👏❤👏 será que dessa vez vai um título inédito ou não galera ?,há 3 anos,1,
DÁ-LHE  VITÓRIA DO MEU GALÃO. ✌😎  👊😎,há 3 anos,2,
Que assistência do Savarino!!! Poxaaa,há 3 anos,5,1
Everson Pega muito,há 3 anos,0,
"Caramba, Hulk tá jogando muito, SLC 🙅🏻‍♂️🔥☝🏽",há 3 anos,3,
Parabéns ao atlético Mineiro estao no caminho certo,há 3 anos,1,
"Caramba que arranque do Hulk, saiu atrás é ganhou e ainda ficou em pé.",há 3 anos,21,2
Paulão acabou com o Jogo hj...,há 3 anos,0,
nss da um nojo ve um time segurar a partida toda e ainda conseguem ganhar🤢 mds kkkk,há 3 anos,0,
O bom que o Hulk não é só força não e sim velocidade também que bom né,há 3 anos,2,
🐓🏴🏳,há 3 anos,0,
GRANDE HULK 🐓🎉,há 3 anos,1,
"O Cuiabá não joga tão mal assim para um time que tava sem treinador, mais falar isso para o pessoal acha que Futebol é só Rio,SP,MG, RS.....",há 3 anos (editado),0,2
Hulk tá merecendo vaga na seleção no lugar de Grabriel Chorão.,há 3 anos,17,3
Atlético quarta ganha do fregues !!,há 3 anos,4,5
Cara... rapaz..o Hulk é o divisor de águas desse time do atlético.Hulk Senna kkk,há 3 anos,0,1
Hulk tinha que voltar pra seleçao no lugar de Vinicius jr ou do Cebolinha ou o tite chamar ele no Lugar de Richarlison 😄😄,há 3 anos,1,2
Cuiaba só está no campeonato pra dar 3 pontos pros adversários,há 3 anos,0,
Aquele um a zerinho safado de novo.,há 3 anos,1,
Vdd mn o cara é muito bom,há 3 anos,1,
Também se não ganhar de um zagueiro veterano e ultrapassado igual Paulão……,há 3 anos,0,
" @jairpatrocinio8009  Kkkkkkkkk
99% dos jogadores BR ou teriam desistido da bola, ou se jogariam no carrinho do Paulão.",há 3 anos,0,
Realmente n é só esses estados msm tbm tem o PR ...,há 3 anos,0,
 @diogobomfim3513  Nordeste,há 3 anos,0,
"Nso de geito nenhum deixa essa seleção do Tite pra lá se não vai desfalca o galo , seleção só serve pra isso pra desfalca os times afff",há 3 anos,1,
"Deixa o cara quieto no galo mesmo moço meche com isso não , galo pode ser desfalcado mais n kkk",há 3 anos,0,
 @pedrootaviocantor504  kkk,há 3 anos,0,
Freguês aonde? Kkkk qrendo força rivalidade com o Flamengo maior do Brasil,há 3 anos,0,
 @CarlosAlberto-wn8ur  qual foi ultima vitoria do fla em minas? Seu time sempre perde  e nao de pouco nao kkkkkk,há 3 anos,0,
Galão Malvadão amassando e isso,há 3 anos,0,
Flamengo sempre perder pro Atlético kkkkkkkkkkk,há 3 anos,0,
 @viniciusgoncalves7033  e ao contrário 2020 a gente tava com um técnico horroroso,há 3 anos,0,
Exato,há 3 anos,0,
Verdade,há 3 anos,0,
Esse pereba tem q continua nesse nanico sem bi,há 3 anos,0,
Hulk e seleção já quem concorda ???,há 3 anos,10,2
Hulk tá jogando muito  o galão cem ele é nacho Fernandes tbm joga muito o time todo,há 3 anos,0,1
"Se não fosse o Igor Rabelo e Everson o galo tinha levado gols, Rever é driblado fácil e não disputa bola nenhuma com os Atacantes no chão, no alto que ele cabeceia. Rever é ótimo no passe mas na marcação e desarme tá horrivel.",há 3 anos,1,
"hulk tá merecendo a seleção, no lugar do g.jesus.",há 3 anos,3,
Cuiabá vai cair pra segunda divisão,há 3 anos,0,
Com o Hulk em campo as coisas fica mais fácil,há 3 anos,1,1
Cuiabá time de ?,há 3 anos,0,
"hulk 
nacho 
savarino  os melhores jogadores do galo",há 3 anos,1,2
Hulk é o CARA,há 3 anos,1,
Hulk é zikw Bichão não e fominha sempre ele toca a bola não ficar desesperado pra chita joga muito já pode volta pra Seleção,há 3 anos,1,
O Neymar tem que aprender com o Hulk sobre o que é jogo coletivo . E o Titi não vê,há 3 anos,1,2
"CUCA NÂO - 7
Pelo amor de Deus, só não vê quem é cego... Mais uma goleada do galo 1x0 no Cuiabá... Treinador retranqueiro... deu uma sorte danada de tomar uma virada... azar do Cuiabá. Na minha opinião merecia ter ganho a partida. Time muito bem treinado com todas as suas limitações... enquanto o Altético ao fazer o gol se retrancou.... Eu sinceramente, achava que o Rodrigo Caetano tinha aberto os olhos dele quando do jogo contra Atlético Goianiense... ledo engano... nem o presidente nem o Rodrigo está acompanhando os jogos... ou então são cegos. Por pouco mas pouco mesmo não tomamos a virada... estou sinceramente preocupado com s sequencia de jogos que vão vir em seguida... acho que eu não vou assistir e muitos torcedores como eu vai fazer isso... treinador medroso... incompetente... burro... e só mesmo a incompetência dessa diretoria para tê-lo contratado... ninguém vê, mas a torcida está se dividindo.",há 3 anos,1,2
