text,time,votes,replies
"O São Paulo cada vez mais perto do Z4.
E aí, o time vai conseguir se recuperar?",há 2 anos,331,149
Se o reinaldo fosse um pouquinho mais rapido seria 2x2,há 2 anos,0,1
luiz henrique driblou um ex zagueiro titular da seleção brasileira e ainda fez gol,há 2 anos,0,
Esse NINO tem futuro,há 2 anos,0,
"Cara.... esse LH lembra muito o Vini Jr... o estilo , velocidade....vai ser peça fundamental no flu e depois a Europa vai levar embora hahaua",há 2 anos,0,
roubo,há 2 anos,0,
Se o Flamengo pegar de novo o são Paulo e outro 🍫,há 2 anos,0,
Luciano jogou demais mais não deu,há 2 anos,0,
Vim do futuro dizer que em desenbro de 2021 são paulo foi rebaixado,há 2 anos,1,1
top,há 2 anos,0,
ROUBALHEIRA DA PORRA!!! VAR PRA QUÊ?,há 2 anos,0,
1:12 arbitragem lixo essa do Brasil pqp,há 2 anos,0,
Rogerio ceni no sao paulo?,há 2 anos,1,
Sou corintiano mas essa camisa do Fluminense e muito linda,há 2 anos,0,
Prejudicaram o São Paulo,há 2 anos,0,
"Esse segundo gol do Fluminense, até eu q sou miopi eu pegaria essa bola foi um frango",há 2 anos,0,
"Esse segundo gol do Fluminense, até eu q sou miopi eu pegaria essa bola foi um frango",há 2 anos,0,
Como o cara não foi expulso no lance do pênalti?,há 2 anos,0,
Time o horrível do São Paulo. Só resta lembranças do meu tricolor do passado 😪,há 2 anos,0,
Arbitragem safada como sempre...,há 2 anos,0,
"Esse time nanico vai cair e vai jogar com o BBBBasCAINDO, Bruzeiro, BBBfoguinho e Grêbbbio kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk.",há 2 anos (editado),40,
EAI MAN,há 2 anos,6,
BAMBIzada VAI CAIR KKKKKKKKKKKKKKK,há 2 anos,24,
Não,há 2 anos,2,
"sim, porque é o maior clube do Brasil além de de nunca ter caído e a camisa pesa.",há 2 anos (editado),15,
Cadê a copa do Brasil do São Cadela?,há 2 anos,17,
Não. Tô muito confiante que o Shupaulo vai cair kkkkk. Ano que vem vão jogar a série B kkkkkkkk,há 2 anos,10,
 @user-vx1td6zs6h  se o São Paulo é nanico o seu nem existe,há 2 anos,14,
"Fala do fluminense estagiário, pelo amor de Deus, só fala do flamengo",há 2 anos,7,
"Títulos mundiais
São Paulo 🏆🏆🏆
Santos 🏆🏆
Corinthians 🏆🏆
Palmeiras 0
Flamengo 🏆
Internacional 🏆
Grêmio 🏆",há 2 anos,34,
Acredito que sim porque é meu time do coração ❤️,há 2 anos,4,
 @user-vx1td6zs6h  para de blá blá blá e me fala como faço pra achar o estádio do flacadela,há 2 anos,6,
O sãocú precisa treinar mais mano,há 2 anos,6,
São Paulo ou perdendo ou ganhando sou são Paulino respeita o maior do Brasil,há 2 anos,8,
Crespo tá poupando Rigoni é Benitez para o campeonato Paulista de 2022.,há 2 anos,11,
3 mundial seu time de merda não tem,há 2 anos,4,
