text,time,votes,replies
"O Brasileirão começou deixando o torcedor nervoso! 🤯
Mas o estagiário quer saber: Quem foi o craque da partida na sua opinião?",há 3 anos,620,153
Janayra 32❤❤❤❤❤,há 4 dias,1,
@Botafogo,há 2 meses,1,
O viña não é mais do palmeiras e Do flamengo,há 3 meses,0,3
O flamengo  e  horrível,há 4 meses,1,2
😗😜🥰😍🫣🤫🤔,há 4 meses,0,
Flamengo x palmeiras amanhã  as 21:00 da noite quarta feira,há 9 meses,0,
Gustavo 💚💚💚💚🦅🏅🏅,há 9 meses,0,1
🏆🏆🤫🤫💚💚✌️🏅,há 11 meses,0,1
Só quem é torcedor do meu mengão malvadão dá like ❤️🖤❤️🖤❤️🖤🏅🏅🏅🏆🏆🏆⚽⚽,há 1 ano,1,
2021 Ano histórico do Palmeiras contra o Flamengo,há 1 ano,0,
"Até hoje não aceito, neste ano, o Flamengo ganhou a super copa em cima do Palmeiras, os dois jogos do Brasileirão, e perdeu a libertadores. Que ódio de Andreas Pereira.",há 1 ano,0,
Bom dia pra nós flamenguista isso aqui é flamengo eu ALDAIR sou flamenguista valeu flamengo,há 1 ano,1,
Ge e flamengo vs palmeras,há 1 ano,0,
Flamengo vs palmeras,há 1 ano,0,
BH deixou luan e menino no chão kkk,há 1 ano,0,
QUE DOIS GOLEIROS,há 1 ano,1,
Isso aqui é flamengo,há 1 ano,0,
FLAMENGO 1X0 PALMEIRAS,há 1 ano,0,
3x2,há 1 ano,0,
Incrível como sempre tenta rouba o Flamengo mais o Mengão vai continua o mais rico da América  e o maior do Brasil passa bem,há 3 anos (editado),61,
"Coringão:a
Xupaulo:era só a cabecinha😭😭😭😥😅😍💅🌈",há 3 anos,9,
FLABOSTA NÃO TEM MUNDIAL FLABOSTA NÃO TEM MUNDIAL NÃO TEM ESTÁDIO NÃO TEM MUNDIAL NÃO TEM ESTÁDIO NÃO TEM MUNDIAL,há 3 anos,10,
"O muldial de 2005 esta na inglaterra, pro chororo do são bunda sem copa do brasil",há 3 anos,4,
Palbosta nao tem mundial,há 3 anos,24,
"Sei não, mas sei que o palmeiras continua sem mundial",há 3 anos,20,
"Confiança: A
CruBeiro: Perdi faz um CuPix",há 3 anos,5,
Flabostinha é time pequeno,há 3 anos,3,
DIEGO ALVES ❤🖤,há 3 anos,8,
A torcida do são chacota domina a parada gay,há 3 anos,2,
@W.Ferreira o que foi roubado? Quero argumentos,há 3 anos (editado),2,
"Bruno Henrique, na minha opinião ele é muito melhor que o penaldo, que só faz gols de pênalti e não tem habilidade visão de jogo e etc.

Sem dúvidas o Bruno Henrique é o melhor ponta esquerdo do mundo",há 3 anos,6,
 @ricardorodrigues778  enquanto isso nao tem mundial,há 3 anos,3,
Pedro,há 3 anos,3,
" @user-uw5wn9nk4b  Bruno Henrique é bom, mas melhor ponta esquerda do mundo, aí não kkkkkk, se tá de sacanagem ne",há 3 anos,2,
"@W.Ferreira kkkkk
Quem roubou foi o Palputa. Penalti não marcado no BH.",há 3 anos (editado),2,
Weverton,há 3 anos,0,
 @klausdevitto9583  nao vou falar nada...,há 3 anos,2,
O craque do jogo foi o Luan!,há 3 anos,2,
@W.Ferreira roubaram pro varmeiras 😡😡😡,há 3 anos (editado),2,
 @klausdevitto9583  palmonhas sem mundial fregues kkk,há 3 anos,5,
 @petvic2479  Chora kkakaka,há 3 anos,2,
 @ricardorodrigues778  pequeno mas tem 2 liberta fregues kkk,há 3 anos,2,
Craque do jogo foi Diego Alves Joga muito nosso goleiro,há 3 anos,1,
"Com certeza foi o Diego Alves, herói da partida, o Bruno Henrique jogou bem também, mas foi o Diego Alves com certeza!",há 3 anos,2,
Diego Alves,há 3 anos,1,
"@W.Ferreira o juiz ainda ajudou o palbunda , não marcou o pênalti no Bruno Henrique",há 3 anos (editado),4,
D. Alves,há 3 anos,0,
Tenho muito odio do flamengo😡,há 3 anos,0,
Flamengo nao tem mundial,há 3 anos,0,
Predo!Pedro Artilheiro Reverência,há 3 anos,0,
São gonorréia nem tem cdb KKKKKKKKKK,há 3 anos,0,
Mano eu achei que o brasileirão ia começa um pouco mais depois de alguns meses mais começou tão rapido assim e mano que jogada do bruno henrique,há 3 anos,0,
Bruno Henrique,há 3 anos,0,
 @ricardorodrigues778  é time pequeno mas vcs ganharam??,há 3 anos,0,
P e d r o,há 3 anos,0,
Oto patamar,há 3 anos,1,
@W.Ferreira vcs n ganha do mengo faz 4 anos kkkkkkkk. chora pae.,há 3 anos (editado),1,
 @klausdevitto9583  na verdade vc trocou e o pallixo q n tem mundial.,há 3 anos,1,
"@ઽ i ∟ ε n т pallixo n tem mundial, boa noite.",há 3 anos (editado),1,
@W.Ferreira Mano para de ser kid não da de admitir que seu time perdeu  foi um jogão qualquer um  que vencesse  tava bom,há 3 anos (editado),1,
 @klausdevitto9583  essa canção só combina com o Palmeiras,há 3 anos,0,
 @ricardorodrigues778  pallixo nem tem mundial e acha q e time grande.,há 3 anos,0,
" @kidizinff7349  os dois não tem, Flamídia e Palbunda dois nanicos",há 3 anos,0,
@W.Ferreira chorinho ja começou kkkkkkkk,há 3 anos (editado),0,
 @klausdevitto9583  kkkkkkk so isso li consola ne kkkkkk,há 3 anos,0,
"0:34, 2:22
Duas excelentes chanecs e o Palmeiras desperdiçou.
A velha lei do quem não faz leva, não perdoa hehe",há 3 anos,0,
@ઽ i ∟ ε n т o estádio do Flamengo e a sala de troféu kkkkkk oto patamar,há 3 anos (editado),1,
@W.Ferreira nós q foi roubado tá falando merda é quando o cara empurrou o Bruno Henrique dentro da área e marcou uma um besteira dizendo q Pedro tinha feito uma falta pega a visão chorão cheiro verde,há 3 anos (editado),2,
Bruno Henrique,há 3 anos,0,
Esse narrador vive torcendo contra o Flamengo,há 3 anos,0,
@W.Ferreira A onde que você viu roubo? Você assistiu o jogo? Não né então pronto kk,há 3 anos (editado),0,
 @klausdevitto9583  mas o flamengo tem mundial.,há 3 anos,0,
Diego Alves,há 3 anos,0,
@W.Ferreira vc fala isso pq perdeu,há 3 anos (editado),0,
Weverton,há 3 anos,0,
BH 🙅,há 3 anos,0,
" @kidizinff7349  NÃO TEM!
81 É DO GALO!
COPA JIPE NÃO É MUNDIAL!
MARACANÃ É DO GOVERNO!
CBF, GLOBO, GOVERNO MILITAR, JOSÉ DE ASSIS ARAGÃO E JOSÉ ROBERTO WRIGHT FUNDARAM O VARMENGO!",há 3 anos,1,
Pintou o campeão 😎😎😎❤,há 3 anos,0,
Bruno henrique.,há 3 anos,1,
ainda querem a cabeça do Ceni? torcidinha mulamba mesma,há 3 anos,1,
 @klausdevitto9583  kkkkkkkkkkkkkkkkkkkk Flamengo não tem mundial? Vai dormir mlk se enterna,há 3 anos,1,
 @klausdevitto9583 eu ja ouvi essa musica de outro gento en 😂😂 na escola que wheverton estudou diego ja era diretor,há 3 anos,1,
 @klausdevitto9583  chora mais kkkk,há 3 anos,1,
@W.Ferreira onde vc viu roubando?,há 3 anos (editado),1,
"@ઽ i ∟ ε n т não temos estádio, mais temos condições para ter não vem aqui comentar chorando não",há 3 anos (editado),1,
@W.Ferreira KKKKKKK AFFS muito CRINGE,há 3 anos (editado),1,
@W.Ferreira sai daí chorão,há 3 anos (editado),1,
" @petvic2479  é, é sim boa",há 3 anos,1,
Diego Alves!,há 3 anos,1,
PIKACHUUUUU,há 3 anos,2,
" @klausdevitto9583 , você deve ter 8 anos né!",há 3 anos,1,
Pedro,há 3 anos,1,
"Correram como nunca 🥵🥵🥵 , perderam como sempre 😂😂😂😂",há 3 anos,1,
FOI O DIEGO ALVES,há 3 anos,1,
"@W.Ferreira , chora seu lixo perdedor. Kkkkkk. Trouxa!",há 3 anos (editado),0,
" @ricardorodrigues778  , é mesmo fracassado? Bi campeão brasileiro por enquanto seu acéfalo. Otário!",há 3 anos,0,
2 sem mundial em campo.,há 3 anos,2,
"Nos melhores momentos do GE cortaram vários lances do Flamengo. Cortaram o chute do Arrascaeta no primeiro tempo, a finalização por cima do BH no início do segundo tempo, a cabeçada do Pedro para fora, o gol perdido do Michael, fora o pênalti não marcado do BH. Ainda colocaram gol claramente impedido do palmeiras e o outro lance impedido com melhor momento. Fez parecer outro jogo. Editor do GE tendencioso demais",há 3 anos,1,
Diego Alves,há 3 anos,1,
Bruno Henrique,há 3 anos,1,
" @ministeriooevangelista.oev771  tenho o dobro, 16",há 3 anos,1,
 @user-xz1pn1dw9m  isso aí é vdd nunca ganharam do cortinas em Itaquera e querem opinar kkkkkkkkk não ganha nem do flormineC kkkkkkkkkk,há 3 anos,1,
 @dollynhoumcaralegal9161  isso aí é vdd é bem claro que não ouve a falta do Pedro mais sempre assim roubam o Flamengo 👌,há 3 anos,1,
rony,há 3 anos,1,
@100 Mundial não sou palmeirense,há 3 anos (editado),1,
Na minha opinião Rony,há 3 anos,1,
 @user-xz1pn1dw9m  sua mãe.,há 3 anos,0,
"Rogério Ceni, lógico kkkkkkk pra desespero dos anti são paulinos. TRIMUNDIAL 0 rebaixamento 
Campeão Paulista 2021 🔴⚪️⚫️ kkkkkkkkkk os antis estão desesperados por não ter o que zoar.
Os melhores elencos do Brasil dizem ser do Palmeiras e Flamengo, o pai é o São Paulo.👍🇾🇪🇾🇪🇾🇪",há 3 anos (editado),1,
"@W.Ferreira Foi roubo aonde cara? Vocês sempre com a puta da mesma história, para né! Inventem uma desculpa mais digna e um argumento melhor.",há 3 anos (editado),0,
 @PoisonFeyWhite894  Jogou nada kkkkkkk,há 3 anos,1,
 @nelmasilva3322  Calma kkkkkk 81 é nosso,há 3 anos,1,
Os goleiros,há 3 anos,2,
 @user-mu5ho1rs3p  Tem aquela história que o São Paulo tem 2 Copa Gipe,há 3 anos,1,
" @klausdevitto9583  Seu time é menor que o Flamengo, não é o mais querido.",há 3 anos,1,
 @claymore5529  Luis Roberto? Jamais!,há 3 anos,1,
Bruno Henrique,há 3 anos,1,
Diego Alves,há 3 anos,1,
"@W.Ferreira Qual roubou q teve no jogo?
Vc não enxerga o pênalti q o juiz n marcou a favor do Flamengo , ai vai ficar sempre com essa diculpinha de q foi roubado",há 3 anos (editado),1,
 @ricardorodrigues778  E o Palmeiras não tem mundial e freguês do Flamengo,há 3 anos,1,
Bruno Henrique,há 3 anos,1,
@W.Ferreira cala a boca peppa,há 3 anos (editado),0,
 @klausdevitto9583  não temos mundial vocês não tem nenhum seus peppas bosta kkkkkk FLAMENGO NAO TEM ESTADIO PORQUE ELES NAO TEM MUITAS OPÇÕES DE TERRENOS PARA CONSTRUIR MAIS O FLAMENGO E O MELHOR DO BRASIL,há 3 anos,0,
 @ricardorodrigues778  kkkkkkkk tu e idiota o se faz kkkkk sai daí peppa,há 3 anos,0,
 @viniciussantos6533  cala a boca peppa,há 3 anos,0,
Para mim craque do jogo foi o Diego Alves,há 3 anos,2,
 @klausdevitto9583  kkkkkkkkk,há 3 anos,1,
Bruno Henrique que jogada,há 3 anos,2,
BH 27!,há 3 anos,2,
Pedro.,há 3 anos,1,
PEDRO PEDRO,há 3 anos,1,
 @kidizinff7349  Né,há 3 anos,1,
Não tem como o palmeiras ganhar com gabigol sem gabigol o flamengo continua o mesmo sempre vencendo,há 3 anos,2,
Chuupaaaaaaaa palbosta,há 3 anos,1,
 @klausdevitto9583  PALBOSTA NÃO TEM MUNDIAL SE TROXA PARA DE FICAR CHORANDO PORQUE PERDEU,há 3 anos,0,
 @klausdevitto9583  seu troxa seu troxa seu troxa CHORÃO,há 3 anos,0,
Diego alves sem duvidass,há 3 anos,1,
Diego alves o melhor,há 3 anos,1,
Diego Alves,há 3 anos,1,
