text,time,votes,replies
"Vitória importante do Juventude! Vai conseguir se manter na Série A?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,117,6
"Onde o seu bicho não morre, e o fogo nunca se apaga.
Marcos 9:46

Esse bicho citado acima, é a consciência da pessoa.
E o fogo é fogo literal mesmo.
Deus, não manda ninguém pra lá, é o tal do livre arbitrio de cada um. Arrependei-vos porque o Reino de Deus tá próximo.",há 2 anos,0,
Estádio Do Juventude É Lindo!,há 2 anos,2,
"Muito bom jogador esse Ricardo Bueno, e não é fominha, deixa os caras na cara do gol as vezes!",há 2 anos,2,
A galera facilitando pra derrubar o Grêmio hehehe.,há 2 anos,1,
Juventude 02/12/2021,há 2 anos,1,
dizem que quando não é penal não é gol,há 2 anos,1,
Juventude 🇳🇬 meu papo vai ficar na serie A meu maior sonho era ver ele na sul americana 2022😍🤩👏👏,há 2 anos (editado),1,
"Se o Bahia tiver peito pra vencer o Atlético , o Grêmio já era kk",há 2 anos,1,
"2022 é inter e ju. 🇦🇹🇳🇬
E eles na BBB🇧🇼👻👻👻",há 2 anos,1,
Troquem a sigla do redbull por rdb,há 2 anos,1,
Bragantino vai ter que comer muito arroz com feijão para chegar a ser médio um dia.,há 2 anos,1,
Vamos vencer o Corinthians de 6 a zero na última rodada e permanecer na série A. 🟢⚪🟢⚪,há 2 anos,2,
O Juventude está querendo permanecer na serie A.,há 2 anos,1,
"O Juventude veio pra série A pra ficar !
É um time considerado ""pequeno"" porém muito bom.",há 2 anos,3,1
É o maior do Interior do RS! 🇳🇬🇳🇬,há 2 anos,4,
Parabéns juventude,há 2 anos,1,
Vendo esses lances concluo: o time do Juventude é muuuiitoo melhor do que o do Grêmio.,há 2 anos,3,
Redbull que fica na série time excelente,há 2 anos,1,
Merece sim permanecer na seria a e uma grande equipe,há 2 anos,2,
Timão Agradece,há 2 anos (editado),7,
Vlw Juventude Coringão Agradece,há 2 anos (editado),5,
Timão agradece,há 2 anos,1,
 @Thiago15-12-1  Corinthians agradece,há 2 anos,0,
Vamooo 🇳🇬🇳🇬,há 2 anos,1,
Vamos permanecer 🇳🇬🇳🇬🇳🇬🇳🇬,há 2 anos,0,
"Time de muita tradição, campeão gaúcho e copa do Brasil",há 2 anos,0,
"Abusado,  jogando muito esse Juventude, queria que meu Grêmio tivesse essa garra que eles tem.

Mas infelizmente é Série B p nós.
Pelo menos o Juventude vai representar bem o nosso estado.",há 2 anos,2,
Isto näo foi penalty,há 2 anos,1,
"A arbitragem brasileira é só incompetente ou mal intencionada mesmo?
Como o cara confere no vídeo e dá um penâlti inexistente desse?",há 2 anos,1,
Juventude pra mim não cai e o bragantino que belo cavalo paraguaio hein kkkkk se bobear não vai nem pra pré libertadores,há 2 anos,1,
"apesar de ter sido um jogo de um único gol, que jogão ein! Bonito de ver, e o juventude poderia ter vencido com mais gols",há 2 anos,3,
Não merece cair,há 2 anos,1,
"02:31 Cara, isso não é impedimento. O cara do Juventude lá fora dando condição.",há 2 anos,1,
"Mds q time horroroso, só o Arthur, Ytalo, Cuellar, Léo Ortiz q se salvam nesse time o resto pode mandar TD embora, e juntos dos jogadores manda embora tbm o Barbieri não tem variações táticas ou repertórios q ainda fazem esse time jogar, Já pode começar a Limpa Senhor Scuro e CIA....!",há 2 anos,1,
Era para ser uns 3x0 vamo Juve.. vamo auriverde serrano!!,há 2 anos,1,
Foi tão bom  vitória  do juventude  porque   a  murrinha  do Sport  foi rebaixado  kkkkkkkkkkk,há 2 anos,2,
Jogaço,há 2 anos,1,
Sou flamenguista e sou jaconero tem um tempinho vamossssa💚💚💚,há 2 anos,1,
"AVISO AOS CORINTHIANOS:
TEMOS QUE DAR O TROCO NO GRÊMIO, NÃO ESQUEÇAM O 2007!",há 2 anos,1,
Esse ricardo bueno e um bom centroavante pro juh,há 2 anos,1,
Red Bull depois da derrota para o Atlético-PR não ganhou de ninguém 😂. Essa franquia tá um tormento pra quem disse que ia ganhar tudo 😂,há 2 anos,1,
"Parabéns Juventude, direção, técnico e jogadores que demonstraram fibra , garra e muita adrenalina para vencer o bom time do Bragantino, representando o povo caxiense.
O mesmo não se pode dizer desses empresários poderosos de Caxias que por miserabilidade não ajudam em nada o time,  pelo contrário o Juventude teve que se desfazer de jogadores para pagar as contas. Precisavam injetar uns 200 milhões para reforçar mais o Juventude em 2023 buscando entrar entre os 6 melhores do futuro campeonato nacional.
Quantas industrias de porte, metalúrgicas e nada dos empresários!! Não entendem que o Juventude ou Caxias na série A representam movimentação hoteleira , de restaurantes , lojas, mais venda de produtos vinícolas e toda mídia nacional fica focando Caxias do Sul. Eta gente miserável e burra...",há 2 anos,3,
Há um tempo atrás   o bragantino estava sendo elogiado um dos responsáveis pela administração  até deu entrevista para o Mauro  César Pereira  agora vamos ver até quando o barbieri  permanece no clube como técnico.,há 2 anos,2,
"Vitória que rebaixou o Sport e deixou o Grêmio na pior da pior
Triste essa situação
Kkkkkkkkkkkkkkkkk",há 2 anos,1,
Tem coisa nesse pênalti marcado...estão achando lances no futebol. ..muito estranho. ..,há 2 anos,0,
VALEU JUVENTUDE POR AJUDAR O MEU CORINTHIANS,há 2 anos,1,
o cara perde pênalti depois fais um gol desse vai entender né,há 2 anos,1,
Vasco  grêmio e Cruzeiro  e Bahia  vai   pegar   fogo,há 2 anos,1,
Parabéns ao Juventude. Mostra para o Grêmio que time Gigante não caí!,há 2 anos,2,
Fica juve,há 2 anos,1,
Arereeee o Grêmio vai jogar a série b,há 2 anos (editado),1,
"Futebol é irônico demais. Jair Ventura rebaixou a Chapeconse e ""salva"" o juventude. Vai ser emocionante essa reta final. Mas ainda acho que Jair ventura vai rebaixar dois times numa temporada só",há 2 anos,0,2
"1:17 Me lembrei da narração do Pato Branco, lá vai Zezinho... Pqp PRA FORA 😄😄😄😄",há 2 anos,2,
"Sou sãopaulino mas se o juventude jogasse assim sempre tava na liberta, Rio Grande do Sul comporta três times, e sou a favor de oncurtar os estaduais e ter 26 a 30 times no a série A pagando muito mais, e 24 a 26 na B no mesmo molde, e 24 a 26 na C",há 2 anos,4,
"O Grêmio vai ser rebaixado, não tem jeito. F Grêmio. 😂",há 2 anos,1,
"Será se o Juventude vai conseguir escapar do rebaixamento? 

TODOS os gols da rodada e os melhores palpites você só encontra aqui.

Inscreva-se em nosso canal e não perca nenhum vídeo!",há 2 anos,1,
Esse penalti nunca foi penalti,há 2 anos,0,
Sewwaw,há 2 anos,0,
"saiu da zona rebaixamento com raça 
merece ficar serie A",há 2 anos,1,
Bragantino e Fortaleza fazendo força pra ficarem fora da Libertadores. Time minúsculo é isso aí.,há 2 anos,1,
Sou vitória e quero que o 🐟🐟 caia,há 2 anos,0,
"Juventude é maior que o grêmio, quero inter e juventude na série A ano que vem👏👏",há 2 anos (editado),9,
Bragantino e time de bosta 👎🏼💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩,há 2 anos,1,
"mesmo o juventude ganhando esse jogo vai cair pra série B, o elenco é fraco!",há 2 anos,0,1
"O Red Bull Bragantino é um time limitado, e sem Claudinho, aí que cai de produção, não tem um elenco grande ,forte competitivo, hoje só tem três  jogadores que estão jogando bem, Arthur, Helinho e Cleiton, pra fazer uma boa campanha tem que ter elenco forte e grande .",há 2 anos,1,
"A pior arbitragem do mundo é essa do campeonato brasileiro, faz até o povo desconfiar que os erros são de propósito pra fazer alguma manipulação.
Outro pênalti ridículo.
Parabéns ao juventude pela vitória.",há 2 anos,0,1
"Pelo que o Juventude vem jogando eu acho que ele não rebaixa, hein",há 2 anos,0,
" @mauriciodemoraes1101  se os outros times não vencerem, o juventude com certeza vai ficar. Caso os outros times alcancem os pontos, não tem quem salve. Vão depender dos outros na reta final. Mas essa é minha humilde opinião",há 2 anos,0,
Tu tem visto os últimos jogos do Juventude? Pergunta sincera e honesta,há 2 anos,1,
Pênalti ridículo? O cara empurrou o jogador pelas costas!,há 2 anos,0,
"O prefeito da cidade pediu pro pessoal encerrar o espediente cedo no dia, pra todo mundo se mobilizar pra ir pro jogo! E que partida meus amigos! Parabens Juventude!",há 2 anos,4,
Vamo juventude vc tem capacidade de ficar na serie A,há 2 anos,2,
No parque aquático o Juventude não perde,há 2 anos,0,
"Juventude mudou!
Nunca pensei que iria ver ele na série A de novo tão cedo, e poder ver o jaconi renovado e com um novo gramado é incrível
Agora já que o bahia não fez o dever de casa, é fugir do rebaixamento e ajudar a selar do timinho de porto alegre",há 2 anos,9,
"O juventude colocou a tampa do caixão no Grêmio.
Só falta o Corinthians ganhar deles, para nós ver o Grêmio jogar o melhor futebol do Brasil na B.
Kkkkkk",há 2 anos,1,
"Como perde gol essa equipe do Juventude, com todo respeito não sabia que eles tinham muitos torcedores, torço pela permanência na serie A.",há 2 anos,3,
Sou flamenguista mais torço pro Juventude fica na série a 💪👊,há 2 anos,5,
"E pensar que o Red Bull Bragantino já esteve por 7 rodadas na primeira posição e o Fortaleza em Segundo lugar e o Athletico Paranaense em Terceiro lugar, hj esses times estão jogando de ré, é melhor jogar sem goleiro poha.
Faz gol contra logo.
Eu me iludi com o Bragantino, achei que eles iam ganhar a Copa Sul-americana 🙁🙁🙁",há 2 anos,1,
"""Essa fraca comentarista era 'Toda Rasgação de Seda' pro cavalo paraguaio do Bragantino!?
Parabéns pra molecada do Juventude, 1x0 ainda foi pouco!! Abraço.",há 2 anos,3,
o super gremio ta rebaixado kkkk,há 2 anos,1,
O Bragantino tá bobeando nessa reta final de Campeonato Brasileiro,há 2 anos,1,
Bragantino tá fazendo péssima partidas só perdendo agora,há 2 anos,1,
Caiu o Grêmio 😀😀,há 2 anos,1,
Covardia do juventude rebaixando o Sport 🤣,há 2 anos,2,
Olha o pênalti que o jogador fez tenho certeza que esse aí foi pago pra fazer esse pênalti,há 2 anos (editado),0,
Jogo bom com muitas Oportunidades ⚽,há 2 anos,4,
Kkkkkk Bahia na zona,há 2 anos,2,
