text,time,votes,replies
Reage Cuiabá a série b e logo alí não pode deixar o Grêmio subir eu quero vê o Grêmio na série 🅱️👻,há 2 anos,1,
Reage juventude a série b e logo alí,há 2 anos,0,
"O Cuiabá e o caculinha do brasileiro, está sendo adotado por todas as torcidas dos outros times ,como o segundo time ,parabéns Cuiaba",há 2 anos,2,
Eu disse que o Cuiabá ia surpriender,há 2 anos,0,
Go juventude,há 2 anos,0,
Cuiabá vai pra pré libertadores hein,há 2 anos,0,
Deu ruim pra Juve do chimarrão,há 2 anos,0,
Bons lances.,há 2 anos,0,
CuiaBayern 🔰🔥,há 2 anos,0,
CUIABÁ 12/09/2021,há 2 anos,0,
"Cuiabayern tá mt bom,slk",há 2 anos,0,
✌🏽✌🏽✌🏽✌🏽,há 2 anos,1,
Bora cuiaba,há 2 anos,0,
Jorginho acertou muito bem o Cuiabá. Parabéns 👏👏👏,há 2 anos,1,
"Jogão, mesmo não torcendo para nenhum desses times reconheço que o Juventude jogou melhor mas o Cuiabá conseguiu aproveitar mais chances!",há 2 anos,0,1
"3 chutes 2 gol foi assim que eu ensinei





Retranca-carile 2021",há 2 anos,1,
"Cuiabá empatou vários jogos que poderia vencer, já era para estar no G4.",há 2 anos,2,
Cuiaba e juventude foi de 8 a 80 principalmente o cuiaba que ta jogando muito,há 2 anos,3,
"Esse Peticovit comentando dá nos nervos, chato pa Caraí!",há 2 anos,2,
time ruim esse do juventude,há 2 anos,0,
"Eu considero melhor quem faz mais gols, eficiência pura no ataque!",há 2 anos,0,
Valeu dourado!,há 2 anos,0,
😂😂🤣😂😂😂 2 Lixos 🖕🖕,há 2 anos,0,
Que voz estranha essa do pet,há 2 anos,0,
Respeita o cuiabayer,há 2 anos,0,
Show De Bola Do cuiába Pra Cima Do Juventude,há 2 anos,1,
Bah juventude mas perai o grêmio afundou mais um pouquinho kkkkkkkkkkkk vamo cuiaba,há 2 anos,0,
Cuiabá fez contra o Juventude o que o Fortaleza deixou de fazer contra o mesmo adversário a algumas semanas atrás,há 2 anos,1,
Incrível com Corinthians o Juventude virou Bayer de Munich,há 2 anos,0,1
Taquepariu esse time dos mais novo  tinha que se lascar msm kkkkkkk😎👍🏽,há 2 anos,1,
Tenho orgulho de ser cuiabano,há 2 anos,0,
Rodada boa pro Grêmio ?,há 2 anos,0,
Cuiabá tá fazendo história!,há 2 anos,1,
"Para mim como Palmeirense foi vergonhosa nossa derrota para o Cuiabá em nossa casa,mas tenho que admitir que o time de Mato grosso tá surpreendendo 👏👏👏👏👏👏👍💚💚💚💚💚💚💚",há 2 anos,4,1
2:09,há 2 anos,0,
Cuiabayern x Juventus é O que tem pra hoje,há 2 anos,0,
Avante dourado.,há 2 anos,0,
Cuiabá o time de corno,há 2 anos,0,
Não deu para alagar o campo não? Só assim esses covardes jogam alguma coisa.,há 2 anos,1,
Bom dia meu povo vai nessa força aí guerreiro,há 2 anos,1,
Vá nessa força aí guerreiro,há 2 anos,1,
Porque corinthians e pequeno amigo.,há 2 anos,0,
No começo foi difícil ainda mais com aquele tal d Alberto Valentim quase afundou o time com a chegada do Jorginho muita coisa mudou principalmente a postura,há 2 anos,1,
Esses 2 times Sao o terror dos considerados grandes,há 2 anos,1,
Cuiabayern 🤣🤣🤣🤣🤣🤣🤣,há 2 anos,0,
Quintero e péssimo,há 2 anos,0,
"esse é o juventude, joga igual o real madrid contra o corinthians e toma pau do cuiabá kkkkk",há 2 anos,0,
E ainda falam q o Cuiabá vai cair kkkk,há 2 anos,2,
Dourado ta sem freio,há 2 anos,1,
Eu tenho um amigo que é torrcedor do Juventude que escalou o Quintero no cartola,há 2 anos (editado),0,
"O jogador peitou o juíz ao ser expulso de campo, será que a CBF tmabém vai punir o jogador assim como fez com o gabigol?",há 2 anos,0,
Todo mundo vai peitar os árbitros agr kkk,há 2 anos,0,
O galo tem que trazer o Castilho pra próxima temporada,há 2 anos,0,
"Depois do jogo Corinthians 1x1 Juventude eu disse que essa porcaria de time do Juventude só joga bem contra certos times, como o Corinthians por exemplo, e mais, eu disse que perderiam para o Cuiabá hoje...dito e feito!!  Se jogassem como jogaram contra o Corinthians, terminariam o campeonato entre os três primeiros.",há 2 anos,2,1
"JUVENTUDE TIMINHO DE MERDA SAFADOS, CONTRA O CORINTHIANS JOGAM A VIDA NUM JOGO, DEPOIS PERDE EM CASA, BANDO DE VAGABUNDOS MERCENÁRIOS...CONTRA O CORINTHINAS DÁ IBOPE NÉ SEUS TRANQUEIRAS, CONTRA O CUIBÁ, COITADO, É INSIGNIFICANTE...TIMECO VAGABUNDO....",há 2 anos,0,
Cuiabá não será rebaixado!! Vai sobra para o juventude a série B,há 2 anos,1,
"Jorginho fazendo um ótimo trabalho ,muito bom treinador.",há 2 anos,3,
esse Valter  ta levantado  o Cuiabá,há 2 anos,0,
"Gosto de assistir esses times da série A desconhecidos como o Cuiabá, que nem ano passado ninguém dava nada pro bragantino agora é um time muito bom, espero que aconteça o mesmo com o Cuiabá",há 2 anos,2,2
"Eu fico com raiva de uns juízes as vezes, mas essas atitudes que alguns jogadores tem de empurrar ou peitar os árbitros, eu sou a favor de aplicarem penas pesadas pra quem faz isso. É inadimissivel 👎👎",há 2 anos,3,1
Jorginho excelente profissional parabéns pela vitoria,há 2 anos,1,
"O Juventude jogou melhor que o Cuiabá e merecia a vitória, contra Fluminense, Fortaleza e São Paulo foi assaltando",há 2 anos,0,1
"O Cuiabá há algum tempo vem destacando, foi campeão recente da copa verde .  Em cima do Remo e do Paysando. Vem ganhando os estadual de MT. É o time mas novo de Cuiabá e MT. Os times da série A não estão levando o Cuiabá muito a sério, e pecam nisso aí. Muitos técnicos estão caindo, porque estão achando q o Cuiabá é um pequeno clube, mas se enganan. O que posso falar , nesses 3 anos Cuiabá vem sendo uma dos maiores times do Brasil, pelo feito que vem fazendo até aqui. 3 anos saiu da série C e chegou na série A. Além de ganhar 2 copas verdes e vários estaduais. E o time ainda não fez 20 anos.",há 2 anos (editado),10,2
Não é o Juventude que jogou demais.... Foi a GAMBAZADA que não joga nada....,há 2 anos,1,
Bragantino nao e exemplo se vendeu pra Red Bull esse time nunca deveria ser exemplo o Cuiabá sim nao precisou vender sua identidade suas cores pra ser competitivo,há 2 anos,0,
Desconhecidos kkk,há 2 anos,0,
Eu sou a favor é de juiz vagabundo levar é pancada....,há 2 anos,0,
Aham jogou melhor né 2x1,há 2 anos,0,
"Cara você falou tudo, ontem pesquisei esse time Cuiabá e vi que eles já faziam grandes partidas na série C e na série B, sem contar que subiram muito rápido, acho que esse sucesso vem da diretoria do Cuiabá pelo que pesquisei.",há 2 anos,3,
" @TiagoTecC  mano na ultima serie b agr q o cuiaba disputou,o time jogava q nem o flamengo de 2019,os torcedores assistiam ja sabendo q ia ganhar,porem quase no fim da serie b o tecnico pediu pra sair pra ir pro fortaleza,ai o time comecou a jogar mais ou menos.",há 2 anos,1,
Deu a Vida contra o Corinthians e deu a Rosca  contra o Cuiabá kkkkkkkkkkkkk,há 2 anos,1,
Cuiabá fazendo história.,há 2 anos,1,
Cuiabá está de mais...,há 2 anos,0,
"Jorginho,,,grande tecnico",há 2 anos,1,
Chupa juvemerda,há 2 anos,0,
Chupa aí quem falou q cuiabá era time debaixo tabela respeita dourado,há 2 anos,0,
Cuiabá tá de parabéns 🎂,há 2 anos (editado),3,
RUMO PRE LIBERTADORES? OU SUL-AMERICANA BELA VITORIA DO CUIABA TA DE PARABENS,há 2 anos,0,
Vamos Cuiabá sonhar com a libetadores porque sonho ponde der torna realidade,há 2 anos,0,
"Na verdade no jogo contra o Corinthians o técnico do juventude foi muito esperto,ele observou que o Renato,e Roger Guedes não estava em boa condição física e tirou muito aproveito disso,só que é aquela coisa nem todo dia a mesma estratégia funciona",há 2 anos,2,
"Cuiabá me lembrou o São Caetano dos anos 2000.

""Blarggvader""",há 2 anos,1,1
Cuiabá nas últimas partidas mostrando uma boa evolução se manter assim tem tudo pra permanecer na elite ano q vem,há 2 anos,3,
"Cuiabá é uma pedra no sapato.

""Blarggsapato""",há 2 anos,2,
Mais um jogador que vai pra cima do árbitro e com certeza não vai ter punição nenhuma,há 2 anos,2,
É o Cuiabayer né pai? 😎😎,há 2 anos,1,
Briga boa no final kkkkkkkkkkkk,há 2 anos,1,1
Clayson parece um galinho garnizé bravo kkk,há 2 anos (editado),1,
"Juventude é um time fraco, o problema contra o Corinthians foi a falta de ataque. Juventude é uma carniça o Corinthians só empatou, que vergonha!! Cuiabá vai fazer um grande segundo turno, eu aposto nisso.",há 2 anos,1,
Não vai cair ninguém,há 2 anos,0,
Cuiabá vai ser campeão brasileiro,há 2 anos,1,
Somos 2,há 2 anos,1,
"Pensei a mesma coisa, no final desse brasileiro vai pegar fogo 🔥",há 2 anos,0,
Zaga do Cuiabá dormiu esse jogo,há 2 anos,0,
"e bao demais ver clubes recém chegados na série A brigando no meio da tabela ,todo ano os msm que  sobem caiem .",há 2 anos (editado),4,
Jorginho mudou o time do Cuiabá ;-;,há 2 anos,1,
o Corinthians foi covarde! quis jogar os 15 minutos final.merecia perder deu moral a juventude,há 2 anos,0,
P,há 2 anos,0,
"Pra quem acompanha o Cuiabá há mais tempo, sabe o quanto é difícil ganhar do Juventude lá na casa deles. Mais uma vez nos superamos e conseguimos o resultado positivo, com os gols saindo, teremos mais vitórias no campeonato.",há 2 anos,23,
Como pôde o juventude fazer um baita jogo contra o Corinthians é perder em casa pró Cuiabá,há 2 anos,1,1
"Esse Clayton que era do Corinthians vai acabar se complicando com esse temperamento explosivo dentro de campo,e será ruim pra sua carreira...",há 2 anos,0,
O todo poderoso Cuiabá venceu o Juventude.,há 2 anos,1,
Tem um bom futebol esse castilho,há 2 anos,0,
Cuiabá tomo uma coca pra ficar com um pouco de gas no campeonato mais esse gasin vai acaba mano vai durar não kk,há 2 anos,0,
"Guilherme Castilho e Vitor Mendes,pérolas preciosas do meu galão na Juve,sem contar o Bruninho tbm,em 22 tem q botar jogar no galão,chega de empréstimos já mostraram seus devidos potênciais técnicos,jogadores diferenciados,é a salvação do futebol brasileiro""categoria de base"".",há 2 anos,2,
"Só lembrando que os craques de antigamente surgiam nos pequenos clubes que faziam bons campeonatos, de olho nessas duas equipes.",há 2 anos,2,
"O time do Cuiabá etá impossivel. Venceu Palmeiras, Santos e agora o Juventude. Parece que vai longe.",há 2 anos,3,
Já é o 7°colocado😳,há 2 anos,0,
Ifood n jogou hj ?,há 2 anos,0,
Se fudeu Juvelixo. Quis se matar contra o Corinthians que agora tomou no cu...KKKKKKKK,há 2 anos,0,
"Futebol hj vence quem é mais efetivo, Juventude 63% posse de bola 17 chutes, 6 no gol, 1 gol. Cuiaba 37% de posse, 3 chutes, 2 gols.",há 2 anos,3,
Cuiabá em 7°... essa nem o futuro esperava,há 2 anos,0,
"Respeita o Dourado, filial do Flamengo",há 2 anos,1,
Assiste o jogo que vc vai entender... Cuiabá fez dois gols.... 1 a mais que o juve.... responde sua pergunta?,há 2 anos,0,
"CUIABÁ o CuiaBayern é como se fosse uma filial do Flamengo, fundado pelo atacante flamenguista Gaúcho, vários jogadores do Flamengo jogaram e jogam lá",há 2 anos,1,1
JUVENTUDE SENDO JUVENTUDE  VAI CAIR POR PERDER DS PQUENOS  4 PONTOS PERDIDOS PARA  UM CONCORRENTE,há 2 anos,0,
Tão deixando sonhar com o meu Cuiabayer kkk,há 2 anos (editado),3,
"Venceu o palmeiras,  empatou com fortaleza e agora venceu",há 2 anos,1,
"Aooooo meu Cuiabá, dando orgulho pra nós do Rural hehehehe",há 2 anos,5,
Cuiabayern fazendo outra vítima? Foi o tal do Valentin sair e o time andou hein? Por que será? Kkkkk.,há 2 anos,5,
Pra cima Douradão 🔰🔰🔰,há 2 anos,3,
Cuiabá tá kkkkkkk danadinho 🤔😐 fazendo uma boa campanha,há 2 anos,0,
"Todos nós torcedores do Fortaleza, temos muito a agradecer por não ter perdido pro Cuiabá!",há 2 anos,9,3
Cuiabosta achando que é alguem. Tao botando a toecida pra sonhar!,há 2 anos,0,1
"Orgulho nosso. 
Do Mato Grosso.",há 2 anos,1,
Que partida em Jonathan Cafú 😳 pena que no Coringão nn fez metade da metade do que fez hj,há 2 anos,8,5
"Cuiabá percebeu que pode sair pro jogo. 
Assim faz gols. 
Devemos dar crédito ao treinador. Jorginho tá fazendo trabalho discreto e os resultados estão surgindo",há 2 anos,28,1
Segundo gol é de quem conhece a área...,há 2 anos,2,
a cara do jogador do Cuiabá na tumbnail me pegou,há 2 anos,0,
"Caio Max, sempre envolvido em polêmicas.",há 2 anos,0,
CUIABÁ MAIOR TIME VERDE,há 2 anos,1,
Não sou torcedor do cuiaba mas esta mostrando ser o melhor time do brasil atualmente,há 2 anos,10,2
DUELO DOS DESREPERADOS,há 2 anos,1,1
Juventude só fogo de palha.,há 2 anos,0,
"Isso aí é conversa dessa mídia de são Paulo e rio de janeiro, Cuiabá nasceu por cuiabanos aqui gaúcho apenas foi treinar o time e acabou adotando o clube.",há 2 anos,0,
"Verdade. É o CuiaBayer...O time do Cuiabá etá impossivel. Venceu Palmeiras, Santos e agora o Juventude. Parece que vai longe.",há 2 anos,1,
Fortaleza é um bom time tbm,há 2 anos,1,
 @PauloCesar-hz1tm  Concordo.,há 2 anos,0,
KKKKKKKJKKJJ,há 2 anos,1,
"É que ele está se sentindo bem sem a pressão do Corínthians. É o CuiaBayer...O time do Cuiabá etá impossivel. Venceu Palmeiras, Santos e agora o Juventude. Parece que vai longe.",há 2 anos,1,
o juventude é igual Corinthians nessa competição!! Juventude é fraco dentro de casa e é forte fora!!!,há 2 anos,2,
 @TheresaDelPorto  Cuiabá tá surpreendendo dms no campeonato msm,há 2 anos,1,
 @PessoaDeBem  dvdd 🤣,há 2 anos,0,
 @BrunoOliveira-sx1mn  Obrigada. Bjs.,há 2 anos,0,
"Excelente trabalho. É o CuiaBayer...O time do Cuiabá etá impossivel. Venceu Palmeiras, Santos e agora o Juventude. Parece que vai longe.",há 2 anos,0,
E para rir 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣?,há 2 anos,0,
Kkkkkk,há 2 anos,0,
"Nada a haver, olha a colocação dos dois times pra vc ver.",há 2 anos,0,
Corinthians tem o cantillio e o juventude tem o castigo kkkk,há 2 anos,1,
Espero que o Mixto. Operário VG. Dom Bosco etc.... sigam o exemplo do Cuiabá e um dia venham pra elite,há 2 anos,7,1
Juventude perdeu umas boa oportunidade kkk,há 2 anos,0,
"Putz como o Corinthians não conseguiu ganhar desse time horrível do Juventude!???….É POR ESSAS E POR OUTRAS QUE O SILVINHO DA LUA DEVERIA VAZAR DO TIMÃO!!!
Só o Corinthians passa vergonha nesse país, técnico e presidente AMADOR!!!

VARMENGO ….VARGENTINA a nova dupla da ANVISA!!!!",há 2 anos,0,
Da o sangue contra o Corinthians e perde em casa pro cuiaba 😂😂😂😂,há 2 anos (editado),1,2
"Que ódio que dá dessa turma de deixa disso. Deixa o jogador ir pra cima do árbitro. Essa arbitragem do Brasil é nojenta, e esses árbitros adoram aparecer",há 2 anos,0,
Esse cleisson é ridículo,há 2 anos,0,
Bem feito !!!Chupa Juventudinho!!! Kkkkkkķk,há 2 anos,0,
"Já torcia pro Cuiabá,  agora com cleyson,é Walter.  Vou torcer mais ainda
Cuiabá na libertadores 2022",há 2 anos,42,12
"Rapaz se forçar um poquinho pega uma vaga na liberta o Cuiabá, sendo q vão abrir 8 vagas pra libertadores",há 2 anos,0,2
"Cuiabá campeão da libertadores do ano que vem , podem escrever aí.",há 2 anos,0,
É realmente o futebol é caixinha de surpresa juventude tava ganhando do Corinthians fora de casa o Corinthians que conseguiu empatar agora perde pro Cuiabá em casa,há 2 anos,0,
Esse aí é o zagueiro que jogava muita bola no fortaleza ?! Kkkkkkkk delírio da torcida pqp o cara faz gol contra,há 2 anos,1,
Esse ano só tem camisas verde ai não dá pro Corinthians....kkkk,há 2 anos,0,1
Tomara que o Cuiabá fique na Série A,há 2 anos,2,
Juventude gastou todo fôlego e futebol pro resto da temporada no jogo contra o Corinthians. Deu a vida pra conseguir um empate.,há 2 anos,0,
"Sou esmeraldino,mas estou feliz pelo futebol do centro oeste estar fazendo bonito no Brasileiro,o Goiás vai subir e vai ser mais uma time do centro oeste na elite",há 2 anos,41,5
ainda não acredito que o corinthians não venceu esse time ruim do juventude,há 2 anos,0,1
Cuiaba fazendo bonito.,há 2 anos,0,
Cuiabá ta melhorando,há 2 anos,1,
Concordo plenamente com vc,há 2 anos,0,
"Né kkkk. Gastaram todo o futebol do ano contra o Corinthians, pra depois tomar pau do Cuiabá.",há 2 anos,0,
" @Carlos-lv9lu  pau aonde demente, vc não assistiu o jogo completo o Juventude dominou o jogo só não ganhou por detalhes",há 2 anos,0,
"É o CuiaBayer...O time do Cuiabá etá impossivel. Venceu Palmeiras, Santos e agora o Juventude. Parece que vai longe.",há 2 anos,1,
 @TheresaDelPorto  Cuiabá*,há 2 anos,1,
Esse Clayson é uma vergonha,há 2 anos,1,
 @johnnyvincent2269  Bjs.,há 2 anos,0,
Cuiabayern melhor time do brasil,há 2 anos,0,
" @TheresaDelPorto  tão jogando muito, sou Corinthiano mais torço pra o time do Cuiabá. chegar na parte de cima da tabela.",há 2 anos,1,
 @sherlanderlemmam7035  É verdade. Bjs. Obrigada.,há 2 anos,0,
" @TheresaDelPorto  vamos  se comunicado ao longo do campeonato brasileiro, bjs tmj",há 2 anos,1,
 @sherlanderlemmam7035  Valeu Roberto. Bjs.,há 2 anos,0,
 @TheresaDelPorto  depois vou da uma olhada em seu canal.,há 2 anos,1,
 @sherlanderlemmam7035  Será bem vindo. Bjs.,há 2 anos,0,
Cuiabayer campeão  do mundial 2022 men comemoro,há 2 anos (editado),1,
Só vai abrir caso vcs sejam CAMPEÃO pq vcs estão no G5 Agr,há 2 anos (editado),0,
 @lalvinegro6592  so basta time brasileiro campeão da liberta,há 2 anos,0,
Kkk é a Cor que o Corinthians tem mais vitórias contra,há 2 anos (editado),1,
"É o CuiaBayer...O time do Cuiabá etá impossivel. Venceu Palmeiras, Santos e agora o Juventude. Parece que vai longe.",há 2 anos,0,
"Imagina ter Goiás, Atlético GO e Cuiabá na elite, deixa o campeonato mais descentralizado do sul e sudeste",há 2 anos,1,
Vc é um torcedor lucido,há 2 anos,2,
"Torço pelo Cuiabá, Goiás, Vila Nova, Aparecidense, Brasiliense, União de Rondonópolis e Nova Mutum Avante futebol do Centro Oeste.",há 2 anos,2,
 @PauloCesar-hz1tm  Muito bom.,há 2 anos,0,
O Juventude é melhor que o Corinthians ladrão falido,há 2 anos,0,
"Juventude 1 x 2 Cuiabá, mais uma Vitória do cuiabayer nesse br",há 2 anos,5,
Como a galinhada E ruim mesmo quase perderam pro Juventude e jogando bem pior 🤣🤣🤣,há 2 anos,0,
Torço pra filial do Timao no Centro Oeste.,há 2 anos,0,
Engraçado que o Juventude virou o Real Madrid contra o Corinthians,há 2 anos,1,
Guilherme castilho orgulho da base do galo vai voltar ano que vem vai ser igual o Nathan Silva vai fazer a diferença como segundo volante,há 2 anos,1,
É o Cuiabayern !,há 2 anos,0,
"Juventude amassando todos os jogos, mas parece que os cara tão com macumba",há 2 anos,0,
Juventus e Cuiabá foi melhor do que Brasil e peru.,há 2 anos,12,
Pqp que sotaque horroroso do Pet 😵.,há 2 anos,0,
Até Cuiabá tá melhor do que Grêmio.,há 2 anos,5,
Venceu quem nunca foi rebaixado 😏,há 2 anos,0,1
Vai Cuiabá,há 2 anos,0,
boa noite galera  o PET comentarista do jogo fala que o juventude foi melhor o jogo todo fica falando que o Cuiaba precisa melhorar ele esquece que campeonato de ponto corrido o que vale e vitoria e tres pontos  vai cuiabaaaaaa. PET chupa essa manga,há 2 anos,1,1
"Juventude só jogou bem contra o Corinthians porque o Silvinho mexeu mal, não soube usar os jogadores corretos.",há 2 anos,1,1
"O juventude tinha que imaginar que o Cuiabá era o Corinthians, aí teria até goleado 😂",há 2 anos,12,4
pra quem ia cair cuiaba esta jogando muito bem.,há 2 anos,1,
Que Deus abençoe a família de todos amém 🙌 🙏 🙌 🙏,há 2 anos,24,4
Os caras jogaram tanto contra o Corinthians e não teve mais força contra o Cuiabá,há 2 anos,1,
"O galo tem que aproveitar esse guilherme castilho ano que vem, ele não é volante ele vem jogando mais solto acho que pode fazer muito bem a funcão de um meia mais ofensivo pensando em projecão de um galo num 4-4-2 ele poderia ser um meia pela direita porque zaracho e savarino serão vendidos então ele pode jogar num tripé ou num losango e sendo um meia que chega no ataque e nacho seria fundamental em sua evolucão",há 2 anos,0,
"Cuiabayer é nosso orgulho aqui de Mato Grosso, Avante Dourado!!!",há 2 anos,108,16
"E perdeu o time que tem Copa do Brasil, que o São Paulo não tem.",há 2 anos,0,
"Futebol não é apenas jogar melhor e sim ter eficiência nos resultados. Não adianta o time jogar bem e não ter um bom resultado. Além de que o Cuiabá tem um elenco limitado e briga pela permanência, então não vai ser todos os jogos que irá jogar bem, e o mais importante pro Cuiabá são os resultados no momento.",há 2 anos,0,
Kkkkkkkkkk,há 2 anos,0,
"É o CuiaBayer...O time do Cuiabá etá impossivel. Venceu Palmeiras, Santos e agora o Juventude. Parece que vai longe.",há 2 anos,0,
Vc não pode tirar o mérito do Cuiabá!,há 2 anos,0,
" @marcusvod  não to tirando o mérito de ninguém.  Mas se o juventude jogasse contra o Cuiabá como enfrentou o Corinthians no meio de semana, focado, concentrado, cheio de vontade, determinado, brigando por cada bola em cada segundo, teria vencido ontem, fatalmente!",há 2 anos,0,
" @eberpereira8189  aí que tá a diferença o Cuiabá independente de time joga de igual para igual não tem essa de fazer corpo mole, o Corinthians não respeitou o juventude ! E o juventude não respeitou o Cuiabá e tomou na tarrraqueta kkk",há 2 anos,1,
"Amém...É o CuiaBayer...O time do Cuiabá etá impossivel. Venceu Palmeiras, Santos e agora o Juventude. Parece que vai longe.",há 2 anos,1,
Amém 🙌,há 2 anos,2,
 @merlly4806  Bjs.,há 2 anos,1,
Amém Vinde Espírito Santo glória a deus,há 2 anos,0,
"Mistão,kkkkkk",há 2 anos,7,
palmares segue sem mundial kkkjkkkj,há 2 anos,9,
"Oloco , um cara q é palmeirense e torce pro Cuiabá também só pq tá representando o Mato Grosso , igual eu kkkkk",há 2 anos,10,
"É o CuiaBayer...O time do Cuiabá etá impossivel. Venceu Palmeiras, Santos e agora o Juventude. Parece que vai longe.",há 2 anos,4,
"Um palmeirense torcendo pra um time que tem Jhonatan Cafu, Clayson e Walter se alguém me fala isso no começo do ano eu digo que essa pessoa tá maluca",há 2 anos,3,
 @kikaolindao3075  E segue sendo o maior Campeão do seu País...,há 2 anos,1,
 @TheresaDelPorto  rapaz ja perdi as contas de quantas vezes tu ja falou isso,há 2 anos,2,
 @kikaolindao3075  vc acha q é fácil conseguir um mundial?,há 2 anos,1,
 @sepwand8157  maior campeão com 6 Brasileiros?,há 2 anos,1,
 @kikaolindao3075  o que isso tem a ver com cuiaba,há 2 anos,0,
 @coldgiyuu72  Bjs.,há 2 anos,0,
Ngm respeita misto,há 2 anos,1,
 @sbf03  Precisa respeitar. Bjs.,há 2 anos,0,
 @TheresaDelPorto  não,há 2 anos,0,
 @sbf03  ?,há 2 anos,0,
 @TheresaDelPorto  ?,há 2 anos,0,
"Cuiabayer é nosso orgulho aqui de Mato Grosso, Avante Dourado!!!",há 2 anos,25,3
Cubayern.,há 2 anos,1,
"Clayson vai fazer falta pra esse time do palmeiras

casagrande- walter",há 2 anos (editado),1,
"Que vitória do Cuiabá fora de casa!!! 
Será que dá para sonhar com uma vaga na Libertadores? Comenta aí!",há 2 anos (editado),128,14
Toma juventude da peste,há 2 anos,1,
Ta jogando mais q meu são paulo😂😅💥,há 2 anos,2,
Cuiabá chegando devagarinho.,há 2 anos,1,
Segura o Cuiabá gauchada 😂,há 2 anos,5,
Pra jogar contra o Corinthians eles são bons,há 2 anos,1,
"Cuiabá fazendo história, legal",há 2 anos,0,
Cuiabá campeão Brasileiro da série A,há 2 anos,1,
Como.o Corinthians  empata com um time ruim desses  af,há 2 anos,1,
Esse Castilho é bom,há 2 anos,1,
"Aqui é Cuiabá caralho .
Tá achando que tá chutando cachorro morto. Chupa 😎",há 2 anos,1,
Kkkk até o Cuiabá venceu o Juventude é o Corinthians não kkkkk,há 2 anos,2,1
Cuiabá primeiro time do mato grosso na serie A depois de mas de 40 anos.,há 2 anos,3,3
Valeu meu Dourado !! Rumo a taça libertadores.,há 2 anos,13,
MEU CUIABA NÃO CAI ALIAS É MAIS FACIL SÃO PAULO GREMIO E INTER CAIR,há 2 anos,0,
"O Cuiabá consegue ganhar do Juventude e o Corinthians não, é palhaçada isso, TIMINHO safaddo joga a vida contra nós",há 2 anos,31,29
"O Caçulinha da série A, tá fazendo história",há 2 anos,29,5
"É o CuiaBayer...O time do Cuiabá etá impossivel. Venceu Palmeiras, Santos e agora o Juventude. Parece que vai longe.",há 2 anos,1,
" @TheresaDelPorto  Vai sim, acredito que fica entre os 8 times do Brasileirão desde ano.",há 2 anos,1,
 @fabricionunesbecker7811  Obrigada. Bjs.,há 2 anos,1,
Cuiabayern papai do Juventude,há 2 anos,11,
Libertadores é possível sim!!,há 2 anos,4,
Atualmente o melhor do centro oeste.,há 2 anos,5,
"É possivel sim. O time do Cuiabá etá impossivel. Venceu Palmeiras, Santos e agora o Juventude. Parece que vai longe.",há 2 anos,3,
 @GuilhermeAlvesDaSilvah  cntz men,há 2 anos,0,
 @isaquemartins1110  o mínimo cara? Vc quis dizer o máximo no sentido que não vai pegar a libertadores né?,há 2 anos,0,
"Acho que não o time do Cuiabá está numa fase boa mas o elenco precisa de reforço para manter na série A , acho que pode sonhar com uma vaga na SulAmérica.",há 2 anos,0,
 @correiaalex5499  respeita o dragão rapá,há 2 anos,0,
 @loucosporticorinthians9612  pai do Santos também kkkk,há 2 anos,0,
