text,time,votes,replies
"Só na TRAVE!!!
Fala ai, torcedor! o que achou da partida??",há 3 anos,107,18
Sport merecia a vitória.....,há 2 anos,0,
Bora continuar assim leão até contra o flamengo,há 2 anos,0,
"Sport jogou muito, pena que não vez um gol, o goleiro do bragantino pegou tudo.",há 3 anos,0,
Mikael pegar banco pra André é um absurdo,há 3 anos,0,
Acabou o gás,há 3 anos,0,
Quem disse que o bragantino vaiu brigar por titulo empatando com esse timéco do sport tá completamente enganado vai briagar por pré libertadores no máximo.,há 3 anos,0,
"Nem assisti pois o meu receptor deu pau, mas já consertou

Sport devia ganhar",há 3 anos,0,
"Depois que o Claudinho foi para a Seleção, o Bragantino começou a cair de produção. Agora que o referido jogador foi vendido, será que o Bragantino foi lutar pelo título da Sul-americana e vaga na Libertadores do ano que vem?",há 3 anos,0,
Eu acho que Tiago Neves é ex jogador. # fora 👋,há 3 anos,1,
"Com o Time todo entrosado e com os novos reforços, da pra garantir a permanência na série A",há 3 anos,0,
"""O Bragantino vai dominar o futebol Brasileiro em 2020 e 2021''
Prado, Flávio",há 3 anos,2,2
redibu perdeu asaaaaasssss,há 3 anos,0,
RB não perde que fase.,há 3 anos,1,
07/08/2021,há 3 anos,0,
SPORT BEN MELHOR . MERECIA GABHAR,há 3 anos,0,
"O Sport foi o Sport, jogou com garra. Inclusive, com mais chances de gol. Thiago Neves deveria ter passado a bola para o André",há 3 anos,0,
"Falei Des de o início Braga, Fortaleza  e furacão não vão brigar pelo título é sim pela libertadores o título fica entre Fla,galo e porco",há 3 anos,0,
Jogaco,há 3 anos,0,
Não falei que esse bragantino era cavalo paraguaio.,há 3 anos,2,
Parabéns ao JAHIA POR SUAS DUAS SÉRIE C NA HISTÓRIA,há 3 anos,5,
"Pelo futebol apresentado nenhum dos dois merecia perder, mas o resultado é mais positivo pro Sport pois mostrou uma melhora no time.",há 3 anos,12,
 @macaconotelefone9694  2x copa do Nordeste encima do meu filho Jahia,há 3 anos,2,
Achei legal só falta os sport para de só empata,há 3 anos,2,
Cada like é um tijolo pro estádio do flamengo,há 3 anos,5,
O time tá com outra cara,há 3 anos,3,
 Terror Dos 3 Menores de Minas  no seu comentário né?,há 3 anos,0,
o Gustavo joga muito mas precisa fazer uma preparação muscular pra pegar. mas forca nas pernas pra poder ter mas potencia nos chutes .,há 3 anos,2,
" @joaofeliciano8867  exatamente cara, ate que enfim alguem notou isso",há 3 anos (editado),0,
"FLABUNDA CONTINUA SEM TETO E SEM MUNDIAL , PASSAR BEM",há 3 anos,2,
FLAPIRANHA SEGUE SEM ESTÁDIO E SEM MUNDIAL TUDO NORMAL,há 3 anos,3,
" @joaofeliciano8867  se ñ tivesse tanta força assim
Goleiro ñ Espalmava",há 3 anos,1,
 @user-mu5ho1rs3p  o mano todo mundo sabe que vc que comentou 3 vezes no vídeo vc tem conta diferente ninguem e burro não cria várias contas pra comenta a mesma bosta,há 3 anos,0,
 @user-mu5ho1rs3p  EU SEI QUE TU COMENTOU NESSA 3 CONTAS AI,há 3 anos,0,
 @user-mu5ho1rs3p  sim CONFIA,há 3 anos,0,
 @user-mu5ho1rs3p  acho nao tenho certeza e pequeno dever ser o seu time,há 3 anos,0,
Palputa segue sem Mundial abraço,há 3 anos,1,
 @togurocsc1269  parabéns pelo o penta no cartorio,há 3 anos,2,
"Mas vai msm, dx só voltar o Claudinho",há 3 anos,0,
 @dinho_tj0038  ele saiu do bragantino kkkkk,há 3 anos,0,
Jogão,há 3 anos,0,
Quem veio pela capa?,há 3 anos,2,
"Realmente se o Claudinho for embora, essa vaga na Libertadores não vem, time muito apático e sem intensidade no meio de campo, Cleiton faz umas poses na HR de defender q do jeito como ele vai ele tá ao ponto de falhar no gol, precisamos urgente de um goleiro reserva pra fazer sombra no Cleiton, tá difícil de assistir fora a zaga tbm toda estática nas marcações, se quer arrumar alguma coisa tem q melhorar isso!",há 3 anos,0,
👍,há 3 anos,1,
🦁🦁🦁🦁🦁🦁,há 3 anos,1,
