text,time,votes,replies
"Jogão de raça!
O que acharam da partida? Tem chances da 🏆?",há 2 anos,879,196
❤❤❤❤❤❤❤❤❤,há 7 meses,0,
😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😊😊😊😊😊😊😊😊😊😊😊😊,há 7 meses,0,
Sai mal o Fortaleza kkk,há 10 meses,0,
Eu não entendi muito com esse placar no Premiere placar novo aí do nada na temporada 2022 Eles voltaram com o placar que era antes,há 1 ano,0,
"Pô maior merda o que aconteceu com o Pitico, o cara tava destruindo no fla e vacilou logo no jogo mais importante da temporada",há 1 ano,0,
Cade a parte do torcedo do flamengo que invadiu o estadio? Kakk,há 1 ano,0,
"O narrador,sai mal o Fortaleza, se e o Ceará",há 1 ano,0,
Michael carregou esse flamengo nas costas.,há 1 ano,0,
Olha a empolgação da torcida mesmo depois de termos perdido todos os títulos da temporada... A nossa torcida merece ver nosso Flamengo campeão de novo,há 2 anos,9,
0:12 sai mal o Fortaleza kkkkk,há 2 anos,0,
NESSE JOGO EU TAVA LA NO MARACA KK,há 2 anos,0,
Eu fui,há 2 anos,0,
Hugo termina só queima toupa,há 2 anos,0,
"Vai   Flamengooo,. o Flamengo vai ser campeão",há 2 anos,1,
O flamengo nesse dia perdeu vários e vários gol.,há 2 anos,0,
Fortaleza? Kkkk,há 2 anos,0,
"Esse jogo é um dos mais especiais do Flamengo pra mim, depois de uma derrota importante o time jogou bem e se conectou com a torcida, e a torcida trouxe um clima excelente pro estádio e apoiou o time. E a parte que o Ribas tira foto com a torcida é icônica kkkk",há 2 anos,1,1
"00:12 ninguém prestou atenção no erro?
O narrador tava falando de Fortaleza, e no gol de Gabi ele fala
""Saiu mal o Fortaleza, sendo que quem jogava era o Ceará""",há 2 anos,1,
Mas alguém percebeu que 1uando saiu o primeiro goll do Flamengo o narrador disse sai mal o Fortaleza,há 2 anos (editado),1,
"Esses Dias Atrás Um Pessoal Me Perguntou Pra Que Time Eu Torcia, aí Sem Querer Eu Falei ""FLAMENGO"" é Do Nada Os Cara Começaram a Passar a carteira, relógio, cordão, celular é colocaram as mão pro alto. Não Entendi Nada!",há 2 anos (editado),53,
SOU CORINTIANO É ADMITO QUÊ O FLAMENGO É TIME PEQUENO,há 2 anos (editado),70,
.Deus abençoe a Nação rubro-negra,há 2 anos (editado),16,
Flabosta não tem estádio,há 2 anos,29,
VAMOS COM TUDO,há 2 anos,16,
A zaga tá deixando ainda,há 2 anos,3,
Mundial do PALRITUALSATANICO?,há 2 anos,11,
 100 SEM ESTÁDIO 87 É DO SPORT ISSO É FLAVADÍA  lá deyverson pai dos flalixo...,há 2 anos,8,
Muito difícil para o Flamengo ser campeão.,há 2 anos,6,
Parabéns ao flaquenga pela tríplice cheirada👃👃👃,há 2 anos,29,
"Para ser campeão 21 não da mais. O importante é ver o galo esperando mais uns dias, 50 anos mais um pouco kkk",há 2 anos,16,
Muito bom,há 2 anos,2,
 @matheussccp2023  teu cu,há 2 anos,2,
Pagaram pela soberba. Nada mais nada de título. Chupaaaaaaaa!!!,há 2 anos,16,
 @matheussccp2023  pra ser um palhaço só falta o nariz...mas obg pelo 2020,há 2 anos,3,
