text,time,votes,replies
"Falaaa, pessoal! Quem aí tinha o Pikachu no Cartola e se deu bem?",há 3 anos,270,115
"0:40 
Que pênalti foi esse mano ? Kkkkkkkkk 

Cara caiu com o vento 

Romarinho avatar kkkkkkkkk",há 2 anos,1,
Chapecoense tá ruim de mais rumo a série b,há 2 anos,0,
"2021 
Fortaleza está há 14 rodadas seguidas nas cabeças do Brasileirao série A.",há 3 anos,1,1
Muito feliz pelo Yago!,há 3 anos,0,
fortaleza tá bem em. pelo menos já tá certo que la pra frente não vai sofrer com o Z4,há 3 anos,0,
Pikachu folga pra caralho mano,há 3 anos,0,
O iago tem que ir pra seleção..,há 3 anos,1,
Pikachu é seleção brasileira,há 3 anos,1,
Fortaleza pega no mínimo Libertadores esse ano.,há 3 anos,1,
De virada quase goleada 👏👏👏,há 3 anos,1,
Esse goleiro da Chape é horrível!,há 3 anos,0,
"BOA FORTALEZA, BORA LEÃO! 👊🏼🦁🇲🇫",há 3 anos,1,
"Alo, Tite! Pikachu>Neymar",há 3 anos,0,
Tirei o Pikachu do meu cartola 😞,há 3 anos,0,
"sempre fui fan o pikachu ,vasco se desfeis do mlk ,acharam q mandar o pikachu ir embora o vasco ia decolar ,erraram feio porra pode colocar quem vc quiser no vasco nao dar certo ,tamos falidos e a culpa nao sao dos jogadores",há 3 anos,0,
Chama 190 foi roubado em casa,há 3 anos,0,
O fortaleza com um a  menos e o que o vojvoda faz bota um atacante em campo e da certo  kkkkk,há 3 anos,2,
"carregou no paysandu, no vasco e agora no fortaleza quem será o próximo a apostar nele.",há 3 anos,0,
Apostaria de certeza na Chapecoense pela pixbet.,há 3 anos,0,
FlorminenC nanico,há 3 anos (editado),7,
CORINPUTA NANICO SEM ESTÁDIO,há 3 anos,3,
Pikachu tá jogando muito Ge,há 3 anos,15,
Picachu a lenda,há 3 anos,12,
"Eu achava que ele ia ta na lateral, não encontrei, logo achei que não jogava kkkkkkkkk",há 3 anos,4,
Kd a liberta do curinca de 2000????,há 3 anos,1,
