text,time,votes,replies
"Que jogo complicado!
E aí, o que achou do resultado?",há 2 anos,312,71
"Estava nesse jogo,como em todos os jogos da CHAPE, lembro muito bem desse lance, praticamente o último do jogo ,estava próximo do alambrado e vi o lance, arbitragem poderia ter marcado o pênalti em campo,deixou a jogada seguir e a Chapecoense virou o jogo...mas o VAR chamou, anulou o gol e marcou Pênalti no início da jogada,e daí a vitória mudou de lado.",há 5 meses,0,
Ότι νανε είστε τα στήνετε σε δευτερόλεπτα,há 11 meses,0,
Eu gosto do time da Chapecoense não é um time ruim mais e o futebol todo time passa por momentos ruim esse árbitro erro era pra se validado o gol da Chapecoense,há 1 ano,0,
Uma palhaçada o que a arbitragem faz com o Fortaleza TODO jogo.,há 2 anos,0,
Vcs torcedores  do Fortaleza  ñ  se enludi  cm esse timeco  ñ  fez nem cosca  cm o galo kkk  6 vs 0 goleada história  q tomou do atlético  Mineiro  Fortaleza lixooooo atlético  Mineiro  campeão,há 2 anos,0,
Que partida bacana do Fortaleza,há 2 anos,1,
"Imagina a proxima libertadores com Bragantino e Fortaleza, e a Sulamerinaca com Cuiabá.
Mano ia ser fod* ver esses times sem tradição disputando, ia ser mais daora ainda se eles conseguissem surpreender e dar um calor nos times grandes, tipo o Braga ou Fortaleza arrancando pontos do River numa fase de grupos",há 2 anos,0,
So precisa revisar essa narradora e esses caras q ficam no var pq ta tudo errado aí.,há 2 anos,0,
"1:24 gooo...
Há não, foi pra fora",há 2 anos,0,
Juiz dar amarelou o pikachu pq mandou bjs pro torcedor ?,há 2 anos,1,
Essa narração é horrível jesus,há 2 anos,3,
O pior é  o VAR q ta salvando...se não fosse ele garfava e pronto...e q não narração ein...da agonia,há 2 anos,0,
Quem trabalha nesse tal VAR só pode ser débil mental ou tem má fé. São dezenas/centenas de erros cruciais todo ano desde que foi institucionalizado no Brasileirão. Erros que prejudicam várias equipes.,há 2 anos,0,
O Quê é quê é isso dois impedimentos Mandrake,há 2 anos (editado),1,
"Esses jogadores ganham um absurdo de dinheiro, passam a vida jogando, não fazem outra coisa a não ser jogar bola, e não aprendem a fazer gol. Não sabem o caminho da trave, não sabem se colocarem. A bola foge deles. E perdem gol na frente de uma trave tão grande.",há 2 anos (editado),0,
"Estão tentando meter a mão no Fortaleza a todo custo. Se a diretoria não abrir o olho, vão garfar o leão até fim do campeonato.",há 2 anos,0,
"Que ridícula essa arbitragem brasileira, incluindo VAR e central do apito da Globo, ridículos!",há 2 anos,0,
O Gabi gol tem razão o futebol brasileiro é uma várzea,há 2 anos,1,
Que?,há 2 anos,1,
FLAPUT4 NÃO TEM ESTÁDIO NÃO AMIGÃO,há 2 anos (editado),6,
ATÉ A CHAPE TEM ESTÁDIO FLAPUT4 NÃO KKKKKKKKK,há 2 anos (editado),13,
Bom,há 2 anos,4,
"Complicado como todos os jogos do Fortaleza daqui pra frente, pois tem 2 adversários por jogo, o outro time e a arbitragem 👌🏼",há 2 anos,33,
UMA VARGONHA,há 2 anos,8,
Arbitragem lamentável,há 2 anos,13,
 @matheussccp2023  já viu seleção ter estádio?😎,há 2 anos,5,
"Tentaram garfar o Leão, mas mais uma vez ganhamos, contra tudo e contra todos.",há 2 anos,19,
 @dariogomesdonascimento3126  garfar? Foi é ajudado,há 2 anos,3,
"O futebol se tornou um esporte monótono,  sem inovação e meramente comercial onde a incompetência em todos os setores saltam aos olhos.
NÃO há plasticidade, competência, bom senso e honestidade nos horizontes q o cercam. Gols de falta, dribles etc são mais raros q sei nem o q.
Copa do Catar?
Only business !!!!!
Chapecoense x Fortaleza ?
Emoção, só para os apostadores .",há 2 anos,4,
Onde encontraram impedimento no gol de cabeça do Fortaleza? Juiz ladrão.,há 2 anos,1,
Pqp arbitragem toda perdida kakakaka,há 2 anos,0,
Fortaleza 4 x 2 chapecoense,há 2 anos,1,
Soy argentino e este fortaleza estas jogando mucha bola rumo a tokyo,há 2 anos,0,
Vitória Merecida Da   Do  Fortaleza  jogou Muito Melhor  que a Chapecoense⚽️⚽️⚽️,há 2 anos,0,
Árbitro fraco!,há 2 anos,0,
A camisa do fortaleza parece com o da Itália kk legal,há 2 anos,0,
"Esse yago Pikachu joga de lateral, mas tem mais gols que muitos atacantes porai, cara joga o.fino da bola",há 2 anos,1,
"Arbitragem filha da puta viu, é um pior que o outro....",há 2 anos,0,
"ONDE HÁ DINHEIRO, HÁ ROUBO.",há 2 anos,0,
Mano esse juiz já era pra marca o pênalti mais cedo vey,há 2 anos,0,
Fortaleza Começando a cresce e Roubando igual flamengo e Corinthians...,há 2 anos,0,1
"arbitragem ridicula,arbitro inocente ,nao soube conduzir a partida",há 2 anos,0,
"Se já estão ajudando o Curinthians sem o Fortaleza 🇫🇷🦁 jogar contra eles...
Imaginem quando o Fortaleza 🇫🇷🦁 for jogar contra o Curinthians lá no Itaquebosta?🤔
Olho vivo Marcelo Paz!!!
Bora Leão 🦁🇫🇷",há 2 anos,0,
Tomaram o jogo da Chapecó,há 2 anos,0,
Muito roubo,há 2 anos,0,
Eu sempre acredito em você leão de aço,há 2 anos,2,
"Pqp que bagunça virou futebol, acaba com esse VAR",há 2 anos,0,
"Meu a chapecoense não está querendo jogar futebol, apenas querer cumprir tabela me parece. O time não merece isso, não está demonstrando futebol. Agora pra escapar do Z4…..",há 2 anos,0,
Esse árbitro deve tá indo bêbado apitar o jogo não e possível me juiz de várzea de pelada faz uma bagunça dessa pqp  kkkkkkk,há 2 anos,0,
