text,time,votes,replies
"Fala, torcedor! 🤙
O árbitrou acertou em anular o gol e o pênalti que seriam a favor do Corinthians?",há 3 anos,191,84
Jogo horrível,há 1 ano,0,
SANTOS 0X0 CORINTHIANS,há 1 ano,0,
Mds jogo mais roubado do mundo kkk,há 2 anos,1,
Ai ta errado n ???,há 2 anos,0,
Como sempre fomos roubados,há 2 anos,1,
"Mano Sou Corinthiano Mais Acho Q Agente Temos Que Treinar Mais, Eles Jogou Por Cima Do Gol Aí Foi Escanteio, Aí foi Gol Aí Me Bugou Mais Temos, Q Melhorar Mais Estamos Em Uma Situação MT Ruim...",há 2 anos (editado),2,
"Com a chegada do var, acabaram os títulos do Corinthians.",há 2 anos,1,
essas praga não sabe finaliza alto so rasteiro,há 2 anos,0,
"Engatar a 6, 7 e 8 Marcha foi Foda 🤣🤣",há 3 anos,0,
"0:48 engraçado que depois desse chute do Fagner, o Roni foi querer fazer o mesmo.....só q ele tinha esquecido q ele n era o Fagner kkkk que raiva desse mlk",há 3 anos,0,
Jogador do Santos tocou a bola mas não tirou a possibilidade do jogador do Corinthians continuar no lance se não o derrubasse ...,há 3 anos,0,
Passaram a mão no Corinthians,há 3 anos,0,
O goleiro ele só pegou com o pé kakakalal,há 3 anos,0,
O melhor momento do jogo foi quando o juiz apitou o fim...,há 3 anos,0,
Agora melhores momentos só nessa posta de canal,há 3 anos,0,
Na verdade o VAR roubou o Timao e tira a autoridade do Arbrito em campo!,há 3 anos,0,
Na verdadNae,há 3 anos,0,
Menos de 3 no Ceará nem comemoro,há 3 anos,1,
"alem de nao ser Pênalti nao marcaram o escanteio, ultimo a tocar a bola foi o jogador do santos",há 3 anos (editado),0,
É,há 3 anos,4,
"Var e muito ruim 
Sereias trancaram o toba pq so o timão jogou",há 3 anos,31,
Não sei,há 3 anos,6,
Time do Santos é horrível só sabe dar lançamentos e aínda erra os lançamentos kkkkkkkkk,há 3 anos,11,
Sei lá,há 3 anos,3,
não,há 3 anos,3,
Meteram a mão em nois😥😥,há 3 anos,16,
" @GardeniaParent  sim
Ladrões",há 3 anos,11,
😂,há 3 anos,2,
"Sou corintiano, mas não achei que foi pênalti. E o gol estava nitidamente impedido!",há 3 anos,8,
"Nunca vi o Corinthians ser tão roubando , quanto aos últimos tempos .",há 3 anos,7,
"Não, fomos roubados. E depois os árbitros que roubam pro Corinthians",há 3 anos,6,
SANTOS CACHORRA VAI PERDER PRO FORTALEZA MALVADÃO🔴🔵,há 3 anos,1,
Sim,há 3 anos,2,
Kkkkkkkkk,há 3 anos,2,
Tem é que arrumar um VAR pro VAR 😬,há 3 anos,3,
