text,time,votes,replies
"Muito justo, uma hora o Santos defendia, e outra apanhava",há 1 ano,0,
"O Bahia poderia fazer um contrato com o Gilberto e Robriguinho cada gol de cara perdido menos 10 mil,  por cada gol de cara feito o Bahia pagava 10 mil, garando q o Bahia sairia bem nesse tipo de contrato.",há 2 anos,0,
"Eai santistas como que o Cavalo Manco vulgo Camacho, ta aí?",há 2 anos,0,
"QUANTO MAIOR A LUTA MAIOR A VITÓRIA, 
QUE DEUS vai TE dar, e Ele ABENÇOE BASTANTE Vc.
EoÚNICO DEUS E O PAI O FILHO EO ESPÍRITO SANTO.
QUE SÃO 3 EM UM UNICO DEUS. E ESSE DEUS SABE DE TODAS AS COISAS PQ, ELE CRIOU TODAS AS COISAS, E ELE ESTÁ EM TODOS OS LUGARES AO MESMO TEMPO, e JÁ QUE ELE CRIOU TUDO ELE PODE FAZE OQUE ELE QUIZE, COM TUDO. E Ele se Desfez disso para
MORRER por NOSSOS PECADOS NA CRUZ, pq NOS VAI Pra o fogo eterno, çe nós morrer com nossos pecados. mas Dps de 3 dias ressuscitou.E provou que tava vivo, subiu ao ceu,e VOLTARÁ para-nos leva para morada celestial, onde vai ser eterno, e não haverá mais sofrimentos, Mas não nós deixou orfaos mas envia o Espírito Santo pra quem crer nessa palavra,
ARREPENDEÃO-SE, JESUS te ama❤ ea Grande tribulação está próxima.... ...........",há 2 anos,0,
O estilo do carille ja foi imposto no primeiro jogo 3 finalizacoes e nenhum gol n esperem mais mkkkk,há 2 anos,0,
"Esse Rodallega joga bem mesmo, não foi só um jogo inspirado contra o Fortaleza, o cara deu duas pifada que se não fosse a ruindade do time do Bahia, era gol",há 2 anos (editado),0,
"Nem noé carregou tanto animal igual o João Paulo carrega no Santos 🙄
Está triste a situação , e mais triste ainda se empolgar pra assistir os jogos desse time da zaga horrível , e ataque do pé torto!",há 2 anos,0,
Esse Rodallega vem jogando muito bem pelo Bahia. Baita achado dessa diretoria.,há 2 anos,0,
"O Bahia muda tudo, só não muda uma coisa ""Perder todos os gols possíveis""",há 2 anos,0,
Presizamos urgente de um camisa 10 armador se não vamos  cada dia mas perto da segunda divisão,há 2 anos,0,
10 segundos dava pra mostrar os melhores momentos,há 2 anos,0,
🔴🔵,há 2 anos,0,
Pq nao colocaram os melhores momentos do Santos no primeiro tempo?,há 2 anos,0,
"O pessoal zoa o Carille ( que por sinal é bem engraçado ) mas ele vai consertar o Santos. Ele começa pela defesa, que por sinal era uma peneira. Depois vai lançando mais o time.
Ele é um bom técnico. Se o Santos só ficar se lançando para o ataque, só vai tomar pau.",há 2 anos,0,
"Santos sempre foi absoluto na Vila, agora tá essa vergonha. Triste demais véi",há 2 anos,2,
"Esse time do santos precisa usar os recursos do futebol de deficientes visuais, tem que ficar alguém batendo nas traves para acertar o gol, misericórdia que pontaria é essa.",há 2 anos,0,
"Tteinador de time pequeno, não ataca o adversario!!! O DNA do santos é ofensivo meu Filho!!!!!!!!!!!!",há 2 anos,0,
Carile retranqueiro!!! Não da certo no santossssss,há 2 anos,0,
Bahia tava fazendo uma ótima campanha agora piorou de vez,há 2 anos,0,
Bahia tá o 👎👎👎👎,há 2 anos,0,
Que situação é essa do santos,há 2 anos,0,
"Assim mesmo que faz carrile, levar eles para série b",há 2 anos,0,
