text,time,votes,replies
"Fala, torcedor! 😎
E aí, quem esperava essa virada no fim?",há 2 anos,147,35
"q narracao, meu Deus",há 8 meses,0,
Mulher narrando é o O,há 2 anos,0,
"Que narração horrivel meu Deus, sem mimimi é triste assistir video com essas narradoras da Premiere",há 2 anos,0,
ESSE JULIO CESAR LEVOU SORTE DE SE TORNAR PROFISSIONAL,há 2 anos,0,
Qui voz irritante,há 2 anos,0,
"Que narradora mais ruim, meu Deus..",há 2 anos,0,
Até eu senti raiva desse zagueiro kllkkkkkk,há 2 anos,0,
"Olha não é por nada
Mas essa narraçao é muito ruin
Eu abaixo o som 
E vou pro radio
Nada contra mulher
Mas a gritaria que ela faz em cada lance sem emoçao chega ficar chato.
Sera que é só eu que acho chato essa narraçao?
A narraçao do futebol é algo muito emocionsnte pra quem vê ou pelo radio ou pela tv
Ai vvs colocam uma narraçao que irrita a gente
Dou um concelho quer ter audiencia coloca gente boa pra narrar afff",há 2 anos,0,
Já acabou o gás?,há 2 anos,1,
Com toda essa ajuda aí até o Íbis virava o jogo...,há 2 anos,0,
Os caras fizeram concurso de pior narradore do mundo e o vencedore foi contratade...,há 2 anos,0,
Zagaiada esse jogo tavam Dormindo kkkk,há 2 anos,0,
Rafael tem o pé do curupira kkkk que passe bizonho.,há 2 anos,0,
Juventus Brasileira.,há 2 anos,0,
"mano, esse zagueiro do Red Bull aí kkkkkkkk foi uma das piores partidas de um zagueiro que eu já vi, além do gol ele quase entregou outro que o Julio Cesar defendeu, ele tava perdido na zaga véio!",há 2 anos,1,
"Precisa Gritar assim ?
Aff",há 2 anos,1,
"ESSE JÚLIO CÉSAR  É MUITOOO RUIM, PAI JESUS VELHO VSF KKKK
MANO COMO O BRAGANTINO MANTÉM  ESSE JULIO CÉSAR NO TIME AINDA ELE É MUITOO RUIM.",há 2 anos,0,
A cada lance o juventude luta tudo por um prato de comida,há 2 anos,0,
Que narração horrível,há 2 anos,0,
Eu amo dormir com homem de rola grande e grossa viu,há 2 anos,8,
 @ganheiopaulistinhade  todo São Paulino ama amigão,há 2 anos,12,
O FLAMENGO AGRADECE DENOVO ESFORÇA-TE  ATE 27 PONTOS PRO MAIS MENGÃO VAI BRUNO HENRIQUE TÁ ON,há 2 anos,5,
Fracoleza não vai ser campeão seus iludido mínimo 9 lugar,há 2 anos,3,
Fracoleza não vai ser campeão seus iludido mínimo 9 lugar,há 2 anos,1,
Sim,há 2 anos,1,
 @FSGOficial1894  não,há 2 anos,1,
 @FSGOficial1894  leão 😁🔵🔴⚪,há 2 anos,1,
 @furacaomaiordoparana6524  quem vai ganhar é o CAPeta né?,há 2 anos,0,
Ah esse goleiro da te brincadeira passamos bicicleta na área kkkk,há 2 anos,2,
 @FSGOficial1894  Fortaleza não tem copa do Brasil Sport lixo não tem copa do Brasil Ciaralixo não tem copa do,há 2 anos,1,
 @FSGOficial1894  seu lixo vai torcer pro teme melhor,há 2 anos,1,
 @furacaomaiordoparana6524  kkkkkkkk n viu ano passado n?,há 2 anos,1,
GE Bolsonaro manda um braço,há 2 anos,1,
