text,time,votes,replies
"Quem acredita no Timão no G-4?

🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,803,98
Cantillo seria o titular no meu time sem comparação,há 1 ano,1,
Sou Corinthiano gosto Do Yuri Alberto,há 1 ano,1,
Eu tava lá.,há 1 ano,0,
Co coloque a imagem do Corinthians aqui,há 2 anos,0,
Belo gol do Cantillo.,há 2 anos,1,
Essa comemoração!,há 2 anos,1,
Com esse time o Corinthians no minino termina em o campeonato em 10 colocado,há 2 anos,1,
Nada muda,há 2 anos,1,
"Definitivamente, Paulinho e Renato Augusto não podem jogar juntos!",há 2 anos,2,2
Sou corinthians mais o time mesmo vencendo não convence é  muito fraco esse time o único que joga um absurdo é o William da dó ver esse cara se matando jogando ao lado desses lixos,há 2 anos,0,
FORTALEZA NAO GANHA MAIS DE NINGUEM FORTE CANDIDATO A CAIR,há 2 anos,0,
kkkkkkk assisti o video  inteiro achando que era o jogo de hoje,há 2 anos,0,3
"Quando não faz cocô de 1x0 ganha na sorte... curintia time pequeno logo logo mostra sua cara Jajá tá no Z4 
A maratona fora de casa já vai começar logo",há 2 anos,0,1
Vai Corinthians 👏👏👏👏,há 2 anos,0,
O que o rg perdeu de gol esse dia foi loucura,há 2 anos,0,
Á    não    Fortaleza,há 2 anos,0,
Esse jogo foi bonzin,há 2 anos,0,
"Ver o TIMÃO  na Arena ja é lindo, em 1080p é Perfeito.🏴🏳",há 2 anos,1,
Esse mosquito e liso dms 🔥,há 2 anos,1,
ESTÁDIO DO FLAPUTINHA ?,há 2 anos,23,
Corinthians Maior Do Brasil Amigão,há 2 anos (editado),37,
"Corinthians não tem sul-americana!

Obs : Meu time tem 3 libertadores e 3 mundiais .




2 mundiais com 1 libertadores?",há 2 anos (editado),15,
Mais o Corinthians Segue Maior Do Brasil,há 2 anos (editado),23,
SHUPAULO NÃO TEM COPA DO BRASIL KKKKKKKKKKKKKKKKKK,há 2 anos,26,
Rival do Flamáximo na América?,há 2 anos (editado),2,
"SEU TIME TEM MUNDIAL
👇",há 2 anos,41,
 @Eduardohaanos-op6ns  Como se alguém ligasse pra sulamerilixo,há 2 anos,9,
NANICO E SEM ESTÁDIO ISSO É FLAXERECAFEDORENTA CAMARADA,há 2 anos,8,
eu acreditó,há 2 anos,4,
Foi bom jogo entre Corinthians e fortaleza,há 2 anos,6,
